8113_301693_000000_000000	[Illustration--The sacred hammer of the god Thor]	[Illustration-The sacred hammer of the god Thor]	false	1.53	11.52	20.514711
8113_301693_000009_000000	At his command the sledge was left in the border of the wood, with two of the men to guard it, and the rest of the company moved forward across the open ground.	At his command the sledge was left in the border of the wood, with two of the men to guard it, and the rest of the company moved forward across the open ground.	false	147.83	157.39	22.055674
8113_301693_000009_000001	They approached unnoticed, for all the multitude were looking intently towards the fire at the foot of the oak.	They approached unnoticed, for all the multitude were looking intently towards the fire at the foot of the oak.	true	157.43	164.43	21.474613
8113_301693_000010_000000	Then Winfried's voice rang out, "Hail, ye sons of the forest!	Then Winfried's voice rang out, "Hail, ye sons of the forest!	true	164.43	169.27	19.681337
8113_301693_000010_000001	A stranger claims the warmth of your fire in the winter night."	A stranger claims the warmth of your fire in the winter night."	true	169.4	173.8	21.081984
8113_301693_000011_000000	Swiftly, and as with a single motion, a thousand eyes were bent upon the speaker.	Swiftly, and as with a single motion, a thousand eyes were bent upon the speaker.	false	174.35	180.37	20.079445
8113_301693_000011_000001	The semicircle opened silently in the middle; Winfried entered with his followers; it closed again behind them.	The semicircle opened silently in the middle; Winfried entered with his followers; it closed again behind them.	false	180.62	188.445	20.546804
8113_301693_000012_000000	Then, as they looked round the curving ranks, they saw that the hue of the assemblage was not black, but white,--dazzling, radiant, solemn.	Then, as they looked round the curving ranks, they saw that the hue of the assemblage was not black, but white,--dazzling, radiant, solemn.	false	188.445	199.66	22.708153
8113_301693_000012_000001	White, the robes of the women clustered together at the points of the wide crescent; white, the glittering byrnies of the warriors standing in close ranks; white, the fur mantles of the aged men who held the central place in the circle; white, with the shimmer of silver ornaments and the purity of lamb's-wool, the raiment of a little group of children who stood close by the fire; white, with awe and fear, the faces of all who looked at them; and over all the flickering, dancing radiance of the flames played and glimmered like a faint, vanishing tinge of blood on snow.	White, the robes of the women clustered together at the points of the wide crescent; white, the glittering byrnies of the warriors standing in close ranks; white, the fur mantles of the aged men who held the central place in the circle; white, with the shimmer of silver ornaments and the purity of lamb's wool, the raiment of a little group of children who stood close by the fire; white, with awe and fear, the faces of all who looked at them; and over all the flickering, dancing radiance of the flames played and glimmered like a faint, vanishing tinge of blood on snow.	false	199.76	240.31	22.42722
8113_301693_000013_000000	The only figure untouched by the glow was the old priest, Hunrad, with his long, spectral robe, flowing hair and beard, and dead-pale face, who stood with his back to the fire and advanced slowly to meet the strangers.	The only figure untouched by the glow was the old priest, Hunrad, with his long, spectral robe, flowing hair and beard, and dead pale face, who stood with his back to the fire and advanced slowly to meet the strangers.	true	240.44	256.48	21
8113_301693_000014_000000	"Who are you?	"Who are you?	true	256.85	257.86	22.844814
8113_301693_000014_000001	Whence come you, and what seek you here?" His voice was heavy and toneless as a muffled bell.	Whence come you, and what seek you here?" His voice was heavy and toneless as a muffled bell.	true	257.96	264.9	21.441439
8113_301693_000015_000000	"You kinsman am I, of the German brotherhood," answered Winfried, "and from England, beyond the sea, have I come to bring you a greeting from that land, and a message from the All-Father, whose servant I am."	"You kinsman am I, of the German brotherhood," answered Winfried, "and from England, beyond the sea, have I come to bring you a greeting from that land, and a message from the All Father, whose servant I am."	false	264.9	278.82	21.081028
8113_301693_000016_000000	"Welcome, then," said Hunrad, "welcome, kinsman, and be silent; for what passes here is too high to wait, and must be done before the moon crosses the middle heaven, unless, indeed, thou hast some sign or token from the gods.	"Welcome, then," said Hunrad, "welcome, kinsman, and be silent; for what passes here is too high to wait, and must be done before the moon crosses the middle heaven, unless, indeed, thou hast some sign or token from the gods.	false	278.82	294.675	20.921288
8113_301693_000016_000001	Canst thou work miracles?"	Canst thou work miracles?"	true	294.675	296.34	24.332178
8113_301693_000017_000000	The question came sharply, as if a sudden gleam of hope had flashed through the tangle of the old priest's mind.	The question came sharply, as if a sudden gleam of hope had flashed through the tangle of the old priest's mind.	true	296.34	303.375	21
8113_301693_000017_000001	But Winfried's voice sank lower and a cloud of disappointment passed over his face as he replied: "Nay, miracles have I never wrought, though I have heard of many; but the All-Father has given no power to my hands save such as belongs to common man."	But Winfried's voice sank lower and a cloud of disappointment passed over his face as he replied: "Nay, miracles have I never wrought, though I have heard of many; but the All Father has given no power to my hands save such as belongs to common man."	false	303.375	320.85	21
8113_301693_000018_000000	"Stand still, then, thou common man," said Hunrad, scornfully, "and behold what the gods have called us hither to do.	"Stand still, then, thou common man," said Hunrad, scornfully, "and behold what the gods have called us hither to do.	true	320.85	328.815	22.157202
8113_301693_000018_000001	This night is the death-night of the sun-god, Baldur the Beautiful, beloved of gods and men.	This night is the death night of the sun god, Baldur the Beautiful, beloved of gods and men.	false	328.815	336.19	23.173943
8113_301693_000018_000002	This night is the hour of darkness and the power of winter, of sacrifice and mighty fear.	This night is the hour of darkness and the power of winter, of sacrifice and mighty fear.	true	336.23	341.86	22
8113_301693_000018_000003	This night the great Thor, the god of thunder and war, to whom this oak is sacred, is grieved for the death of Baldur, and angry with this people because they have forsaken his worship.	This night the great Thor, the god of thunder and war, to whom this oak is sacred, is grieved for the death of Baldur, and angry with this people because they have forsaken his worship.	false	341.87	353.955	23.276628
8113_301693_000018_000004	Long is it since an offering has been laid upon his altar, long since the roots of his holy tree have been fed with blood.	Long is it since an offering has been laid upon his altar, long since the roots of his holy tree have been fed with blood.	false	353.955	362.775	19
8113_301693_000018_000005	Therefore its leaves have withered before the time, and its boughs are heavy with death. Therefore the Slavs and the Wends have beaten us in battle. Therefore the harvests have failed, and the wolf-hordes have ravaged the folds, and the strength has departed from the bow, and the wood of the spear has broken, and the wild boar has slain the huntsman.	Therefore its leaves have withered before the time, and its boughs are heavy with death. Therefore the Slavs and the Wends have beaten us in battle. Therefore the harvests have failed, and the wolf hordes have ravaged the folds, and the strength has departed from the bow, and the wood of the spear has broken, and the wild boar has slain the huntsman.	false	362.775	385.09	21.671085
8113_301693_000018_000006	Therefore the plague has fallen on our dwellings, and the dead are more than the living in all our villages.	Therefore the plague has fallen on our dwellings, and the dead are more than the living in all our villages.	true	385.16	391.02	17
8113_301693_000018_000007	Answer me, ye people, are not these things true?"	Answer me, ye people, are not these things true?"	false	391.02	394.98	22.943806
8113_301693_000019_000000	A hoarse sound of approval ran through the circle.	A hoarse sound of approval ran through the circle.	true	394.98	398.025	18.374893
8113_301693_000019_000001	A chant, in which the voices of the men and women blended, like the shrill wind in the pine-trees above the rumbling thunder of a waterfall, rose and fell in rude cadences.	A chant, in which the voices of the men and women blended, like the shrill wind in the pine trees above the rumbling thunder of a waterfall, rose and fell in rude cadences.	false	398.025	411.52	20.233755
8113_301693_000020_000000	O Thor, the Thunderer, Mighty and merciless, Spare us from smiting! Heave not thy hammer, Angry, against us; Plague not thy people. Take from our treasure Richest of ransom. Silver we send thee, Jewels and javelins, Goodliest garments, All our possessions, Priceless, we proffer. Sheep will we slaughter, Steeds will we sacrifice; Bright blood shall bathe thee, O tree of Thunder, Life-floods shall lave thee, Strong wood of wonder. Mighty, have mercy, Smite us no more, Spare us and save us, Spare us, Thor!	O Thor, the Thunderer, Mighty and merciless, Spare us from smiting! Heave not thy hammer, Angry, against us; Plague not thy people. Take from our treasure Richest of ransom. Silver we send thee, Jewels and javelins, Goodliest garments, All our possessions, Priceless, we proffer. Sheep will we slaughter, Steeds will we sacrifice; Bright blood shall bathe thee, O tree of Thunder, Life floods shall lave thee, Strong wood of wonder. Mighty, have mercy, Smite us no more, Spare us and save us, Spare us, Thor!	false	411.89	455.35	21.14478
8113_301693_000020_000001	Thor!	Thor!	true	455.66	456.7	22.182512
8113_301693_000021_000000	With two great shouts the song ended, and a stillness followed so intense that the crackling of the fire was heard distinctly.	With two great shouts the song ended, and a stillness followed so intense that the crackling of the fire was heard distinctly.	false	457.1	467.17	23.811491
8113_301693_000021_000001	The old priest stood silent for a moment.	The old priest stood silent for a moment.	true	467.54	469.965	24.204847
8113_301693_000021_000002	His shaggy brows swept down over his eyes like ashes quenching flame.	His shaggy brows swept down over his eyes like ashes quenching flame.	true	469.965	475.59	20
8113_301693_000021_000003	Then he lifted his face and spoke.	Then he lifted his face and spoke.	true	475.59	477.915	25.460766
8113_301693_000022_000000	"None of these things will please the god.	"None of these things will please the god.	true	477.915	480.25	21.235882
8113_301693_000022_000001	More costly is the offering that shall cleanse your sin, more precious the crimson dew that shall send new life into this holy tree of blood.	More costly is the offering that shall cleanse your sin, more precious the crimson dew that shall send new life into this holy tree of blood.	true	480.29	492.04	23.276943
8113_301693_000022_000002	Thor claims your dearest and your noblest gift."	Thor claims your dearest and your noblest gift."	true	492.74	496.09	21.56823
8113_301693_000023_000000	Hunrad moved nearer to the handful of children who stood watching the red mines in the fire and the swarms of spark-serpents darting upward.	Hunrad moved nearer to the handful of children who stood watching the red mines in the fire and the swarms of spark serpents darting upward.	false	497.03	507.43	21.014399
8113_301693_000023_000001	They had heeded none of the priest's words, and did not notice now that he approached them, so eager were they to see which fiery snake would go highest among the oak branches. Foremost among them, and most intent on the pretty game, was a boy like a sunbeam, slender and quick, with blithe brown eyes and laughing lips.	They had heeded none of the priest's words, and did not notice now that he approached them, so eager were they to see which fiery snake would go highest among the oak branches. Foremost among them, and most intent on the pretty game, was a boy like a sunbeam, slender and quick, with blithe brown eyes and laughing lips.	false	507.59	532.15	22.130419
8113_301693_000023_000002	The priest's hand was laid upon his shoulder.	The priest's hand was laid upon his shoulder.	false	532.31	536.05	21.661102
8113_301693_000023_000003	The boy turned and looked up in his face.	The boy turned and looked up in his face.	true	536.12	538.69	19
8113_301693_000024_000000	"Here," said the old man, with his voice vibrating as when a thick rope is strained by a ship swinging from her moorings, "here is the chosen one, the eldest son of the Chief, the darling of the people.	"Here," said the old man, with his voice vibrating as when a thick rope is strained by a ship swinging from her moorings, "here is the chosen one, the eldest son of the Chief, the darling of the people.	true	539.87	555.22	20.919333
8113_301693_000024_000001	Hearken, Bernhard, wilt thou go to Valhalla, where the heroes dwell with the gods, to bear a message to Thor?"	Hearken, Bernhard, wilt thou go to Valhalla, where the heroes dwell with the gods, to bear a message to Thor?"	true	555.77	564.01	22.381336
8113_301693_000025_000000	The boy answered, swift and clear:	The boy answered, swift and clear:	true	564.8	567.555	23.021467
8113_301693_000026_000000	"Yes, priest, I will go if my father bids me.	"Yes, priest, I will go if my father bids me.	true	567.555	570.73	23.9105
8113_301693_000026_000001	Is it far away? Shall I run quickly?	Is it far away? Shall I run quickly?	true	570.8	573.79	20.759094
8113_301693_000026_000002	Must I take my bow and arrows for the wolves?"	Must I take my bow and arrows for the wolves?"	true	574.22	577.69	21.987553
8113_301693_000027_000000	The boy's father, the Chieftain Gundhar, standing among his bearded warriors, drew his breath deep, and leaned so heavily on the handle of his spear that the wood cracked.	The boy's father, the Chieftain Gundhar, standing among his bearded warriors, drew his breath deep, and leaned so heavily on the handle of his spear that the wood cracked.	false	578.3	589.93	23.920534
8113_301693_000027_000001	And his wife, Irma, bending forward from the ranks of women, pushed the golden hair from her forehead with one hand.	And his wife, Irma, bending forward from the ranks of women, pushed the golden hair from her forehead with one hand.	false	589.97	598.6	22.024305
8113_301693_000027_000002	The other dragged at the silver chain about her neck until the rough links pierced her flesh, and the red drops fell unheeded on the snow of her breast.	The other dragged at the silver chain about her neck until the rough links pierced her flesh, and the red drops fell unheeded on the snow of her breast.	true	598.88	609.31	21.07416
8113_301693_000028_000000	A sigh passed through the crowd, like the murmur of the forest before the storm breaks.	A sigh passed through the crowd, like the murmur of the forest before the storm breaks.	true	609.86	615.7	19.63781
8113_301693_000028_000001	Yet no one spoke save Hunrad:	Yet no one spoke save Hunrad:	true	615.92	618.4	19.558565
8113_301693_000029_000000	"Yes, my Prince, both bow and spear shalt thou have, for the way is long, and thou art a brave huntsman.	"Yes, my Prince, both bow and spear shalt thou have, for the way is long, and thou art a brave huntsman.	true	618.74	627.7	21.216618
8113_301693_000029_000001	But in darkness thou must journey for a little space, and with eyes blindfolded.	But in darkness thou must journey for a little space, and with eyes blindfolded.	true	628.01	633.555	22.702408
8113_301693_000029_000002	Fearest thou?"	Fearest thou?"	true	633.555	634.63	29.106585
8113_301693_000030_000000	"Naught fear I," said the boy, "neither darkness, nor the great bear, nor the were-wolf.	"Naught fear I," said the boy, "neither darkness, nor the great bear, nor the were wolf.	true	635.15	641.76	22.810724
8113_301693_000030_000001	For I am Gundhar's son, and the defender of my folk."	For I am Gundhar's son, and the defender of my folk."	true	641.76	646.27	19.691517
8113_301693_000031_000000	Then the priest led the child in his raiment of lamb's-wool to a broad stone in front of the fire.	Then the priest led the child in his raiment of lamb's wool to a broad stone in front of the fire.	true	647.09	654.01	20.649416
8113_301693_000031_000001	He gave him his little bow tipped with silver, and his spear with shining head of steel.	He gave him his little bow tipped with silver, and his spear with shining head of steel.	true	654.11	660.1	22.806232
8113_301693_000031_000002	He bound the child's eyes with a white cloth, and bade him kneel beside the stone with his face to the east.	He bound the child's eyes with a white cloth, and bade him kneel beside the stone with his face to the east.	true	660.74	666.79	22.193552
8113_301693_000031_000003	Unconsciously the wide arc of spectators drew inward toward the centre, as the ends of the bow draw together when the cord is stretched.	Unconsciously the wide arc of spectators drew inward toward the centre, as the ends of the bow draw together when the cord is stretched.	false	667.7	678.91	22.516165
8113_301693_000031_000004	Winfried moved noiselessly until he stood close behind the priest.	Winfried moved noiselessly until he stood close behind the priest.	true	679.07	683.44	21.942406
8113_301693_000032_000000	The old man stooped to lift a black hammer of stone from the ground,--the sacred hammer of the god Thor.	The old man stooped to lift a black hammer of stone from the ground,--the sacred hammer of the god Thor.	true	684.26	691.95	22.399168
8113_301693_000032_000001	Summoning all the strength of his withered arms, he swung it high in the air.	Summoning all the strength of his withered arms, he swung it high in the air.	true	691.95	698.2	20.740286
8113_301693_000032_000002	It poised for an instant above the child's fair head--then turned to fall.	It poised for an instant above the child's fair head-then turned to fall.	true	698.21	703.09	20.04121
8113_301693_000033_000000	One keen cry shrilled out from where the women stood: "Me! take me!	One keen cry shrilled out from where the women stood: "Me! take me!	true	704.09	710.25	22.079067
8113_301693_000033_000001	not Bernhard!"	not Bernhard!"	true	710.25	711.49	24.649868
8113_301693_000034_000000	The flight of the mother towards her child was swift as the falcon's swoop.	The flight of the mother towards her child was swift as the falcon's swoop.	false	712.61	717.04	21.687841
8113_301693_000034_000001	But swifter still was the hand of the deliverer.	But swifter still was the hand of the deliverer.	true	717.08	720.16	20.091555
8113_301693_000035_000000	Winfried's heavy staff thrust mightily against the hammer's handle as it fell.	Winfried's heavy staff thrust mightily against the hammer's handle as it fell.	true	720.83	726.19	20.865515
8113_301693_000035_000001	Sideways it glanced from the old man's grasp, and the black stone, striking on the altar's edge, split in twain.	Sideways it glanced from the old man's grasp, and the black stone, striking on the altar's edge, split in twain.	true	726.53	735.82	20.49089
8113_301693_000035_000002	A shout of awe and joy rolled along the living circle.	A shout of awe and joy rolled along the living circle.	false	736.16	741.76	20.625013
8113_301693_000035_000003	The branches of the oak shivered.	The branches of the oak shivered.	true	742.01	744.55	22.384096
8113_301693_000035_000004	The flames leaped higher.	The flames leaped higher.	false	744.71	746.5	24.924484
8113_301693_000035_000005	As the shout died away the people saw the lady Irma, with her arms clasped round her child, and above them, on the altar-stone, Winfried, his face shining like the face of an angel.	As the shout died away the people saw the lady Irma, with her arms clasped round her child, and above them, on the altar stone, Winfried, his face shining like the face of an angel.	false	747.71	767.91	20.815437
