2775_160958_000002_000000	BEAUTY AND THE BEAST	BEAUTY AND THE BEAST
2775_160958_000013_000003	Get me my traveling-cloak, Beauty.	Get me my traveling cloak, Beauty.
2775_160958_000013_000004	I will set out at once to claim my ship.	I will set out at once to claim my ship.
2775_160958_000013_000005	And now tell me, girls, what shall I bring you when I come back?"	And now tell me, girls, what shall I bring you when I come back?"
2775_160958_000015_000000	"I want a new silk dress," said Dressalinda, "an apple-green one, sewn with seed-pearls, and green shoes with red heels, and a necklace of emeralds, and a box of gloves."	"I want a new silk dress," said Dressalinda, "an apple green one, sewn with seed pearls, and green shoes with red heels, and a necklace of emeralds, and a box of gloves."
2775_160958_000016_000000	"And what shall I bring for you, my Beauty?" asked the father, as his little daughter helped him to put on his traveling-cloak.	"And what shall I bring for you, my Beauty?" asked the father, as his little daughter helped him to put on his traveling cloak.
2775_160958_000017_000000	"Oh, bring me a rose," said Beauty hastily.	"Oh, bring me a rose," said Beauty hastily.
2775_160958_000018_000000	Her father kissed her fondly, and set out.	Her father kissed her fondly, and set out.
2775_160958_000019_000000	"You silly girl," said Marigold, "you just want our father to think you are more unselfish than we are--that's what you want!	"You silly girl," said Marigold, "you just want our father to think you are more unselfish than we are-that's what you want!
2775_160958_000020_000000	"Indeed, sister," said Beauty, "that was not the reason.	"Indeed, sister," said Beauty, "that was not the reason.
2775_160958_000022_000000	In the meantime the merchant went his way to the city, full of hope and great plans as to what he would do with his money.	In the meantime the merchant went his way to the city, full of hope and great plans as to what he would do with his money.
2775_160958_000023_000000	But when he got there, he found that some one had played a trick on him, and no ship of his had come into harbor, so he was just as badly off as before.	But when he got there, he found that some one had played a trick on him, and no ship of his had come into harbor, so he was just as badly off as before.
2775_160958_000024_000000	He spent the whole day looking about to make sure there was no truth in the letter he had received, and it was beginning to get dusk when he started out, with a sad heart, to make the journey home again.	He spent the whole day looking about to make sure there was no truth in the letter he had received, and it was beginning to get dusk when he started out, with a sad heart, to make the journey home again.
2775_160958_000027_000000	He knocked at the gates, but no one answered, and presently, driven by hunger and cold, he made bold to enter, and mounted the marble steps into the great hall.	He knocked at the gates, but no one answered, and presently, driven by hunger and cold, he made bold to enter, and mounted the marble steps into the great hall.
2775_160958_000028_000001	There was a big fire in the hall, and when he had warmed himself, he set out to look for the master of the house.	There was a big fire in the hall, and when he had warmed himself, he set out to look for the master of the house.
2775_160958_000028_000002	But he did not look far, for behind the first door he opened was a cosy little room with supper set for one, a supper the mere look of which made you hungry.	But he did not look far, for behind the first door he opened was a cosy little room with supper set for one, a supper the mere look of which made you hungry.
2775_160958_000029_000000	So the merchant sat down as bold as you please, and made a very hearty supper, after which he again thought he would look for the master of the house.	So the merchant sat down as bold as you please, and made a very hearty supper, after which he again thought he would look for the master of the house.
2775_160958_000030_000000	He started off and opened another door, but there he saw a bed, merely to look at which made you sleepy, so he said to himself:	He started off and opened another door, but there he saw a bed, merely to look at which made you sleepy, so he said to himself:
2775_160958_000031_000000	"This is some fairies' work.	"This is some fairies' work.
2775_160958_000031_000001	I had better not look any farther for the master of the house."	I had better not look any farther for the master of the house."
2775_160958_000032_000000	And with that he tumbled into bed, and, being very tired, he went to sleep at once, and slept like a top till it was time to get up in the morning.	And with that he tumbled into bed, and, being very tired, he went to sleep at once, and slept like a top till it was time to get up in the morning.
2775_160958_000033_000000	When he awoke he was quite surprised to find himself in such a soft and comfortable bed, but presently he remembered all that had happened to him.	When he awoke he was quite surprised to find himself in such a soft and comfortable bed, but presently he remembered all that had happened to him.
2775_160958_000034_000000	"I must be going," he said to himself, "but I wish I could thank my host for my good rest and my good supper."	"I must be going," he said to himself, "but I wish I could thank my host for my good rest and my good supper."
2775_160958_000035_000000	When he got out of bed he found he had something else to be grateful for, for on the chair by the bedside lay a fine suit of new clothes, marked with his name, and with ten gold pieces in every pocket.	When he got out of bed he found he had something else to be grateful for, for on the chair by the bedside lay a fine suit of new clothes, marked with his name, and with ten gold pieces in every pocket.
2775_160958_000036_000000	When he went downstairs, he found a good breakfast waiting for him in the little room where he had supped the night before, and when he had made a good meal, he thought he would go for a stroll in the garden.	When he went downstairs, he found a good breakfast waiting for him in the little room where he had supped the night before, and when he had made a good meal, he thought he would go for a stroll in the garden.
2775_160958_000037_000000	Down the marble steps he went, and when he came to the garden, he saw that it was full of roses, red and white and pink and yellow, and the merchant looked at them, and remembered Beauty's wish.	Down the marble steps he went, and when he came to the garden, he saw that it was full of roses, red and white and pink and yellow, and the merchant looked at them, and remembered Beauty's wish.
2775_160958_000039_000000	So he stretched out his hand and plucked the biggest red rose within his reach.	So he stretched out his hand and plucked the biggest red rose within his reach.
2775_160958_000040_000000	As the stalk snapped in his fingers, he started back in terror, for he heard an angry roar, and the next minute a dreadful Beast sprang upon him.	As the stalk snapped in his fingers, he started back in terror, for he heard an angry roar, and the next minute a dreadful Beast sprang upon him.
2775_160958_000041_000000	"Ungrateful wretch!" said the Beast.	"Ungrateful wretch!" said the Beast.
2775_160958_000042_000000	"Mercy! mercy!" cried the merchant.	"Mercy! mercy!" cried the merchant.
2775_160958_000043_000000	"No," said the Beast, "you must die!"	"No," said the Beast, "you must die!"
2775_160958_000043_000001	The poor merchant fell upon his knees and tried to think of something to say to soften the heart of the cruel Beast; and at last he said, "Sir, I only stole this rose because my youngest daughter asked me to bring her one.	The poor merchant fell upon his knees and tried to think of something to say to soften the heart of the cruel Beast; and at last he said, "Sir, I only stole this rose because my youngest daughter asked me to bring her one.
2775_160958_000043_000002	I did not think, after all you have given me, that you would grudge me a flower."	I did not think, after all you have given me, that you would grudge me a flower."
2775_160958_000044_000001	"Is she a good girl?"	"Is she a good girl?"
2775_160958_000046_000000	"Oh!" he cried, "what will my poor children do without me?"	"Oh!" he cried, "what will my poor children do without me?"
2775_160958_000047_000000	"You should have thought of that before you stole the rose," said the Beast.	"You should have thought of that before you stole the rose," said the Beast.
2775_160958_000048_000000	The wretched man promised.	The wretched man promised.
2775_160958_000049_000000	"At any rate," he thought, "I shall have three months more of life."	"At any rate," he thought, "I shall have three months more of life."
2775_160958_000050_000000	Then the Beast said, "I will not let you go empty-handed."	Then the Beast said, "I will not let you go empty handed."
2775_160958_000051_000000	So the merchant followed him back into the palace.	So the merchant followed him back into the palace.
2775_160958_000051_000001	There, on the floor of the hall, lay a great and beautiful chest of wrought silver.	There, on the floor of the hall, lay a great and beautiful chest of wrought silver.
2775_160958_000053_000000	And the merchant filled it up with precious things from the Beast's treasure-house.	And the merchant filled it up with precious things from the Beast's treasure house.
2775_160958_000054_000000	"I will send it home for you," said the Beast, shutting down the lid.	"I will send it home for you," said the Beast, shutting down the lid.
2775_160958_000056_000000	The merchant put these into Beauty's hand when she ran to meet him at the door of their cottage.	The merchant put these into Beauty's hand when she ran to meet him at the door of their cottage.
2775_160958_000057_000000	"Take them, my child," he said, "and cherish them, for they have cost your poor father his life."	"Take them, my child," he said, "and cherish them, for they have cost your poor father his life."
2775_160958_000058_000000	And with that he sat down and told them the whole story.	And with that he sat down and told them the whole story.
2775_160958_000058_000001	The two elder sisters wept and wailed, and of course blamed Beauty for all that had happened.	The two elder sisters wept and wailed, and of course blamed Beauty for all that had happened.
2775_160958_000062_000000	Her father went with her, to show her the way.	Her father went with her, to show her the way.
2775_160958_000062_000002	Only this time the table was laid for two.	Only this time the table was laid for two.
2775_160958_000063_000000	"Come, father dear," said Beauty, "take comfort.	"Come, father dear," said Beauty, "take comfort.
2775_160958_000063_000001	I do not think the Beast means to kill me, or surely he would not have given me such a good supper."	I do not think the Beast means to kill me, or surely he would not have given me such a good supper."
2775_160958_000064_000000	But the next moment the Beast came into the room.	But the next moment the Beast came into the room.
2775_160958_000065_000000	"Don't be frightened," said the Beast gently, "but tell me, do you come here of your own free will?"	"Don't be frightened," said the Beast gently, "but tell me, do you come here of your own free will?"
2775_160958_000066_000000	"Yes," said Beauty, trembling.	"Yes," said Beauty, trembling.
2775_160958_000068_000000	They went to bed and slept soundly, and the next morning the father departed, weeping bitterly.	They went to bed and slept soundly, and the next morning the father departed, weeping bitterly.
2775_160958_000069_000000	Beauty, left alone, tried not to feel frightened.	Beauty, left alone, tried not to feel frightened.
2775_160958_000070_000000	The most beautiful set of rooms in the palace had written over the doors, "Beauty's Rooms," and in them she found books and music, canary-birds and Persian cats, and everything that could be thought of to make the time pass pleasantly.	The most beautiful set of rooms in the palace had written over the doors, "Beauty's Rooms," and in them she found books and music, canary birds and Persian cats, and everything that could be thought of to make the time pass pleasantly.
2775_160958_000071_000000	"Oh, dear!" she said; "if only I could see my poor father I should be almost happy."	"Oh, dear!" she said; "if only I could see my poor father I should be almost happy."
2775_160958_000072_000000	As she spoke, she happened to look at a big mirror, and in it she saw the form of her father reflected, just riding up to the door of his cottage.	As she spoke, she happened to look at a big mirror, and in it she saw the form of her father reflected, just riding up to the door of his cottage.
2775_160958_000073_000000	That night, when Beauty sat down to supper, the Beast came in.	That night, when Beauty sat down to supper, the Beast came in.
2775_160958_000074_000000	"May I have supper with you?" said he.	"May I have supper with you?" said he.
2775_160958_000075_000000	"That must be as you please," said Beauty.	"That must be as you please," said Beauty.
2775_160958_000076_000000	So the Beast sat down to supper with her, and when it was finished, he said:	So the Beast sat down to supper with her, and when it was finished, he said:
2775_160958_000077_000000	"I am very ugly, Beauty, and I am very stupid, but I love you; will you marry me?"	"I am very ugly, Beauty, and I am very stupid, but I love you; will you marry me?"
2775_160958_000078_000000	"No, Beast," said Beauty gently.	"No, Beast," said Beauty gently.
2775_160958_000079_000000	The poor Beast sighed and went away.	The poor Beast sighed and went away.
2775_160958_000080_000000	And every night the same thing happened.	And every night the same thing happened.
2775_160958_000080_000001	He ate his supper with her, and then asked her if she would marry him.	He ate his supper with her, and then asked her if she would marry him.
2775_160958_000080_000002	And she always said, "No, Beast."	And she always said, "No, Beast."
2775_160958_000081_000000	All this time she was waited on by invisible hands, as though she had been a queen.	All this time she was waited on by invisible hands, as though she had been a queen.
2775_160958_000081_000001	Beautiful music came to her ears without her being able to see the musicians, but the magic looking-glass was best of all, for in it she could see whatever she wished.	Beautiful music came to her ears without her being able to see the musicians, but the magic looking glass was best of all, for in it she could see whatever she wished.
2775_160958_000081_000002	As the days went by, and her slightest wish was granted, almost before she knew what she wanted, she began to feel that the Beast must love her very dearly, and she was very sorry to see how sad he looked every night when she said "No" to his offer of marriage.	As the days went by, and her slightest wish was granted, almost before she knew what she wanted, she began to feel that the Beast must love her very dearly, and she was very sorry to see how sad he looked every night when she said "No" to his offer of marriage.
2775_160958_000082_000000	One day, she saw in her mirror that her father was ill, so that night she said to the Beast:	One day, she saw in her mirror that her father was ill, so that night she said to the Beast:
2775_160958_000083_000000	"Dear Beast, you are so good to me, will you let me go home to see my father?	"Dear Beast, you are so good to me, will you let me go home to see my father?
2775_160958_000083_000001	He is ill, and he thinks that I am dead.	He is ill, and he thinks that I am dead.
2775_160958_000083_000002	Do let me go and cheer him up, and I will promise faithfully to return to you."	Do let me go and cheer him up, and I will promise faithfully to return to you."
2775_160958_000086_000001	When she wanted to come back, she was to do the same thing.	When she wanted to come back, she was to do the same thing.
2775_160958_000089_000000	"I wish we had gone," said Marigold.	"I wish we had gone," said Marigold.
2775_160958_000091_000000	So Beauty, thinking it would amuse them to hear, told them, and their envy increased day by day.	So Beauty, thinking it would amuse them to hear, told them, and their envy increased day by day.
2775_160958_000091_000001	At last Dressalinda said to Marigold:	At last Dressalinda said to Marigold:
2775_160958_000092_000000	"She has promised to return in a week.	"She has promised to return in a week.
2775_160958_000092_000001	If we could only make her forget the day, the Beast might be angry and kill her, and then there would be a chance for us."	If we could only make her forget the day, the Beast might be angry and kill her, and then there would be a chance for us."
2775_160958_000093_000000	So on the day before she ought to have gone back, they put, some poppy juice in a cup of wine which they gave her, and this made her so sleepy that she slept for two whole days and nights.	So on the day before she ought to have gone back, they put, some poppy juice in a cup of wine which they gave her, and this made her so sleepy that she slept for two whole days and nights.
2775_160958_000093_000001	At the end of that time her sleep grew troubled, and she dreamed that She saw the Beast lying dead among the roses in the beautiful gardens of his palace; and from this dream she awoke crying bitterly.	At the end of that time her sleep grew troubled, and she dreamed that She saw the Beast lying dead among the roses in the beautiful gardens of his palace; and from this dream she awoke crying bitterly.
2775_160958_000095_000000	She did not know where his rooms in the palace were, but she felt she could not wait till supper-time before seeing him, so she ran hither and thither, calling his name.	She did not know where his rooms in the palace were, but she felt she could not wait till supper time before seeing him, so she ran hither and thither, calling his name.
2775_160958_000095_000001	But the palace was empty, and no one answered her when she called.	But the palace was empty, and no one answered her when she called.
2775_160958_000096_000000	Then she ran through the gardens, calling his name again and again, but still there was silence.	Then she ran through the gardens, calling his name again and again, but still there was silence.
2775_160958_000097_000000	"Oh! what shall I do if I cannot find him?" she said.	"Oh! what shall I do if I cannot find him?" she said.
2775_160958_000097_000001	"I shall never be happy again."	"I shall never be happy again."
2775_160958_000099_000000	Beauty flung herself on her knees beside him.	Beauty flung herself on her knees beside him.
2775_160958_000100_000000	"Oh, dear Beast," she cried, "and are you really dead?	"Oh, dear Beast," she cried, "and are you really dead?
2775_160958_000100_000001	Alas! alas! then I, too, will die, for I cannot live without you."	Alas! alas! then I, too, will die, for I cannot live without you."
2775_160958_000101_000000	Immediately the Beast opened his eyes, sighed, and said:	Immediately the Beast opened his eyes, sighed, and said:
2775_160958_000104_000000	"Yes, yes, dear Beast, for I love you dearly."	"Yes, yes, dear Beast, for I love you dearly."
2775_160958_000105_000001	He knelt at Beauty's feet and clasped her hands.	He knelt at Beauty's feet and clasped her hands.
2775_160958_000106_000000	"Dear Beauty," he said, "nothing but your love could have disenchanted me.	"Dear Beauty," he said, "nothing but your love could have disenchanted me.
2775_160958_000107_000000	So they returned to the palace, which by this time was crowded with courtiers, eager to kiss the hands of the Prince and his bride.	So they returned to the palace, which by this time was crowded with courtiers, eager to kiss the hands of the Prince and his bride.
2775_160958_000107_000001	And the Prince whispered to one of his attendants, who went out, and in a very little time came back with Beauty's father and sisters.	And the Prince whispered to one of his attendants, who went out, and in a very little time came back with Beauty's father and sisters.
2775_160958_000108_000001	But Beauty, happily married to her Prince, went secretly to the statues every day and wept over them.	But Beauty, happily married to her Prince, went secretly to the statues every day and wept over them.
2775_160958_000109_000000	And by her tears their stony hearts were softened, and they were changed into flesh and blood again, and were good and kind for the rest of their lives.	And by her tears their stony hearts were softened, and they were changed into flesh and blood again, and were good and kind for the rest of their lives.
