2775_160958_000000_000000	So now nothing was wanting to the happiness of the Prince and his bride as long as they lived.	So now nothing was wanting to the happiness of the Prince and his bride as long as they lived.	false	8.04	25.68	20.491474
2775_160958_000032_000000	And with that he tumbled into bed, and, being very tired, he went to sleep at once, and slept like a top till it was time to get up in the morning.	And with that he tumbled into bed, and, being very tired, he went to sleep at once, and slept like a top till it was time to get up in the morning.	true	330.2	338.83	23.711983
2775_160958_000033_000000	When he awoke he was quite surprised to find himself in such a soft and comfortable bed, but presently he remembered all that had happened to him.	When he awoke he was quite surprised to find himself in such a soft and comfortable bed, but presently he remembered all that had happened to him.	true	339.44	347.68	22
2775_160958_000034_000000	"I must be going," he said to himself, "but I wish I could thank my host for my good rest and my good supper."	"I must be going," he said to himself, "but I wish I could thank my host for my good rest and my good supper."	true	348.05	353.95	20
2775_160958_000035_000000	When he got out of bed he found he had something else to be grateful for, for on the chair by the bedside lay a fine suit of new clothes, marked with his name, and with ten gold pieces in every pocket.	When he got out of bed he found he had something else to be grateful for, for on the chair by the bedside lay a fine suit of new clothes, marked with his name, and with ten gold pieces in every pocket.	true	354.77	366.19	22
2775_160958_000035_000001	He felt quite a different man when he had put on the suit of blue and silver, and jingled the gold pieces of money in his pockets.	He felt quite a different man when he had put on the suit of blue and silver, and jingled the gold pieces of money in his pockets.	true	366.26	373.36	19
2775_160958_000036_000000	When he went downstairs, he found a good breakfast waiting for him in the little room where he had supped the night before, and when he had made a good meal, he thought he would go for a stroll in the garden.	When he went downstairs, he found a good breakfast waiting for him in the little room where he had supped the night before, and when he had made a good meal, he thought he would go for a stroll in the garden.	true	373.91	384.01	20
2775_160958_000037_000000	Down the marble steps he went, and when he came to the garden, he saw that it was full of roses, red and white and pink and yellow, and the merchant looked at them, and remembered Beauty's wish.	Down the marble steps he went, and when he came to the garden, he saw that it was full of roses, red and white and pink and yellow, and the merchant looked at them, and remembered Beauty's wish.	true	384.62	396.64	23.912294
2775_160958_000038_000000	"Oh, my poor daughters," he said, "what a disappointment it will be to them to know that my ship has not come home after all, but Beauty at any rate can have what she wanted."	"Oh, my poor daughters," he said, "what a disappointment it will be to them to know that my ship has not come home after all, but Beauty at any rate can have what she wanted."	false	397.1	406.9	23.197699
2775_160958_000039_000000	So he stretched out his hand and plucked the biggest red rose within his reach.	So he stretched out his hand and plucked the biggest red rose within his reach.	true	407.36	412.6	23.175037
2775_160958_000040_000000	As the stalk snapped in his fingers, he started back in terror, for he heard an angry roar, and the next minute a dreadful Beast sprang upon him.	As the stalk snapped in his fingers, he started back in terror, for he heard an angry roar, and the next minute a dreadful Beast sprang upon him.	true	413.39	423.16	23.62826
2775_160958_000040_000001	It was taller than any man, and uglier than any animal, but, what seemed most dreadful of all to the merchant, it spoke to him with a man's voice, after it had roared at him with the Beast's.	It was taller than any man, and uglier than any animal, but, what seemed most dreadful of all to the merchant, it spoke to him with a man's voice, after it had roared at him with the Beast's.	false	423.47	435.55	22.784752
2775_160958_000041_000000	"Ungrateful wretch!" said the Beast.	"Ungrateful wretch!" said the Beast.	true	436.07	438.69	25.801378
2775_160958_000041_000001	"Have I not fed you, lodged you, and clothed you, and now you must repay my hospitality by stealing the only thing I care for, my roses?"	"Have I not fed you, lodged you, and clothed you, and now you must repay my hospitality by stealing the only thing I care for, my roses?"	true	438.69	447.88	16
2775_160958_000042_000000	"Mercy! mercy!" cried the merchant.	"Mercy! mercy!" cried the merchant.	true	448.22	450.64	20.407495
2775_160958_000043_000000	"No," said the Beast, "you must die!"	"No," said the Beast, "you must die!"	true	450.86	453.58	20.796986
2775_160958_000043_000001	The poor merchant fell upon his knees and tried to think of something to say to soften the heart of the cruel Beast; and at last he said, "Sir, I only stole this rose because my youngest daughter asked me to bring her one.	The poor merchant fell upon his knees and tried to think of something to say to soften the heart of the cruel Beast; and at last he said, "Sir, I only stole this rose because my youngest daughter asked me to bring her one.	true	454.07	465.82	20
2775_160958_000043_000002	I did not think, after all you have given me, that you would grudge me a flower."	I did not think, after all you have given me, that you would grudge me a flower."	true	465.86	469.9	23
2775_160958_000044_000000	"Tell me about this daughter of yours," said the Beast suddenly.	"Tell me about this daughter of yours," said the Beast suddenly.	true	470.75	474.06	19.65995
2775_160958_000044_000001	"Is she a good girl?"	"Is she a good girl?"	true	474.06	475.24	26.346262
2775_160958_000045_000000	"The best and dearest in the world," said the old merchant.	"The best and dearest in the world," said the old merchant.	true	475.79	479.17	19.690998
2775_160958_000045_000001	And then he began to weep, to think that he must die and leave his Beauty alone in the world, with no one to be kind to her.	And then he began to weep, to think that he must die and leave his Beauty alone in the world, with no one to be kind to her.	true	479.33	485.8	17
2775_160958_000046_000000	"Oh!" he cried, "what will my poor children do without me?"	"Oh!" he cried, "what will my poor children do without me?"	true	486.2	490.54	20.799068
2775_160958_000047_000000	"You should have thought of that before you stole the rose," said the Beast.	"You should have thought of that before you stole the rose," said the Beast.	true	491.39	494.86	20.362024
2775_160958_000047_000001	"However, if one of your daughters loves you well enough to suffer instead of you, she may.	"However, if one of your daughters loves you well enough to suffer instead of you, she may.	true	495.02	499.96	17
2775_160958_000047_000002	Go back and tell them what has happened to you, but you must give me your promise that either you, or one of your daughters, shall be at my palace door in three months' time from to-day."	Go back and tell them what has happened to you, but you must give me your promise that either you, or one of your daughters, shall be at my palace door in three months' time from to day."	true	500.24	509.17	18
2775_160958_000048_000000	The wretched man promised.	The wretched man promised.	true	509.63	511.33	23.512354
2775_160958_000049_000000	"At any rate," he thought, "I shall have three months more of life."	"At any rate," he thought, "I shall have three months more of life."	true	511.52	515.08	23.89032
2775_160958_000050_000000	Then the Beast said, "I will not let you go empty-handed."	Then the Beast said, "I will not let you go empty handed."	true	515.87	519.13	23.71233
2775_160958_000051_000000	So the merchant followed him back into the palace.	So the merchant followed him back into the palace.	true	519.44	521.95	21.995611
2775_160958_000051_000001	There, on the floor of the hall, lay a great and beautiful chest of wrought silver.	There, on the floor of the hall, lay a great and beautiful chest of wrought silver.	true	522.11	527.29	22
2775_160958_000052_000000	"Fill this with any treasures that take your fancy," said the Beast.	"Fill this with any treasures that take your fancy," said the Beast.	false	527.63	531.25	22.357447
2775_160958_000053_000000	And the merchant filled it up with precious things from the Beast's treasure-house.	And the merchant filled it up with precious things from the Beast's treasure house.	true	531.32	535.36	24
2775_160958_000054_000000	"I will send it home for you," said the Beast, shutting down the lid.	"I will send it home for you," said the Beast, shutting down the lid.	true	535.67	539.17	21.780657
2775_160958_000055_000000	And so, with a heavy heart, the merchant went away; but as he went through the palace gate, the Beast called to him that he had forgotten Beauty's rose, and at the same time held out to him a large bunch of the very best.	And so, with a heavy heart, the merchant went away; but as he went through the palace gate, the Beast called to him that he had forgotten Beauty's rose, and at the same time held out to him a large bunch of the very best.	false	539.51	551.95	21.734543
2775_160958_000056_000000	The merchant put these into Beauty's hand when she ran to meet him at the door of their cottage.	The merchant put these into Beauty's hand when she ran to meet him at the door of their cottage.	true	552.68	557.38	21
2775_160958_000057_000000	"Take them, my child," he said, "and cherish them, for they have cost your poor father his life."	"Take them, my child," he said, "and cherish them, for they have cost your poor father his life."	true	557.9	564.22	22.63263
2775_160958_000058_000000	And with that he sat down and told them the whole story.	And with that he sat down and told them the whole story.	true	564.74	568.03	22
2775_160958_000058_000001	The two elder sisters wept and wailed, and of course blamed Beauty for all that had happened.	The two elder sisters wept and wailed, and of course blamed Beauty for all that had happened.	true	568.22	573.61	21.690739
2775_160958_000059_000000	"If it had not been for your wanting a rose, our father would have left the palace in safety, with his new suit and his gold pieces; but your foolishness has cost him his life."	"If it had not been for your wanting a rose, our father would have left the palace in safety, with his new suit and his gold pieces; but your foolishness has cost him his life."	false	574.1	584.08	24.053118
2775_160958_000060_000000	"No," said Beauty, "it is _my_ life that shall be sacrificed, for when the three months are over, I shall go to the Beast, and he may kill me if he will, but he shall never hurt my dear father."	"No," said Beauty, "it is underscore my underscore life that shall be sacrificed, for when the three months are over, I shall go to the Beast, and he may kill me if he will, but he shall never hurt my dear father."	false	584.66	594.91	20.816057
2775_160958_000061_000000	The father tried hard to persuade her not to go, but she had made up her mind, and at the end of the three months she set out for the Beast's palace.	The father tried hard to persuade her not to go, but she had made up her mind, and at the end of the three months she set out for the Beast's palace.	false	595.01	602.35	20
2775_160958_000062_000000	Her father went with her, to show her the way.	Her father went with her, to show her the way.	true	602.81	605.23	24.24721
2775_160958_000062_000001	As before, he saw the lights shining through the wood, knocked and rang in vain at the great gate, warmed himself at the fire in the big hall, and then found the little room with the supper on the table that made you hungry to look at.	As before, he saw the lights shining through the wood, knocked and rang in vain at the great gate, warmed himself at the fire in the big hall, and then found the little room with the supper on the table that made you hungry to look at.	false	605.24	617.98	23.190231
2775_160958_000062_000002	Only this time the table was laid for two.	Only this time the table was laid for two.	true	618.17	620.68	23.19826
2775_160958_000063_000000	"Come, father dear," said Beauty, "take comfort.	"Come, father dear," said Beauty, "take comfort.	true	621.56	624.54	24.02153
2775_160958_000063_000001	I do not think the Beast means to kill me, or surely he would not have given me such a good supper."	I do not think the Beast means to kill me, or surely he would not have given me such a good supper."	true	624.54	629.62	24.684933
2775_160958_000064_000000	But the next moment the Beast came into the room.	But the next moment the Beast came into the room.	true	630.11	632.53	24.149218
2775_160958_000064_000001	Beauty screamed and clung to her father.	Beauty screamed and clung to her father.	false	632.66	635.17	21.34948
2775_160958_000065_000000	"Don't be frightened," said the Beast gently, "but tell me, do you come here of your own free will?"	"Don't be frightened," said the Beast gently, "but tell me, do you come here of your own free will?"	true	635.6	641.23	22.292955
2775_160958_000066_000000	"Yes," said Beauty, trembling.	"Yes," said Beauty, trembling.	true	641.96	644.65	23.343393
2775_160958_000067_000000	"You are a good girl," said the Beast, and then, turning to the old man, he told him that he might sleep there for that night, but in the morning he must go and leave his daughter behind him.	"You are a good girl," said the Beast, and then, turning to the old man, he told him that he might sleep there for that night, but in the morning he must go and leave his daughter behind him.	false	645.02	654.85	21.964935
2775_160958_000068_000000	They went to bed and slept soundly, and the next morning the father departed, weeping bitterly.	They went to bed and slept soundly, and the next morning the father departed, weeping bitterly.	true	655.76	661.15	24.640198
2775_160958_000069_000000	Beauty, left alone, tried not to feel frightened.	Beauty, left alone, tried not to feel frightened.	true	661.64	664.81	23.265614
2775_160958_000069_000001	She ran here and there through the palace, and found it more beautiful than anything she had ever imagined.	She ran here and there through the palace, and found it more beautiful than anything she had ever imagined.	true	664.91	670.48	18
2775_160958_000070_000000	The most beautiful set of rooms in the palace had written over the doors, "Beauty's Rooms," and in them she found books and music, canary-birds and Persian cats, and everything that could be thought of to make the time pass pleasantly.	The most beautiful set of rooms in the palace had written over the doors, "Beauty's Rooms," and in them she found books and music, canary birds and Persian cats, and everything that could be thought of to make the time pass pleasantly.	true	670.79	684.16	22.248196
2775_160958_000071_000000	"Oh, dear!" she said; "if only I could see my poor father I should be almost happy."	"Oh, dear!" she said; "if only I could see my poor father I should be almost happy."	true	684.41	689.35	23
2775_160958_000072_000000	As she spoke, she happened to look at a big mirror, and in it she saw the form of her father reflected, just riding up to the door of his cottage.	As she spoke, she happened to look at a big mirror, and in it she saw the form of her father reflected, just riding up to the door of his cottage.	true	689.93	698.23	23.735123
2775_160958_000073_000000	That night, when Beauty sat down to supper, the Beast came in.	That night, when Beauty sat down to supper, the Beast came in.	true	698.69	702.28	24.032766
2775_160958_000074_000000	"May I have supper with you?" said he.	"May I have supper with you?" said he.	true	702.98	705.28	24.141422
2775_160958_000075_000000	"That must be as you please," said Beauty.	"That must be as you please," said Beauty.	true	705.53	708.01	26.873335
2775_160958_000076_000000	So the Beast sat down to supper with her, and when it was finished, he said:	So the Beast sat down to supper with her, and when it was finished, he said:	true	708.38	712.3	24
2775_160958_000077_000000	"I am very ugly, Beauty, and I am very stupid, but I love you; will you marry me?"	"I am very ugly, Beauty, and I am very stupid, but I love you; will you marry me?"	true	712.55	718.24	22.30951
2775_160958_000078_000000	"No, Beast," said Beauty gently.	"No, Beast," said Beauty gently.	true	718.91	721.54	27.653255
2775_160958_000079_000000	The poor Beast sighed and went away.	The poor Beast sighed and went away.	true	721.88	724	20.15299
2775_160958_000080_000000	And every night the same thing happened.	And every night the same thing happened.	true	724.52	726.7	29
2775_160958_000080_000001	He ate his supper with her, and then asked her if she would marry him.	He ate his supper with her, and then asked her if she would marry him.	true	726.95	730.57	20.109207
2775_160958_000080_000002	And she always said, "No, Beast."	And she always said, "No, Beast."	true	730.64	733.36	22.486763
2775_160958_000081_000000	All this time she was waited on by invisible hands, as though she had been a queen.	All this time she was waited on by invisible hands, as though she had been a queen.	true	734.03	739.03	20.56635
2775_160958_000081_000001	Beautiful music came to her ears without her being able to see the musicians, but the magic looking-glass was best of all, for in it she could see whatever she wished.	Beautiful music came to her ears without her being able to see the musicians, but the magic looking glass was best of all, for in it she could see whatever she wished.	true	739.4	748.9	22.021593
2775_160958_000081_000002	As the days went by, and her slightest wish was granted, almost before she knew what she wanted, she began to feel that the Beast must love her very dearly, and she was very sorry to see how sad he looked every night when she said "No" to his offer of marriage.	As the days went by, and her slightest wish was granted, almost before she knew what she wanted, she began to feel that the Beast must love her very dearly, and she was very sorry to see how sad he looked every night when she said "No" to his offer of marriage.	true	749.09	763.6	20
2775_160958_000082_000000	One day, she saw in her mirror that her father was ill, so that night she said to the Beast:	One day, she saw in her mirror that her father was ill, so that night she said to the Beast:	true	764.39	769.87	21.35312
2775_160958_000083_000000	"Dear Beast, you are so good to me, will you let me go home to see my father?	"Dear Beast, you are so good to me, will you let me go home to see my father?	true	770.21	774.64	24.228205
2775_160958_000083_000001	He is ill, and he thinks that I am dead.	He is ill, and he thinks that I am dead.	true	774.74	777.07	21.756018
2775_160958_000083_000002	Do let me go and cheer him up, and I will promise faithfully to return to you."	Do let me go and cheer him up, and I will promise faithfully to return to you."	true	777.32	781.39	21
2775_160958_000084_000000	"Very well," said the Beast kindly, "but don't stay away more than a week, for if you do, I shall die of grief, because I love you so dearly."	"Very well," said the Beast kindly, "but don't stay away more than a week, for if you do, I shall die of grief, because I love you so dearly."	true	782.12	790.3	19.228577
2775_160958_000085_000000	"How shall I reach home?" said Beauty; "I do not know the way."	"How shall I reach home?" said Beauty; "I do not know the way."	false	791.03	794.47	24.081821
2775_160958_000086_000000	Then the Beast gave her a ring, and told her to put it on her finger when she went to bed, turn the ruby towards the palm of her hand, and then she would wake up in her father's cottage.	Then the Beast gave her a ring, and told her to put it on her finger when she went to bed, turn the ruby towards the palm of her hand, and then she would wake up in her father's cottage.	false	795.62	805.06	24.766108
2775_160958_000086_000001	When she wanted to come back, she was to do the same thing.	When she wanted to come back, she was to do the same thing.	true	805.22	808.09	24
2775_160958_000087_000000	So in the morning, when she awoke, she found herself at her father's house, and the old man was beside himself with joy to see her safe and sound.	So in the morning, when she awoke, she found herself at her father's house, and the old man was beside himself with joy to see her safe and sound.	true	808.34	816.52	17.27096
2775_160958_000088_000000	But her sisters did not welcome her very kindly, and when they heard how kind the Beast was to her, they envied her her good luck in living in a beautiful palace, whilst they had to be content with a cottage.	But her sisters did not welcome her very kindly, and when they heard how kind the Beast was to her, they envied her her good luck in living in a beautiful palace, whilst they had to be content with a cottage.	false	816.92	827.89	19
2775_160958_000089_000000	"I wish we had gone," said Marigold.	"I wish we had gone," said Marigold.	true	828.2	830.625	21.28917
2775_160958_000089_000001	"Beauty always gets the best of everything."	"Beauty always gets the best of everything."	true	830.625	832.96	19.74489
2775_160958_000090_000000	"Tell us all about your grand palace," said Dressalinda, "and what you do, and how you spend your time."	"Tell us all about your grand palace," said Dressalinda, "and what you do, and how you spend your time."	false	833.18	838.87	22
2775_160958_000091_000000	So Beauty, thinking it would amuse them to hear, told them, and their envy increased day by day.	So Beauty, thinking it would amuse them to hear, told them, and their envy increased day by day.	true	839.54	845.44	23.76422
2775_160958_000091_000001	At last Dressalinda said to Marigold:	At last Dressalinda said to Marigold:	true	845.78	848.1	20
2775_160958_000092_000000	"She has promised to return in a week.	"She has promised to return in a week.	true	848.1	850.38	22.556423
2775_160958_000092_000001	If we could only make her forget the day, the Beast might be angry and kill her, and then there would be a chance for us."	If we could only make her forget the day, the Beast might be angry and kill her, and then there would be a chance for us."	true	850.38	856.51	25.347437
2775_160958_000093_000000	So on the day before she ought to have gone back, they put, some poppy juice in a cup of wine which they gave her, and this made her so sleepy that she slept for two whole days and nights.	So on the day before she ought to have gone back, they put, some poppy juice in a cup of wine which they gave her, and this made her so sleepy that she slept for two whole days and nights.	true	857	866.86	24.924461
2775_160958_000093_000001	At the end of that time her sleep grew troubled, and she dreamed that She saw the Beast lying dead among the roses in the beautiful gardens of his palace; and from this dream she awoke crying bitterly.	At the end of that time her sleep grew troubled, and she dreamed that She saw the Beast lying dead among the roses in the beautiful gardens of his palace; and from this dream she awoke crying bitterly.	true	867.02	877.84	20
2775_160958_000094_000000	Although she did not know that a week and two days had gone by since she left the Beast, yet after that dream she at once turned the ruby towards her palm, and the next morning there she was, sure enough, in her bed in the Beast's palace.	Although she did not know that a week and two days had gone by since she left the Beast, yet after that dream she at once turned the ruby towards her palm, and the next morning there she was, sure enough, in her bed in the Beast's palace.	false	878.33	890.65	22
2775_160958_000095_000000	She did not know where his rooms in the palace were, but she felt she could not wait till supper-time before seeing him, so she ran hither and thither, calling his name.	She did not know where his rooms in the palace were, but she felt she could not wait till supper time before seeing him, so she ran hither and thither, calling his name.	true	891.23	900.04	21.969042
2775_160958_000095_000001	But the palace was empty, and no one answered her when she called.	But the palace was empty, and no one answered her when she called.	true	900.29	904.03	23.977394
2775_160958_000096_000000	Then she ran through the gardens, calling his name again and again, but still there was silence.	Then she ran through the gardens, calling his name again and again, but still there was silence.	true	904.61	910.3	23.989437
2775_160958_000097_000000	"Oh! what shall I do if I cannot find him?" she said.	"Oh! what shall I do if I cannot find him?" she said.	true	910.88	914.26	21.945965
2775_160958_000097_000001	"I shall never be happy again."	"I shall never be happy again."	true	914.27	916.24	23.445572
2775_160958_000098_000000	Then she remembered her dream, and ran to the rose garden, and there, sure enough, beside the basin of the big fountain, lay the poor Beast without any sign of life in him.	Then she remembered her dream, and ran to the rose garden, and there, sure enough, beside the basin of the big fountain, lay the poor Beast without any sign of life in him.	false	916.79	927.9	21.448793
2775_160958_000099_000000	Beauty flung herself on her knees beside him.	Beauty flung herself on her knees beside him.	true	927.9	930.4	20.797146
