1851_151817_000000_000000	"Found what, uncle Phaeton?" asked Waldo, a bit doubtfully.	"Found what, uncle Phaeton?" asked Waldo, a bit doubtfully.	false	0	4.53	23.38592
1851_151817_000019_000000	"Time enough, lad, time enough, since we are going to land," coolly assured the professor, deftly manipulating the steering-gear and still curying around those tree-crowned hills.	"Time enough, lad, time enough, since we are going to land," coolly assured the professor, deftly manipulating the steering gear and still curying around those tree crowned hills.	true	210.86	221.44	20
1851_151817_000019_000001	"If we are really hunted after, 'twill naturally be in the quarter of our vanishment, while by alighting around yonder, nearly at right angles with our initial approach, we will have naught to fear from the--the Aztecan clans!"	"If we are really hunted after, 'twill naturally be in the quarter of our vanishment, while by alighting around yonder, nearly at right angles with our initial approach, we will have naught to fear from the-the Aztecan clans!"	false	222.2	235.72	17
1851_151817_000020_000000	Clearly the professor had settled in his own mind just what lay before them, and nothing short of the Lost City of the Aztecs would come anywhere near satisfying that exalted ideal.	Clearly the professor had settled in his own mind just what lay before them, and nothing short of the Lost City of the Aztecs would come anywhere near satisfying that exalted ideal.	true	237.32	247.9	18
1851_151817_000020_000001	And, taking all points into full consideration, was there anything so very absurd in his method of reasoning, or of drawing a deduction?	And, taking all points into full consideration, was there anything so very absurd in his method of reasoning, or of drawing a deduction?	true	248.33	256.33	16
1851_151817_000021_000000	Still, that exaltation did not prevent uncle Phaeton from taking all essential precautions, and it was only when an especially secure landing-place was sighted that he really attempted to touch the earth.	Still, that exaltation did not prevent uncle Phaeton from taking all essential precautions, and it was only when an especially secure landing place was sighted that he really attempted to touch the earth.	false	257.15	269.77	20
1851_151817_000022_000000	Fully one-half of that wide circuit had been made, and as nothing could be detected to give birth to fears for either self or air-ship, the aeronauts skilfully landed their vessel with only the slightest of jars.	Fully one half of that wide circuit had been made, and as nothing could be detected to give birth to fears for either self or air ship, the aeronauts skilfully landed their vessel with only the slightest of jars.	true	270.11	282.46	19
1851_151817_000022_000001	It was a well-screened location, where naught could be seen of the flying-machine until close at hand, yet so arranged as to make a hasty flight a very easy matter should the occasion ever arise.	It was a well screened location, where naught could be seen of the flying machine until close at hand, yet so arranged as to make a hasty flight a very easy matter should the occasion ever arise.	true	282.86	295.03	17
1851_151817_000023_000000	Not until the landing was effected and all made secure, did Professor Featherwit speak again.	Not until the landing was effected and all made secure, did Professor Featherwit speak again.	true	295.73	301.24	18
1851_151817_000023_000001	Then it was with gravely earnest speech which suitably affected his nephews.	Then it was with gravely earnest speech which suitably affected his nephews.	true	301.49	306.19	22.551027
1851_151817_000024_000000	"Above all things, my dear lads, bear ever in mind this one fact,--we are not here to fight.	"Above all things, my dear lads, bear ever in mind this one fact,--we are not here to fight.	false	306.98	313	22.003931
1851_151817_000024_000001	We do not come as conquerors, weapons in hand, hearts filled with lust of blood.	We do not come as conquerors, weapons in hand, hearts filled with lust of blood.	true	313.01	318.03	22
1851_151817_000024_000002	To the contrary, we are on a peaceful mission, hoping to learn, trusting to enlighten, with malice towards none, but honest love for all those who may wear the human shape, be they of our own colour or--or--otherwise."	To the contrary, we are on a peaceful mission, hoping to learn, trusting to enlighten, with malice towards none, but honest love for all those who may wear the human shape, be they of our own colour or-or-otherwise."	true	318.03	332.38	22.558298
1851_151817_000025_000000	"That's what's the matter with Hannah's cat!" cheerfully chipped in the irrepressible Waldo.	"That's what's the matter with Hannah's cat!" cheerfully chipped in the irrepressible Waldo.	true	333.56	339.49	21.728989
1851_151817_000025_000001	"I say, uncle Phaeton, is it just a lie-low here until yonder fellows grow tired of looking for what they can't find, then a flight on our part; or will we--"	"I say, uncle Phaeton, is it just a lie low here until yonder fellows grow tired of looking for what they can't find, then a flight on our part; or will we-"	true	339.8	348.52	20
1851_151817_000026_000000	"Have we voyaged so far and seen so much, to rest content with so very little?" exclaimed the professor, hardly as precise of speech as under ordinary conditions.	"Have we voyaged so far and seen so much, to rest content with so very little?" exclaimed the professor, hardly as precise of speech as under ordinary conditions.	true	349.82	360.52	21.197441
1851_151817_000026_000001	"No, no, my lads!	"No, no, my lads!	true	360.95	362.475	15.315783
1851_151817_000026_000002	Yonder lies the greatest discovery of the nineteenth century, and we are--Get a hustle on, boys! The day is waning, and with so much to see, to study, to--Come, I say!"	Yonder lies the greatest discovery of the nineteenth century, and we are-Get a hustle on, boys! The day is waning, and with so much to see, to study, to-Come, I say!"	true	362.475	372.43	20
1851_151817_000027_000000	In spite of his initial attempt to impress his nephews with a due sense of the heavy responsibilities which rested upon them, Phaeton Featherwit was far more excited than either one of the brothers.	In spite of his initial attempt to impress his nephews with a due sense of the heavy responsibilities which rested upon them, Phaeton Featherwit was far more excited than either one of the brothers.	true	373.97	385.09	16
1851_151817_000027_000001	Doubtless he more nearly appreciated the importance of this wondrous discovery, provided his now firm belief was correct,--that yonder stood a solid, substantial city, erected by the hands of a people whom common consent had agreed were long since wiped out of existence.	Doubtless he more nearly appreciated the importance of this wondrous discovery, provided his now firm belief was correct,--that yonder stood a solid, substantial city, erected by the hands of a people whom common consent had agreed were long since wiped out of existence.	true	385.52	402.91	16
1851_151817_000028_000000	The story told by Cooper Edgecombe, backed up by the articles taken from the person of the warrior whom he had slain in self-defence, certainly had its weight; while the brief and imperfect glimpse which he had won of yonder valley helped to bear out that astounding belief.	The story told by Cooper Edgecombe, backed up by the articles taken from the person of the warrior whom he had slain in self defence, certainly had its weight; while the brief and imperfect glimpse which he had won of yonder valley helped to bear out that astounding belief.	true	404.6	421.545	20
1851_151817_000028_000001	And yet, how could it be true?	And yet, how could it be true?	true	421.545	423.34	17
1851_151817_000029_000000	Really believing, yet forced by more sober reason to doubt, the poor professor was literally "in a sweat" long ere another view could be won of the depressed valley, although the landing of the air-ship was so well chosen as to make that trip of the briefest duration consistent with prudence.	Really believing, yet forced by more sober reason to doubt, the poor professor was literally "in a sweat" long ere another view could be won of the depressed valley, although the landing of the air ship was so well chosen as to make that trip of the briefest duration consistent with prudence.	true	424.49	442.99	17
1851_151817_000030_000000	The natural obstacles were considerable, however, and as they picked their way along, the brothers for the first time began to gain a fairly accurate idea of what was meant by the term, a virgin forest.	The natural obstacles were considerable, however, and as they picked their way along, the brothers for the first time began to gain a fairly accurate idea of what was meant by the term, a virgin forest.	true	443.96	458.11	18
1851_151817_000031_000000	To all seeming, the human foot had never ventured here, nor were any marks or spoor of wild beasts perceptible on either side.	To all seeming, the human foot had never ventured here, nor were any marks or spoor of wild beasts perceptible on either side.	true	459.71	469	19
1851_151817_000032_000000	Although the aerostat had landed not far below the crest of those hills, the adventurers had to climb higher, before winning the coveted view, partly because the most practicable route led down into and along a winding gulch, where the footing was far less treacherous than upon the higher ground, cumbered, as that was, with the leaf-mould of centuries.	Although the aerostat had landed not far below the crest of those hills, the adventurers had to climb higher, before winning the coveted view, partly because the most practicable route led down into and along a winding gulch, where the footing was far less treacherous than upon the higher ground, cumbered, as that was, with the leaf mould of centuries.	false	469.61	492.28	16
1851_151817_000033_000000	Still, half an hour's steady labour brought the little squad to the coveted point, and once again Professor Featherwit was almost literally stricken speechless,--for there, far below their present location, spread out in level expanse, lay the secret valley with all its marvels.	Still, half an hour's steady labour brought the little squad to the coveted point, and once again Professor Featherwit was almost literally stricken speechless,--for there, far below their present location, spread out in level expanse, lay the secret valley with all its marvels.	true	493.07	512.65	23
1851_151817_000034_000000	Far more extensive than it had appeared by that initial glimpse, the valley itself seemed composed of fertile soil, yet, by aid of the river which cut through, near its centre, irrigating ditches conveyed water to every acre, thus ensuring bounteous crops of grain and of fruit as well.	Far more extensive than it had appeared by that initial glimpse, the valley itself seemed composed of fertile soil, yet, by aid of the river which cut through, near its centre, irrigating ditches conveyed water to every acre, thus ensuring bounteous crops of grain and of fruit as well.	false	514.34	533.14	20
1851_151817_000035_000000	Numerous buildings stood in irregular array, for the most part of no great height, nor with many pretensions towards architectural beauty or grace of outline; but in the centre of the valley upreared its head a massive structure, pyramidal in shape, consisting of five comparatively narrow terraces, connected one with another only at each of the four corners, where stood a wide-stepped flight of stones.	Numerous buildings stood in irregular array, for the most part of no great height, nor with many pretensions towards architectural beauty or grace of outline; but in the centre of the valley upreared its head a massive structure, pyramidal in shape, consisting of five comparatively narrow terraces, connected one with another only at each of the four corners, where stood a wide stepped flight of stones.	true	533.87	562.45	20
1851_151817_000036_000000	"Behold!" huskily gasped the professor, intensely excited, yet still able to control the field-glass through which he was eagerly scanning yonder marvels.	"Behold!" huskily gasped the professor, intensely excited, yet still able to control the field glass through which he was eagerly scanning yonder marvels.	true	563.78	574.81	21.8677
1851_151817_000036_000001	"The temple of the gods!	"The temple of the gods!	true	575.15	576.73	17.397263
1851_151817_000036_000002	And, yonder, the temple of sacrifice, unless my memory is--and look!	And, yonder, the temple of sacrifice, unless my memory is-and look!	true	576.77	581.325	20.529121
1851_151817_000036_000003	The people are--they wear just such garb as--Oh, marvellous!	The people are-they wear just such garb as-Oh, marvellous!	true	581.325	586.245	22.776823
1851_151817_000036_000004	Amazing!	Amazing!	true	586.245	587.205	19.846537
1851_151817_000036_000005	Astounding!	Astounding!	true	587.205	588.3	22.565647
1851_151817_000036_000006	Incredible--yet true!"	Incredible-yet true!"	true	588.3	590.11	24.443813
1851_151817_000037_000000	Although their uncle could thus take in the various details to better advantage, still the intervening distance was not so great as to entirely debar the brothers from finding no little to interest them, as was readily proven by their various exclamations.	Although their uncle could thus take in the various details to better advantage, still the intervening distance was not so great as to entirely debar the brothers from finding no little to interest them, as was readily proven by their various exclamations.	true	592.19	607.75	17
1851_151817_000038_000000	"Just look at the people, will ye, now?	"Just look at the people, will ye, now?	false	608.81	610.9	29.63736
1851_151817_000038_000001	Flopping around like they hadn't any bigger business than to--Reckon they're looking for us to come back, Bruno?"	Flopping around like they hadn't any bigger business than to-Reckon they're looking for us to come back, Bruno?"	true	610.94	616.39	21
1851_151817_000039_000000	"Or watching for the monster bird of prey, rather," suggested the elder Gillespie.	"Or watching for the monster bird of prey, rather," suggested the elder Gillespie.	true	617.18	622.57	21.769142
1851_151817_000039_000001	"Of course they couldn't distinguish our faces, and our bodies were fairly well hidden.	"Of course they couldn't distinguish our faces, and our bodies were fairly well hidden.	true	622.67	626.83	14
1851_151817_000039_000002	And, even more, of course, they must be totally ignorant of all such things as flying-machines and the like."	And, even more, of course, they must be totally ignorant of all such things as flying machines and the like."	true	627.02	632.44	16
1851_151817_000040_000000	"Poor, ignorant devils!" sympathetically sighed the youngster.	"Poor, ignorant devils!" sympathetically sighed the youngster.	true	633.98	638.44	21.018051
1851_151817_000040_000001	"Well, we'll have to do a little missionary work in this quarter, before taking our departure, eh, uncle Phaeton?"	"Well, we'll have to do a little missionary work in this quarter, before taking our departure, eh, uncle Phaeton?"	true	638.69	644.41	23.319221
1851_151817_000041_000000	With a start, Featherwit descended out of the clouds in which he had been lost ever since winning a fair view of the secret city; and now, rallying his wits and fairly aglow with eager interest in this marvellous discovery, he began pointing out the various objects of special importance, naming them with glib assurance, then reminding the boys how wonderfully similar all was to what had existed in Old Mexico before the conquest.	With a start, Featherwit descended out of the clouds in which he had been lost ever since winning a fair view of the secret city; and now, rallying his wits and fairly aglow with eager interest in this marvellous discovery, he began pointing out the various objects of special importance, naming them with glib assurance, then reminding the boys how wonderfully similar all was to what had existed in Old Mexico before the conquest.	false	646.13	673.54	17
1851_151817_000042_000000	Bruno listened with greater interest than his brother could summon at will.	Bruno listened with greater interest than his brother could summon at will.	true	674.24	678.43	22
1851_151817_000042_000001	For one thing, he had long been a lover of the genial Prescott, and, now that his memory was freshened in part, was able to closely follow the course of that little lecture, noting each strong point made by the professor in bolstering up his delightful theory.	For one thing, he had long been a lover of the genial Prescott, and, now that his memory was freshened in part, was able to closely follow the course of that little lecture, noting each strong point made by the professor in bolstering up his delightful theory.	true	678.59	695.8	21
1851_151817_000043_000000	That monologue, however, was abruptly broken in upon by Waldo, who gave an eager exclamation, as he reached forth a pointing finger:	That monologue, however, was abruptly broken in upon by Waldo, who gave an eager exclamation, as he reached forth a pointing finger:	true	696.71	705.94	19
1851_151817_000044_000000	"Look!	"Look!	true	706.4	707.2	29.79867
1851_151817_000044_000001	There's a white woman yonder,--two of 'em, in fact!"	There's a white woman yonder,--two of 'em, in fact!"	true	707.3	711.78	18.598103
1851_151817_000045_000000	CHAPTER XVI.	CHAPTER sixteen.	false	711.78	712.05	-20
1851_151817_000045_000001	CAN IT BE TRUE?	CAN IT BE TRUE?	false	712.05	712.62	-20
1851_151817_000046_000000	That announcement came with all the force of a bolt from the blue, and even the professor dropped his glasses with a gasp of amazement, while Bruno would have leaped to his feet, only for the hasty grab which his brother made at the tail of his coat.	That announcement came with all the force of a bolt from the blue, and even the professor dropped his glasses with a gasp of amazement, while Bruno would have leaped to his feet, only for the hasty grab which his brother made at the tail of his coat.	false	712.62	721.35	17.210596
