4744_4158_000000_000000	CHAPTER XXIII	CHAPTER twenty three	false	0.96	17.08	20.592459
4744_4158_000004_000006	What would have been his feelings had he known this, and also known that his two daughters, Ellen and Jane, were his slaves?	What would have been his feelings had he known this, and also known that his two daughters, Ellen and Jane, were his slaves?	false	242.36	249.22	19.679907
4744_4158_000004_000007	Yet such was the fact.	Yet such was the fact.	true	249.68	251.2	21.015558
4744_4158_000004_000008	After the disappearance of the disease with which Henry Morton had so suddenly been removed, his brother went to New Orleans to give what aid he could in settling up the affairs.	After the disappearance of the disease with which Henry Morton had so suddenly been removed, his brother went to New Orleans to give what aid he could in settling up the affairs.	false	251.45	261.19	19.606236
4744_4158_000004_000009	James Morton, on his arrival in New Orleans, felt proud of his nieces, and promised them a home with his own family in Vermont; little dreaming that his brother had married a slave woman, and that his nieces were slaves.	james Morton, on his arrival in New Orleans, felt proud of his nieces, and promised them a home with his own family in Vermont; little dreaming that his brother had married a slave woman, and that his nieces were slaves.	true	261.83	274.39	19.16657
4744_4158_000004_000010	The girls themselves had never heard that their mother had been a slave, and therefore knew nothing of the danger hanging over their heads.	The girls themselves had never heard that their mother had been a slave, and therefore knew nothing of the danger hanging over their heads.	true	275	281.56	20.234604
4744_4158_000004_000011	An inventory of the property was made out by James Morton, and placed in the hands of the creditors; and the young ladies, with their uncle, were about leaving the city to reside for a few days on the banks of Lake Pontchartrain, where they could enjoy a fresh air that the city could not afford.	An inventory of the property was made out by james Morton, and placed in the hands of the creditors; and the young ladies, with their uncle, were about leaving the city to reside for a few days on the banks of Lake Pontchartrain, where they could enjoy a fresh air that the city could not afford.	true	281.96	297.79	21.027851
4744_4158_000004_000012	But just as they were about taking the train, an officer arrested the whole party; the young ladies as slaves, and the uncle upon the charge of attempting to conceal the property of his deceased brother.	But just as they were about taking the train, an officer arrested the whole party; the young ladies as slaves, and the uncle upon the charge of attempting to conceal the property of his deceased brother.	true	298.1	309.04	21.226728
4744_4158_000004_000013	Morton was overwhelmed with horror at the idea of his nieces being claimed as slaves, and asked for time, that he might save them from such a fate.	Morton was overwhelmed with horror at the idea of his nieces being claimed as slaves, and asked for time, that he might save them from such a fate.	true	310.04	318.79	20.706337
4744_4158_000004_000014	He even offered to mortgage his little farm in Vermont for the amount which young slave women of their ages would fetch.	He even offered to mortgage his little farm in Vermont for the amount which young slave women of their ages would fetch.	true	319.13	324.94	21.346361
4744_4158_000004_000015	But the creditors pleaded that they were "an extra article," and would sell for more than common slaves; and must, therefore, be sold at auction.	But the creditors pleaded that they were "an extra article," and would sell for more than common slaves; and must, therefore, be sold at auction.	true	325.52	333.31	21.826843
4744_4158_000004_000016	They were given up, but neither ate nor slept, nor separated from each other, till they were taken into the New Orleans slave market, where they were offered to the highest bidder.	They were given up, but neither ate nor slept, nor separated from each other, till they were taken into the New Orleans slave market, where they were offered to the highest bidder.	true	333.92	343.54	21.138456
4744_4158_000004_000017	There they stood, trembling, blushing, and weeping; compelled to listen to the grossest language, and shrinking from the rude hands that examined the graceful proportions of their beautiful frames.	There they stood, trembling, blushing, and weeping; compelled to listen to the grossest language, and shrinking from the rude hands that examined the graceful proportions of their beautiful frames.	false	344.24	354.1	19.44213
4744_4158_000005_000000	After a fierce contest between the bidders, the young ladies were sold, one for 2,300 dollars, and the other for 3,000 dollars.	After a fierce contest between the bidders, the young ladies were sold, one for two thousand three hundred dollars, and the other for three thousand dollars.	true	354.71	363.58	19.6513
4744_4158_000005_000001	We need not add that had those young girls been sold for mere house servants or field hands, they would not have brought one half the sums they did.	We need not add that had those young girls been sold for mere house servants or field hands, they would not have brought one half the sums they did.	true	364.16	372.64	20.050026
4744_4158_000005_000002	The fact that they were the grand-daughters of Thomas Jefferson, no doubt, increased their value in the market. Here were two of the softer sex, accustomed to the fondest indulgence, surrounded by all the refinements of life, and with all the timidity that such a life could produce, bartered away like cattle in Smithfield market.	The fact that they were the grand daughters of Thomas Jefferson, no doubt, increased their value in the market. Here were two of the softer sex, accustomed to the fondest indulgence, surrounded by all the refinements of life, and with all the timidity that such a life could produce, bartered away like cattle in Smithfield market.	false	372.89	392.11	20.667902
4744_4158_000005_000003	Ellen, the eldest, was sold to an old gentleman, who purchased her, as he said, for a housekeeper.	Ellen, the eldest, was sold to an old gentleman, who purchased her, as he said, for a housekeeper.	true	392.72	399.34	21.359333
4744_4158_000005_000004	The girl was taken to his residence, nine miles from the city.	The girl was taken to his residence, nine miles from the city.	true	399.83	403.3	19.104618
4744_4158_000005_000005	She soon, however, knew for what purpose she had been bought; and an educated and cultivated mind and taste, which made her see and understand how great was her degradation, now armed her hand with the ready means of death.	She soon, however, knew for what purpose she had been bought; and an educated and cultivated mind and taste, which made her see and understand how great was her degradation, now armed her hand with the ready means of death.	true	403.79	417.04	19.74757
4744_4158_000005_000006	The morning after her arrival, she was found in her chamber, a corpse.	The morning after her arrival, she was found in her chamber, a corpse.	true	417.47	421.51	19.416939
4744_4158_000005_000007	She had taken poison.	She had taken poison.	true	421.67	423.16	21.218218
4744_4158_000005_000008	Jane was purchased by a dashing young man, who had just come into the possession of a large fortune.	Jane was purchased by a dashing young man, who had just come into the possession of a large fortune.	true	423.8	429.28	21.00358
4744_4158_000005_000009	The very appearance of the young Southerner pointed him out as an unprincipled profligate; and the young girl needed no one to tell her of her impending doom.	The very appearance of the young Southerner pointed him out as an unprincipled profligate; and the young girl needed no one to tell her of her impending doom.	true	429.59	438.97	19.34685
4744_4158_000005_000010	The young maid of fifteen was immediately removed to his country seat, near the junction of the Mississippi river with the sea.	The young maid of fifteen was immediately removed to his country seat, near the junction of the Mississippi river with the sea.	true	439.4	446.08	19.470398
4744_4158_000005_000011	This was a most singular spot, remote, in a dense forest spreading over the summit of a cliff that rose abruptly to a great height above the sea; but so grand in its situation, in the desolate sublimity which reigned around, in the reverential murmur of the waves that washed its base, that, though picturesque, it was a forest prison.	This was a most singular spot, remote, in a dense forest spreading over the summit of a cliff that rose abruptly to a great height above the sea; but so grand in its situation, in the desolate sublimity which reigned around, in the reverential murmur of the waves that washed its base, that, though picturesque, it was a forest prison.	true	446.93	467.68	20.886593
4744_4158_000005_000012	Here the young lady saw no one, except an old Negress who acted as her servant.	Here the young lady saw no one, except an old Negress who acted as her servant.	false	468.08	472.66	21.234997
4744_4158_000005_000013	The smiles with which the young man met her were indignantly spurned. But she was the property of another, and could hope for justice and mercy only through him.	The smiles with which the young man met her were indignantly spurned. But she was the property of another, and could hope for justice and mercy only through him.	false	472.94	482.59	20.660444
4744_4158_000006_000000	Jane, though only in her fifteenth year, had become strongly attached to Volney Lapuc, a young Frenchman, a student in her father's office.	Jane, though only in her fifteenth year, had become strongly attached to Volney Lapuc, a young Frenchman, a student in her father's office.	false	483.29	491.8	20.396389
4744_4158_000006_000001	The poverty of the young man, and the youthful age of the girl, had caused their feelings to be kept from the young lady's parents.	The poverty of the young man, and the youthful age of the girl, had caused their feelings to be kept from the young lady's parents.	true	492.26	499.03	21.498945
4744_4158_000006_000002	At the death of his master, Volney had returned to his widowed mother at Mobile, and knew nothing of the misfortune that had befallen his mistress, until he received a letter from her.	At the death of his master, Volney had returned to his widowed mother at Mobile, and knew nothing of the misfortune that had befallen his mistress, until he received a letter from her.	true	499.4	509.86	20.150257
4744_4158_000006_000003	But how could he ever obtain a sight of her, even if he wished, locked up as she was in her master's mansion? After several days of what her master termed "obstinacy" on her part, the young girl was placed in an upper chamber, and told that that would be her home, until she should yield to her master's wishes.	But how could he ever obtain a sight of her, even if he wished, locked up as she was in her master's mansion? After several days of what her master termed "obstinacy" on her part, the young girl was placed in an upper chamber, and told that that would be her home, until she should yield to her master's wishes.	false	510.26	529.39	19.898169
4744_4158_000006_000004	There she remained more than a fortnight, and with the exception of a daily visit from her master, she saw no one but the old Negress who waited upon her.	There she remained more than a fortnight, and with the exception of a daily visit from her master, she saw no one but the old Negress who waited upon her.	true	530.12	538.54	20.131166
4744_4158_000006_000005	One bright moonlight evening as she was seated at the window, she perceived the figure of a man beneath her window.	One bright moonlight evening as she was seated at the window, she perceived the figure of a man beneath her window.	true	539.12	545.56	20.325287
4744_4158_000006_000006	At first, she thought it was her master; but the tall figure of the stranger soon convinced her that it was another.	At first, she thought it was her master; but the tall figure of the stranger soon convinced her that it was another.	true	545.99	552.16	19.469313
4744_4158_000006_000007	Yes, it was Volney!	Yes, it was Volney!	true	552.56	553.9	19.948635
4744_4158_000006_000008	He had no sooner received her letter, than he set out for New Orleans; and finding on his arrival there, that his mistress had been taken away, resolved to follow her.	He had no sooner received her letter, than he set out for New Orleans; and finding on his arrival there, that his mistress had been taken away, resolved to follow her.	true	554.09	564.46	20.140335
4744_4158_000006_000009	There he was; but how could she communicate with him?	There he was; but how could she communicate with him?	true	564.83	567.85	19.662767
4744_4158_000006_000010	She dared not trust the old Negress with her secret, for fear that it might reach her master.	She dared not trust the old Negress with her secret, for fear that it might reach her master.	true	567.92	573.04	21.513535
4744_4158_000006_000011	Jane wrote a hasty note and threw it out of the window, which was eagerly picked up by the young man, and he soon disappeared in the woods. Night passed away in dreariness to her, and the next morning she viewed the spot beneath her window with the hope of seeing the footsteps of him who had stood there the previous night.	Jane wrote a hasty note and threw it out of the window, which was eagerly picked up by the young man, and he soon disappeared in the woods. Night passed away in dreariness to her, and the next morning she viewed the spot beneath her window with the hope of seeing the footsteps of him who had stood there the previous night.	true	573.86	592.12	20.640142
4744_4158_000006_000012	Evening returned, and with it the hope of again seeing the man she loved. In this she was not disappointed; for daylight had scarcely disappeared, and the moon once more rising through the tops of the tall trees, when the young man was seen in the same place as on the previous night.	Evening returned, and with it the hope of again seeing the man she loved. In this she was not disappointed; for daylight had scarcely disappeared, and the moon once more rising through the tops of the tall trees, when the young man was seen in the same place as on the previous night.	false	592.43	609.28	20.033764
4744_4158_000006_000013	He had in his hand a rope ladder.	He had in his hand a rope ladder.	true	609.83	611.92	19.072433
4744_4158_000006_000014	As soon as Jane saw this, she took the sheets from her bed, tore them into strings, tied them together, and let one end down the side of the house.	As soon as Jane saw this, she took the sheets from her bed, tore them into strings, tied them together, and let one end down the side of the house.	false	612.5	621.13	21.780018
4744_4158_000006_000015	A moment more, and one end of the rope ladder was in her hand, and she fastened it inside the room.	A moment more, and one end of the rope ladder was in her hand, and she fastened it inside the room.	true	621.56	627.1	19.800438
4744_4158_000006_000016	Soon the young maiden was seen descending, and the enthusiastic lover, with his arms extended, waiting to receive his mistress.	Soon the young maiden was seen descending, and the enthusiastic lover, with his arms extended, waiting to receive his mistress.	true	627.53	634.93	20.450895
4744_4158_000006_000017	The planter had been out on an hunting excursion, and returning home, saw his victim as her lover was receiving her in his arms.	The planter had been out on an hunting excursion, and returning home, saw his victim as her lover was receiving her in his arms.	false	635.42	643.48	19.505878
4744_4158_000006_000018	At this moment the sharp sound of a rifle was heard, and the young man fell weltering in his blood, at the feet of his mistress.	At this moment the sharp sound of a rifle was heard, and the young man fell weltering in his blood, at the feet of his mistress.	true	643.64	650.83	21.62847
4744_4158_000006_000019	Jane fell senseless by his side.	Jane fell senseless by his side.	true	651.62	653.89	20.670761
4744_4158_000006_000020	For many days she had a confused consciousness of some great agony, but knew not where she was, or by whom surrounded.	For many days she had a confused consciousness of some great agony, but knew not where she was, or by whom surrounded.	false	654.14	661.09	19.108736
4744_4158_000006_000021	The slow recovery of her reason settled into the most intense melancholy, which gained at length the compassion even of her cruel master.	The slow recovery of her reason settled into the most intense melancholy, which gained at length the compassion even of her cruel master.	true	661.82	670.12	20.812372
4744_4158_000006_000022	The beautiful bright eyes, always pleading in expression, were now so heart-piercing in their sadness, that he could not endure their gaze.	The beautiful bright eyes, always pleading in expression, were now so heart piercing in their sadness, that he could not endure their gaze.	true	670.67	679	20.058302
4744_4158_000006_000023	In a few days the poor girl died of a broken heart, and was buried at night at the back of the garden by the Negroes; and no one wept at the grave of her who had been so carefully cherished, and so tenderly beloved.	In a few days the poor girl died of a broken heart, and was buried at night at the back of the garden by the Negroes; and no one wept at the grave of her who had been so carefully cherished, and so tenderly beloved.	true	679.82	692.11	21.119844
4744_4158_000007_000000	This, reader, is an unvarnished narrative of one doomed by the laws of the Southern States to be a slave.	This, reader, is an unvarnished narrative of one doomed by the laws of the Southern States to be a slave.	true	692.96	698.92	20.590391
4744_4158_000007_000001	It tells not only its own story of grief, but speaks of a thousand wrongs and woes beside, which never see the light; all the more bitter and dreadful, because no help can relieve, no sympathy can mitigate, and no hope can cheer.	It tells not only its own story of grief, but speaks of a thousand wrongs and woes beside, which never see the light; all the more bitter and dreadful, because no help can relieve, no sympathy can mitigate, and no hope can cheer.	false	699.44	715.89	20.171059
4744_4158_000008_000000	CHAPTER XXIV	CHAPTER twenty four	false	715.89	716.52	16
4744_4158_000009_000000	THE ARREST	THE ARREST	false	716.52	716.58	4
4744_4158_000010_000000	"The fearful storm--it threatens lowering, Which God in mercy long delays; Slaves yet may see their masters cowering, While whole plantations smoke and blaze!"	"The fearful storm-it threatens lowering, Which God in mercy long delays; Slaves yet may see their masters cowering, While whole plantations smoke and blaze!"	false	716.58	717.36	19.320196
4744_4158_000011_000000	--Carter.	--Carter.	false	717.36	717.39	-20
4744_4158_000012_000000	IT was late in the evening when the coach arrived at Richmond, and Clotel once more alighted in her native city.	i t was late in the evening when the coach arrived at Richmond, and Clotel once more alighted in her native city.	false	717.39	718.08	-20
4744_4158_000012_000001	She had intended to seek lodging somewhere in the outskirts of the town, but the lateness of the hour compelled her to stop at one of the principal hotels for the night.	She had intended to seek lodging somewhere in the outskirts of the town, but the lateness of the hour compelled her to stop at one of the principal hotels for the night.	false	718.08	719.1	-20
4744_4158_000012_000002	She had scarcely entered the inn, when she recognised among the numerous black servants one to whom she was well known; and her only hope was, that her disguise would keep her from being discovered.	She had scarcely entered the inn, when she recognised among the numerous black servants one to whom she was well known; and her only hope was, that her disguise would keep her from being discovered.	false	719.1	720.18	-20
4744_4158_000012_000003	The imperturbable calm and entire forgetfulness of self which induced Clotel to visit a place from which she could scarcely hope to escape, to attempt the rescue of a beloved child, demonstrate that overwillingness of woman to carry out the promptings of the finer feelings of her heart.	The imperturbable calm and entire forgetfulness of self which induced Clotel to visit a place from which she could scarcely hope to escape, to attempt the rescue of a beloved child, demonstrate that overwillingness of woman to carry out the promptings of the finer feelings of her heart.	false	720.18	721.71	-20
4744_4158_000012_000004	True to woman's nature, she had risked her own liberty for another.	True to woman's nature, she had risked her own liberty for another.	false	721.71	722.1	-20
