4145_14013_000000_000000	CHAPTER XXII.	CHAPTER twenty two.	false	0.36	11.79	22.021482
4145_14013_000011_000010	He himself wishes to move for a New Subsidy to the Emperor of Germany; but Lady Maclaughlan is of opinion that it would be better to Bring in a Bill for Building a bridge over the Water of Dlin; which, tobe sure, is very much wanted, as a Horse and Cartwere drowned at the Ford last Speat.	He himself wishes to move for a New Subsidy to the Emperor of Germany; but Lady Maclaughlan is of opinion that it would be better to Bring in a Bill for Building a bridge over the Water of d l i n; which, tobe sure, is very much wanted, as a Horse and Cartwere drowned at the Ford last Speat.	false	377	393.22	24.969023
4145_14013_000011_000011	We are All, I am happy to Say, in excellent Health.	We are All, I am happy to Say, in excellent Health.	true	393.38	396.615	19.476284
4145_14013_000011_000012	Becky is recovering from the Measles as well as could be Wished, and the Rose [1] is quite gone out of Bella's Face.	Becky is recovering from the Measles as well as could be Wished, and the Rose [one] is quite gone out of Bella's Face.	false	396.615	402.91	24.160963
4145_14013_000011_000013	Beennie has been prevented from Finishing a most Beautiful Pair of bottle Sliders for your Ladyship by a whitlow, but it is now Mending, and I hope will be done in Time to go with Babby's Vase Carpet, which is extremely elegant, by Sir S. and Lady Maclaughlan.	Beennie has been prevented from Finishing a most Beautiful Pair of bottle Sliders for your Ladyship by a whitlow, but it is now Mending, and I hope will be done in Time to go with Babby's Vase Carpet, which is extremely elegant, by Sir s and Lady Maclaughlan.	false	403.13	418.09	24.523758
4145_14013_000011_000014	This Place is in great Beauty at present, and the new Byre is completely finished.	This Place is in great Beauty at present, and the new Byre is completely finished.	true	418.7	424.095	22.577291
4145_14013_000011_000015	My Sisters and I regret Excessively that Henry and you should have seen Glenfern to such disadvantage; but when next you favour us with a visit, I hope it will be in Summer, and the New Byre you will think a Prodigious Improvement.	My Sisters and I regret Excessively that Henry and you should have seen Glenfern to such disadvantage; but when next you favour us with a visit, I hope it will be in Summer, and the New Byre you will think a Prodigious Improvement.	false	424.095	437.8	23.13553
4145_14013_000011_000016	Our dear Little Grand-niece is in great health, and much improved.	Our dear Little Grand niece is in great health, and much improved.	true	438.05	441.91	23.757315
4145_14013_000011_000017	We reckon her Extremely like our Family, Particularly Becky; though she has a great Look of Bella, at the Same Time, Then she Laughs.	We reckon her Extremely like our Family, Particularly Becky; though she has a great Look of Bella, at the Same Time, Then she Laughs.	true	442.01	450.16	25.126034
4145_14013_000011_000018	Excuse the Shortness of this Letter, my dear Niece, as I shall Write a much Longer one by Lady Maclaughlan.	Excuse the Shortness of this Letter, my dear Niece, as I shall Write a much Longer one by Lady Maclaughlan.	true	450.53	456	22
4145_14013_000012_000000	[1] Erysipelas.	[one] Erysipelas.	false	456	456.54	-20
4145_14013_000013_000000	"Meantime, I remain, my	"Meantime, I remain, my	true	456.54	457.95	11
4145_14013_000014_000000	"Dear Lady Juliana, yours and	"Dear Lady Juliana, yours and	false	457.95	459.93	20.963432
4145_14013_000015_000000	"Henry's most affect.	"Henry's most affect.	false	459.93	461.64	16
4145_14013_000015_000001	aunt,	aunt,	true	461.64	462.18	26.16892
4145_14013_000016_000000	"GRIZZEL DOUGLAS."	"g r i z z e l DOUGLAS."	false	462.18	463.9	24.074265
4145_14013_000017_000000	In spite of her husband's remonstrance Lady Juliana persisted in her resolution of attending her sister-in-law's masked ball, from which she returned, worn out with amusement and surfeited with pleasure; protesting all the while she dawdled over her evening breakfast the following day that there was nobody in the world so much to be envied as Lady Lindore.	In spite of her husband's remonstrance Lady Juliana persisted in her resolution of attending her sister in law's masked ball, from which she returned, worn out with amusement and surfeited with pleasure; protesting all the while she dawdled over her evening breakfast the following day that there was nobody in the world so much to be envied as Lady Lindore.	false	464.48	483.73	22
4145_14013_000017_000001	Such jewels! such dresses! such a house! such a husband! so easy and good-natured, and rich and generous!	Such jewels! such dresses! such a house! such a husband! so easy and good-natured, and rich and generous!	true	484.25	492.82	23.10322
4145_14013_000017_000002	She was sure Lindore did no care what his wife did.	She was sure Lindore did no care what his wife did.	false	492.95	496.03	21.182383
4145_14013_000017_000003	She might give what parties she pleased, go where she liked, spend as much money as she chose, and he would never, trouble his head about the matter.	She might give what parties she pleased, go where she liked, spend as much money as she chose, and he would never, trouble his head about the matter.	true	496.1	504.79	23.743532
4145_14013_000017_000004	She was quite certain Lady Lindore had not a single thing to wish for: _ergo, _she must be the happiest woman in the world!	She was quite certain Lady Lindore had not a single thing to wish for: underscore ergo, underscore she must be the happiest woman in the world!	false	505.46	512.74	25.631464
4145_14013_000017_000005	All this was addressed to Henry, who had, however, attained the happy art of not hearing above one word out of a hundred that happened to fall from the angel lips of his adored Julia; and, having finished the newspapers, and made himself acquainted with all the blood-horses, thoroughbred _fillies_, and brood mares therein set forth, with a yawn and whistle sauntered away to G-----'s, to look at the last regulation epaulettes.	All this was addressed to Henry, who had, however, attained the happy art of not hearing above one word out of a hundred that happened to fall from the angel lips of his adored Julia; and, having finished the newspapers, and made himself acquainted with all the blood horses, thoroughbred underscore fillies underscore, and brood mares therein set forth, with a yawn and whistle sauntered away to G-----'s, to look at the last regulation epaulettes.	false	513.38	537.34	20.84572
4145_14013_000018_000000	Not long after, as Lady Juliana was stepping into the carriage that was to whirl her to Bond Street she was met by her husband, who, with a solemnity of manner that would have startled anyone but his volatile lady, requested she would return with him into the house, as he wished to converse with her upon a subject of some importance.	Not long after, as Lady Juliana was stepping into the carriage that was to whirl her to Bond Street she was met by her husband, who, with a solemnity of manner that would have startled anyone but his volatile lady, requested she would return with him into the house, as he wished to converse with her upon a subject of some importance.	false	538.1	556	23.534567
4145_14013_000018_000001	He prevailed on her to return, upon condition that he would not detain her above five minutes.	He prevailed on her to return, upon condition that he would not detain her above five minutes.	false	556.19	561.46	25.26182
4145_14013_000018_000002	When, shutting the drawing room doors, he said, with earnestness, "I think, Julia, you were talking of Lady Lindore this morning: oblige me by repeating what you said, as I was reading the papers, and really did not attend much to what passed."	When, shutting the drawing room doors, he said, with earnestness, "I think, Julia, you were talking of Lady Lindore this morning: oblige me by repeating what you said, as I was reading the papers, and really did not attend much to what passed."	true	561.59	575.86	23.267698
4145_14013_000019_000000	Her Ladyship, in extreme surprise, wondered how Harry could be so tiresome and absurd as to stop her airing for any such purpose.	Her Ladyship, in extreme surprise, wondered how Harry could be so tiresome and absurd as to stop her airing for any such purpose.	true	576.08	584.32	23.602448
4145_14013_000019_000001	She really did not know what she said.	She really did not know what she said.	true	584.39	586.485	23.721521
4145_14013_000019_000002	How could she?	How could she?	true	586.485	587.58	29.055807
4145_14013_000019_000003	It was more than an hour ago.	It was more than an hour ago.	true	587.58	589.48	26.096968
4145_14013_000020_000000	"Well, then, say what you think of her now," cried Douglas impatiently.	"Well, then, say what you think of her now," cried Douglas impatiently.	true	589.55	593.62	27.065182
4145_14013_000021_000000	"Think of her!	"Think of her!	true	593.69	594.85	27.469124
4145_14013_000021_000001	why, what all the world must think--that she is the happiest woman in it.	why, what all the world must think-that she is the happiest woman in it.	true	595.04	599.68	25.788122
4145_14013_000021_000002	She looked so uncommonly well last night, and was in such spirits, in her fancy dress, before she masked.	She looked so uncommonly well last night, and was in such spirits, in her fancy dress, before she masked.	true	599.75	605.925	19.39101
4145_14013_000021_000003	After that, I quite lost sight of her."	After that, I quite lost sight of her."	true	605.925	608.23	27.871775
4145_14013_000022_000000	"As everyone else has done.	"As everyone else has done.	true	608.27	610.02	22.075256
4145_14013_000022_000001	She has not been seen since.	She has not been seen since.	true	610.02	612	22.73596
4145_14013_000022_000002	Her favourite St. Leger is missing too, and there is hardly a doubt but that they are gone off together."	Her favourite st Leger is missing too, and there is hardly a doubt but that they are gone off together."	false	612	617.95	27.64952
4145_14013_000023_000000	Even Lady Juliana was shocked at this intelligence, though the folly, more than the wickedness, of the thing, seemed to strike her mind; but Henry was no nice observer, and was therefore completely satisfied with the disapprobation she expressed for her sister-in-law's conduct.	Even Lady Juliana was shocked at this intelligence, though the folly, more than the wickedness, of the thing, seemed to strike her mind; but Henry was no nice observer, and was therefore completely satisfied with the disapprobation she expressed for her sister in law's conduct.	true	619.07	635.86	23.162363
4145_14013_000024_000000	"I am so sorry for poor dear Lindore," said Lady Juliana after having exhausted herself in invectives against his wife.	"I am so sorry for poor dear Lindore," said Lady Juliana after having exhausted herself in invectives against his wife.	true	635.87	643.3	25.39472
4145_14013_000024_000001	"Such a generous creature as he to be used in such a manner--it is quite shocking to think of it!	"Such a generous creature as he to be used in such a manner-it is quite shocking to think of it!	false	643.76	649.99	24.930696
4145_14013_000024_000002	If he had been an ill-natured stingy wretch it would have been nothing; but Frederick is such a noble-hearted fellow--I dare say he would give me a thousand pounds if I were to ask him, for he don't care about money."	If he had been an ill natured stingy wretch it would have been nothing; but Frederick is such a noble hearted fellow-I dare say he would give me a thousand pounds if I were to ask him, for he don't care about money."	true	650.45	663.58	23.386385
4145_14013_000025_000000	"Lord Lindore takes the matter very coolly, understand," replied her husband; "but--don't be alarmed, dear Julia--your father has suffered a little from the violence of his feelings.	"Lord Lindore takes the matter very coolly, understand," replied her husband; "but-don't be alarmed, dear Julia-your father has suffered a little from the violence of his feelings.	true	663.74	675.43	26.959108
4145_14013_000025_000001	He has had a sort of apoplectic fit, but is not considered in immediate danger."	He has had a sort of apoplectic fit, but is not considered in immediate danger."	true	675.5	680.46	22.756172
4145_14013_000026_000000	Lady Juliana burst into tears, desired the carriage might be put up, as she should not go out, and even declared her intention of abstaining from Mrs. D-----'s assembly that evening.	Lady Juliana burst into tears, desired the carriage might be put up, as she should not go out, and even declared her intention of abstaining from mrs D-----'s assembly that evening.	true	680.46	690.7	22
4145_14013_000026_000001	Henry warmly commended the extreme propriety of these measures; and, not to be outdone in greatness of mind, most heroically sent an apology to a grand military dinner at the Duke of Y---'s; observing, at the same time, that, in the present state of the family, one or two friends to a quiet family dinner was as much as they should be up to.	Henry warmly commended the extreme propriety of these measures; and, not to be outdone in greatness of mind, most heroically sent an apology to a grand military dinner at the Duke of Y---'s; observing, at the same time, that, in the present state of the family, one or two friends to a quiet family dinner was as much as they should be up to.	false	691.37	714.03	23.625698
4145_14013_000027_000000	CHAPTER XXIII.	CHAPTER twenty three.	false	714.03	715.17	28.41581
4145_14013_000028_000000	"I but purpose to embark with thee On the smooth surface of a summer sea, While gentle zephyrs play in prosp 'rous gales, And Fortune's favour fills the swelling sails."	"I but purpose to embark with thee On the smooth surface of a summer sea, While gentle zephyrs play in prosp 'rous gales, And Fortune's favour fills the swelling sails."	false	715.17	723.18	19.416426
