2577_157236_000000_000000	'Goodbye, then,' said Anthea, gaily, for her conscience was clear now.	'Goodbye, then,' said Anthea, gaily, for her conscience was clear now.	false	0	4.71	14.794779
2577_157236_000010_000000	'Mother dear,' said Anthea.	'Mother dear,' said Anthea.	true	126.62	128.92	20.379154
2577_157236_000011_000000	'Yes, love-a-duck,' said mother.	'Yes, love a duck,' said mother.	true	129.14	131.38	16.638002
2577_157236_000012_000000	'About cook,' said Anthea.	'About cook,' said Anthea.	true	131.72	134.19	23.096714
2577_157236_000012_000001	'_I_ know where she is.'	'underscore I underscore know where she is.'	false	134.19	136.42	16.636454
2577_157236_000013_000000	'Do you, dear?' said mother.	'Do you, dear?' said mother.	true	136.94	138.67	19.680958
2577_157236_000013_000001	'Well, I wouldn't take her back after the way she has behaved.'	'Well, I wouldn't take her back after the way she has behaved.'	true	138.83	142.18	18.180279
2577_157236_000014_000000	'It's not her fault,' said Anthea.	'It's not her fault,' said Anthea.	true	142.46	144.69	24.297688
2577_157236_000014_000001	'May I tell you about it from the beginning?'	'May I tell you about it from the beginning?'	true	144.69	146.86	21
2577_157236_000015_000000	Mother laid down her pen, and her nice face had a resigned expression. As you know, a resigned expression always makes you want not to tell anybody anything.	Mother laid down her pen, and her nice face had a resigned expression. As you know, a resigned expression always makes you want not to tell anybody anything.	true	147.83	157.81	17
2577_157236_000016_000000	'It's like this,' said Anthea, in a hurry: 'that egg, you know, that came in the carpet; we put it in the fire and it hatched into the Phoenix, and the carpet was a wishing carpet--and--'	'It's like this,' said Anthea, in a hurry: 'that egg, you know, that came in the carpet; we put it in the fire and it hatched into the Phoenix, and the carpet was a wishing carpet-and-'	true	158.75	167.71	20
2577_157236_000017_000000	'A very nice game, darling,' said mother, taking up her pen.	'A very nice game, darling,' said mother, taking up her pen.	true	168.11	172.03	15
2577_157236_000017_000001	'Now do be quiet.	'Now do be quiet.	true	172.13	173.415	21.989464
2577_157236_000017_000002	I've got a lot of letters to write.	I've got a lot of letters to write.	true	173.415	175.275	21
2577_157236_000017_000003	I'm going to Bournemouth to-morrow with the Lamb--and there's that bazaar.'	I'm going to Bournemouth to morrow with the Lamb-and there's that bazaar.'	true	175.275	179.35	21.542637
2577_157236_000018_000000	Anthea went back to x y z, and mother's pen scratched busily.	Anthea went back to x y z, and mother's pen scratched busily.	false	179.93	185.05	18
2577_157236_000019_000000	'But, mother,' said Anthea, when mother put down the pen to lick an envelope, 'the carpet takes us wherever we like--and--'	'But, mother,' said Anthea, when mother put down the pen to lick an envelope, 'the carpet takes us wherever we like-and-'	true	185.78	194.05	22.168722
2577_157236_000020_000000	'I wish it would take you where you could get a few nice Eastern things for my bazaar,' said mother.	'I wish it would take you where you could get a few nice Eastern things for my bazaar,' said mother.	true	194.36	199.06	13
2577_157236_000020_000001	'I promised them, and I've no time to go to Liberty's now.'	'I promised them, and I've no time to go to Liberty's now.'	true	199.31	202.54	21
2577_157236_000021_000000	'It shall,' said Anthea, 'but, mother--'	'It shall,' said Anthea, 'but, mother-'	true	203	205.63	23
2577_157236_000022_000000	'Well, dear,' said mother, a little impatiently, for she had taken up her pen again.	'Well, dear,' said mother, a little impatiently, for she had taken up her pen again.	false	205.79	211.12	18.653059
2577_157236_000023_000000	'The carpet took us to a place where you couldn't have whooping-cough, and the Lamb hasn't whooped since, and we took cook because she was so tiresome, and then she would stay and be queen of the savages.	'The carpet took us to a place where you couldn't have whooping cough, and the Lamb hasn't whooped since, and we took cook because she was so tiresome, and then she would stay and be queen of the savages.	true	211.61	222.46	18
2577_157236_000023_000001	They thought her cap was a crown, and--'	They thought her cap was a crown, and-'	true	222.47	225.13	20.42969
2577_157236_000024_000000	'Darling one,' said mother, 'you know I love to hear the things you make up--but I am most awfully busy.'	'Darling one,' said mother, 'you know I love to hear the things you make up-but I am most awfully busy.'	true	225.62	232.93	17.883755
2577_157236_000025_000000	'But it's true,' said Anthea, desperately.	'But it's true,' said Anthea, desperately.	true	233.48	236.655	18.583876
2577_157236_000026_000000	'You shouldn't say that, my sweet,' said mother, gently.	'You shouldn't say that, my sweet,' said mother, gently.	true	236.655	240.01	16
2577_157236_000026_000001	And then Anthea knew it was hopeless.	And then Anthea knew it was hopeless.	true	240.32	242.53	17
2577_157236_000027_000000	'Are you going away for long?' asked Anthea.	'Are you going away for long?' asked Anthea.	true	243.41	246.49	19.651733
2577_157236_000028_000000	'I've got a cold,' said mother, 'and daddy's anxious about it, and the Lamb's cough.'	'I've got a cold,' said mother, 'and daddy's anxious about it, and the Lamb's cough.'	true	246.86	252.01	18.345633
2577_157236_000029_000000	'He hasn't coughed since Saturday,' the Lamb's eldest sister interrupted.	'He hasn't coughed since Saturday,' the Lamb's eldest sister interrupted.	true	252.17	256.24	16
2577_157236_000030_000000	'I wish I could think so,' mother replied.	'I wish I could think so,' mother replied.	true	256.46	258.88	18
2577_157236_000030_000001	'And daddy's got to go to Scotland.	'And daddy's got to go to Scotland.	true	258.89	260.865	20.98545
2577_157236_000030_000002	I do hope you'll be good children.'	I do hope you'll be good children.'	true	260.865	263.14	19.354986
2577_157236_000031_000000	'We will, we will,' said Anthea, fervently.	'We will, we will,' said Anthea, fervently.	true	263.15	265.935	15.792882
2577_157236_000031_000001	'When's the bazaar?'	'When's the bazaar?'	true	265.935	267.25	23.715008
2577_157236_000032_000000	'On Saturday,' said mother, 'at the schools.	'On Saturday,' said mother, 'at the schools.	true	267.5	270.25	20.830345
2577_157236_000032_000001	Oh, don't talk any more, there's a treasure!	Oh, don't talk any more, there's a treasure!	true	270.47	272.89	19
2577_157236_000032_000002	My head's going round, and I've forgotten how to spell whooping-cough.'	My head's going round, and I've forgotten how to spell whooping cough.'	false	272.99	276.52	19
2577_157236_000033_000000	Mother and the Lamb went away, and father went away, and there was a new cook who looked so like a frightened rabbit that no one had the heart to do anything to frighten her any more than seemed natural to her.	Mother and the Lamb went away, and father went away, and there was a new cook who looked so like a frightened rabbit that no one had the heart to do anything to frighten her any more than seemed natural to her.	false	277.97	289.15	19
2577_157236_000034_000000	The Phoenix begged to be excused.	The Phoenix begged to be excused.	true	289.94	292.155	21.32132
2577_157236_000034_000001	It said it wanted a week's rest, and asked that it might not be disturbed.	It said it wanted a week's rest, and asked that it might not be disturbed.	true	292.155	296.5	19
2577_157236_000034_000002	And it hid its golden gleaming self, and nobody could find it.	And it hid its golden gleaming self, and nobody could find it.	true	296.6	300.28	19
2577_157236_000035_000000	So that when Wednesday afternoon brought an unexpected holiday, and every one decided to go somewhere on the carpet, the journey had to be undertaken without the Phoenix.	So that when Wednesday afternoon brought an unexpected holiday, and every one decided to go somewhere on the carpet, the journey had to be undertaken without the Phoenix.	true	302.06	311.32	18
2577_157236_000035_000001	They were debarred from any carpet excursions in the evening by a sudden promise to mother, exacted in the agitation of parting, that they would not be out after six at night, except on Saturday, when they were to go to the bazaar, and were pledged to put on their best clothes, to wash themselves to the uttermost, and to clean their nails--not with scissors, which are scratchy and bad, but with flat-sharpened ends of wooden matches, which do no harm to any one's nails.	They were debarred from any carpet excursions in the evening by a sudden promise to mother, exacted in the agitation of parting, that they would not be out after six at night, except on Saturday, when they were to go to the bazaar, and were pledged to put on their best clothes, to wash themselves to the uttermost, and to clean their nails-not with scissors, which are scratchy and bad, but with flat sharpened ends of wooden matches, which do no harm to any one's nails.	true	311.51	337.96	19
2577_157236_000036_000000	'Let's go and see the Lamb,' said Jane.	'Let's go and see the Lamb,' said Jane.	true	338.78	341.41	18.775578
2577_157236_000037_000000	But every one was agreed that if they appeared suddenly in Bournemouth it would frighten mother out of her wits, if not into a fit.	But every one was agreed that if they appeared suddenly in Bournemouth it would frighten mother out of her wits, if not into a fit.	true	341.57	348.31	16
2577_157236_000037_000001	So they sat on the carpet, and thought and thought and thought till they almost began to squint.	So they sat on the carpet, and thought and thought and thought till they almost began to squint.	true	348.86	354.28	24
2577_157236_000038_000000	'Look here,' said Cyril, 'I know.	'Look here,' said Cyril, 'I know.	true	354.83	357.07	18
2577_157236_000038_000001	Please carpet, take us somewhere where we can see the Lamb and mother and no one can see us.'	Please carpet, take us somewhere where we can see the Lamb and mother and no one can see us.'	true	357.17	362.74	16
2577_157236_000039_000000	'Except the Lamb,' said Jane, quickly.	'Except the Lamb,' said Jane, quickly.	true	362.99	365.77	19.432991
2577_157236_000040_000000	And the next moment they found themselves recovering from the upside-down movement--and there they were sitting on the carpet, and the carpet was laid out over another thick soft carpet of brown pine-needles.	And the next moment they found themselves recovering from the upside-down movement-and there they were sitting on the carpet, and the carpet was laid out over another thick soft carpet of brown pine needles.	false	366.41	377.38	20
2577_157236_000040_000001	There were green pine-trees overhead, and a swift clear little stream was running as fast as ever it could between steep banks--and there, sitting on the pine-needle carpet, was mother, without her hat; and the sun was shining brightly, although it was November--and there was the Lamb, as jolly as jolly and not whooping at all.	There were green pine trees overhead, and a swift clear little stream was running as fast as ever it could between steep banks-and there, sitting on the pine needle carpet, was mother, without her hat; and the sun was shining brightly, although it was November-and there was the Lamb, as jolly as jolly and not whooping at all.	false	377.72	396.7	17
2577_157236_000041_000000	'The carpet's deceived us,' said Robert, gloomily; 'mother will see us directly she turns her head.'	'The carpet's deceived us,' said Robert, gloomily; 'mother will see us directly she turns her head.'	true	397.22	402.85	17
2577_157236_000042_000000	But the faithful carpet had not deceived them.	But the faithful carpet had not deceived them.	true	403.19	406.09	20.270216
2577_157236_000043_000000	Mother turned her dear head and looked straight at them, and DID NOT SEE THEM!	Mother turned her dear head and looked straight at them, and DID NOT SEE THEM!	true	406.49	412.03	20.13098
2577_157236_000044_000000	'We're invisible,' Cyril whispered: 'what awful larks!'	'We're invisible,' Cyril whispered: 'what awful larks!'	true	412.82	418.21	20.654276
2577_157236_000045_000000	But to the girls it was not larks at all.	But to the girls it was not larks at all.	true	419.15	421.665	21.140116
2577_157236_000045_000001	It was horrible to have mother looking straight at them, and her face keeping the same, just as though they weren't there.	It was horrible to have mother looking straight at them, and her face keeping the same, just as though they weren't there.	true	421.665	427.99	17
2577_157236_000046_000000	'I don't like it,' said Jane. 'Mother never looked at us like that before.	'I don't like it,' said Jane. 'Mother never looked at us like that before.	true	428.54	432.76	21
2577_157236_000046_000001	Just as if she didn't love us--as if we were somebody else's children, and not very nice ones either--as if she didn't care whether she saw us or not.'	Just as if she didn't love us-as if we were somebody else's children, and not very nice ones either-as if she didn't care whether she saw us or not.'	true	432.83	442	20
2577_157236_000047_000000	'It is horrid,' said Anthea, almost in tears.	'It is horrid,' said Anthea, almost in tears.	true	442.7	446.2	18.46383
2577_157236_000048_000000	But at this moment the Lamb saw them, and plunged towards the carpet, shrieking, 'Panty, own Panty--an' Pussy, an' Squiggle--an' Bobs, oh, oh!'	But at this moment the Lamb saw them, and plunged towards the carpet, shrieking, 'Panty, own Panty-an' Pussy, an' Squiggle-an' Bobs, oh, oh!'	false	446.72	458.16	20.182856
2577_157236_000049_000000	Anthea caught him and kissed him, so did Jane; they could not help it--he looked such a darling, with his blue three-cornered hat all on one side, and his precious face all dirty--quite in the old familiar way.	Anthea caught him and kissed him, so did Jane; they could not help it-he looked such a darling, with his blue three cornered hat all on one side, and his precious face all dirty-quite in the old familiar way.	true	458.16	471.22	18
2577_157236_000050_000000	'I love you, Panty; I love you--and you, and you, and you,' cried the Lamb.	'I love you, Panty; I love you-and you, and you, and you,' cried the Lamb.	true	472.01	477.19	18
2577_157236_000051_000000	It was a delicious moment.	It was a delicious moment.	true	477.68	479.355	16
2577_157236_000051_000001	Even the boys thumped their baby brother joyously on the back.	Even the boys thumped their baby brother joyously on the back.	true	479.355	482.65	16
2577_157236_000052_000000	Then Anthea glanced at mother--and mother's face was a pale sea-green colour, and she was staring at the Lamb as if she thought he had gone mad.	Then Anthea glanced at mother-and mother's face was a pale sea green colour, and she was staring at the Lamb as if she thought he had gone mad.	true	483.53	492.82	18
2577_157236_000052_000001	And, indeed, that was exactly what she did think.	And, indeed, that was exactly what she did think.	true	492.95	495.61	17.837822
2577_157236_000053_000000	'My Lamb, my precious!	'My Lamb, my precious!	true	495.8	497.49	16
2577_157236_000053_000001	Come to mother,' she cried, and jumped up and ran to the baby.	Come to mother,' she cried, and jumped up and ran to the baby.	true	497.49	501.49	22
2577_157236_000054_000000	She was so quick that the invisible children had to leap back, or she would have felt them; and to feel what you can't see is the worst sort of ghost-feeling.	She was so quick that the invisible children had to leap back, or she would have felt them; and to feel what you can't see is the worst sort of ghost feeling.	true	501.95	509.8	17
2577_157236_000054_000001	Mother picked up the Lamb and hurried away from the pinewood.	Mother picked up the Lamb and hurried away from the pinewood.	true	510.17	513.4	18.603039
2577_157236_000055_000000	'Let's go home,' said Jane, after a miserable silence.	'Let's go home,' said Jane, after a miserable silence.	true	514.07	517.84	13
2577_157236_000055_000001	'It feels just exactly as if mother didn't love us.'	'It feels just exactly as if mother didn't love us.'	true	518.03	521.29	20
2577_157236_000056_000000	But they couldn't bear to go home till they had seen mother meet another lady, and knew that she was safe.	But they couldn't bear to go home till they had seen mother meet another lady, and knew that she was safe.	true	522.32	527.89	15
2577_157236_000056_000001	You cannot leave your mother to go green in the face in a distant pinewood, far from all human aid, and then go home on your wishing carpet as though nothing had happened.	You cannot leave your mother to go green in the face in a distant pinewood, far from all human aid, and then go home on your wishing carpet as though nothing had happened.	true	528.41	536.86	15
2577_157236_000057_000000	When mother seemed safe the children returned to the carpet, and said 'Home'--and home they went.	When mother seemed safe the children returned to the carpet, and said 'Home'--and home they went.	true	538.37	544.33	19.36083
2577_157236_000058_000000	'I don't care about being invisible myself,' said Cyril, 'at least, not with my own family.	'I don't care about being invisible myself,' said Cyril, 'at least, not with my own family.	true	545.21	550.54	16
2577_157236_000058_000001	It would be different if you were a prince, or a bandit, or a burglar.'	It would be different if you were a prince, or a bandit, or a burglar.'	true	550.79	554.47	20.641443
2577_157236_000059_000000	And now the thoughts of all four dwelt fondly on the dear greenish face of mother.	And now the thoughts of all four dwelt fondly on the dear greenish face of mother.	true	554.9	560.14	18
2577_157236_000060_000000	'I wish she hadn't gone away,' said Jane; 'the house is simply beastly without her.'	'I wish she hadn't gone away,' said Jane; 'the house is simply beastly without her.'	false	560.87	565.54	15
2577_157236_000061_000000	'I think we ought to do what she said,' Anthea put in.	'I think we ought to do what she said,' Anthea put in.	true	566.09	569.05	18
2577_157236_000061_000001	'I saw something in a book the other day about the wishes of the departed being sacred.'	'I saw something in a book the other day about the wishes of the departed being sacred.'	true	569.12	573.7	16
2577_157236_000062_000000	'That means when they've departed farther off,' said Cyril. 'India's coral or Greenland's icy, don't you know; not Bournemouth.	'That means when they've departed farther off,' said Cyril. 'India's coral or Greenland's icy, don't you know; not Bournemouth.	true	574.01	582.67	18.666012
2577_157236_000062_000001	Besides, we don't know what her wishes are.'	Besides, we don't know what her wishes are.'	true	582.83	585.49	19.611572
2577_157236_000063_000000	'She SAID'--Anthea was very much inclined to cry--'she said, "Get Indian things for my bazaar;" but I know she thought we couldn't, and it was only play.'	'She SAID'--Anthea was very much inclined to cry-'she said, "Get Indian things for my bazaar;" but I know she thought we couldn't, and it was only play.'	true	587.39	598.48	19.822704
2577_157236_000064_000000	'Let's get them all the same,' said Robert. 'We'll go the first thing on Saturday morning.'	'Let's get them all the same,' said Robert. 'We'll go the first thing on Saturday morning.'	true	599	603.67	18
2577_157236_000065_000000	And on Saturday morning, the first thing, they went.	And on Saturday morning, the first thing, they went.	true	604.13	607.63	21.190096
2577_157236_000066_000000	There was no finding the Phoenix, so they sat on the beautiful wishing carpet, and said--	There was no finding the Phoenix, so they sat on the beautiful wishing carpet, and said-	true	608.33	613.21	20
2577_157236_000067_000000	'We want Indian things for mother's bazaar.	'We want Indian things for mother's bazaar.	true	613.58	616.155	20
2577_157236_000067_000001	Will you please take us where people will give us heaps of Indian things?'	Will you please take us where people will give us heaps of Indian things?'	true	616.155	619.84	15
2577_157236_000068_000000	The docile carpet swirled their senses away, and restored them on the outskirts of a gleaming white Indian town.	The docile carpet swirled their senses away, and restored them on the outskirts of a gleaming white Indian town.	true	620.63	626.95	14
2577_157236_000068_000001	They knew it was Indian at once, by the shape of the domes and roofs; and besides, a man went by on an elephant, and two English soldiers went along the road, talking like in Mr Kipling's books--so after that no one could have any doubt as to where they were.	They knew it was Indian at once, by the shape of the domes and roofs; and besides, a man went by on an elephant, and two English soldiers went along the road, talking like in Mr Kipling's books-so after that no one could have any doubt as to where they were.	false	627.2	641.32	18
2577_157236_000068_000002	They rolled up the carpet and Robert carried it, and they walked bodily into the town.	They rolled up the carpet and Robert carried it, and they walked bodily into the town.	true	641.9	646.63	19.762465
2577_157236_000069_000000	It was very warm, and once more they had to take off their London-in-November coats, and carry them on their arms.	It was very warm, and once more they had to take off their London in November coats, and carry them on their arms.	true	647.96	654.13	15
2577_157236_000070_000000	The streets were narrow and strange, and the clothes of the people in the streets were stranger and the talk of the people was strangest of all.	The streets were narrow and strange, and the clothes of the people in the streets were stranger and the talk of the people was strangest of all.	true	654.8	662.26	19
2577_157236_000071_000000	'I can't understand a word,' said Cyril. 'How on earth are we to ask for things for our bazaar?'	'I can't understand a word,' said Cyril. 'How on earth are we to ask for things for our bazaar?'	true	662.3	668.02	21
2577_157236_000072_000000	'And they're poor people, too,' said Jane; 'I'm sure they are.	'And they're poor people, too,' said Jane; 'I'm sure they are.	true	668.39	671.92	18
2577_157236_000072_000001	What we want is a rajah or something.'	What we want is a rajah or something.'	true	672.08	674.59	19.76516
2577_157236_000073_000000	Robert was beginning to unroll the carpet, but the others stopped him, imploring him not to waste a wish.	Robert was beginning to unroll the carpet, but the others stopped him, imploring him not to waste a wish.	false	675.14	680.71	18
2577_157236_000074_000000	'We asked the carpet to take us where we could get Indian things for bazaars,' said Anthea, 'and it will.'	'We asked the carpet to take us where we could get Indian things for bazaars,' said Anthea, 'and it will.'	true	680.87	686.5	21
2577_157236_000075_000000	Her faith was justified.	Her faith was justified.	true	686.63	688.57	20.10138
2577_157236_000076_000000	Just as she finished speaking a very brown gentleman in a turban came up to them and bowed deeply.	Just as she finished speaking a very brown gentleman in a turban came up to them and bowed deeply.	true	688.76	694.54	17
2577_157236_000076_000001	He spoke, and they thrilled to the sound of English words.	He spoke, and they thrilled to the sound of English words.	false	694.64	698.02	21
2577_157236_000077_000000	'My ranee, she think you very nice childs.	'My ranee, she think you very nice childs.	true	698.24	701.5	18.455526
2577_157236_000077_000001	She asks do you lose yourselves, and do you desire to sell carpet?	She asks do you lose yourselves, and do you desire to sell carpet?	true	701.51	706.12	25.716608
2577_157236_000077_000002	She see you from her palkee.	She see you from her palkee.	true	706.13	708.13	20.919947
2577_157236_000077_000003	You come see her--yes?'	You come see her-yes?'	true	708.29	710.05	19.733744
2577_157236_000078_000000	They followed the stranger, who seemed to have a great many more teeth in his smile than are usual, and he led them through crooked streets to the ranee's palace.	They followed the stranger, who seemed to have a great many more teeth in his smile than are usual, and he led them through crooked streets to the ranee's palace.	false	710.99	719.26	12
2577_157236_000078_000001	I am not going to describe the ranee's palace, because I really have never seen the palace of a ranee, and Mr Kipling has.	I am not going to describe the ranee's palace, because I really have never seen the palace of a ranee, and Mr Kipling has.	false	719.63	726.78	14
2577_157236_000078_000002	So you can read about it in his books.	So you can read about it in his books.	true	726.78	728.82	12
2577_157236_000078_000003	But I know exactly what happened there.	But I know exactly what happened there.	true	728.82	731.38	14
2577_157236_000079_000000	The old ranee sat on a low-cushioned seat, and there were a lot of other ladies with her--all in trousers and veils, and sparkling with tinsel and gold and jewels.	The old ranee sat on a low cushioned seat, and there were a lot of other ladies with her-all in trousers and veils, and sparkling with tinsel and gold and jewels.	true	731.72	740.83	17
2577_157236_000079_000001	And the brown, turbaned gentleman stood behind a sort of carved screen, and interpreted what the children said and what the queen said.	And the brown, turbaned gentleman stood behind a sort of carved screen, and interpreted what the children said and what the queen said.	false	741.05	748.63	17
2577_157236_000079_000002	And when the queen asked to buy the carpet, the children said 'No.'	And when the queen asked to buy the carpet, the children said 'no'	true	748.91	752.38	23
2577_157236_000080_000000	'Why?' asked the ranee.	'Why?' asked the ranee.	true	753.26	754.87	21.833315
2577_157236_000081_000000	And Jane briefly said why, and the interpreter interpreted.	And Jane briefly said why, and the interpreter interpreted.	true	755.12	758.92	20.748384
2577_157236_000081_000001	The queen spoke, and then the interpreter said--	The queen spoke, and then the interpreter said-	true	759.14	761.98	22
2577_157236_000082_000000	'My mistress says it is a good story, and you tell it all through without thought of time.'	'My mistress says it is a good story, and you tell it all through without thought of time.'	true	762.14	766.96	18
2577_157236_000083_000000	And they had to.	And they had to.	true	767.63	768.735	18.343842
2577_157236_000083_000001	It made a long story, especially as it had all to be told twice--once by Cyril and once by the interpreter.	It made a long story, especially as it had all to be told twice-once by Cyril and once by the interpreter.	true	768.735	775.69	18
2577_157236_000083_000002	Cyril rather enjoyed himself.	Cyril rather enjoyed himself.	true	776.03	778.2	19.654007
2577_157236_000083_000003	He warmed to his work, and told the tale of the Phoenix and the Carpet, and the Lone Tower, and the Queen-Cook, in language that grew insensibly more and more Arabian Nightsy, and the ranee and her ladies listened to the interpreter, and rolled about on their fat cushions with laughter.	He warmed to his work, and told the tale of the Phoenix and the Carpet, and the Lone Tower, and the Queen Cook, in language that grew insensibly more and more Arabian Nightsy, and the ranee and her ladies listened to the interpreter, and rolled about on their fat cushions with laughter.	false	778.2	793.51	17
2577_157236_000084_000000	When the story was ended she spoke, and the interpreter explained that she had said, 'Little one, thou art a heaven-born teller of tales,' and she threw him a string of turquoises from round her neck.	When the story was ended she spoke, and the interpreter explained that she had said, 'Little one, thou art a heaven born teller of tales,' and she threw him a string of turquoises from round her neck.	true	793.88	804.7	19
2577_157236_000085_000000	'OH, how lovely!' cried Jane and Anthea.	'OH, how lovely!' cried Jane and Anthea.	true	805.01	807.82	19.798613
2577_157236_000086_000000	Cyril bowed several times, and then cleared his throat and said--	Cyril bowed several times, and then cleared his throat and said-	false	808.07	812.17	19.936298
2577_157236_000087_000000	'Thank her very, very much; but I would much rather she gave me some of the cheap things in the bazaar.	'Thank her very, very much; but I would much rather she gave me some of the cheap things in the bazaar.	true	812.84	818.68	16
2577_157236_000087_000001	Tell her I want them to sell again, and give the money to buy clothes for poor people who haven't any.'	Tell her I want them to sell again, and give the money to buy clothes for poor people who haven't any.'	true	818.9	824.32	19
2577_157236_000088_000000	'Tell him he has my leave to sell my gift and clothe the naked with its price,' said the queen, when this was translated.	'Tell him he has my leave to sell my gift and clothe the naked with its price,' said the queen, when this was translated.	false	824.66	831.25	18.56946
2577_157236_000089_000000	But Cyril said very firmly, 'No, thank you.	But Cyril said very firmly, 'No, thank you.	true	831.74	834.55	20
2577_157236_000089_000001	The things have got to be sold to-day at our bazaar, and no one would buy a turquoise necklace at an English bazaar.	The things have got to be sold to day at our bazaar, and no one would buy a turquoise necklace at an English bazaar.	true	834.77	840.73	16
2577_157236_000089_000002	They'd think it was sham, or else they'd want to know where we got it.'	They'd think it was sham, or else they'd want to know where we got it.'	true	840.89	844.09	18
2577_157236_000090_000000	So then the queen sent out for little pretty things, and her servants piled the carpet with them.	So then the queen sent out for little pretty things, and her servants piled the carpet with them.	true	844.46	850.06	22.137243
2577_157236_000091_000000	'I must needs lend you an elephant to carry them away,' she said, laughing.	'I must needs lend you an elephant to carry them away,' she said, laughing.	true	850.55	854.59	17
2577_157236_000092_000000	But Anthea said, 'If the queen will lend us a comb and let us wash our hands and faces, she shall see a magic thing.	But Anthea said, 'If the queen will lend us a comb and let us wash our hands and faces, she shall see a magic thing.	true	854.99	862.63	19
2577_157236_000092_000001	We and the carpet and all these brass trays and pots and carved things and stuffs and things will just vanish away like smoke.'	We and the carpet and all these brass trays and pots and carved things and stuffs and things will just vanish away like smoke.'	false	862.79	870.19	18
