7594_81881_000000_000000	"Poor boy," she murmured.	"Poor boy," she murmured.	false	0	1.26	21.424059
7594_81881_000020_000003	Perhaps God was on his father's side, after all--on the side of them who humbly walked and not of them who rode in proud chariots. But his political creed, his sociological convictions rose in protest. How could the Almighty be in league with all that was subversive of social order, all that was destructive to Imperial cohesion, all that which inevitably tended to England's downfall?	Perhaps God was on his father's side, after all-on the side of them who humbly walked and not of them who rode in proud chariots. But his political creed, his sociological convictions rose in protest. How could the Almighty be in league with all that was subversive of social order, all that was destructive to Imperial cohesion, all that which inevitably tended to England's downfall?	false	373.94	403.51	19.878126
7594_81881_000021_000000	He turned suddenly to his companion, the Conservative agent.	He turned suddenly to his companion, the Conservative agent.	true	404.72	408.49	20.373075
7594_81881_000022_000000	"Do you think God has got common sense?"	"Do you think God has got common sense?"	false	409.61	412.12	23.485458
7594_81881_000023_000000	The agent, not being versed in speculations regarding the attributes of the Deity, stared; then, disinclined to commit himself, took refuge in platitude.	The agent, not being versed in speculations regarding the attributes of the Deity, stared; then, disinclined to commit himself, took refuge in platitude.	true	412.88	424.21	21.042007
7594_81881_000024_000000	"God moves in a mysterious way, Mr. Savelli."	"God moves in a mysterious way, mr Savelli."	true	425.03	428.14	19.309328
7594_81881_000025_000000	"That's rot," said Paul.	"That's rot," said Paul.	true	429.05	430.99	26.523409
7594_81881_000025_000001	"If there's an Almighty, He must move in a common-sense way; otherwise the whole of this planet would have busted up long ago.	"If there's an Almighty, He must move in a common sense way; otherwise the whole of this planet would have busted up long ago.	true	431	438.7	20.781496
7594_81881_000025_000002	Do you think it's common sense to support the present Government?"	Do you think it's common sense to support the present Government?"	true	439.52	443.17	19.816206
7594_81881_000026_000000	"Certainly not," said the agent, fervently.	"Certainly not," said the agent, fervently.	true	443.87	446.98	20.047848
7594_81881_000027_000000	"Then if God supported it, it wouldn't be common sense on His part.	"Then if God supported it, it wouldn't be common sense on His part.	true	447.68	452.23	21.99952
7594_81881_000027_000001	It would be merely mysterious?"	It would be merely mysterious?"	true	452.42	454.51	21
7594_81881_000028_000000	"I see what you're driving at," said the agent.	"I see what you're driving at," said the agent.	true	456.41	459.07	19.694035
7594_81881_000028_000001	"Our opponent undoubtedly has been making free with the name of the Almighty in his speeches.	"Our opponent undoubtedly has been making free with the name of the Almighty in his speeches.	true	459.74	465.85	20.873594
7594_81881_000028_000002	As a matter of fact he's rather crazy on the subject.	As a matter of fact he's rather crazy on the subject.	true	466.13	469.42	21.669287
7594_81881_000028_000003	I don't think it would be a bad move to make a special reference to it.	I don't think it would be a bad move to make a special reference to it.	true	469.91	473.74	21.45068
7594_81881_000028_000004	It's all damned hypocrisy.	It's all damned hypocrisy.	true	474.14	476.14	23.820583
7594_81881_000028_000005	There's a chap in the old French play--what's his name?"	There's a chap in the old French play-what's his name?"	true	476.39	479.44	24.0925
7594_81881_000029_000000	"Tartuffe."	"Tartuffe."	false	480.38	481.98	18.779707
7594_81881_000030_000000	"That's it.	"That's it.	true	481.98	482.86	24.4927
7594_81881_000030_000001	Well, there you are.	Well, there you are.	true	483.14	484.81	19.839653
7594_81881_000030_000002	That speech of his yesterday--now why don't you take it and wring religiosity and hypocrisy and Tartuffism out of it?	That speech of his yesterday-now why don't you take it and wring religiosity and hypocrisy and Tartuffism out of it?	true	484.82	493.69	19.457716
7594_81881_000030_000003	You know how to do that sort of thing.	You know how to do that sort of thing.	true	494.12	496.18	17.327288
7594_81881_000030_000004	You can score tremendously.	You can score tremendously.	true	496.34	498.375	21.224188
7594_81881_000030_000005	I never thought of it before.	I never thought of it before.	true	498.375	500.08	24.21978
7594_81881_000030_000006	By George! you can get him in the neck if you like."	By George! you can get him in the neck if you like."	true	500.45	503.83	20.499725
7594_81881_000031_000000	"But I don't like," said Paul.	"But I don't like," said Paul.	true	504.5	507.07	22.751318
7594_81881_000031_000001	"I happen to know that Mr. Finn is sincere in his convictions."	"I happen to know that mr Finn is sincere in his convictions."	true	507.41	511.57	19.515074
7594_81881_000032_000000	"But, my dear sir, what does his supposed sincerity matter in political contest?"	"But, my dear sir, what does his supposed sincerity matter in political contest?"	true	512.3	520.275	19.230917
7594_81881_000033_000000	"It's the difference between dirt and cleanliness," said Paul. "Besides, as I told you at the outset, Mr. Finn and I are close personal friends, and I have the highest regard for his character.	"It's the difference between dirt and cleanliness," said Paul. "Besides, as I told you at the outset, mr Finn and I are close personal friends, and I have the highest regard for his character.	true	520.275	533.59	22.43577
7594_81881_000033_000001	He has seen that his side has scrupulously refrained from personalities with regard to me, and I insist on the same observance with regard to him."	He has seen that his side has scrupulously refrained from personalities with regard to me, and I insist on the same observance with regard to him."	false	534.08	544.12	19.590565
7594_81881_000034_000000	"With all due deference to you, Mr. Savelli, you were called only the day before yesterday 'the spoiled darling of Duchesses' boudoirs.'"	"With all due deference to you, mr Savelli, you were called only the day before yesterday 'the spoiled darling of Duchesses' boudoirs.'"	false	545.48	555.33	21.293888
7594_81881_000035_000000	"It wasn't with Mr. Finn's cognizance.	"It wasn't with mr Finn's cognizance.	true	555.33	557.61	21.187344
7594_81881_000035_000001	I've found that out."	I've found that out."	false	557.61	559.15	21.187672
7594_81881_000036_000000	"Well," said the agent, leaning back-in the luxurious limousine, "I don't see why somebody, without your cognizance, shouldn't call Mr. Finn the spoiled minion of the Almighty's ante-chamber.	"Well," said the agent, leaning back in the luxurious limousine, "I don't see why somebody, without your cognizance, shouldn't call mr Finn the spoiled minion of the Almighty's ante chamber.	true	559.7	571.81	18.0732
7594_81881_000036_000001	That's a devilish good catch-phrase," he added, starting forward in the joy of his newborn epigram: "Devilish good.	That's a devilish good catch phrase," he added, starting forward in the joy of his newborn epigram: "Devilish good.	true	572.12	580.74	21.85159
7594_81881_000036_000002	'The spoiled minion of the Almighty's ante-chamber.' It'll become historical."	'The spoiled minion of the Almighty's ante chamber.' It'll become historical."	true	580.74	586.27	21.789228
7594_81881_000037_000000	"If it does," said Paul, "it will be associated with the immediate retirement of the Conservative candidate."	"If it does," said Paul, "it will be associated with the immediate retirement of the Conservative candidate."	true	587.18	594.58	21.653645
7594_81881_000038_000000	"Do you really mean that?"	"Do you really mean that?"	true	595.76	597.37	16.598778
7594_81881_000039_000000	It was Paul's turn to start forward.	It was Paul's turn to start forward.	true	598.19	600.61	24.610712
7594_81881_000039_000001	"My dear Wilson," said he, "if you or anybody else thinks I'm a man to talk through his hat, I'll retire at once.	"My dear Wilson," said he, "if you or anybody else thinks I'm a man to talk through his hat, I'll retire at once.	true	600.89	610.72	22.068436
7594_81881_000039_000002	I don't care a damn about myself.	I don't care a damn about myself.	true	611	613.275	20.15673
7594_81881_000039_000003	Not a little tuppenny damn. What the devil does it matter to me whether I get into Parliament or not?	Not a little tuppenny damn. What the devil does it matter to me whether I get into Parliament or not?	true	613.275	620.26	21.366982
7594_81881_000039_000004	Nothing.	Nothing.	true	620.42	621.46	25.119158
7594_81881_000039_000005	Not a tuppenny damn.	Not a tuppenny damn.	true	621.68	623.32	24.213972
7594_81881_000039_000006	You can't understand.	You can't understand.	true	623.81	625.35	25.582636
7594_81881_000039_000007	It's the party and the country.	It's the party and the country.	true	625.35	627.43	23.089193
7594_81881_000039_000008	For myself, personally, the whole thing can go to blazes.	For myself, personally, the whole thing can go to blazes.	true	627.74	631.45	21.971449
7594_81881_000039_000009	I'm in earnest, dead earnest," he continued, with a vehemence incomprehensible to Wilson.	I'm in earnest, dead earnest," he continued, with a vehemence incomprehensible to Wilson.	false	631.97	638.74	22.455715
7594_81881_000039_000010	"If anybody doesn't think so, I'll clear out at once"--he snapped his fingers.	"If anybody doesn't think so, I'll clear out at once"--he snapped his fingers.	false	639.17	644.56	23.422049
7594_81881_000039_000011	"But while I'm candidate everything I say I mean.	"But while I'm candidate everything I say I mean.	true	645.35	649.09	22.948612
7594_81881_000039_000012	I mean it intensely--with all my soul.	I mean it intensely-with all my soul.	true	649.16	652.48	21.188677
7594_81881_000039_000013	And I say that if there's a single insulting reference to Mr. Finn during this election, you'll be up against the wreck of your own political career."	And I say that if there's a single insulting reference to mr Finn during this election, you'll be up against the wreck of your own political career."	true	652.67	661.84	18
7594_81881_000040_000000	The agent watched the workings of his candidate's dark clear-cut face. He was very proud of his candidate, and found it difficult to realize that there were presumably sane people who would not vote for him on sight.	The agent watched the workings of his candidate's dark clear cut face. He was very proud of his candidate, and found it difficult to realize that there were presumably sane people who would not vote for him on sight.	true	663.44	677.56	21.675901
7594_81881_000040_000001	A lingering memory of grammar school days flashed on him when he told his wife later of the conversation, and he likened Paul to a wrathful Apollo.	A lingering memory of grammar school days flashed on him when he told his wife later of the conversation, and he likened Paul to a wrathful Apollo.	true	678.02	688.45	22.555676
7594_81881_000040_000002	Anxious to appease the god, he said humbly:	Anxious to appease the god, he said humbly:	true	689.09	692.32	19.832174
7594_81881_000041_000000	"It was the merest of suggestions, Mr. Savelli.	"It was the merest of suggestions, mr Savelli.	true	693.47	696.7	20.49669
7594_81881_000041_000001	Heaven knows we don't want to descend to personalities, and your retirement would be an unqualifiable disaster.	Heaven knows we don't want to descend to personalities, and your retirement would be an unqualifiable disaster.	true	697.34	704.77	20.864521
7594_81881_000041_000002	But--you'll pardon my mentioning it--you began this discussion by asking me whether the Almighty had common sense."	But-you'll pardon my mentioning it-you began this discussion by asking me whether the Almighty had common sense."	true	705.23	713.8	21.938898
7594_81881_000042_000000	"Well, has He or not?"	"Well, has He or not?"	true	714.68	717.4	22.924265
7594_81881_000043_000000	"Of course," said Wilson.	"Of course," said Wilson.	true	717.83	720.07	20.05909
7594_81881_000044_000000	"Then we're going to win this election," said Paul.	"Then we're going to win this election," said Paul.	true	720.59	723.58	19.02767
7594_81881_000045_000000	If he could have met enthusiasm with enthusiasm, all would have been well.	If he could have met enthusiasm with enthusiasm, all would have been well.	true	725.42	730.09	20.959858
7594_81881_000045_000001	The awakener of England could have captivated hearts by glowing pictures of a great and glorious future.	The awakener of England could have captivated hearts by glowing pictures of a great and glorious future.	true	730.61	737.14	21.93364
7594_81881_000045_000002	It would have been a counter-blaze to that lit by his opponent, which flamed in all the effulgence of a reckless reformer's promise, revealing a Utopia in which there would be no drunkenness, no crime, no poverty, and in which the rich, apparently, would have to work very hard in order to support the poor in comfortable idleness.	It would have been a counter blaze to that lit by his opponent, which flamed in all the effulgence of a reckless reformer's promise, revealing a Utopia in which there would be no drunkenness, no crime, no poverty, and in which the rich, apparently, would have to work very hard in order to support the poor in comfortable idleness.	true	737.45	761.02	22.84273
7594_81881_000045_000003	But beyond proving fallacies, Paul could do nothing--and even then, has there ever been a mob since the world began susceptible to logical argument?	But beyond proving fallacies, Paul could do nothing-and even then, has there ever been a mob since the world began susceptible to logical argument?	true	762.02	773.77	21.056805
7594_81881_000045_000004	So, all through the wintry days of the campaign, Silas Finn carried his fiery cross through the constituency, winning frenzied adherents, while Paul found it hard to rally the faithful round the drooping standard of St. George.	So, all through the wintry days of the campaign, Silas Finn carried his fiery cross through the constituency, winning frenzied adherents, while Paul found it hard to rally the faithful round the drooping standard of saint George.	true	774.74	789.55	21.088224
7594_81881_000046_000000	The days went on.	The days went on.	true	791	792.55	19.113138
7594_81881_000046_000001	Paul addressed his last meeting on the eve of the poll.	Paul addressed his last meeting on the eve of the poll.	true	793.19	796.57	20.791767
7594_81881_000046_000002	By a supreme effort he regained some of his former fire and eloquence.	By a supreme effort he regained some of his former fire and eloquence.	true	796.94	802.06	20.983522
7594_81881_000046_000003	He drove home exhausted, and going straight to bed slept like a dog till morning.	He drove home exhausted, and going straight to bed slept like a dog till morning.	true	802.19	808.21	21.412085
7594_81881_000047_000000	The servant who woke him brought a newspaper to the bedside.	The servant who woke him brought a newspaper to the bedside.	true	809.81	813.28	22.155666
7594_81881_000048_000000	"Something to interest you, sir."	"Something to interest you, sir."	true	814.07	816.04	22.158112
7594_81881_000049_000000	Paul looked at the headline indicated by the man.	Paul looked at the headline indicated by the man.	true	816.89	820.36	21.441519
7594_81881_000050_000000	"Hickney Heath Election.	"Hickney Heath Election.	true	821.66	823.57	22.650944
7594_81881_000050_000001	Liberal Candidate's Confession.	Liberal Candidate's Confession.	true	823.67	825.525	22
7594_81881_000050_000002	Extraordinary Scene."	Extraordinary Scene."	true	825.525	827.44	18.678856
7594_81881_000051_000000	He glanced hurriedly down the column and read with amazement and stabbing pain the matter that was of interest.	He glanced hurriedly down the column and read with amazement and stabbing pain the matter that was of interest.	false	828.35	835.27	18.4544
7594_81881_000051_000001	The worst had happened--the thing which during all his later life Silas Finn had feared.	The worst had happened-the thing which during all his later life Silas Finn had feared.	true	835.7	842.17	19.705147
7594_81881_000051_000002	The spectre of the prison had risen up against him.	The spectre of the prison had risen up against him.	true	842.78	846.67	23.326414
7594_81881_000052_000000	Towards the end of Silas Finn's speech, at his last great meeting, a man, sitting in the body of the hall near the platform, got up and interrupted him.	Towards the end of Silas Finn's speech, at his last great meeting, a man, sitting in the body of the hall near the platform, got up and interrupted him.	true	847.91	858.58	22.201647
7594_81881_000052_000001	"What about your own past life?	"What about your own past life?	true	859.49	861.73	22.268497
7594_81881_000052_000002	What about your three years' penal servitude?" All eyes were turned from the man--a common looking, evil man--to the candidate, who staggered as if he had been shot, caught at the table behind him for support and stared in greyfaced terror.	What about your three years' penal servitude?" All eyes were turned from the man-a common looking, evil man-to the candidate, who staggered as if he had been shot, caught at the table behind him for support and stared in greyfaced terror.	false	862.22	879.13	21.903118
7594_81881_000052_000003	There was an angry tumult, and the interrupter would have fared badly, but for Silas Finn holding up his hand and imploring silence.	There was an angry tumult, and the interrupter would have fared badly, but for Silas Finn holding up his hand and imploring silence.	true	879.23	887.89	21.66226
7594_81881_000053_000000	"I challenge the candidate to deny," said the man, as soon as he could be heard, "that his real name is Silas Kegworthy, and that he underwent three years' penal servitude for murderously assaulting his wife."	"I challenge the candidate to deny," said the man, as soon as he could be heard, "that his real name is Silas Kegworthy, and that he underwent three years' penal servitude for murderously assaulting his wife."	true	889.19	903.22	21.014927
7594_81881_000054_000000	Then the candidate braced himself and said: "The bare facts are true. But I have lived stainlessly in the fear of God and in the service of humanity for thirty years.	Then the candidate braced himself and said: "The bare facts are true. But I have lived stainlessly in the fear of God and in the service of humanity for thirty years.	true	904.43	916.99	20.426996
7594_81881_000054_000001	I have sought absolution for a moment of mad anger under awful provocation in unremitting prayer and in trying to save the souls and raise the fortunes of my fellow-men.	I have sought absolution for a moment of mad anger under awful provocation in unremitting prayer and in trying to save the souls and raise the fortunes of my fellow men.	true	917.6	930.07	21.046642
7594_81881_000054_000002	Is that all you have against me?"	Is that all you have against me?"	true	930.74	932.8	20.390799
7594_81881_000055_000000	"That's all," said the man.	"That's all," said the man.	true	933.53	935.53	22.947104
7594_81881_000056_000000	"It is for you, electors of Hickney Heath, to judge me."	"It is for you, electors of Hickney Heath, to judge me."	true	936.32	940.18	21.996986
7594_81881_000057_000000	He sat down amid tumultuous cheers, and the man who had interrupted him, after some rough handling, managed to make his escape.	He sat down amid tumultuous cheers, and the man who had interrupted him, after some rough handling, managed to make his escape.	true	941.63	950.8	21.016499
7594_81881_000057_000001	The chairman then put a vote of confidence in the candidate, which was carried by acclamation, and the meeting broke up.	The chairman then put a vote of confidence in the candidate, which was carried by acclamation, and the meeting broke up.	true	951.41	958.42	22.413433
7594_81881_000058_000000	Such were the essential facts in the somewhat highly coloured newspaper story which Paul read in stupefied horror.	Such were the essential facts in the somewhat highly coloured newspaper story which Paul read in stupefied horror.	true	960.14	967.63	21.256437
7594_81881_000058_000001	He dressed quickly and went to his sitting-room, where he rang up his father's house on the telephone.	He dressed quickly and went to his sitting room, where he rang up his father's house on the telephone.	true	968.27	973.69	22
7594_81881_000058_000002	Jane's voice met his ear.	Jane's voice met his ear.	true	973.97	975.94	20.208313
7594_81881_000059_000000	"It's Paul speaking," he replied.	"It's Paul speaking," he replied.	true	977.18	979.51	26.039297
7594_81881_000059_000001	"I've just this moment read of last night.	"I've just this moment read of last night.	true	980.33	982.695	19.258524
7594_81881_000059_000002	I'm shaken to my soul.	I'm shaken to my soul.	true	982.695	984.405	18
7594_81881_000059_000003	How is my father?"	How is my father?"	true	984.405	985.87	22.715403
7594_81881_000060_000000	"He's greatly upset," came the voice.	"He's greatly upset," came the voice.	true	986.3	988.84	22.361109
7594_81881_000060_000001	"He didn't sleep all night, and he's not at all well this morning.	"He didn't sleep all night, and he's not at all well this morning.	true	989.33	993.88	19.684969
7594_81881_000060_000002	Oh, it was a cruel, cowardly blow."	Oh, it was a cruel, cowardly blow."	true	994.07	996.67	23.342941
7594_81881_000061_000000	"Dastardly.	"Dastardly.	true	997.22	998.1	16.320507
7594_81881_000061_000001	Do you know who it was?"	Do you know who it was?"	true	998.1	999.58	18.986053
7594_81881_000062_000000	"No. Don't you?"	"no Don't you?"	true	1000.01	1001.62	24.055704
7594_81881_000063_000000	"I?	"I?	true	1002.02	1002.79	30.693075
7594_81881_000063_000001	Does either of you think that I--?"	Does either of you think that I-?"	true	1003.43	1005.88	22.447783
7594_81881_000064_000000	"No, no," came the voice, now curiously tearful.	"No, no," came the voice, now curiously tearful.	true	1006.01	1010.08	20.43517
7594_81881_000064_000001	"I didn't mean that.	"I didn't mean that.	true	1010.63	1012	20.158123
7594_81881_000064_000002	I forgot you've not had time to find out."	I forgot you've not had time to find out."	true	1012.28	1015.21	22.700504
7594_81881_000065_000000	"Who does he think it was?"	"Who does he think it was?"	false	1016.54	1018.21	20.753212
7594_81881_000066_000000	"Some old fellow prisoner who had a grudge against him."	"Some old fellow prisoner who had a grudge against him."	true	1018.82	1022.02	18.708733
7594_81881_000067_000000	"Were you at the meeting?"	"Were you at the meeting?"	true	1023.35	1024.57	26.425575
7594_81881_000068_000000	"Yes.	"Yes.	true	1024.67	1025.5	22.57118
7594_81881_000068_000001	Oh, Paul, it was splendid to see him face the audience.	Oh, Paul, it was splendid to see him face the audience.	true	1025.54	1029.04	21.125488
7594_81881_000068_000002	He spoke so simply and with such sorrowful dignity.	He spoke so simply and with such sorrowful dignity.	true	1029.11	1032.7	21
