5062_294697_000000_000000	We walked on until we reached that part of the Canongate street in which she lodged.	We walked on until we reached that part of the Canongate street in which she lodged.	false	2.85	12.75	23.842836
5062_294697_000007_000000	She stopped, and looked at me doubtingly, as if she felt far from sure, poor soul, of winning my confidence to begin with.	She stopped, and looked at me doubtingly, as if she felt far from sure, poor soul, of winning my confidence to begin with.	true	89.27	97.15	22
5062_294697_000007_000001	I acted on that hint, with the headlong impetuosity of a man who was in love.	I acted on that hint, with the headlong impetuosity of a man who was in love.	false	97.97	103.15	21
5062_294697_000008_000000	"I can give you exactly the recommendation you want," I said, "whenever you like.	"I can give you exactly the recommendation you want," I said, "whenever you like.	true	103.52	108.76	21.616325
5062_294697_000008_000001	Now, if you would prefer it."	Now, if you would prefer it."	true	108.92	110.92	23.919579
5062_294697_000009_000000	Her charming features brightened with pleasure.	Her charming features brightened with pleasure.	true	111.65	114.19	24
5062_294697_000009_000001	"Oh, you are indeed a friend to me!" she said, impulsively.	"Oh, you are indeed a friend to me!" she said, impulsively.	true	114.32	117.4	19
5062_294697_000009_000002	Her face clouded again--she saw my proposal in a new light.	Her face clouded again-she saw my proposal in a new light.	true	117.5	121.99	25.595495
5062_294697_000009_000003	"Have I any right," she asked, sadly, "to accept what you offer me?"	"Have I any right," she asked, sadly, "to accept what you offer me?"	true	122.54	127.15	23.27137
5062_294697_000010_000000	"Let me give you the letter," I answered, "and you can decide for yourself whether you will use it or not."	"Let me give you the letter," I answered, "and you can decide for yourself whether you will use it or not."	true	127.49	132.52	15
5062_294697_000011_000000	I put her arm again in mine, and entered the inn.	I put her arm again in mine, and entered the inn.	false	133.34	136.98	25.079603
5062_294697_000012_000000	She shrunk back in alarm.	She shrunk back in alarm.	true	136.98	139	25.188814
5062_294697_000012_000001	What would the landlady think if she saw her lodger enter the house at night in company with a stranger, and that stranger a gentleman?	What would the landlady think if she saw her lodger enter the house at night in company with a stranger, and that stranger a gentleman?	true	139.1	147.19	20
5062_294697_000012_000002	The landlady appeared as she made the objection. Reckless what I said or what I did, I introduced myself as her relative, and asked to be shown into a quiet room in which I could write a letter. After one sharp glance at me, the landlady appeared to be satisfied that she was dealing with a gentleman.	The landlady appeared as she made the objection. Reckless what I said or what I did, I introduced myself as her relative, and asked to be shown into a quiet room in which I could write a letter. After one sharp glance at me, the landlady appeared to be satisfied that she was dealing with a gentleman.	false	147.77	168.04	23.563381
5062_294697_000012_000003	She led the way into a sort of parlor behind the "bar," placed writing materials on the table, looked at my companion as only one woman can look at another under certain circumstances, and left us by ourselves.	She led the way into a sort of parlor behind the "bar," placed writing materials on the table, looked at my companion as only one woman can look at another under certain circumstances, and left us by ourselves.	true	168.35	182.74	22.305567
5062_294697_000013_000000	It was the first time I had ever been in a room with her alone. The embarrassing sense of her position had heightened her color and brightened her eyes.	It was the first time I had ever been in a room with her alone. The embarrassing sense of her position had heightened her color and brightened her eyes.	true	183.38	192.19	19.562283
5062_294697_000013_000001	She stood, leaning one hand on the table, confused and irresolute, her firm and supple figure falling into an attitude of unsought grace which it was literally a luxury to look at.	She stood, leaning one hand on the table, confused and irresolute, her firm and supple figure falling into an attitude of unsought grace which it was literally a luxury to look at.	true	192.71	205.96	23.408144
5062_294697_000013_000002	I said nothing; my eyes confessed my admiration; the writing materials lay untouched before me on the table.	I said nothing; my eyes confessed my admiration; the writing materials lay untouched before me on the table.	true	206.39	213.7	23.601503
5062_294697_000013_000003	How long the silence might have lasted I cannot say.	How long the silence might have lasted I cannot say.	true	214.22	217.57	18
5062_294697_000013_000004	She abruptly broke it.	She abruptly broke it.	true	217.91	219.58	24.660677
5062_294697_000013_000005	Her instinct warned her that silence might have its dangers, in our position.	Her instinct warned her that silence might have its dangers, in our position.	true	220.34	224.74	15
5062_294697_000013_000006	She turned to me with an effort; she said, uneasily, "I don't think you ought to write your letter to-night, sir."	She turned to me with an effort; she said, uneasily, "I don't think you ought to write your letter to night, sir."	false	225.29	233.31	20.181664
5062_294697_000014_000000	"Why not?"	"Why not?"	true	233.31	234.16	22.783815
5062_294697_000015_000000	"You know nothing of me.	"You know nothing of me.	true	234.47	235.93	23.140444
5062_294697_000015_000001	Surely you ought not to recommend a person who is a stranger to you?	Surely you ought not to recommend a person who is a stranger to you?	true	236.21	240.19	17
5062_294697_000015_000002	And I am worse than a stranger.	And I am worse than a stranger.	true	240.59	242.59	18.040112
5062_294697_000015_000003	I am a miserable wretch who has tried to commit a great sin--I have tried to destroy myself.	I am a miserable wretch who has tried to commit a great sin-I have tried to destroy myself.	true	243.11	249.37	23.109964
5062_294697_000015_000004	Perhaps the misery I was in might be some excuse for me, if you knew it.	Perhaps the misery I was in might be some excuse for me, if you knew it.	true	249.77	253.9	19
5062_294697_000015_000005	You ought to know it.	You ought to know it.	true	254.24	255.46	27.275663
5062_294697_000015_000006	But it's so late to-night, and I am so sadly tired--and there are some things, sir, which it is not easy for a woman to speak of in the presence of a man."	But it's so late to night, and I am so sadly tired-and there are some things, sir, which it is not easy for a woman to speak of in the presence of a man."	false	256.04	266.61	22.84675
5062_294697_000016_000000	Her head sunk on her bosom; her delicate lips trembled a little; she said no more.	Her head sunk on her bosom; her delicate lips trembled a little; she said no more.	true	266.61	272.29	25.51138
5062_294697_000016_000001	The way to reassure and console her lay plainly enough before me, if I chose to take it.	The way to reassure and console her lay plainly enough before me, if I chose to take it.	true	272.81	278.38	20
5062_294697_000016_000002	Without stopping to think, I took it.	Without stopping to think, I took it.	true	278.54	281.41	25.883978
5062_294697_000017_000000	Reminding her that she had herself proposed writing to me when we met that evening, I suggested that she should wait to tell the sad story of her troubles until it was convenient to her to send me the narrative in the form of a letter.	Reminding her that she had herself proposed writing to me when we met that evening, I suggested that she should wait to tell the sad story of her troubles until it was convenient to her to send me the narrative in the form of a letter.	true	282.14	295.96	19
5062_294697_000017_000001	"In the mean time," I added, "I have the most perfect confidence in you; and I beg as a favor that you will let me put it to the proof.	"In the mean time," I added, "I have the most perfect confidence in you; and I beg as a favor that you will let me put it to the proof.	true	296.84	306.16	23.859127
5062_294697_000017_000002	I can introduce you to a dressmaker in London who is at the head of a large establishment, and I will do it before I leave you to-night."	I can introduce you to a dressmaker in London who is at the head of a large establishment, and I will do it before I leave you to night."	true	306.62	314.8	22.881968
5062_294697_000018_000000	I dipped my pen in the ink as I said the words.	I dipped my pen in the ink as I said the words.	true	315.23	318.37	19
5062_294697_000018_000001	Let me confess frankly the lengths to which my infatuation led me.	Let me confess frankly the lengths to which my infatuation led me.	true	318.74	322.87	19
5062_294697_000018_000002	The dressmaker to whom I had alluded had been my mother's maid in f ormer years, and had been established in business with money lent by my late step-father, Mr. Germaine.	The dressmaker to whom I had alluded had been my mother's maid in f ormer years, and had been established in business with money lent by my late step father, mr Germaine.	true	323.33	334.66	21
5062_294697_000018_000003	I used both their names without scruple; and I wrote my recommendation in terms which the best of living women and the ablest of existing dressmakers could never have hoped to merit.	I used both their names without scruple; and I wrote my recommendation in terms which the best of living women and the ablest of existing dressmakers could never have hoped to merit.	true	335.21	346.93	23.783998
5062_294697_000018_000004	Will anybody find excuses for me?	Will anybody find excuses for me?	true	347.21	349.72	24.577053
5062_294697_000018_000005	Those rare persons who have been in love, and who have not completely forgotten it yet, may perhaps find excuses for me.	Those rare persons who have been in love, and who have not completely forgotten it yet, may perhaps find excuses for me.	true	349.97	357.88	22.20791
5062_294697_000018_000006	It matters little; I don't deserve them.	It matters little; I don't deserve them.	true	358.13	360.97	21.417562
5062_294697_000019_000000	I handed her the open letter to read.	I handed her the open letter to read.	true	361.61	364.18	22.737139
5062_294697_000020_000000	She blushed delightfully; she cast one tenderly grateful look at me, which I remembered but too well for many and many an after-day.	She blushed delightfully; she cast one tenderly grateful look at me, which I remembered but too well for many and many an after day.	true	364.49	374.56	23
5062_294697_000020_000001	The next moment, to my astonishment, this changeable creature changed again.	The next moment, to my astonishment, this changeable creature changed again.	true	374.84	379.93	23.099943
5062_294697_000020_000002	Some forgotten consideration seemed to have occurred to her.	Some forgotten consideration seemed to have occurred to her.	true	380.51	384.4	20.765697
5062_294697_000020_000003	She turned pale; the soft lines of pleasure in her face hardened, little by little; she regarded me with the saddest look of confusion and distress.	She turned pale; the soft lines of pleasure in her face hardened, little by little; she regarded me with the saddest look of confusion and distress.	false	384.68	395.23	22.965044
5062_294697_000020_000004	Putting the letter down before me on the table, she said, timidly:	Putting the letter down before me on the table, she said, timidly:	false	395.9	400.03	25.384039
5062_294697_000021_000000	"Would you mind adding a postscript, sir?"	"Would you mind adding a postscript, sir?"	true	400.4	403.21	24
5062_294697_000022_000000	I suppressed all appearance of surprise as well as I could, and took up the pen again.	I suppressed all appearance of surprise as well as I could, and took up the pen again.	true	404.15	409.21	25
5062_294697_000023_000000	"Would you please say," she went on, "that I am only to be taken on trial, at first?	"Would you please say," she went on, "that I am only to be taken on trial, at first?	true	409.64	416.17	24.201437
5062_294697_000023_000001	I am not to be engaged for more"--her voice sunk lower and lower, so that I could barely hear the next words--"for more than three months, certain."	I am not to be engaged for more"--her voice sunk lower and lower, so that I could barely hear the next words-"for more than three months, certain."	true	416.87	426.97	21.80958
5062_294697_000024_000000	It was not in human nature--perhaps I ought to say it was not in the nature of a man who was in my situation--to refrain from showing some curiosity, on being asked to supplement a letter of recommendation by such a postscript as this.	It was not in human nature-perhaps I ought to say it was not in the nature of a man who was in my situation-to refrain from showing some curiosity, on being asked to supplement a letter of recommendation by such a postscript as this.	true	427.79	443.53	21
5062_294697_000025_000000	"Have you some other employment in prospect?" I asked.	"Have you some other employment in prospect?" I asked.	true	444.2	447.19	21
5062_294697_000026_000000	"None," she answered, with her head down, and her eyes avoiding mine.	"None," she answered, with her head down, and her eyes avoiding mine.	false	447.62	451.45	17
5062_294697_000027_000000	An unworthy doubt of her--the mean offspring of jealousy--found its way into my mind.	An unworthy doubt of her-the mean offspring of jealousy-found its way into my mind.	true	452.21	457.84	22.139399
5062_294697_000028_000000	"Have you some absent friend," I went on, "who is likely to prove a better friend than I am, if you only give him time?"	"Have you some absent friend," I went on, "who is likely to prove a better friend than I am, if you only give him time?"	false	458.72	465.49	19.813366
5062_294697_000029_000000	She lifted her noble head.	She lifted her noble head.	true	466.16	468.04	25.617214
5062_294697_000029_000001	Her grand, guileless gray eyes rested on me with a look of patient reproach.	Her grand, guileless gray eyes rested on me with a look of patient reproach.	true	468.17	473.44	18
5062_294697_000030_000000	"I have not got a friend in the world," she said.	"I have not got a friend in the world," she said.	false	474.41	477.375	18
5062_294697_000030_000001	"For God's sake, ask me no more questions to-night!"	"For God's sake, ask me no more questions to night!"	true	477.375	480.34	22
5062_294697_000031_000000	I rose and gave her the letter once more--with the postscript added, in her own words.	I rose and gave her the letter once more-with the postscript added, in her own words.	false	481.13	486.43	22.908762
5062_294697_000032_000000	We stood together by the table; we looked at each other in a momentary silence.	We stood together by the table; we looked at each other in a momentary silence.	true	486.59	491.95	22.91462
5062_294697_000033_000000	"How can I thank you?" she murmured, softly.	"How can I thank you?" she murmured, softly.	true	493.31	495.85	22
5062_294697_000033_000001	"Oh, sir, I will indeed be worthy of the confidence that you have shown in me!" Her eyes moistened; her variable color came and went; her dress heaved softly over the lovely outline of her bosom.	"Oh, sir, I will indeed be worthy of the confidence that you have shown in me!" Her eyes moistened; her variable color came and went; her dress heaved softly over the lovely outline of her bosom.	true	495.92	508.96	21.790749
5062_294697_000033_000002	I don't believe the man lives who could have resisted her at that moment.	I don't believe the man lives who could have resisted her at that moment.	true	509.63	513.97	21
5062_294697_000033_000003	I lost all power of restraint; I caught her in my arms; I whispered, "I love you!" I kissed her passionately.	I lost all power of restraint; I caught her in my arms; I whispered, "I love you!" I kissed her passionately.	true	514.55	523.3	21.600533
5062_294697_000033_000004	For a moment she lay helpless and trembling on my breast; for a moment her fragrant lips softly returned the kiss.	For a moment she lay helpless and trembling on my breast; for a moment her fragrant lips softly returned the kiss.	true	523.76	531.96	21.258501
5062_294697_000033_000005	In an instant more it was over.	In an instant more it was over.	true	531.96	533.86	23.176792
5062_294697_000033_000006	She tore herself away with a shudder that shook her from head to foot, and threw the letter that I had given to her indignantly at my feet.	She tore herself away with a shudder that shook her from head to foot, and threw the letter that I had given to her indignantly at my feet.	true	534.11	542.14	19.916527
5062_294697_000034_000000	"How dare you take advantage of me!	"How dare you take advantage of me!	true	542.72	544.725	19
5062_294697_000034_000001	How dare you touch me!" she said. "Take your letter back, sir; I refuse to receive it; I will never speak to you again.	How dare you touch me!" she said. "Take your letter back, sir; I refuse to receive it; I will never speak to you again.	true	544.725	552.73	22.156458
5062_294697_000034_000002	You don't know what you have done.	You don't know what you have done.	true	553.04	554.86	21
5062_294697_000034_000003	You don't know how deeply you have wounded me.	You don't know how deeply you have wounded me.	true	555.08	557.59	19
5062_294697_000034_000004	Oh!" she cried, throwing herself in despair on a sofa that stood near her, "shall I ever recover my self-respect? shall I ever forgive myself for what I have done to-night?"	Oh!" she cried, throwing herself in despair on a sofa that stood near her, "shall I ever recover my self respect? shall I ever forgive myself for what I have done to night?"	true	557.87	569.26	21.509333
5062_294697_000035_000000	I implored her pardon; I assured her of my repentance and regret in words which did really come from my heart.	I implored her pardon; I assured her of my repentance and regret in words which did really come from my heart.	true	570.05	577.9	23
5062_294697_000035_000001	The violence of her agitation more than distressed me--I was really alarmed by it.	The violence of her agitation more than distressed me-I was really alarmed by it.	true	578.42	584.65	20.641699
5062_294697_000036_000000	She composed herself after a while.	She composed herself after a while.	true	585.41	587.89	21
5062_294697_000036_000001	She rose to her feet with modest dignity, and silently held out her hand in token that my repentance was accepted.	She rose to her feet with modest dignity, and silently held out her hand in token that my repentance was accepted.	true	588.08	596.17	23
5062_294697_000037_000000	"You will give me time for atonement?" I pleaded.	"You will give me time for atonement?" I pleaded.	true	596.75	599.56	21.470726
5062_294697_000037_000001	"You will not lose all confidence in me?	"You will not lose all confidence in me?	true	599.87	602.08	21
5062_294697_000037_000002	Let me see you again, if it is only to show that I am not quite unworthy of your pardon--at your own time; in the presence of another person, if you like."	Let me see you again, if it is only to show that I am not quite unworthy of your pardon-at your own time; in the presence of another person, if you like."	false	602.42	612.13	21.925146
5062_294697_000038_000000	"I will write to you," she said.	"I will write to you," she said.	true	612.83	614.685	31.289787
5062_294697_000039_000000	"To-morrow?"	"To morrow?"	true	614.685	615.61	27.808695
5062_294697_000040_000000	"To-morrow."	"To morrow."	true	616.1	617.11	19.466152
5062_294697_000041_000000	I took up the letter of recommendation from the floor.	I took up the letter of recommendation from the floor.	true	617.75	620.92	20
5062_294697_000042_000000	"Make your goodness to me complete," I said.	"Make your goodness to me complete," I said.	true	621.83	624.61	27.602194
5062_294697_000042_000001	"Don't mortify me by refusing to take my letter."	"Don't mortify me by refusing to take my letter."	true	625.04	628.24	22
5062_294697_000043_000000	"I will take your letter," she answered, quietly.	"I will take your letter," she answered, quietly.	true	628.58	631.3	25.545597
5062_294697_000043_000001	"Thank you for writing it.	"Thank you for writing it.	true	631.73	633.22	21.42928
5062_294697_000043_000002	Leave me now, please.	Leave me now, please.	true	633.59	635.17	22.142332
5062_294697_000043_000003	Good-night."	Good night."	true	635.48	636.43	27.655626
5062_294697_000044_000000	I left her, pale and sad, with my letter in her hand.	I left her, pale and sad, with my letter in her hand.	true	637.79	641.92	20.857918
5062_294697_000044_000001	I left her, with my mind in a tumult of contending emotions, which gradually resolved themselves into two master-feelings as I walked on: Love, that adored her more fervently than ever; and Hope, that set the prospect before me of seeing her again on the next day.	I left her, with my mind in a tumult of contending emotions, which gradually resolved themselves into two master feelings as I walked on: Love, that adored her more fervently than ever; and Hope, that set the prospect before me of seeing her again on the next day.	false	642.29	665.19	21.835001
