5062_294697_000001_000000	CHAPTER XI.	CHAPTER eleven.
5062_294697_000016_000000	Her head sunk on her bosom; her delicate lips trembled a little; she said no more.	Her head sunk on her bosom; her delicate lips trembled a little; she said no more.
5062_294697_000016_000001	The way to reassure and console her lay plainly enough before me, if I chose to take it.	The way to reassure and console her lay plainly enough before me, if I chose to take it.
5062_294697_000016_000002	Without stopping to think, I took it.	Without stopping to think, I took it.
5062_294697_000017_000001	"In the mean time," I added, "I have the most perfect confidence in you; and I beg as a favor that you will let me put it to the proof.	"In the mean time," I added, "I have the most perfect confidence in you; and I beg as a favor that you will let me put it to the proof.
5062_294697_000017_000002	I can introduce you to a dressmaker in London who is at the head of a large establishment, and I will do it before I leave you to-night."	I can introduce you to a dressmaker in London who is at the head of a large establishment, and I will do it before I leave you to night."
5062_294697_000018_000002	The dressmaker to whom I had alluded had been my mother's maid in f ormer years, and had been established in business with money lent by my late step-father, Mr. Germaine.	The dressmaker to whom I had alluded had been my mother's maid in f ormer years, and had been established in business with money lent by my late step father, mr Germaine.
5062_294697_000018_000003	I used both their names without scruple; and I wrote my recommendation in terms which the best of living women and the ablest of existing dressmakers could never have hoped to merit.	I used both their names without scruple; and I wrote my recommendation in terms which the best of living women and the ablest of existing dressmakers could never have hoped to merit.
5062_294697_000018_000004	Will anybody find excuses for me?	Will anybody find excuses for me?
5062_294697_000018_000005	Those rare persons who have been in love, and who have not completely forgotten it yet, may perhaps find excuses for me.	Those rare persons who have been in love, and who have not completely forgotten it yet, may perhaps find excuses for me.
5062_294697_000018_000006	It matters little; I don't deserve them.	It matters little; I don't deserve them.
5062_294697_000019_000000	I handed her the open letter to read.	I handed her the open letter to read.
5062_294697_000020_000000	She blushed delightfully; she cast one tenderly grateful look at me, which I remembered but too well for many and many an after-day.	She blushed delightfully; she cast one tenderly grateful look at me, which I remembered but too well for many and many an after day.
5062_294697_000020_000001	The next moment, to my astonishment, this changeable creature changed again.	The next moment, to my astonishment, this changeable creature changed again.
5062_294697_000020_000002	Some forgotten consideration seemed to have occurred to her.	Some forgotten consideration seemed to have occurred to her.
5062_294697_000021_000000	"Would you mind adding a postscript, sir?"	"Would you mind adding a postscript, sir?"
5062_294697_000022_000000	I suppressed all appearance of surprise as well as I could, and took up the pen again.	I suppressed all appearance of surprise as well as I could, and took up the pen again.
5062_294697_000023_000000	"Would you please say," she went on, "that I am only to be taken on trial, at first?	"Would you please say," she went on, "that I am only to be taken on trial, at first?
5062_294697_000023_000001	I am not to be engaged for more"--her voice sunk lower and lower, so that I could barely hear the next words--"for more than three months, certain."	I am not to be engaged for more"--her voice sunk lower and lower, so that I could barely hear the next words-"for more than three months, certain."
5062_294697_000024_000000	It was not in human nature--perhaps I ought to say it was not in the nature of a man who was in my situation--to refrain from showing some curiosity, on being asked to supplement a letter of recommendation by such a postscript as this.	It was not in human nature-perhaps I ought to say it was not in the nature of a man who was in my situation-to refrain from showing some curiosity, on being asked to supplement a letter of recommendation by such a postscript as this.
5062_294697_000025_000000	"Have you some other employment in prospect?" I asked.	"Have you some other employment in prospect?" I asked.
5062_294697_000027_000000	An unworthy doubt of her--the mean offspring of jealousy--found its way into my mind.	An unworthy doubt of her-the mean offspring of jealousy-found its way into my mind.
5062_294697_000029_000000	She lifted her noble head.	She lifted her noble head.
5062_294697_000030_000001	"For God's sake, ask me no more questions to-night!"	"For God's sake, ask me no more questions to night!"
5062_294697_000032_000000	We stood together by the table; we looked at each other in a momentary silence.	We stood together by the table; we looked at each other in a momentary silence.
5062_294697_000033_000000	"How can I thank you?" she murmured, softly.	"How can I thank you?" she murmured, softly.
5062_294697_000033_000001	"Oh, sir, I will indeed be worthy of the confidence that you have shown in me!" Her eyes moistened; her variable color came and went; her dress heaved softly over the lovely outline of her bosom.	"Oh, sir, I will indeed be worthy of the confidence that you have shown in me!" Her eyes moistened; her variable color came and went; her dress heaved softly over the lovely outline of her bosom.
5062_294697_000033_000002	I don't believe the man lives who could have resisted her at that moment.	I don't believe the man lives who could have resisted her at that moment.
5062_294697_000033_000003	I lost all power of restraint; I caught her in my arms; I whispered, "I love you!" I kissed her passionately.	I lost all power of restraint; I caught her in my arms; I whispered, "I love you!" I kissed her passionately.
5062_294697_000033_000004	For a moment she lay helpless and trembling on my breast; for a moment her fragrant lips softly returned the kiss.	For a moment she lay helpless and trembling on my breast; for a moment her fragrant lips softly returned the kiss.
5062_294697_000033_000005	In an instant more it was over.	In an instant more it was over.
5062_294697_000034_000001	How dare you touch me!" she said. "Take your letter back, sir; I refuse to receive it; I will never speak to you again.	How dare you touch me!" she said. "Take your letter back, sir; I refuse to receive it; I will never speak to you again.
5062_294697_000034_000002	You don't know what you have done.	You don't know what you have done.
5062_294697_000034_000004	Oh!" she cried, throwing herself in despair on a sofa that stood near her, "shall I ever recover my self-respect? shall I ever forgive myself for what I have done to-night?"	Oh!" she cried, throwing herself in despair on a sofa that stood near her, "shall I ever recover my self respect? shall I ever forgive myself for what I have done to night?"
5062_294697_000035_000000	I implored her pardon; I assured her of my repentance and regret in words which did really come from my heart.	I implored her pardon; I assured her of my repentance and regret in words which did really come from my heart.
5062_294697_000035_000001	The violence of her agitation more than distressed me--I was really alarmed by it.	The violence of her agitation more than distressed me-I was really alarmed by it.
5062_294697_000036_000000	She composed herself after a while.	She composed herself after a while.
5062_294697_000036_000001	She rose to her feet with modest dignity, and silently held out her hand in token that my repentance was accepted.	She rose to her feet with modest dignity, and silently held out her hand in token that my repentance was accepted.
5062_294697_000037_000000	"You will give me time for atonement?" I pleaded.	"You will give me time for atonement?" I pleaded.
5062_294697_000037_000001	"You will not lose all confidence in me?	"You will not lose all confidence in me?
5062_294697_000038_000000	"I will write to you," she said.	"I will write to you," she said.
5062_294697_000039_000000	"To-morrow?"	"To morrow?"
5062_294697_000041_000000	I took up the letter of recommendation from the floor.	I took up the letter of recommendation from the floor.
5062_294697_000042_000000	"Make your goodness to me complete," I said.	"Make your goodness to me complete," I said.
5062_294697_000042_000001	"Don't mortify me by refusing to take my letter."	"Don't mortify me by refusing to take my letter."
5062_294697_000043_000000	"I will take your letter," she answered, quietly.	"I will take your letter," she answered, quietly.
5062_294697_000043_000001	"Thank you for writing it.	"Thank you for writing it.
5062_294697_000043_000002	Leave me now, please.	Leave me now, please.
5062_294697_000043_000003	Good-night."	Good night."
5062_294697_000044_000000	I left her, pale and sad, with my letter in her hand.	I left her, pale and sad, with my letter in her hand.
