16_122828_000000_000001	She turned her head at Davy's question and answered dreamily,	She turned her head at Davy's question and answered dreamily,
16_122828_000027_000002	But if it isn't it may be too late to go to Wesley Keyson's afterward."	But if it isn't it may be too late to go to Wesley Keyson's afterward."
16_122828_000028_000000	Diana looked at a certain little square window over the basement.	Diana looked at a certain little square window over the basement.
16_122828_000029_000000	"That is the pantry window, I feel sure," she said, "because this house is just like Uncle Charles' at Newbridge, and that is their pantry window.	"That is the pantry window, I feel sure," she said, "because this house is just like Uncle Charles' at Newbridge, and that is their pantry window.
16_122828_000029_000001	The shade isn't down, so if we climbed up on the roof of that little house we could look into the pantry and might be able to see the platter.	The shade isn't down, so if we climbed up on the roof of that little house we could look into the pantry and might be able to see the platter.
16_122828_000030_000000	"No, I don't think so," decided Anne, after due reflection, "since our motive is not idle curiosity."	"No, I don't think so," decided Anne, after due reflection, "since our motive is not idle curiosity."
16_122828_000031_000000	This important point of ethics being settled, Anne prepared to mount the aforesaid "little house," a construction of lathes, with a peaked roof, which had in times past served as a habitation for ducks.	This important point of ethics being settled, Anne prepared to mount the aforesaid "little house," a construction of lathes, with a peaked roof, which had in times past served as a habitation for ducks.
16_122828_000031_000001	The Copp girls had given up keeping ducks . . .	The Copp girls had given up keeping ducks . . .
16_122828_000031_000003	Although scrupulously whitewashed it had become somewhat shaky, and Anne felt rather dubious as she scrambled up from the vantage point of a keg placed on a box.	Although scrupulously whitewashed it had become somewhat shaky, and Anne felt rather dubious as she scrambled up from the vantage point of a keg placed on a box.
16_122828_000032_000000	"I'm afraid it won't bear my weight," she said as she gingerly stepped on the roof.	"I'm afraid it won't bear my weight," she said as she gingerly stepped on the roof.
16_122828_000033_000000	"Lean on the window sill," advised Diana, and Anne accordingly leaned. Much to her delight, she saw, as she peered through the pane, a willow-ware platter, exactly such as she was in quest of, on the shelf in front of the window.	"Lean on the window sill," advised Diana, and Anne accordingly leaned. Much to her delight, she saw, as she peered through the pane, a willow ware platter, exactly such as she was in quest of, on the shelf in front of the window.
16_122828_000033_000001	So much she saw before the catastrophe came.	So much she saw before the catastrophe came.
16_122828_000033_000002	In her joy Anne forgot the precarious nature of her footing, incautiously ceased to lean on the window sill, gave an impulsive little hop of pleasure . . . and the next moment she had crashed through the roof up to her armpits, and there she hung, quite unable to extricate herself. Diana dashed into the duck house and, seizing her unfortunate friend by the waist, tried to draw her down.	In her joy Anne forgot the precarious nature of her footing, incautiously ceased to lean on the window sill, gave an impulsive little hop of pleasure . . . and the next moment she had crashed through the roof up to her armpits, and there she hung, quite unable to extricate herself. Diana dashed into the duck house and, seizing her unfortunate friend by the waist, tried to draw her down.
16_122828_000034_000002	See if you can put something under my feet . . . then perhaps I can draw myself up."	See if you can put something under my feet . . . then perhaps I can draw myself up."
16_122828_000035_000000	Diana hastily dragged in the previously mentioned keg and Anne found that it was just sufficiently high to furnish a secure resting place for her feet.	Diana hastily dragged in the previously mentioned keg and Anne found that it was just sufficiently high to furnish a secure resting place for her feet.
16_122828_000035_000001	But she could not release herself.	But she could not release herself.
16_122828_000036_000000	"Could I pull you out if I crawled up?" suggested Diana.	"Could I pull you out if I crawled up?" suggested Diana.
16_122828_000038_000000	"No . . . the splinters hurt too badly.	"No . . . the splinters hurt too badly.
16_122828_000038_000001	If you can find an axe you might chop me out, though.	If you can find an axe you might chop me out, though.
16_122828_000039_000000	Diana searched faithfully but no axe was to be found.	Diana searched faithfully but no axe was to be found.
16_122828_000040_000000	"I'll have to go for help," she said, returning to the prisoner.	"I'll have to go for help," she said, returning to the prisoner.
16_122828_000041_000000	"No, indeed, you won't," said Anne vehemently.	"No, indeed, you won't," said Anne vehemently.
16_122828_000041_000001	"If you do the story of this will get out everywhere and I shall be ashamed to show my face. No, we must just wait until the Copp girls come home and bind them to secrecy.	"If you do the story of this will get out everywhere and I shall be ashamed to show my face. No, we must just wait until the Copp girls come home and bind them to secrecy.
16_122828_000041_000002	They'll know where the axe is and get me out.	They'll know where the axe is and get me out.
16_122828_000041_000003	I'm not uncomfortable, as long as I keep perfectly still . . . not uncomfortable in BODY I mean.	I'm not uncomfortable, as long as I keep perfectly still . . . not uncomfortable in BODY I mean.
16_122828_000041_000004	I wonder what the Copp girls value this house at.	I wonder what the Copp girls value this house at.
16_122828_000041_000005	I shall have to pay for the damage I've done, but I wouldn't mind that if I were only sure they would understand my motive in peeping in at their pantry window.	I shall have to pay for the damage I've done, but I wouldn't mind that if I were only sure they would understand my motive in peeping in at their pantry window.
16_122828_000043_000000	"If they're not back by sunset you'll have to go for other assistance, I suppose," said Anne reluctantly, "but you mustn't go until you really have to.	"If they're not back by sunset you'll have to go for other assistance, I suppose," said Anne reluctantly, "but you mustn't go until you really have to.
16_122828_000043_000002	I wouldn't mind my misfortunes so much if they were romantic, as Mrs. Morgan's heroines' always are, but they are always just simply ridiculous.	I wouldn't mind my misfortunes so much if they were romantic, as mrs Morgan's heroines' always are, but they are always just simply ridiculous.
16_122828_000043_000003	Fancy what the Copp girls will think when they drive into their yard and see a girl's head and shoulders sticking out of the roof of one of their outhouses. Listen . . . is that a wagon?	Fancy what the Copp girls will think when they drive into their yard and see a girl's head and shoulders sticking out of the roof of one of their outhouses. Listen . . . is that a wagon?
16_122828_000043_000004	No, Diana, I believe it is thunder."	No, Diana, I believe it is thunder."
16_122828_000044_000000	Thunder it was undoubtedly, and Diana, having made a hasty pilgrimage around the house, returned to announce that a very black cloud was rising rapidly in the northwest.	Thunder it was undoubtedly, and Diana, having made a hasty pilgrimage around the house, returned to announce that a very black cloud was rising rapidly in the northwest.
16_122828_000045_000000	"I believe we're going to have a heavy thunder-shower," she exclaimed in dismay, "Oh, Anne, what will we do?"	"I believe we're going to have a heavy thunder shower," she exclaimed in dismay, "Oh, Anne, what will we do?"
16_122828_000046_000000	"We must prepare for it," said Anne tranquilly.	"We must prepare for it," said Anne tranquilly.
16_122828_000046_000001	A thunderstorm seemed a trifle in comparison with what had already happened.	A thunderstorm seemed a trifle in comparison with what had already happened.
16_122828_000046_000002	"You'd better drive the horse and buggy into that open shed.	"You'd better drive the horse and buggy into that open shed.
16_122828_000046_000003	Fortunately my parasol is in the buggy.	Fortunately my parasol is in the buggy.
16_122828_000046_000004	Here . . . take my hat with you.	Here . . . take my hat with you.
16_122828_000047_000000	Diana untied the pony and drove into the shed, just as the first heavy drops of rain fell.	Diana untied the pony and drove into the shed, just as the first heavy drops of rain fell.
16_122828_000047_000003	Occasionally Anne slanted back her parasol and waved an encouraging hand to her friend; But conversation at that distance was quite out of the question.	Occasionally Anne slanted back her parasol and waved an encouraging hand to her friend; But conversation at that distance was quite out of the question.
16_122828_000047_000004	Finally the rain ceased, the sun came out, and Diana ventured across the puddles of the yard.	Finally the rain ceased, the sun came out, and Diana ventured across the puddles of the yard.
16_122828_000048_000000	"Did you get very wet?" she asked anxiously.	"Did you get very wet?" she asked anxiously.
16_122828_000049_000001	"My head and shoulders are quite dry and my skirt is only a little damp where the rain beat through the lathes.	"My head and shoulders are quite dry and my skirt is only a little damp where the rain beat through the lathes.
16_122828_000049_000002	Don't pity me, Diana, for I haven't minded it at all.	Don't pity me, Diana, for I haven't minded it at all.
16_122828_000049_000003	I kept thinking how much good the rain will do and how glad my garden must be for it, and imagining what the flowers and buds would think when the drops began to fall.	I kept thinking how much good the rain will do and how glad my garden must be for it, and imagining what the flowers and buds would think when the drops began to fall.
16_122828_000049_000004	I imagined out a most interesting dialogue between the asters and the sweet peas and the wild canaries in the lilac bush and the guardian spirit of the garden.	I imagined out a most interesting dialogue between the asters and the sweet peas and the wild canaries in the lilac bush and the guardian spirit of the garden.
16_122828_000049_000005	When I go home I mean to write it down.	When I go home I mean to write it down.
16_122828_000049_000006	I wish I had a pencil and paper to do it now, because I daresay I'll forget the best parts before I reach home."	I wish I had a pencil and paper to do it now, because I daresay I'll forget the best parts before I reach home."
16_122828_000050_000000	Diana the faithful had a pencil and discovered a sheet of wrapping paper in the box of the buggy.	Diana the faithful had a pencil and discovered a sheet of wrapping paper in the box of the buggy.
16_122828_000051_000000	"Oh, Anne, it's sweet . . . just sweet.	"Oh, Anne, it's sweet . . . just sweet.
16_122828_000053_000000	"Oh, no, it wouldn't be suitable at all.	"Oh, no, it wouldn't be suitable at all.
16_122828_000053_000002	It's just a string of fancies.	It's just a string of fancies.
16_122828_000053_000003	I like writing such things, but of course nothing of the sort would ever do for publication, for editors insist on plots, so Priscilla says.	I like writing such things, but of course nothing of the sort would ever do for publication, for editors insist on plots, so Priscilla says.
16_122828_000053_000004	Oh, there's Miss Sarah Copp now. PLEASE, Diana, go and explain."	Oh, there's Miss Sarah Copp now. PLEASE, Diana, go and explain."
16_122828_000054_000000	Miss Sarah Copp was a small person, garbed in shabby black, with a hat chosen less for vain adornment than for qualities that would wear well. She looked as amazed as might be expected on seeing the curious tableau in her yard, but when she heard Diana's explanation she was all sympathy.	Miss Sarah Copp was a small person, garbed in shabby black, with a hat chosen less for vain adornment than for qualities that would wear well. She looked as amazed as might be expected on seeing the curious tableau in her yard, but when she heard Diana's explanation she was all sympathy.
16_122828_000054_000001	She hurriedly unlocked the back door, produced the axe, and with a few skillfull blows set Anne free.	She hurriedly unlocked the back door, produced the axe, and with a few skillfull blows set Anne free.
16_122828_000054_000002	The latter, somewhat tired and stiff, ducked down into the interior of her prison and thankfully emerged into liberty once more.	The latter, somewhat tired and stiff, ducked down into the interior of her prison and thankfully emerged into liberty once more.
16_122828_000055_000000	"Miss Copp," she said earnestly.	"Miss Copp," she said earnestly.
16_122828_000055_000001	"I assure you I looked into your pantry window only to discover if you had a willow-ware platter.	"I assure you I looked into your pantry window only to discover if you had a willow ware platter.
16_122828_000055_000002	I didn't see anything else--I didn't LOOK for anything else."	I didn't see anything else-I didn't LOOK for anything else."
16_122828_000056_000000	"Bless you, that's all right," said Miss Sarah amiably.	"Bless you, that's all right," said Miss Sarah amiably.
16_122828_000056_000001	"You needn't worry--there's no harm done.	"You needn't worry-there's no harm done.
16_122828_000056_000002	Thank goodness, we Copps keep our pantries presentable at all times and don't care who sees into them.	Thank goodness, we Copps keep our pantries presentable at all times and don't care who sees into them.
16_122828_000056_000003	As for that old duckhouse, I'm glad it's smashed, for maybe now Martha will agree to having it taken down.	As for that old duckhouse, I'm glad it's smashed, for maybe now Martha will agree to having it taken down.
16_122828_000056_000004	She never would before for fear it might come in handy sometime and I've had to whitewash it every spring.	She never would before for fear it might come in handy sometime and I've had to whitewash it every spring.
16_122828_000056_000005	But you might as well argue with a post as with Martha.	But you might as well argue with a post as with Martha.
16_122828_000056_000006	She went to town today--I drove her to the station.	She went to town today-I drove her to the station.
16_122828_000056_000007	And you want to buy my platter.	And you want to buy my platter.
16_122828_000057_000000	"Twenty dollars," said Anne, who was never meant to match business wits with a Copp, or she would not have offered her price at the start.	"Twenty dollars," said Anne, who was never meant to match business wits with a Copp, or she would not have offered her price at the start.
16_122828_000058_000000	"Well, I'll see," said Miss Sarah cautiously.	"Well, I'll see," said Miss Sarah cautiously.
16_122828_000058_000003	Martha's the boss of this establishment I can tell you.	Martha's the boss of this establishment I can tell you.
16_122828_000058_000004	I'm getting awful tired of living under another woman's thumb.	I'm getting awful tired of living under another woman's thumb.
16_122828_000058_000005	But come in, come in.	But come in, come in.
16_122828_000058_000006	You must be real tired and hungry.	You must be real tired and hungry.
16_122828_000058_000008	Martha locked up all the cake and cheese and preserves afore she went.	Martha locked up all the cake and cheese and preserves afore she went.
16_122828_000058_000009	She always does, because she says I'm too extravagant with them if company comes."	She always does, because she says I'm too extravagant with them if company comes."
16_122828_000060_000001	But it's worth twenty-five dollars.	But it's worth twenty five dollars.
16_122828_000060_000002	It's a very old platter."	It's a very old platter."
16_122828_000061_000001	She promptly agreed to give twenty-five and Miss Sarah looked as if she felt sorry she hadn't asked for thirty.	She promptly agreed to give twenty five and Miss Sarah looked as if she felt sorry she hadn't asked for thirty.
16_122828_000062_000000	"Well, I guess you may have it.	"Well, I guess you may have it.
16_122828_000062_000001	I want all the money I can scare up just now.	I want all the money I can scare up just now.
16_122828_000062_000002	The fact is--" Miss Sarah threw up her head importantly, with a proud flush on her thin cheeks--"I'm going to be married--to Luther Wallace.	The fact is-" Miss Sarah threw up her head importantly, with a proud flush on her thin cheeks-"I'm going to be married-to Luther Wallace.
16_122828_000062_000003	He wanted me twenty years ago.	He wanted me twenty years ago.
16_122828_000062_000006	Besides, I didn't know men were so skurse."	Besides, I didn't know men were so skurse."
16_122828_000063_000000	When the girls were safely away, Diana driving and Anne holding the coveted platter carefully on her lap, the green, rain-freshened solitudes of the Tory Road were enlivened by ripples of girlish laughter.	When the girls were safely away, Diana driving and Anne holding the coveted platter carefully on her lap, the green, rain freshened solitudes of the Tory Road were enlivened by ripples of girlish laughter.
16_122828_000064_000001	We've had a rather trying time but it's over now.	We've had a rather trying time but it's over now.
16_122828_000064_000002	I've got the platter, and that rain has laid the dust beautifully.	I've got the platter, and that rain has laid the dust beautifully.
16_122828_000064_000003	So 'all's well that ends well.'"	So 'all's well that ends well.'"
16_122828_000065_000000	"We're not home yet," said Diana rather pessimistically, "and there's no telling what may happen before we are.	"We're not home yet," said Diana rather pessimistically, "and there's no telling what may happen before we are.
