8195_117382_000000_000000	Chapter 2	Chapter two	false	0.6	16.47	23.430038
8195_117382_000008_000000	The heart of the Cardinal sank as he watched.	The heart of the Cardinal sank as he watched.	true	360.885	363.52	23.0866
8195_117382_000008_000001	There was not a member of his immediate family among them.	There was not a member of his immediate family among them.	true	363.92	366.97	19.526743
8195_117382_000008_000002	He pitied himself as he wondered if fate had in store for him the trials he saw others suffering.	He pitied himself as he wondered if fate had in store for him the trials he saw others suffering.	true	367.7	373.93	22.396368
8195_117382_000008_000003	Those dreadful feathered females!	Those dreadful feathered females!	true	375.8	378.1	20.002592
8195_117382_000008_000004	How they coquetted!	How they coquetted!	true	379.28	380.83	22.542711
8195_117382_000008_000005	How they flirted!	How they flirted!	true	381.41	382.78	22.487885
8195_117382_000008_000006	How they sleeked and flattened their plumage, and with half-open beaks and sparkling eyes, hopped closer and closer as if charmed.	How they sleeked and flattened their plumage, and with half open beaks and sparkling eyes, hopped closer and closer as if charmed.	true	383.03	392.92	21.84381
8195_117382_000008_000007	The eager singers, with swelling throats, sang and sang in a very frenzy of extravagant pleading, but just when they felt sure their little loves were on the point of surrender, a rod distant above the bushes would go streaks of feathers, and there was nothing left but to endure the bitter disappointment, follow them, and begin all over.	The eager singers, with swelling throats, sang and sang in a very frenzy of extravagant pleading, but just when they felt sure their little loves were on the point of surrender, a rod distant above the bushes would go streaks of feathers, and there was nothing left but to endure the bitter disappointment, follow them, and begin all over.	false	393.59	419.53	21.098516
8195_117382_000008_000008	For the last three days the Cardinal had been watching his cousin, rose-breasted Grosbeak, make violent love to the most exquisite little female, who apparently encouraged his advances, only to see him left sitting as blue and disconsolate as any human lover, when he discovers that the maid who has coquetted with him for a season belongs to another man.	For the last three days the Cardinal had been watching his cousin, rose breasted Grosbeak, make violent love to the most exquisite little female, who apparently encouraged his advances, only to see him left sitting as blue and disconsolate as any human lover, when he discovers that the maid who has coquetted with him for a season belongs to another man.	false	419.93	444.34	21.161736
8195_117382_000009_000000	The Cardinal flew to the very top of the highest sycamore and looked across country toward the Limberlost.	The Cardinal flew to the very top of the highest sycamore and looked across country toward the Limberlost.	true	445.97	452.62	22.61353
8195_117382_000009_000001	Should he go there seeking a swamp mate among his kindred?	Should he go there seeking a swamp mate among his kindred?	false	452.9	456.52	20.174143
8195_117382_000009_000002	It was not an endurable thought.	It was not an endurable thought.	true	457.31	459.58	22.933931
8195_117382_000009_000003	To be sure, matters were becoming serious.	To be sure, matters were becoming serious.	true	460.22	462.94	18.2788
8195_117382_000009_000004	No bird beside the shining river had plumed, paraded, or made more music than he.	No bird beside the shining river had plumed, paraded, or made more music than he.	true	463.76	469.545	20.747984
8195_117382_000009_000005	Was it all to be wasted?	Was it all to be wasted?	true	469.545	471.31	23.789076
8195_117382_000009_000006	By this time he confidently had expected results.	By this time he confidently had expected results.	true	471.74	475.39	22.196823
8195_117382_000009_000007	Only that morning he had swelled with pride as he heard Mrs. Jay tell her quarrelsome husband that she wished she could exchange him for the Cardinal.	Only that morning he had swelled with pride as he heard mrs Jay tell her quarrelsome husband that she wished she could exchange him for the Cardinal.	true	475.85	486.39	21.23332
8195_117382_000009_000008	Did not the gentle dove pause by the sumac, when she left brooding to take her morning dip in the dust, and gaze at him with unconcealed admiration?	Did not the gentle dove pause by the sumac, when she left brooding to take her morning dip in the dust, and gaze at him with unconcealed admiration?	false	486.39	496.27	20.981995
8195_117382_000009_000009	No doubt she devoutly wished her plain pudgy husband wore a scarlet coat.	No doubt she devoutly wished her plain pudgy husband wore a scarlet coat.	true	497.18	502.99	23.163563
8195_117382_000009_000010	But it is praise from one's own sex that is praise indeed, and only an hour ago the lark had reported that from his lookout above cloud he saw no other singer anywhere so splendid as the Cardinal of the sumac.	But it is praise from one's own sex that is praise indeed, and only an hour ago the lark had reported that from his lookout above cloud he saw no other singer anywhere so splendid as the Cardinal of the sumac.	true	504.29	519.13	22.089
8195_117382_000009_000011	Because of these things he held fast to his conviction that he was a prince indeed; and he decided to remain in his chosen location and with his physical and vocal attractions compel the finest little cardinal in the fields to seek him.	Because of these things he held fast to his conviction that he was a prince indeed; and he decided to remain in his chosen location and with his physical and vocal attractions compel the finest little cardinal in the fields to seek him.	true	520.43	536.17	22.174347
8195_117382_000010_000000	He planned it all very carefully: how she would hear his splendid music and come to take a peep at him; how she would be captivated by his size and beauty; how she would come timidly, but come, of course, for his approval; how he would condescend to accept her if she pleased him in all particulars; how she would be devoted to him; and how she would approve his choice of a home, for the sumac was in a lovely spot for scenery, as well as nest-building.	He planned it all very carefully: how she would hear his splendid music and come to take a peep at him; how she would be captivated by his size and beauty; how she would come timidly, but come, of course, for his approval; how he would condescend to accept her if she pleased him in all particulars; how she would be devoted to him; and how she would approve his choice of a home, for the sumac was in a lovely spot for scenery, as well as nest building.	false	537.5	571.48	20.534418
8195_117382_000011_000000	For several days he had boasted, he had bantered, he had challenged, he had on this last day almost condescended to coaxing, but not one little bright-eyed cardinal female had come to offer herself.	For several days he had boasted, he had bantered, he had challenged, he had on this last day almost condescended to coaxing, but not one little bright eyed cardinal female had come to offer herself.	true	572.09	585.76	20.332043
8195_117382_000012_000000	The performance of a brown thrush drove him wild with envy.	The performance of a brown thrush drove him wild with envy.	true	587.48	591.25	21.925255
8195_117382_000012_000001	The thrush came gliding up the river bank, a rusty-coated, sneaking thing of the underbrush, and taking possession of a thorn bush just opposite the sumac, he sang for an hour in the open.	The thrush came gliding up the river bank, a rusty coated, sneaking thing of the underbrush, and taking possession of a thorn bush just opposite the sumac, he sang for an hour in the open.	true	592.01	605.71	21.92603
8195_117382_000012_000002	There was no way to improve that music.	There was no way to improve that music.	true	605.96	608.41	24.59404
8195_117382_000012_000003	It was woven fresh from the warp and woof of his fancy. It was a song so filled with the joy and gladness of spring, notes so thrilled with love's pleading and passion's tender pulsing pain, that at its close there were a half-dozen admiring thrush females gathered around.	It was woven fresh from the warp and woof of his fancy. It was a song so filled with the joy and gladness of spring, notes so thrilled with love's pleading and passion's tender pulsing pain, that at its close there were a half dozen admiring thrush females gathered around.	false	608.93	628.695	21.187407
8195_117382_000012_000004	With care and deliberation the brown thrush selected the most attractive, and she followed him to the thicket as if charmed.	With care and deliberation the brown thrush selected the most attractive, and she followed him to the thicket as if charmed.	true	628.695	636.73	21.742752
8195_117382_000013_000000	It was the Cardinal's dream materialized for another before his very eyes, and it filled him with envy.	It was the Cardinal's dream materialized for another before his very eyes, and it filled him with envy.	true	637.37	643.75	21.407175
8195_117382_000013_000001	If that plain brown bird that slinked as if he had a theft to account for, could, by showing himself and singing for an hour, win a mate, why should not he, the most gorgeous bird of the woods, openly flaunting his charms and discoursing his music, have at least equal success?	If that plain brown bird that slinked as if he had a theft to account for, could, by showing himself and singing for an hour, win a mate, why should not he, the most gorgeous bird of the woods, openly flaunting his charms and discoursing his music, have at least equal success?	false	643.82	665.26	21.805178
8195_117382_000013_000002	Should he, the proudest, most magnificent of cardinals, be compelled to go seeking a mate like any common bird?	Should he, the proudest, most magnificent of cardinals, be compelled to go seeking a mate like any common bird?	true	666.2	674.62	21.805798
8195_117382_000013_000003	Perish the thought!	Perish the thought!	true	674.84	676.45	23.329657
8195_117382_000014_000000	He went to the river to bathe.	He went to the river to bathe.	true	676.91	678.49	21.599257
8195_117382_000014_000001	After finding a spot where the water flowed crystal-clear over a bed of white limestone, he washed until he felt that he could be no cleaner.	After finding a spot where the water flowed crystal clear over a bed of white limestone, he washed until he felt that he could be no cleaner.	false	678.83	687.61	22.08999
8195_117382_000014_000002	Then the Cardinal went to his favourite sun-parlour, and stretching on a limb, he stood his feathers on end, and sunned, fluffed and prinked until he was immaculate.	Then the Cardinal went to his favourite sun parlour, and stretching on a limb, he stood his feathers on end, and sunned, fluffed and prinked until he was immaculate.	false	688.55	700.06	20.484785
8195_117382_000015_000000	On the tip-top antler of the old stag sumac, he perched and strained until his jetty whiskers appeared stubby.	On the tip top antler of the old stag sumac, he perched and strained until his jetty whiskers appeared stubby.	true	701.09	708.52	22.4068
8195_117382_000015_000001	He poured out a tumultuous cry vibrant with every passion raging in him.	He poured out a tumultuous cry vibrant with every passion raging in him.	true	709.07	714.46	20.451427
8195_117382_000015_000002	He caught up his own rolling echoes and changed and varied them.	He caught up his own rolling echoes and changed and varied them.	true	715.58	720.82	21.051739
8195_117382_000015_000003	He improvised, and set the shining river ringing, "Wet year!	He improvised, and set the shining river ringing, "Wet year!	false	721.19	725.73	19.300058
8195_117382_000015_000004	Wet year!"	Wet year!"	true	725.73	726.79	23.112965
8195_117382_000016_000000	He whistled and whistled until all birdland and even mankind heard, for the farmer paused at his kitchen door, with his pails of foaming milk, and called to his wife:	He whistled and whistled until all birdland and even mankind heard, for the farmer paused at his kitchen door, with his pails of foaming milk, and called to his wife:	true	727.88	739.42	20.277737
8195_117382_000017_000000	"Hear that, Maria!	"Hear that, Maria!	true	740.39	741.66	22.851093
8195_117382_000017_000001	Jest hear it!	Jest hear it!	false	741.66	743.08	22.657585
8195_117382_000017_000002	I swanny, if that bird doesn't stop predictin' wet weather, I'll get so scared I won't durst put in my corn afore June.	I swanny, if that bird doesn't stop predictin' wet weather, I'll get so scared I won't durst put in my corn afore June.	true	743.54	752.58	21.45872
8195_117382_000017_000003	They's some birds like killdeers an' bobwhites 'at can make things pretty plain, but I never heard a bird 'at could jest speak words out clear an' distinct like that fellow.	They's some birds like killdeers an' bobwhites 'at can make things pretty plain, but I never heard a bird 'at could jest speak words out clear an' distinct like that fellow.	false	752.58	766.57	21.519503
8195_117382_000017_000004	Seems to come from the river bottom.	Seems to come from the river bottom.	true	767.27	769.87	17.932583
8195_117382_000017_000005	B'lieve I'll jest step down that way an' see if the lower field is ready for the plow yet."	B'lieve I'll jest step down that way an' see if the lower field is ready for the plow yet."	false	770.03	775.87	22.389189
8195_117382_000018_000000	"Abram Johnson," said his wife, "bein's you set up for an honest man, if you want to trapse through slush an' drizzle a half-mile to see a bird, why say so, but don't for land's sake lay it on to plowin' 'at you know in all conscience won't be ready for a week yet 'thout pretendin' to look."	"Abram Johnson," said his wife, "bein's you set up for an honest man, if you want to trapse through slush an' drizzle a half mile to see a bird, why say so, but don't for land's sake lay it on to plowin' 'at you know in all conscience won't be ready for a week yet 'thout pretendin' to look."	false	776.09	799.65	21.400862
8195_117382_000019_000000	Abram grinned sheepishly.	Abram grinned sheepishly.	true	799.65	801.61	20.805452
8195_117382_000019_000001	"I'm willin' to call it the bird if you are, Maria.	"I'm willin' to call it the bird if you are, Maria.	true	802.04	805.99	21.856527
8195_117382_000019_000002	I've been hearin' him from the barn all day, an' there's somethin' kind o' human in his notes 'at takes me jest a little diffrunt from any other bird I ever noticed.	I've been hearin' him from the barn all day, an' there's somethin' kind o' human in his notes 'at takes me jest a little diffrunt from any other bird I ever noticed.	false	806.87	818.64	20.722822
8195_117382_000019_000003	I'm really curious to set eyes on him.	I'm really curious to set eyes on him.	true	818.64	821.4	21.394253
8195_117382_000019_000004	Seemed to me from his singin' out to the barn, it 'ud be mighty near like meetin' folks."	Seemed to me from his singin' out to the barn, it 'u d be mighty near like meetin' folks."	false	821.4	828.31	22.262388
8195_117382_000020_000000	"Bosh!" exclaimed Maria.	"Bosh!" exclaimed Maria.	true	829.19	831.37	23.084805
8195_117382_000020_000001	"I don't s'pose he sings a mite better 'an any other bird.	"I don't s'pose he sings a mite better 'an any other bird.	true	831.92	835.3	19.657022
8195_117382_000020_000002	It's jest the old Wabash rollin' up the echoes.	It's jest the old Wabash rollin' up the echoes.	true	835.61	838.75	20.502321
8195_117382_000020_000003	A bird singin' beside the river always sounds twicet as fine as one on the hills.	A bird singin' beside the river always sounds twicet as fine as one on the hills.	false	839.48	845.71	20.577282
8195_117382_000020_000004	I've knowed that for forty year.	I've knowed that for forty year.	true	846.14	848.2	21.194153
8195_117382_000020_000005	Chances are 'at he'll be gone 'fore you get there."	Chances are 'at he'll be gone 'fore you get there."	false	848.69	852.61	22.96823
8195_117382_000021_000000	As Abram opened the door, "Wet year!	As Abram opened the door, "Wet year!	true	853.31	856.23	21.796183
8195_117382_000021_000001	Wet year!" pealed the flaming prophet.	Wet year!" pealed the flaming prophet.	false	856.23	859.21	21.953962
8195_117382_000022_000000	He went out, closing the door softly, and with an utter disregard for the corn field, made a bee line for the musician.	He went out, closing the door softly, and with an utter disregard for the corn field, made a bee line for the musician.	true	859.67	867.97	20.678192
8195_117382_000023_000000	"I don't know as this is the best for twinges o' rheumatiz," he muttered, as he turned up his collar and drew his old hat lower to keep the splashing drops from his face.	"I don't know as this is the best for twinges o' rheumatiz," he muttered, as he turned up his collar and drew his old hat lower to keep the splashing drops from his face.	false	868.19	879.22	21.631767
8195_117382_000023_000001	"I don't jest rightly s'pose I should go; but I'm free to admit I'd as lief be dead as not to answer when I get a call, an' the fact is, I'm CALLED down beside the river."	"I don't jest rightly s'pose I should go; but I'm free to admit I'd as lief be dead as not to answer when I get a call, an' the fact is, I'm CALLED down beside the river."	true	879.83	893.07	21.790434
8195_117382_000024_000000	"Wet year!	"Wet year!	false	893.07	895.29	10.948111
8195_117382_000024_000001	Wet year!" rolled the Cardinal's prediction.	Wet year!" rolled the Cardinal's prediction.	true	895.29	898.27	21.823822
8195_117382_000025_000000	"Thanky, old fellow!	"Thanky, old fellow!	true	899.21	900.64	23.65454
8195_117382_000025_000001	Glad to hear you!	Glad to hear you!	true	900.68	901.99	22.060705
8195_117382_000025_000002	Didn't jest need the information, but I got my bearin's rightly from it!	Didn't jest need the information, but I got my bearin's rightly from it!	false	902.87	909.45	20.095547
8195_117382_000025_000003	I can about pick out your bush, an' it's well along towards evenin', too, an' must be mighty near your bedtime.	I can about pick out your bush, an' it's well along towards evenin', too, an' must be mighty near your bedtime.	false	909.45	917.505	17
8195_117382_000025_000004	Looks as if you might be stayin' round these parts!	Looks as if you might be stayin' round these parts!	true	917.505	920.65	22.46663
8195_117382_000025_000005	I'd like it powerful well if you'd settle right here, say 'bout where you are.	I'd like it powerful well if you'd settle right here, say 'bout where you are.	false	920.9	927.06	22.877924
8195_117382_000025_000006	An' where are you, anyway?"	An' where are you, anyway?"	false	927.06	930.79	19.385502
8195_117382_000026_000000	Abram went peering and dodging beside the fence, peeping into the bushes, searching for the bird.	Abram went peering and dodging beside the fence, peeping into the bushes, searching for the bird.	true	930.83	938.68	22.366556
8195_117382_000026_000001	Suddenly there was a whir of wings and a streak of crimson.	Suddenly there was a whir of wings and a streak of crimson.	false	939.02	943.72	20.505285
8195_117382_000027_000000	"Scared you into the next county, I s'pose," he muttered.	"Scared you into the next county, I s'pose," he muttered.	true	945.02	948.97	19.595322
8195_117382_000028_000000	But it came nearer being a scared man than a frightened bird, for the Cardinal flashed straight toward him until only a few yards away, and then, swaying on a bush, it chipped, cheered, peeked, whistled broken notes, and manifested perfect delight at the sight of the white-haired old man.	But it came nearer being a scared man than a frightened bird, for the Cardinal flashed straight toward him until only a few yards away, and then, swaying on a bush, it chipped, cheered, peeked, whistled broken notes, and manifested perfect delight at the sight of the white haired old man.	true	949.55	971.98	21.76108
8195_117382_000028_000001	Abram stared in astonishment.	Abram stared in astonishment.	true	972.92	975.55	21.751068
8195_117382_000029_000000	"Lord A'mighty!" he gasped.	"Lord A'mighty!" he gasped.	true	976.64	979.39	18.684502
8195_117382_000029_000001	"Big as a blackbird, red as a live coal, an' a-comin' right at me.	"Big as a blackbird, red as a live coal, an' a comin' right at me.	true	979.76	986.41	21.298307
8195_117382_000029_000002	You are somebody's pet, that's what you are! An' no, you ain't either.	You are somebody's pet, that's what you are! An' no, you ain't either.	false	986.42	992.44	19.01046
8195_117382_000029_000003	Settin' on a sawed stick in a little wire house takes all the ginger out of any bird, an' their feathers are always mussy.	Settin' on a sawed stick in a little wire house takes all the ginger out of any bird, an' their feathers are always mussy.	true	993.11	1003.51	20.451769
8195_117382_000029_000004	Inside o' a cage never saw you, for they ain't a feather out o' place on you.	Inside o' a cage never saw you, for they ain't a feather out o' place on you.	false	1004.63	1011.5	21.886362
8195_117382_000029_000005	You are finer'n a piece o' red satin.	You are finer'n a piece o' red satin.	true	1011.5	1014.21	17
8195_117382_000029_000006	An' you got that way o' swingin' an' dancin' an' high-steppin' right out in God A'mighty's big woods, a teeterin' in the wind, an' a dartin' 'crost the water.	An' you got that way o' swingin' an' dancin' an' high steppin' right out in God A'mighty's big woods, a teeterin' in the wind, an' a dartin' 'crost the water.	false	1014.21	1025.59	20.058685
8195_117382_000029_000007	Cage never touched you!	Cage never touched you!	true	1025.6	1027.34	23.543566
8195_117382_000029_000008	But you are somebody's pet jest the same.	But you are somebody's pet jest the same.	false	1027.34	1030.35	21.509745
8195_117382_000029_000009	An' I look like the man, an' you are tryin' to tell me so, by gum!"	An' I look like the man, an' you are tryin' to tell me so, by gum!"	false	1030.35	1035.58	20.433702
8195_117382_000030_000000	Leaning toward Abram, the Cardinal turned his head from side to side, and peered, "chipped," and waited for an answering "Chip" from a little golden-haired child, but there was no way for the man to know that.	Leaning toward Abram, the Cardinal turned his head from side to side, and peered, "chipped," and waited for an answering "Chip" from a little golden haired child, but there was no way for the man to know that.	true	1036.34	1050.34	21.430971
8195_117382_000031_000000	"It's jest as sure as fate," he said.	"It's jest as sure as fate," he said.	false	1050.92	1053.37	23.34871
8195_117382_000031_000001	"You think you know me, an' you are tryin' to tell me somethin'.	"You think you know me, an' you are tryin' to tell me somethin'.	false	1053.83	1058.01	20.310982
8195_117382_000031_000002	Wish to land I knowed what you want! Are you tryin' to tell me `Howdy'?	Wish to land I knowed what you want! Are you tryin' to tell me backquote Howdy'?	false	1058.01	1062.54	21.298506
8195_117382_000031_000003	Well, I don't 'low nobody to be politer 'an I am, so far as I know."	Well, I don't 'low nobody to be politer 'an I am, so far as I know."	false	1062.54	1067.89	18
8195_117382_000032_000000	Abram lifted his old hat, and the raindrops glistened on his white hair.	Abram lifted his old hat, and the raindrops glistened on his white hair.	true	1070.27	1075.15	22.972866
8195_117382_000032_000001	He squared his shoulders and stood very erect.	He squared his shoulders and stood very erect.	true	1075.52	1079.05	22.523272
8195_117382_000033_000000	"Howdy, Mr. Redbird!	"Howdy, mr Redbird!	true	1079.84	1081.93	19.706245
8195_117382_000033_000001	How d'ye find yerself this evenin'?	How d'ye find yerself this evenin'?	false	1082.54	1084.81	19.44641
8195_117382_000033_000002	I don't jest riccolict ever seein' you before, but I'll never meet you agin 'thout knowin' you.	I don't jest riccolict ever seein' you before, but I'll never meet you agin 'thout knowin' you.	false	1086.26	1094.26	19.671034
8195_117382_000033_000003	When d'you arrive?	When d'you arrive?	false	1094.78	1096.35	23.477642
8195_117382_000033_000004	Come through by the special midnight flyer, did you?	Come through by the special midnight flyer, did you?	false	1096.35	1099.03	21.05963
8195_117382_000033_000005	Well, you never was more welcome any place in your life.	Well, you never was more welcome any place in your life.	true	1099.94	1103.51	20.435324
8195_117382_000033_000006	I'd give a right smart sum this minnit if you'd say you came to settle on this river bank.	I'd give a right smart sum this minnit if you'd say you came to settle on this river bank.	false	1103.51	1110.04	20.774044
8195_117382_000033_000007	How do you like it?	How do you like it?	true	1110.44	1111.87	23.358543
8195_117382_000033_000008	To my mind it's jest as near Paradise as you'll strike on earth.	To my mind it's jest as near Paradise as you'll strike on earth.	false	1112.06	1117.21	21.085285
8195_117382_000034_000000	"Old Wabash is a twister for curvin' and windin' round, an' it's limestone bed half the way, an' the water's as pretty an' clear as in Maria's springhouse.	"Old Wabash is a twister for curvin' and windin' round, an' it's limestone bed half the way, an' the water's as pretty an' clear as in Maria's springhouse.	false	1118.18	1131.06	21.274397
8195_117382_000034_000001	An' as for trimmin', why say, Mr. Redbird, I'll jest leave it to you if she ain't all trimmed up like a woman's spring bunnit.	An' as for trimmin', why say, mr Redbird, I'll jest leave it to you if she ain't all trimmed up like a woman's spring bunnit.	false	1131.06	1142.25	20.68805
8195_117382_000034_000002	Look at the grass a-creepin' right down till it's a trailin' in the water!	Look at the grass a creepin' right down till it's a trailin' in the water!	true	1142.25	1147.99	22.248726
