3513_163607_000000_000000	Thus he became King.	Thus he became King.	false	0	2.64	16.880127
3513_163607_000033_000000	It was the king of the band.	It was the king of the band.	true	356.66	358.33	16.280468
3513_163607_000034_000000	'Are they all there, friend Blanchet?' asked the bagpiper.	'Are they all there, friend Blanchet?' asked the bagpiper.	true	359.03	361.98	24.589943
3513_163607_000035_000000	'They are all there,' replied friend Blanchet.	'They are all there,' replied friend Blanchet.	false	361.98	365.34	20.844954
3513_163607_000036_000000	'And how many were they?'	'And how many were they?'	true	365.34	366.58	15
3513_163607_000037_000000	'Nine hundred and ninety thousand, nine hundred and ninety-nine.'	'Nine hundred and ninety thousand, nine hundred and ninety nine.'	true	366.8	370.39	17
3513_163607_000038_000000	'Well reckoned?'	'Well reckoned?'	true	370.97	372.16	26
3513_163607_000039_000000	'Well reckoned.'	'Well reckoned.'	true	372.2	373.33	25.545828
3513_163607_000040_000000	'Then go and join them, old sire, and au revoir.'	'Then go and join them, old sire, and au revoir.'	false	373.67	377.82	17.751465
3513_163607_000041_000000	Then the old white rat sprang in his turn into the river, swam to the whirlpool and disappeared.	Then the old white rat sprang in his turn into the river, swam to the whirlpool and disappeared.	true	377.82	383.35	17
3513_163607_000042_000000	When the bagpiper had thus concluded his business he went to bed at his inn.	When the bagpiper had thus concluded his business he went to bed at his inn.	true	383.84	387.91	18
3513_163607_000042_000001	And for the first time during three months the people of Hamel slept quietly through the night.	And for the first time during three months the people of Hamel slept quietly through the night.	false	388.37	393.49	18
3513_163607_000043_000000	The next morning, at nine o'clock, the bagpiper repaired to the town hall, where the town council awaited him.	The next morning, at nine o'clock, the bagpiper repaired to the town hall, where the town council awaited him.	true	393.95	399.7	19
3513_163607_000044_000000	'All your rats took a jump into the river yesterday,' said he to the counsellors, 'and I guarantee that not one of them comes back.	'All your rats took a jump into the river yesterday,' said he to the counsellors, 'and I guarantee that not one of them comes back.	true	400.19	407.17	22
3513_163607_000044_000001	They were nine hundred and ninety thousand, nine hundred and ninety-nine, at one gros a head.	They were nine hundred and ninety thousand, nine hundred and ninety nine, at one gros a head.	true	408.05	414.09	17
3513_163607_000044_000002	Reckon!'	Reckon!'	true	414.09	414.81	25.220272
3513_163607_000045_000000	'Let us reckon the heads first.	'Let us reckon the heads first.	false	414.81	417.3	20.781729
3513_163607_000045_000001	One gros a head is one head the gros. Where are the heads?'	One gros a head is one head the gros. Where are the heads?'	true	417.3	422.77	19.94231
3513_163607_000046_000000	The ratcatcher did not expect this treacherous stroke.	The ratcatcher did not expect this treacherous stroke.	true	423.62	426.69	20
3513_163607_000046_000001	He paled with anger and his eyes flashed fire.	He paled with anger and his eyes flashed fire.	false	426.69	429.7	17
3513_163607_000047_000000	'The heads!' cried he, 'if you care about them, go and find them in the river.'	'The heads!' cried he, 'if you care about them, go and find them in the river.'	true	429.92	434.41	24.443089
3513_163607_000048_000000	'So,' replied the Town Counsellor, 'you refuse to hold to the terms of your agreement?	'So,' replied the Town Counsellor, 'you refuse to hold to the terms of your agreement?	true	434.66	439.72	19
3513_163607_000048_000001	We ourselves could refuse you all payment.	We ourselves could refuse you all payment.	true	439.79	442.21	18
3513_163607_000048_000002	But you have been of use to us, and we will not let you go without a recompense,' and he offered him fifty crowns.	But you have been of use to us, and we will not let you go without a recompense,' and he offered him fifty crowns.	false	442.25	448.57	18.379097
3513_163607_000049_000000	'Keep your recompense for yourself,' replied the ratcatcher proudly.	'Keep your recompense for yourself,' replied the ratcatcher proudly.	true	449.45	452.74	21
3513_163607_000049_000001	'If you do not pay me I will be paid by your heirs.'	'If you do not pay me I will be paid by your heirs.'	true	452.81	456.22	20
3513_163607_000050_000000	Thereupon he pulled his hat down over his eyes, went hastily out of the hall, and left the town without speaking to a soul.	Thereupon he pulled his hat down over his eyes, went hastily out of the hall, and left the town without speaking to a soul.	true	457.37	463.9	18
3513_163607_000051_000000	When the Hamel people heard how the affair had ended they rubbed their hands, and with no more scruple than their Town Counsellor, they laughed over the ratcatcher, who, they said, was caught in his own trap.	When the Hamel people heard how the affair had ended they rubbed their hands, and with no more scruple than their Town Counsellor, they laughed over the ratcatcher, who, they said, was caught in his own trap.	true	464.42	476.71	18
3513_163607_000051_000001	But what made them laugh above all was his threat of getting himself paid by their heirs.	But what made them laugh above all was his threat of getting himself paid by their heirs.	true	476.84	481.95	17
3513_163607_000051_000002	Ha! they wished that they only had such creditors for the rest of their lives.	Ha! they wished that they only had such creditors for the rest of their lives.	false	481.95	486.4	20
3513_163607_000052_000000	Next day, which was a Sunday, they all went gaily to church, thinking that after Mass they would at last be able to eat some good thing that the rats had not tasted before them.	Next day, which was a Sunday, they all went gaily to church, thinking that after Mass they would at last be able to eat some good thing that the rats had not tasted before them.	false	487.64	498.79	19.725256
3513_163607_000053_000000	They never suspected the terrible surprise that awaited them on their return home.	They never suspected the terrible surprise that awaited them on their return home.	true	499.46	503.56	19
3513_163607_000053_000001	No children anywhere, they had all disappeared!	No children anywhere, they had all disappeared!	true	503.72	507.01	19
3513_163607_000054_000000	'Our children! where are our poor children?' was the cry that was soon heard in all the streets.	'Our children! where are our poor children?' was the cry that was soon heard in all the streets.	true	507.5	512.62	21
3513_163607_000055_000000	Then through the east door of the town came three little boys, who cried and wept, and this is what they told:	Then through the east door of the town came three little boys, who cried and wept, and this is what they told:	true	513.05	520.26	20.626762
3513_163607_000056_000000	While the parents were at church a wonderful music had resounded.	While the parents were at church a wonderful music had resounded.	true	520.26	524.53	19
3513_163607_000056_000001	Soon all the little boys and all the little girls that had been left at home had gone out, attracted by the magic sounds, and had rushed to the great market-place.	Soon all the little boys and all the little girls that had been left at home had gone out, attracted by the magic sounds, and had rushed to the great market place.	true	524.57	533.53	19
3513_163607_000056_000002	There they found the ratcatcher playing his bagpipes at the same spot as the evening before.	There they found the ratcatcher playing his bagpipes at the same spot as the evening before.	true	533.63	538.24	20
3513_163607_000056_000003	Then the stranger had begun to walk quickly, and they had followed, running, singing and dancing to the sound of the music, as far as the foot of the mountain which one sees on entering Hamel.	Then the stranger had begun to walk quickly, and they had followed, running, singing and dancing to the sound of the music, as far as the foot of the mountain which one sees on entering Hamel.	true	538.55	549.31	17
3513_163607_000056_000004	At their approach the mountain had opened a little, and the bagpiper had gone in with them, after which it had closed again. Only the three little ones who told the adventure had remained outside, as if by a miracle.	At their approach the mountain had opened a little, and the bagpiper had gone in with them, after which it had closed again. Only the three little ones who told the adventure had remained outside, as if by a miracle.	true	549.59	563.59	20
3513_163607_000056_000005	One was bandy-legged and could not run fast enough; the other, who had left the house in haste, one foot shod the other bare, had hurt himself against a big stone and could not walk without difficulty; the third had arrived in time, but in harrying to go in with the others had struck so violently against the wall of the mountain that he fell backwards at the moment it closed upon his comrades.	One was bandy legged and could not run fast enough; the other, who had left the house in haste, one foot shod the other bare, had hurt himself against a big stone and could not walk without difficulty; the third had arrived in time, but in harrying to go in with the others had struck so violently against the wall of the mountain that he fell backwards at the moment it closed upon his comrades.	true	563.9	587.41	19
3513_163607_000057_000000	At this story the parents redoubled their lamentations.	At this story the parents redoubled their lamentations.	true	588.47	592.21	18
3513_163607_000057_000001	They ran with pikes and mattocks to the mountain, and searched till evening to find the opening by which their children had disappeared, without being able to find it.	They ran with pikes and mattocks to the mountain, and searched till evening to find the opening by which their children had disappeared, without being able to find it.	true	592.46	601.54	19
3513_163607_000057_000002	At last, the night falling, they returned desolate to Hamel.	At last, the night falling, they returned desolate to Hamel.	false	601.67	605.47	17
3513_163607_000058_000000	But the most unhappy of all was the Town Counsellor, for he lost three little boys and two pretty little girls, and to crown all, the people of Hamel overwhelmed him with reproaches, forgetting that the evening before they had all agreed with him.	But the most unhappy of all was the Town Counsellor, for he lost three little boys and two pretty little girls, and to crown all, the people of Hamel overwhelmed him with reproaches, forgetting that the evening before they had all agreed with him.	false	607.61	624.28	20.647913
3513_163607_000059_000000	What had become of all these unfortunate children?	What had become of all these unfortunate children?	true	624.95	627.97	15
3513_163607_000060_000000	The parents always hoped they were not dead, and that the rat-catcher, who certainly must have come out of the mountain, would have taken them with him to his country.	The parents always hoped they were not dead, and that the rat catcher, who certainly must have come out of the mountain, would have taken them with him to his country.	false	628.19	637.03	20
3513_163607_000060_000001	That is why for several years they sent in search of them to different countries, but no one ever came on the trace of the poor little ones.	That is why for several years they sent in search of them to different countries, but no one ever came on the trace of the poor little ones.	true	637.34	644.53	19
3513_163607_000061_000000	It was not till much later that anything was to be heard of them.	It was not till much later that anything was to be heard of them.	true	644.99	648.7	18
3513_163607_000062_000000	About one hundred and fifty years after the event, when there was no longer one left of the fathers, mothers, brothers or sisters of that day, there arrived one evening in Hamel some merchants of Bremen returning from the East, who asked to speak with the citizens.	About one hundred and fifty years after the event, when there was no longer one left of the fathers, mothers, brothers or sisters of that day, there arrived one evening in Hamel some merchants of Bremen returning from the East, who asked to speak with the citizens.	false	649.67	667.03	19
3513_163607_000062_000001	They told that they, in crossing Hungary, had sojourned in a mountainous country called Transylvania, where the inhabitants only spoke German, while all around them nothing was spoken but Hungarian.	They told that they, in crossing Hungary, had sojourned in a mountainous country called Transylvania, where the inhabitants only spoke German, while all around them nothing was spoken but Hungarian.	false	667.34	680.38	19
3513_163607_000062_000002	These people also declared that they came from Germany, but they did not know how they chanced to be in this strange country.	These people also declared that they came from Germany, but they did not know how they chanced to be in this strange country.	true	680.6	687.73	20
3513_163607_000062_000003	'Now,' said the merchants of Bremen, 'these Germans cannot be other than the descendants of the lost children of Hamel.'	'Now,' said the merchants of Bremen, 'these Germans cannot be other than the descendants of the lost children of Hamel.'	true	687.95	694.12	16
3513_163607_000063_000000	The people of Hamel did not doubt it; and since that day they regard it as certain that the Transylvanians of Hungary are their country folk, whose ancestors, as children, were brought there by the ratcatcher. There are more difficult things to believe than that.(16)	The people of Hamel did not doubt it; and since that day they regard it as certain that the Transylvanians of Hungary are their country folk, whose ancestors, as children, were brought there by the ratcatcher. There are more difficult things to believe than that.(sixteen)	false	694.58	726.87	19.423847
