114_129317_000004_000000	CHAPTER XXXIV	CHAPTER thirty four
114_129317_000039_000001	'You will not press these overstrained opinions of yours, so far, as to throw any obstacle in my way?'	'You will not press these overstrained opinions of yours, so far, as to throw any obstacle in my way?'
114_129317_000040_000000	'I will not,' rejoined Mrs. Maylie; 'but I would have you consider--'	'I will not,' rejoined mrs Maylie; 'but I would have you consider-'
114_129317_000041_000001	I have considered, ever since I have been capable of serious reflection.	I have considered, ever since I have been capable of serious reflection.
114_129317_000041_000002	My feelings remain unchanged, as they ever will; and why should I suffer the pain of a delay in giving them vent, which can be productive of no earthly good?	My feelings remain unchanged, as they ever will; and why should I suffer the pain of a delay in giving them vent, which can be productive of no earthly good?
114_129317_000041_000003	No!	No!
114_129317_000043_000000	'There is something in your manner, which would almost imply that she will hear me coldly, mother,' said the young man.	'There is something in your manner, which would almost imply that she will hear me coldly, mother,' said the young man.
114_129317_000045_000000	'How then?' urged the young man.	'How then?' urged the young man.
114_129317_000045_000001	'She has formed no other attachment?'	'She has formed no other attachment?'
114_129317_000046_000000	'No, indeed,' replied his mother; 'you have, or I mistake, too strong a hold on her affections already.	'No, indeed,' replied his mother; 'you have, or I mistake, too strong a hold on her affections already.
114_129317_000047_000000	'What do you mean?'	'What do you mean?'
114_129317_000048_000000	'That I leave you to discover,' replied Mrs. Maylie. 'I must go back to her.	'That I leave you to discover,' replied mrs Maylie. 'I must go back to her.
114_129317_000048_000001	God bless you!'	God bless you!'
114_129317_000049_000000	'I shall see you again to-night?' said the young man, eagerly.	'I shall see you again to night?' said the young man, eagerly.
114_129317_000051_000000	'You will tell her I am here?' said Harry.	'You will tell her I am here?' said Harry.
114_129317_000052_000000	'Of course,' replied Mrs. Maylie.	'Of course,' replied mrs Maylie.
114_129317_000053_000001	You will not refuse to do this, mother?'	You will not refuse to do this, mother?'
114_129317_000055_000001	The former now held out his hand to Harry Maylie; and hearty salutations were exchanged between them.	The former now held out his hand to Harry Maylie; and hearty salutations were exchanged between them.
114_129317_000055_000002	The doctor then communicated, in reply to multifarious questions from his young friend, a precise account of his patient's situation; which was quite as consolatory and full of promise, as Oliver's statement had encouraged him to hope; and to the whole of which, Mr. Giles, who affected to be busy about the luggage, listened with greedy ears.	The doctor then communicated, in reply to multifarious questions from his young friend, a precise account of his patient's situation; which was quite as consolatory and full of promise, as Oliver's statement had encouraged him to hope; and to the whole of which, mr Giles, who affected to be busy about the luggage, listened with greedy ears.
114_129317_000056_000000	'Have you shot anything particular, lately, Giles?' inquired the doctor, when he had concluded.	'Have you shot anything particular, lately, Giles?' inquired the doctor, when he had concluded.
114_129317_000057_000000	'Nothing particular, sir,' replied Mr. Giles, colouring up to the eyes.	'Nothing particular, sir,' replied mr Giles, colouring up to the eyes.
114_129317_000058_000000	'Nor catching any thieves, nor identifying any house-breakers?' said the doctor.	'Nor catching any thieves, nor identifying any house breakers?' said the doctor.
114_129317_000060_000000	'Well,' said the doctor, 'I am sorry to hear it, because you do that sort of thing admirably.	'Well,' said the doctor, 'I am sorry to hear it, because you do that sort of thing admirably.
114_129317_000060_000001	Pray, how is Brittles?'	Pray, how is Brittles?'
114_129317_000062_000000	'That's well,' said the doctor.	'That's well,' said the doctor.
114_129317_000062_000001	'Seeing you here, reminds me, Mr. Giles, that on the day before that on which I was called away so hurriedly, I executed, at the request of your good mistress, a small commission in your favour.	'Seeing you here, reminds me, mr Giles, that on the day before that on which I was called away so hurriedly, I executed, at the request of your good mistress, a small commission in your favour.
114_129317_000063_000002	At this, the two women-servants lifted up their hands and eyes, and supposed that Mr. Giles, pulling out his shirt-frill, replied, 'No, no'; and that if they observed that he was at all haughty to his inferiors, he would thank them to tell him so.	At this, the two women servants lifted up their hands and eyes, and supposed that mr Giles, pulling out his shirt frill, replied, 'No, no'; and that if they observed that he was at all haughty to his inferiors, he would thank them to tell him so.
114_129317_000063_000003	And then he made a great many other remarks, no less illustrative of his humility, which were received with equal favour and applause, and were, withal, as original and as much to the purpose, as the remarks of great men commonly are.	And then he made a great many other remarks, no less illustrative of his humility, which were received with equal favour and applause, and were, withal, as original and as much to the purpose, as the remarks of great men commonly are.
114_129317_000065_000002	The melancholy which had seemed to the sad eyes of the anxious boy to hang, for days past, over every object, beautiful as all were, was dispelled by magic.	The melancholy which had seemed to the sad eyes of the anxious boy to hang, for days past, over every object, beautiful as all were, was dispelled by magic.
114_129317_000065_000005	Men who look on nature, and their fellow-men, and cry that all is dark and gloomy, are in the right; but the sombre colours are reflections from their own jaundiced eyes and hearts.	Men who look on nature, and their fellow men, and cry that all is dark and gloomy, are in the right; but the sombre colours are reflections from their own jaundiced eyes and hearts.
114_129317_000065_000006	The real hues are delicate, and need a clearer vision.	The real hues are delicate, and need a clearer vision.
114_129317_000066_000000	It is worthy of remark, and Oliver did not fail to note it at the time, that his morning expeditions were no longer made alone.	It is worthy of remark, and Oliver did not fail to note it at the time, that his morning expeditions were no longer made alone.
114_129317_000066_000002	If Oliver were behindhand in these respects, he knew where the best were to be found; and morning after morning they scoured the country together, and brought home the fairest that blossomed.	If Oliver were behindhand in these respects, he knew where the best were to be found; and morning after morning they scoured the country together, and brought home the fairest that blossomed.
114_129317_000066_000003	The window of the young lady's chamber was opened now; for she loved to feel the rich summer air stream in, and revive her with its freshness; but there always stood in water, just inside the lattice, one particular little bunch, which was made up with great care, every morning.	The window of the young lady's chamber was opened now; for she loved to feel the rich summer air stream in, and revive her with its freshness; but there always stood in water, just inside the lattice, one particular little bunch, which was made up with great care, every morning.
114_129317_000066_000004	Oliver could not help noticing that the withered flowers were never thrown away, although the little vase was regularly replenished; nor, could he help observing, that whenever the doctor came into the garden, he invariably cast his eyes up to that particular corner, and nodded his head most expressively, as he set forth on his morning's walk.	Oliver could not help noticing that the withered flowers were never thrown away, although the little vase was regularly replenished; nor, could he help observing, that whenever the doctor came into the garden, he invariably cast his eyes up to that particular corner, and nodded his head most expressively, as he set forth on his morning's walk.
114_129317_000066_000005	Pending these observations, the days were flying by; and Rose was rapidly recovering.	Pending these observations, the days were flying by; and Rose was rapidly recovering.
114_129317_000067_000000	Nor did Oliver's time hang heavy on his hands, although the young lady had not yet left her chamber, and there were no evening walks, save now and then, for a short distance, with Mrs. Maylie.	Nor did Oliver's time hang heavy on his hands, although the young lady had not yet left her chamber, and there were no evening walks, save now and then, for a short distance, with mrs Maylie.
114_129317_000067_000001	He applied himself, with redoubled assiduity, to the instructions of the white-headed old gentleman, and laboured so hard that his quick progress surprised even himself.	He applied himself, with redoubled assiduity, to the instructions of the white headed old gentleman, and laboured so hard that his quick progress surprised even himself.
114_129317_000068_000000	The little room in which he was accustomed to sit, when busy at his books, was on the ground-floor, at the back of the house.	The little room in which he was accustomed to sit, when busy at his books, was on the ground floor, at the back of the house.
114_129317_000068_000001	It was quite a cottage-room, with a lattice-window: around which were clusters of jessamine and honeysuckle, that crept over the casement, and filled the place with their delicious perfume.	It was quite a cottage room, with a lattice window: around which were clusters of jessamine and honeysuckle, that crept over the casement, and filled the place with their delicious perfume.
114_129317_000068_000002	It looked into a garden, whence a wicket-gate opened into a small paddock; all beyond, was fine meadow-land and wood.	It looked into a garden, whence a wicket gate opened into a small paddock; all beyond, was fine meadow land and wood.
114_129317_000068_000003	There was no other dwelling near, in that direction; and the prospect it commanded was very extensive.	There was no other dwelling near, in that direction; and the prospect it commanded was very extensive.
114_129317_000069_000000	One beautiful evening, when the first shades of twilight were beginning to settle upon the earth, Oliver sat at this window, intent upon his books.	One beautiful evening, when the first shades of twilight were beginning to settle upon the earth, Oliver sat at this window, intent upon his books.
114_129317_000069_000001	He had been poring over them for some time; and, as the day had been uncommonly sultry, and he had exerted himself a great deal, it is no disparagement to the authors, whoever they may have been, to say, that gradually and by slow degrees, he fell asleep.	He had been poring over them for some time; and, as the day had been uncommonly sultry, and he had exerted himself a great deal, it is no disparagement to the authors, whoever they may have been, to say, that gradually and by slow degrees, he fell asleep.
114_129317_000070_000000	There is a kind of sleep that steals upon us sometimes, which, while it holds the body prisoner, does not free the mind from a sense of things about it, and enable it to ramble at its pleasure.	There is a kind of sleep that steals upon us sometimes, which, while it holds the body prisoner, does not free the mind from a sense of things about it, and enable it to ramble at its pleasure.
114_129317_000070_000002	Nor is this, the most striking phenomenon incidental to such a state.	Nor is this, the most striking phenomenon incidental to such a state.
114_129317_000071_000000	Oliver knew, perfectly well, that he was in his own little room; that his books were lying on the table before him; that the sweet air was stirring among the creeping plants outside.	Oliver knew, perfectly well, that he was in his own little room; that his books were lying on the table before him; that the sweet air was stirring among the creeping plants outside.
114_129317_000071_000001	And yet he was asleep. Suddenly, the scene changed; the air became close and confined; and he thought, with a glow of terror, that he was in the Jew's house again. There sat the hideous old man, in his accustomed corner, pointing at him, and whispering to another man, with his face averted, who sat beside him.	And yet he was asleep. Suddenly, the scene changed; the air became close and confined; and he thought, with a glow of terror, that he was in the Jew's house again. There sat the hideous old man, in his accustomed corner, pointing at him, and whispering to another man, with his face averted, who sat beside him.
114_129317_000072_000000	'Hush, my dear!' he thought he heard the Jew say; 'it is he, sure enough.	'Hush, my dear!' he thought he heard the Jew say; 'it is he, sure enough.
114_129317_000073_000000	'He!' the other man seemed to answer; 'could I mistake him, think you? If a crowd of ghosts were to put themselves into his exact shape, and he stood amongst them, there is something that would tell me how to point him out.	'He!' the other man seemed to answer; 'could I mistake him, think you? If a crowd of ghosts were to put themselves into his exact shape, and he stood amongst them, there is something that would tell me how to point him out.
114_129317_000076_000000	It was but an instant, a glance, a flash, before his eyes; and they were gone.	It was but an instant, a glance, a flash, before his eyes; and they were gone.
114_129317_000076_000001	But they had recognised him, and he them; and their look was as firmly impressed upon his memory, as if it had been deeply carved in stone, and set before him from his birth.	But they had recognised him, and he them; and their look was as firmly impressed upon his memory, as if it had been deeply carved in stone, and set before him from his birth.
