8388_275212_000001_000000	THE QUEEN BEE	THE QUEEN BEE
8388_275212_000009_000001	"Now we will begin to build." The old Bees took the wax, and began to build a number of little six-sided cells, all alike and close up to one another.	"Now we will begin to build." The old Bees took the wax, and began to build a number of little six sided cells, all alike and close up to one another.
8388_275212_000009_000002	All the time they were building, the others came flying in with flower-dust and honey, which they laid at the Queen's feet.	All the time they were building, the others came flying in with flower dust and honey, which they laid at the Queen's feet.
8388_275212_000010_000000	"We can now knead the dough," she said.	"We can now knead the dough," she said.
8388_275212_000010_000001	"But first put a little honey in--that makes it taste so much better." They kneaded and kneaded, and before very long they had made some pretty little loaves of Bee bread, which they carried into the cells.	"But first put a little honey in-that makes it taste so much better." They kneaded and kneaded, and before very long they had made some pretty little loaves of Bee bread, which they carried into the cells.
8388_275212_000011_000001	She sat down in the middle of the hive and began to lay her eggs.	She sat down in the middle of the hive and began to lay her eggs.
8388_275212_000011_000002	She laid great heaps of them, and the Bees were kept very busy running with the little eggs in their mouths and carrying them into the new cells. Each egg had a little cell to itself; and when they had all been put in their places, the Queen gave orders to fix doors to all the cells and shut them fast.	She laid great heaps of them, and the Bees were kept very busy running with the little eggs in their mouths and carrying them into the new cells. Each egg had a little cell to itself; and when they had all been put in their places, the Queen gave orders to fix doors to all the cells and shut them fast.
8388_275212_000012_000000	"Good!" she said, when this was done.	"Good!" she said, when this was done.
8388_275212_000013_000000	The Bees had them ready in no time, and then the Queen laid ten pretty eggs, one in each of the big rooms, and the doors were fixed as before.	The Bees had them ready in no time, and then the Queen laid ten pretty eggs, one in each of the big rooms, and the doors were fixed as before.
8388_275212_000013_000001	Every day the Bees flew in and out, gathering great heaps of honey and flower-dust; but in the evening, when their work was done, they would open the doors just a crack and have a peep at the eggs.	Every day the Bees flew in and out, gathering great heaps of honey and flower dust; but in the evening, when their work was done, they would open the doors just a crack and have a peep at the eggs.
8388_275212_000014_000000	"Take care," the Queen said one day.	"Take care," the Queen said one day.
8388_275212_000015_000000	"What funny creatures!" said the young Bees.	"What funny creatures!" said the young Bees.
8388_275212_000016_000000	"They are Grubs," said the Queen.	"They are Grubs," said the Queen.
8388_275212_000016_000002	One must be a Grub before one can become a Bee.	One must be a Grub before one can become a Bee.
8388_275212_000016_000003	Be quick now, and give them something to eat." The Bees bestirred themselves to feed the little ones, but they were not equally kind to them all.	Be quick now, and give them something to eat." The Bees bestirred themselves to feed the little ones, but they were not equally kind to them all.
8388_275212_000016_000004	The ten, however, that lay in the large cells got as much to eat as ever they wanted, and every day a great quantity of honey was carried in to them.	The ten, however, that lay in the large cells got as much to eat as ever they wanted, and every day a great quantity of honey was carried in to them.
8388_275212_000017_000000	"They are Princesses," said the Queen, "so you must treat them well.	"They are Princesses," said the Queen, "so you must treat them well.
8388_275212_000017_000001	The others you can stint; they are only working people, and they must accustom themselves to be content with what they can get." And every morning the poor little wretches got a little piece of Bee bread and nothing more, and with that they had to be satisfied, though they were ever so hungry.	The others you can stint; they are only working people, and they must accustom themselves to be content with what they can get." And every morning the poor little wretches got a little piece of Bee bread and nothing more, and with that they had to be satisfied, though they were ever so hungry.
8388_275212_000018_000001	She was the youngest of them all, and only just come out of the egg.	She was the youngest of them all, and only just come out of the egg.
8388_275212_000018_000002	She could not see, but she could plainly hear the grown-up Bees talking outside, and for a while she lay quite still and kept her thoughts to herself.	She could not see, but she could plainly hear the grown up Bees talking outside, and for a while she lay quite still and kept her thoughts to herself.
8388_275212_000019_000000	"You have had enough for to-day," answered the old Bee who was appointed to be head Bee Nurse, creeping up and down in the passage outside.	"You have had enough for to day," answered the old Bee who was appointed to be head Bee Nurse, creeping up and down in the passage outside.
8388_275212_000020_000000	"Maybe, but I am hungry!" shouted the little Grub.	"Maybe, but I am hungry!" shouted the little Grub.
8388_275212_000020_000001	"I will go into one of the Princesses' chambers; I have not room to stir here."	"I will go into one of the Princesses' chambers; I have not room to stir here."
8388_275212_000021_000000	"Just listen to her!" said the old Bee mockingly.	"Just listen to her!" said the old Bee mockingly.
8388_275212_000021_000002	You are born to toil and drudge, my little friend.	You are born to toil and drudge, my little friend.
8388_275212_000021_000003	You are a mere working Bee, and you will never be anything else all your days."	You are a mere working Bee, and you will never be anything else all your days."
8388_275212_000022_000000	"But I want to be Queen!" cried the Grub, and thumped on the door. Of course the old Bee did not answer such nonsense, but went on to the others.	"But I want to be Queen!" cried the Grub, and thumped on the door. Of course the old Bee did not answer such nonsense, but went on to the others.
8388_275212_000022_000001	From every side they were calling out for more food, and the little Grub could hear it all.	From every side they were calling out for more food, and the little Grub could hear it all.
8388_275212_000023_000000	"It is hard, though," she thought, "that we should have to be so hungry." And then she knocked on the Princess' wall and called to her, "Give me a little of your honey.	"It is hard, though," she thought, "that we should have to be so hungry." And then she knocked on the Princess' wall and called to her, "Give me a little of your honey.
8388_275212_000023_000001	Let me come into your chamber.	Let me come into your chamber.
8388_275212_000024_000000	"Are you?	"Are you?
8388_275212_000026_000000	The head Bee Nurse came running up in an instant and opened the doors.	The head Bee Nurse came running up in an instant and opened the doors.
8388_275212_000026_000001	"What are your graces' orders?" she asked, dropping a curtsy and scraping the ground with her feet.	"What are your graces' orders?" she asked, dropping a curtsy and scraping the ground with her feet.
8388_275212_000027_000000	"More honey!" they shouted, all in one voice.	"More honey!" they shouted, all in one voice.
8388_275212_000027_000001	"But me first--me first.	"But me first-me first.
8388_275212_000028_000000	"In a moment, in a moment, your graces," she answered, and ran off as fast as her six legs could carry her.	"In a moment, in a moment, your graces," she answered, and ran off as fast as her six legs could carry her.
8388_275212_000028_000001	She soon came back with many other Bees.	She soon came back with many other Bees.
8388_275212_000028_000002	They were dragging ever so much honey, which they crammed down the cross little Princesses' throats.	They were dragging ever so much honey, which they crammed down the cross little Princesses' throats.
8388_275212_000028_000003	And then they got them to hold their tongues and lie still and rest.	And then they got them to hold their tongues and lie still and rest.
8388_275212_000029_000000	But the little Grub lay awake, thinking over what had happened.	But the little Grub lay awake, thinking over what had happened.
8388_275212_000029_000001	She longed so much for some honey that she began to shake the door again.	She longed so much for some honey that she began to shake the door again.
8388_275212_000029_000002	"Give me some honey!	"Give me some honey!
8388_275212_000029_000003	I can't stand it any longer.	I can't stand it any longer.
8388_275212_000029_000004	I am just as good as the others."	I am just as good as the others."
8388_275212_000030_000000	The old Bee tried to hush her.	The old Bee tried to hush her.
8388_275212_000030_000001	"Hold your tongue, little bawler! The Queen's coming." And at the same moment the Queen Bee came.	"Hold your tongue, little bawler! The Queen's coming." And at the same moment the Queen Bee came.
8388_275212_000032_000000	For a long time she stood in silence before the Princesses' chambers.	For a long time she stood in silence before the Princesses' chambers.
8388_275212_000032_000001	"Now they are lying there asleep," she said at last. "From morning till evening they do nothing but eat and sleep, and they grow bigger and fatter every day.	"Now they are lying there asleep," she said at last. "From morning till evening they do nothing but eat and sleep, and they grow bigger and fatter every day.
8388_275212_000032_000002	In a few days they will be full grown, and will creep out of their cells.	In a few days they will be full grown, and will creep out of their cells.
8388_275212_000032_000003	Then my turn will be over.	Then my turn will be over.
8388_275212_000032_000004	I know that too well.	I know that too well.
8388_275212_000032_000005	I have heard the Bees saying to one another that they would like to have a younger and more beautiful Queen, and they will chase me away in disgrace.	I have heard the Bees saying to one another that they would like to have a younger and more beautiful Queen, and they will chase me away in disgrace.
8388_275212_000032_000006	But I will not submit to it.	But I will not submit to it.
8388_275212_000033_000000	Then she went away.	Then she went away.
8388_275212_000033_000001	But the little Grub had heard all she said.	But the little Grub had heard all she said.
8388_275212_000034_000000	"Dear me!" she thought; "it is really a pity about the little Princesses.	"Dear me!" she thought; "it is really a pity about the little Princesses.
8388_275212_000035_000001	"You must mind what you are doing, my good Grub," she said.	"You must mind what you are doing, my good Grub," she said.
8388_275212_000036_000000	"First listen to me," said the Grub, and she told her about the Queen's wicked design.	"First listen to me," said the Grub, and she told her about the Queen's wicked design.
8388_275212_000037_000000	"Good gracious! is that true?" cried the old Nurse, and beat her wings in horror.	"Good gracious! is that true?" cried the old Nurse, and beat her wings in horror.
8388_275212_000037_000001	And without hearing a word more, she hurried off to tell the other Bees.	And without hearing a word more, she hurried off to tell the other Bees.
8388_275212_000038_000000	"I think I deserve a little honey for what I have done," said the little Grub.	"I think I deserve a little honey for what I have done," said the little Grub.
8388_275212_000038_000001	"But I can now lie down and sleep with a good conscience."	"But I can now lie down and sleep with a good conscience."
8388_275212_000039_000001	The Grub could hear her talking aloud to herself.	The Grub could hear her talking aloud to herself.
8388_275212_000039_000002	But she was quite afraid of the wicked Queen, and dared not stir.	But she was quite afraid of the wicked Queen, and dared not stir.
8388_275212_000039_000003	"I hope she won't kill the Princesses," she thought, and squeezed herself nearer to the door to hear what happened.	"I hope she won't kill the Princesses," she thought, and squeezed herself nearer to the door to hear what happened.
8388_275212_000040_000000	The Queen looked cautiously round on all sides, and then opened the first of the doors.	The Queen looked cautiously round on all sides, and then opened the first of the doors.
8388_275212_000040_000001	But at the same moment the Bees swarmed out from all directions, seized her by the legs and wings, and dragged her out.	But at the same moment the Bees swarmed out from all directions, seized her by the legs and wings, and dragged her out.
8388_275212_000040_000002	"What is the matter?" she cried.	"What is the matter?" she cried.
8388_275212_000040_000003	"Are you raising a rebellion?"	"Are you raising a rebellion?"
8388_275212_000041_000001	What would become of us in the autumn after your majesty's death?"	What would become of us in the autumn after your majesty's death?"
8388_275212_000042_000000	"Let me go!" cried the Queen, and tried to get away.	"Let me go!" cried the Queen, and tried to get away.
8388_275212_000042_000001	"I am Queen now anyway, and have the power to do what I like.	"I am Queen now anyway, and have the power to do what I like.
8388_275212_000042_000002	How do you know that I shall die in the autumn?" But the Bees held her fast, and dragged her outside the hive.	How do you know that I shall die in the autumn?" But the Bees held her fast, and dragged her outside the hive.
8388_275212_000043_000000	"You are disloyal subjects, who are not worth ruling over.	"You are disloyal subjects, who are not worth ruling over.
8388_275212_000043_000001	I won't stay here an hour longer, but I will go out into the world and build a new nest.	I won't stay here an hour longer, but I will go out into the world and build a new nest.
8388_275212_000043_000002	Are there any of you who will come with me?"	Are there any of you who will come with me?"
8388_275212_000044_000000	Some of the old Bees, who had been Grubs at the same time as the Queen, declared that they would follow her.	Some of the old Bees, who had been Grubs at the same time as the Queen, declared that they would follow her.
8388_275212_000044_000001	And soon after they flew away.	And soon after they flew away.
8388_275212_000045_000000	"Now we have no Queen," said the others, "we must take good care of the Princesses." And so they crammed them with honey from morning till night; and they grew, and grabbed, and squabbled, and made more noise each day than the day before.	"Now we have no Queen," said the others, "we must take good care of the Princesses." And so they crammed them with honey from morning till night; and they grew, and grabbed, and squabbled, and made more noise each day than the day before.
8388_275212_000046_000000	As for the little Grub, no one gave a single thought to her.	As for the little Grub, no one gave a single thought to her.
8388_275212_000047_000000	One morning the doors of the Princesses' chambers flew open, and all ten of them stepped out, beautiful full-grown Queen Bees.	One morning the doors of the Princesses' chambers flew open, and all ten of them stepped out, beautiful full grown Queen Bees.
8388_275212_000047_000001	The other Bees ran up and gazed at them in admiration.	The other Bees ran up and gazed at them in admiration.
8388_275212_000047_000002	"How pretty they are!" they said.	"How pretty they are!" they said.
8388_275212_000047_000003	"It is hard to say which is the most beautiful."	"It is hard to say which is the most beautiful."
8388_275212_000049_000000	"You make a mistake," said another, and stabbed her with her sting.	"You make a mistake," said another, and stabbed her with her sting.
8388_275212_000050_000000	"You are rather conceited," shrieked a third.	"You are rather conceited," shrieked a third.
8388_275212_000051_000001	We can't do with more than one."	We can't do with more than one."
8388_275212_000052_000000	At this the Bees formed round in a ring and looked on at the battle.	At this the Bees formed round in a ring and looked on at the battle.
8388_275212_000052_000002	Wings and legs which had been bitten off were flying about in the air, and after some time eight of the Princesses lay dead upon the ground.	Wings and legs which had been bitten off were flying about in the air, and after some time eight of the Princesses lay dead upon the ground.
8388_275212_000052_000003	The two last were still fighting.	The two last were still fighting.
8388_275212_000052_000004	One of them had lost all her wings, and the other had only four legs left.	One of them had lost all her wings, and the other had only four legs left.
8388_275212_000053_000001	"We should have done better to have kept the old one." But she might have spared herself the remark, for in the same moment the Princesses gave each other such a stab with their stings that they both fell dead as a door-nail.	"We should have done better to have kept the old one." But she might have spared herself the remark, for in the same moment the Princesses gave each other such a stab with their stings that they both fell dead as a door nail.
8388_275212_000054_000000	"That is a pretty business!" called the Bees, and ran about among each other in dismay.	"That is a pretty business!" called the Bees, and ran about among each other in dismay.
8388_275212_000054_000002	What shall we do?	What shall we do?
8388_275212_000054_000003	What shall we do?"	What shall we do?"
8388_275212_000055_000000	In despair they crawled about the hive, and did not know which way to turn.	In despair they crawled about the hive, and did not know which way to turn.
8388_275212_000055_000001	But the oldest and cleverest sat in a corner and held a council.	But the oldest and cleverest sat in a corner and held a council.
8388_275212_000055_000002	For a long time they talked this way and that as to what they should decide on doing in their unhappy circumstances.	For a long time they talked this way and that as to what they should decide on doing in their unhappy circumstances.
8388_275212_000055_000003	But at last the head Bee Nurse got a hearing, and said,--"I can tell you how you can get out of the difficulty, if you will but follow my advice.	But at last the head Bee Nurse got a hearing, and said,--"I can tell you how you can get out of the difficulty, if you will but follow my advice.
8388_275212_000055_000004	I remember that the same misfortune happened to us in this hive a long time ago.	I remember that the same misfortune happened to us in this hive a long time ago.
8388_275212_000055_000005	I was then a Grub myself.	I was then a Grub myself.
8388_275212_000055_000006	I lay in my cell, and distinctly heard what took place.	I lay in my cell, and distinctly heard what took place.
8388_275212_000055_000007	All the Princesses had killed one another, and the old Queen had gone out into the world: it was just as it is now.	All the Princesses had killed one another, and the old Queen had gone out into the world: it was just as it is now.
8388_275212_000055_000008	But the Bees took one of us Grubs and laid her in one of the Princesses' cells.	But the Bees took one of us Grubs and laid her in one of the Princesses' cells.
8388_275212_000055_000009	They fed her every day with the finest and best honey in the whole hive; and when she was full-grown, she was a charming and good Queen.	They fed her every day with the finest and best honey in the whole hive; and when she was full grown, she was a charming and good Queen.
8388_275212_000055_000011	But we may do the same thing again.	But we may do the same thing again.
