1547_130184_000000_000000	"Yes, Laurie," very low.	"Yes, Laurie," very low.	false	6.18	9.27	18.281792
1547_130184_000005_000001	"I can't do it.	"I can't do it.	true	135.56	137.385	22.68601
1547_130184_000005_000002	I wasn't meant for a life like this, and I know I shall break away and do something desperate if somebody doesn't come and help me," she said to herself, when her first efforts failed and she fell into the moody, miserable state of mind which often comes when strong wills have to yield to the inevitable.	I wasn't meant for a life like this, and I know I shall break away and do something desperate if somebody doesn't come and help me," she said to herself, when her first efforts failed and she fell into the moody, miserable state of mind which often comes when strong wills have to yield to the inevitable.	false	137.385	155.41	16
1547_130184_000006_000000	But someone did come and help her, though Jo did not recognize her good angels at once because they wore familiar shapes and used the simple spells best fitted to poor humanity.	But someone did come and help her, though Jo did not recognize her good angels at once because they wore familiar shapes and used the simple spells best fitted to poor humanity.	false	156.32	167.35	17
1547_130184_000006_000001	Often she started up at night, thinking Beth called her, and when the sight of the little empty bed made her cry with the bitter cry of unsubmissive sorrow, "Oh, Beth, come back!	Often she started up at night, thinking Beth called her, and when the sight of the little empty bed made her cry with the bitter cry of unsubmissive sorrow, "Oh, Beth, come back!	true	168.38	180.705	18
1547_130184_000006_000002	Come back!" she did not stretch out her yearning arms in vain.	Come back!" she did not stretch out her yearning arms in vain.	true	180.705	184.87	19.58577
1547_130184_000006_000003	For, as quick to hear her sobbing as she had been to hear her sister's faintest whisper, her mother came to comfort her, not with words only, but the patient tenderness that soothes by a touch, tears that were mute reminders of a greater grief than Jo's, and broken whispers, more eloquent than prayers, because hopeful resignation went hand-in-hand with natural sorrow.	For, as quick to hear her sobbing as she had been to hear her sister's faintest whisper, her mother came to comfort her, not with words only, but the patient tenderness that soothes by a touch, tears that were mute reminders of a greater grief than Jo's, and broken whispers, more eloquent than prayers, because hopeful resignation went hand in hand with natural sorrow.	false	185.51	213.73	18.369616
1547_130184_000006_000004	Sacred moments, when heart talked to heart in the silence of the night, turning affliction to a blessing, which chastened grief and strengthned love.	Sacred moments, when heart talked to heart in the silence of the night, turning affliction to a blessing, which chastened grief and strengthned love.	true	214.28	224.41	18.68303
1547_130184_000006_000005	Feeling this, Jo's burden seemed easier to bear, duty grew sweeter, and life looked more endurable, seen from the safe shelter of her mother's arms.	Feeling this, Jo's burden seemed easier to bear, duty grew sweeter, and life looked more endurable, seen from the safe shelter of her mother's arms.	true	224.6	235.75	19
1547_130184_000007_000000	When aching heart was a little comforted, troubled mind likewise found help, for one day she went to the study, and leaning over the good gray head lifted to welcome her with a tranquil smile, she said very humbly, "Father, talk to me as you did to Beth.	When aching heart was a little comforted, troubled mind likewise found help, for one day she went to the study, and leaning over the good gray head lifted to welcome her with a tranquil smile, she said very humbly, "Father, talk to me as you did to Beth.	false	237.26	256.06	18.847805
1547_130184_000007_000001	I need it more than she did, for I'm all wrong."	I need it more than she did, for I'm all wrong."	false	256.58	259.66	17
1547_130184_000008_000000	"My dear, nothing can comfort me like this," he answered, with a falter in his voice, and both arms round her, as if he too, needed help, and did not fear to ask for it.	"My dear, nothing can comfort me like this," he answered, with a falter in his voice, and both arms round her, as if he too, needed help, and did not fear to ask for it.	true	259.88	271	17
1547_130184_000009_000000	Then, sitting in Beth's little chair close beside him, Jo told her troubles, the resentful sorrow for her loss, the fruitless efforts that discouraged her, the want of faith that made life look so dark, and all the sad bewilderment which we call despair.	Then, sitting in Beth's little chair close beside him, Jo told her troubles, the resentful sorrow for her loss, the fruitless efforts that discouraged her, the want of faith that made life look so dark, and all the sad bewilderment which we call despair.	false	272.12	290.47	20.120865
1547_130184_000009_000001	She gave him entire confidence, he gave her the help she needed, and both found consolation in the act.	She gave him entire confidence, he gave her the help she needed, and both found consolation in the act.	true	291.62	299.77	20.261559
1547_130184_000009_000002	For the time had come when they could talk together not only as father and daughter, but as man and woman, able and glad to serve each other with mutual sympathy as well as mutual love.	For the time had come when they could talk together not only as father and daughter, but as man and woman, able and glad to serve each other with mutual sympathy as well as mutual love.	false	299.99	312.94	19
1547_130184_000009_000003	Happy, thoughtful times there in the old study which Jo called 'the church of one member', and from which she came with fresh courage, recovered cheerfulness, and a more submissive spirit.	Happy, thoughtful times there in the old study which Jo called 'the church of one member', and from which she came with fresh courage, recovered cheerfulness, and a more submissive spirit.	false	313.43	325.87	20
1547_130184_000009_000004	For the parents who had taught one child to meet death without fear, were trying now to teach another to accept life without despondency or distrust, and to use its beautiful opportunities with gratitude and power.	For the parents who had taught one child to meet death without fear, were trying now to teach another to accept life without despondency or distrust, and to use its beautiful opportunities with gratitude and power.	true	326.09	339.07	18
1547_130184_000010_000000	Other helps had Jo--humble, wholesome duties and delights that would not be denied their part in serving her, and which she slowly learned to see and value.	Other helps had Jo-humble, wholesome duties and delights that would not be denied their part in serving her, and which she slowly learned to see and value.	true	339.8	350.98	18
1547_130184_000010_000001	Brooms and dishcloths never could be as distasteful as they once had been, for Beth had presided over both, and something of her housewifely spirit seemed to linger around the little mop and the old brush, never thrown away.	Brooms and dishcloths never could be as distasteful as they once had been, for Beth had presided over both, and something of her housewifely spirit seemed to linger around the little mop and the old brush, never thrown away.	true	351.74	367.27	20
1547_130184_000010_000002	As she used them, Jo found herself humming the songs Beth used to hum, imitating Beth's orderly ways, and giving the little touches here and there that kept everything fresh and cozy, which was the first step toward making home happy, though she didn't know it till Hannah said with an approving squeeze of the hand...	As she used them, Jo found herself humming the songs Beth used to hum, imitating Beth's orderly ways, and giving the little touches here and there that kept everything fresh and cozy, which was the first step toward making home happy, though she didn't know it till Hannah said with an approving squeeze of the hand...	false	367.7	389.56	19.466738
1547_130184_000011_000000	"You thoughtful creeter, you're determined we shan't miss that dear lamb ef you can help it.	"You thoughtful creeter, you're determined we shan't miss that dear lamb e f you can help it.	false	390.2	396.87	18.852463
1547_130184_000011_000001	We don't say much, but we see it, and the Lord will bless you for't, see ef He don't."	We don't say much, but we see it, and the Lord will bless you for't, see e f He don't."	false	396.87	402.7	19.627934
1547_130184_000012_000000	As they sat sewing together, Jo discovered how much improved her sister Meg was, how well she could talk, how much she knew about good, womanly impulses, thoughts, and feelings, how happy she was in husband and children, and how much they were all doing for each other.	As they sat sewing together, Jo discovered how much improved her sister Meg was, how well she could talk, how much she knew about good, womanly impulses, thoughts, and feelings, how happy she was in husband and children, and how much they were all doing for each other.	false	402.86	421.24	20
1547_130184_000013_000000	"Marriage is an excellent thing, after all.	"Marriage is an excellent thing, after all.	true	421.61	424.27	18
1547_130184_000013_000001	I wonder if I should blossom out half as well as you have, if I tried it?, always _'perwisin'_ I could," said Jo, as she constructed a kite for Demi in the topsy-turvy nursery.	I wonder if I should blossom out half as well as you have, if I tried it?, always underscore'perwisin' underscore I could," said Jo, as she constructed a kite for Demi in the topsy turvy nursery.	false	424.46	437.41	18
1547_130184_000014_000000	"It's just what you need to bring out the tender womanly half of your nature, Jo.	"It's just what you need to bring out the tender womanly half of your nature, Jo.	true	437.84	442.03	15
1547_130184_000014_000001	You are like a chestnut burr, prickly outside, but silky-soft within, and a sweet kernal, if one can only get at it.	You are like a chestnut burr, prickly outside, but silky soft within, and a sweet kernal, if one can only get at it.	true	442.31	451.66	21.40338
1547_130184_000014_000002	Love will make you show your heart one day, and then the rough burr will fall off."	Love will make you show your heart one day, and then the rough burr will fall off."	true	452.09	457.03	17
1547_130184_000015_000000	"Frost opens chestnut burrs, ma'am, and it takes a good shake to bring them down.	"Frost opens chestnut burrs, ma'am, and it takes a good shake to bring them down.	false	457.22	462.54	19.564587
1547_130184_000015_000001	Boys go nutting, and I don't care to be bagged by them," returned Jo, pasting away at the kite which no wind that blows would ever carry up, for Daisy had tied herself on as a bob.	Boys go nutting, and I don't care to be bagged by them," returned Jo, pasting away at the kite which no wind that blows would ever carry up, for Daisy had tied herself on as a bob.	false	462.54	473.53	19
1547_130184_000016_000000	Meg laughed, for she was glad to see a glimmer of Jo's old spirit, but she felt it her duty to enforce her opinion by every argument in her power, and the sisterly chats were not wasted, especially as two of Meg's most effective arguments were the babies, whom Jo loved tenderly. Grief is the best opener of some hearts, and Jo's was nearly ready for the bag.	Meg laughed, for she was glad to see a glimmer of Jo's old spirit, but she felt it her duty to enforce her opinion by every argument in her power, and the sisterly chats were not wasted, especially as two of Meg's most effective arguments were the babies, whom Jo loved tenderly. Grief is the best opener of some hearts, and Jo's was nearly ready for the bag.	false	473.81	499.72	20.191557
1547_130184_000016_000001	A little more sunshine to ripen the nut, then, not a boy's impatient shake, but a man's hand reached up to pick it gently from the burr, and find the kernal sound and sweet.	A little more sunshine to ripen the nut, then, not a boy's impatient shake, but a man's hand reached up to pick it gently from the burr, and find the kernal sound and sweet.	true	500.18	512.86	20.218836
1547_130184_000016_000002	If she suspected this, she would have shut up tight, and been more prickly than ever, fortunately she wasn't thinking about herself, so when the time came, down she dropped.	If she suspected this, she would have shut up tight, and been more prickly than ever, fortunately she wasn't thinking about herself, so when the time came, down she dropped.	false	513.26	523.96	19.000574
1547_130184_000017_000000	Now, if she had been the heroine of a moral storybook, she ought at this period of her life to have become quite saintly, renounced the world, and gone about doing good in a mortified bonnet, with tracts in her pocket.	Now, if she had been the heroine of a moral storybook, she ought at this period of her life to have become quite saintly, renounced the world, and gone about doing good in a mortified bonnet, with tracts in her pocket.	true	524.48	537.85	21
1547_130184_000017_000001	But, you see, Jo wasn't a heroine, she was only a struggling human girl like hundreds of others, and she just acted out her nature, being sad, cross, listless, or energetic, as the mood suggested.	But, you see, Jo wasn't a heroine, she was only a struggling human girl like hundreds of others, and she just acted out her nature, being sad, cross, listless, or energetic, as the mood suggested.	true	538.25	554.35	19.69484
1547_130184_000017_000002	It's highly virtuous to say we'll be good, but we can't do it all at once, and it takes a long pull, a strong pull, and a pull all together before some of us even get our feet set in the right way.	It's highly virtuous to say we'll be good, but we can't do it all at once, and it takes a long pull, a strong pull, and a pull all together before some of us even get our feet set in the right way.	false	554.81	567.67	19
1547_130184_000017_000003	Jo had got so far, she was learning to do her duty, and to feel unhappy if she did not, but to do it cheerfully, ah, that was another thing!	Jo had got so far, she was learning to do her duty, and to feel unhappy if she did not, but to do it cheerfully, ah, that was another thing!	false	568.25	578.83	21.50376
1547_130184_000017_000004	She had often said she wanted to do something splendid, no matter how hard, and now she had her wish, for what could be more beautiful than to devote her life to Father and Mother, trying to make home as happy to them as they had to her?	She had often said she wanted to do something splendid, no matter how hard, and now she had her wish, for what could be more beautiful than to devote her life to Father and Mother, trying to make home as happy to them as they had to her?	true	579.26	594.07	20
1547_130184_000017_000005	And if difficulties were necessary to increase the splendor of the effort, what could be harder for a restless, ambitious girl than to give up her own hopes, plans, and desires, and cheerfully live for others?	And if difficulties were necessary to increase the splendor of the effort, what could be harder for a restless, ambitious girl than to give up her own hopes, plans, and desires, and cheerfully live for others?	true	594.8	609.13	19.276756
1547_130184_000018_000000	Providence had taken her at her word.	Providence had taken her at her word.	true	610.1	612.28	19.920273
1547_130184_000018_000001	Here was the task, not what she had expected, but better because self had no part in it.	Here was the task, not what she had expected, but better because self had no part in it.	false	612.59	618.43	18.748444
1547_130184_000018_000002	Now, could she do it?	Now, could she do it?	false	618.74	620.5	19
1547_130184_000018_000003	She decided that she would try, and in her first attempt she found the helps I have suggested.	She decided that she would try, and in her first attempt she found the helps I have suggested.	true	620.75	626.86	19
1547_130184_000018_000004	Still another was given her, and she took it, not as a reward, but as a comfort, as Christian took the refreshment afforded by the little arbor where he rested, as he climbed the hill called Difficulty.	Still another was given her, and she took it, not as a reward, but as a comfort, as Christian took the refreshment afforded by the little arbor where he rested, as he climbed the hill called Difficulty.	true	627.41	640.18	19
1547_130184_000019_000000	"Why don't you write?	"Why don't you write?	true	640.37	641.77	21.07883
1547_130184_000019_000001	That always used to make you happy," said her mother once, when the desponding fit over-shadowed Jo.	That always used to make you happy," said her mother once, when the desponding fit over shadowed Jo.	true	642.17	647.95	18
1547_130184_000020_000000	"I've no heart to write, and if I had, nobody cares for my things."	"I've no heart to write, and if I had, nobody cares for my things."	false	649.1	654.51	20.691319
1547_130184_000021_000000	"We do.	"We do.	true	654.51	655.27	25.521912
1547_130184_000021_000001	Write something for us, and never mind the rest of the world. Try it, dear.	Write something for us, and never mind the rest of the world. Try it, dear.	false	655.43	660.19	20.421642
1547_130184_000021_000002	I'm sure it would do you good, and please us very much."	I'm sure it would do you good, and please us very much."	true	660.23	663.4	20
1547_130184_000022_000000	"Don't believe I can." But Jo got out her desk and began to overhaul her half-finished manuscripts.	"Don't believe I can." But Jo got out her desk and began to overhaul her half finished manuscripts.	true	664.43	671.47	18
1547_130184_000023_000000	An hour afterward her mother peeped in and there she was, scratching away, with her black pinafore on, and an absorbed expression, which caused Mrs. March to smile and slip away, well pleased with the success of her suggestion.	An hour afterward her mother peeped in and there she was, scratching away, with her black pinafore on, and an absorbed expression, which caused mrs March to smile and slip away, well pleased with the success of her suggestion.	true	672.14	685.93	20.6367
1547_130184_000023_000001	Jo never knew how it happened, but something got into that story that went straight to the hearts of those who read it, for when her family had laughed and cried over it, her father sent it, much against her will, to one of the popular magazines, and to her utter surprise, it was not only paid for, but others requested. Letters from several persons, whose praise was honor, followed the appearance of the little story, newspapers copied it, and strangers as well as friends admired it.	Jo never knew how it happened, but something got into that story that went straight to the hearts of those who read it, for when her family had laughed and cried over it, her father sent it, much against her will, to one of the popular magazines, and to her utter surprise, it was not only paid for, but others requested. Letters from several persons, whose praise was honor, followed the appearance of the little story, newspapers copied it, and strangers as well as friends admired it.	true	686.6	716.14	20.72612
1547_130184_000023_000002	For a small thing it was a great success, and Jo was more astonished than when her novel was commended and condemned all at once.	For a small thing it was a great success, and Jo was more astonished than when her novel was commended and condemned all at once.	true	716.54	724.36	18
1547_130184_000024_000000	"I don't understand it.	"I don't understand it.	true	725.57	727.21	18
1547_130184_000024_000001	What can there be in a simple little story like that to make people praise it so?" she said, quite bewildered.	What can there be in a simple little story like that to make people praise it so?" she said, quite bewildered.	true	727.28	733.63	17
1547_130184_000025_000000	"There is truth in it, Jo, that's the secret.	"There is truth in it, Jo, that's the secret.	true	734.84	737.68	19.84893
1547_130184_000025_000001	Humor and pathos make it alive, and you have found your style at last.	Humor and pathos make it alive, and you have found your style at last.	false	737.9	742.57	17
1547_130184_000025_000002	You wrote with no thoughts of fame and money, and put your heart into it, my daughter. You have had the bitter, now comes the sweet.	You wrote with no thoughts of fame and money, and put your heart into it, my daughter. You have had the bitter, now comes the sweet.	false	742.85	751.72	20.124506
1547_130184_000025_000003	Do your best, and grow as happy as we are in your success."	Do your best, and grow as happy as we are in your success."	true	752	755.44	17
1547_130184_000026_000000	"If there is anything good or true in what I write, it isn't mine.	"If there is anything good or true in what I write, it isn't mine.	true	756.23	759.99	13
1547_130184_000026_000001	I owe it all to you and Mother and Beth," said Jo, more touched by her father's words than by any amount of praise from the world.	I owe it all to you and Mother and Beth," said Jo, more touched by her father's words than by any amount of praise from the world.	true	759.99	767.53	16
1547_130184_000027_000000	So taught by love and sorrow, Jo wrote her little stories, and sent them away to make friends for themselves and her, finding it a very charitable world to such humble wanderers, for they were kindly welcomed, and sent home comfortable tokens to their mother, like dutiful children whom good fortune overtakes.	So taught by love and sorrow, Jo wrote her little stories, and sent them away to make friends for themselves and her, finding it a very charitable world to such humble wanderers, for they were kindly welcomed, and sent home comfortable tokens to their mother, like dutiful children whom good fortune overtakes.	true	768.92	789.34	19
1547_130184_000028_000000	When Amy and Laurie wrote of their engagement, Mrs. March feared that Jo would find it difficult to rejoice over it, but her fears were soon set at rest, for though Jo looked grave at first, she took it very quietly, and was full of hopes and plans for 'the children' before she read the letter twice.	When Amy and Laurie wrote of their engagement, mrs March feared that Jo would find it difficult to rejoice over it, but her fears were soon set at rest, for though Jo looked grave at first, she took it very quietly, and was full of hopes and plans for 'the children' before she read the letter twice.	false	790.79	810.04	21.2658
1547_130184_000028_000001	It was a sort of written duet, wherein each glorified the other in loverlike fashion, very pleasant to read and satisfactory to think of, for no one had any objection to make.	It was a sort of written duet, wherein each glorified the other in loverlike fashion, very pleasant to read and satisfactory to think of, for no one had any objection to make.	true	811.13	822.52	19
1547_130184_000029_000000	"You like it, Mother?" said Jo, as they laid down the closely written sheets and looked at one another.	"You like it, Mother?" said Jo, as they laid down the closely written sheets and looked at one another.	true	824.15	829.51	15
1547_130184_000030_000000	"Yes, I hoped it would be so, ever since Amy wrote that she had refused Fred.	"Yes, I hoped it would be so, ever since Amy wrote that she had refused Fred.	true	830.24	835.51	18
1547_130184_000030_000001	I felt sure then that something better than what you call the 'mercenary spirit' had come over her, and a hint here and there in her letters made me suspect that love and Laurie would win the day."	I felt sure then that something better than what you call the 'mercenary spirit' had come over her, and a hint here and there in her letters made me suspect that love and Laurie would win the day."	true	835.79	847.42	17
1547_130184_000031_000000	"How sharp you are, Marmee, and how silent!	"How sharp you are, Marmee, and how silent!	true	848.27	851.31	15
1547_130184_000031_000001	You never said a word to me."	You never said a word to me."	false	851.31	852.76	20
1547_130184_000032_000000	"Mothers have need of sharp eyes and discreet tongues when they have girls to manage.	"Mothers have need of sharp eyes and discreet tongues when they have girls to manage.	true	853.28	858.58	18
1547_130184_000032_000001	I was half afraid to put the idea into your head, lest you should write and congratulate them before the thing was settled."	I was half afraid to put the idea into your head, lest you should write and congratulate them before the thing was settled."	true	858.92	865.83	18
1547_130184_000033_000000	"I'm not the scatterbrain I was.	"I'm not the scatterbrain I was.	false	865.83	868.755	19.75582
1547_130184_000033_000001	You may trust me.	You may trust me.	true	868.755	869.83	19
1547_130184_000033_000002	I'm sober and sensible enough for anyone's confidante now."	I'm sober and sensible enough for anyone's confidante now."	true	869.93	873.52	16
1547_130184_000034_000000	"So you are, my dear, and I should have made you mine, only I fancied it might pain you to learn that your Teddy loved someone else."	"So you are, my dear, and I should have made you mine, only I fancied it might pain you to learn that your Teddy loved someone else."	true	874.13	882.13	16
1547_130184_000035_000000	"Now, Mother, did you really think I could be so silly and selfish, after I'd refused his love, when it was freshest, if not best?"	"Now, Mother, did you really think I could be so silly and selfish, after I'd refused his love, when it was freshest, if not best?"	true	883.01	891.67	19
1547_130184_000036_000000	"I knew you were sincere then, Jo, but lately I have thought that if he came back, and asked again, you might perhaps, feel like giving another answer.	"I knew you were sincere then, Jo, but lately I have thought that if he came back, and asked again, you might perhaps, feel like giving another answer.	false	893.78	902.89	20
1547_130184_000036_000001	Forgive me, dear, I can't help seeing that you are very lonely, and sometimes there is a hungry look in your eyes that goes to my heart.	Forgive me, dear, I can't help seeing that you are very lonely, and sometimes there is a hungry look in your eyes that goes to my heart.	false	903.23	911.08	18
1547_130184_000036_000002	So I fancied that your boy might fill the empty place if he tried now."	So I fancied that your boy might fill the empty place if he tried now."	true	911.21	915.37	17
1547_130184_000037_000000	"No, Mother, it is better as it is, and I'm glad Amy has learned to love him.	"No, Mother, it is better as it is, and I'm glad Amy has learned to love him.	true	916.43	921.34	17
1547_130184_000037_000001	But you are right in one thing.	But you are right in one thing.	true	921.74	923.53	20
1547_130184_000037_000002	I am lonely, and perhaps if Teddy had tried again, I might have said 'Yes', not because I love him any more, but because I care more to be loved than when he went away."	I am lonely, and perhaps if Teddy had tried again, I might have said 'Yes', not because I love him any more, but because I care more to be loved than when he went away."	true	923.63	933.85	19
1547_130184_000038_000000	"I'm glad of that, Jo, for it shows that you are getting on.	"I'm glad of that, Jo, for it shows that you are getting on.	false	934.85	937.84	18
1547_130184_000038_000001	There are plenty to love you, so try to be satisfied with Father and Mother, sisters and brothers, friends and babies, till the best lover of all comes to give you your reward."	There are plenty to love you, so try to be satisfied with Father and Mother, sisters and brothers, friends and babies, till the best lover of all comes to give you your reward."	false	938.51	948.13	15
1547_130184_000039_000000	"Mothers are the best lovers in the world, but I don't mind whispering to Marmee that I'd like to try all kinds.	"Mothers are the best lovers in the world, but I don't mind whispering to Marmee that I'd like to try all kinds.	true	949.52	955.9	19.19672
1547_130184_000039_000001	It's very curious, but the more I try to satisfy myself with all sorts of natural affections, the more I seem to want.	It's very curious, but the more I try to satisfy myself with all sorts of natural affections, the more I seem to want.	true	956.3	964.03	18
1547_130184_000039_000002	I'd no idea hearts could take in so many.	I'd no idea hearts could take in so many.	true	964.43	967.39	16
1547_130184_000039_000003	Mine is so elastic, it never seems full now, and I used to be quite contented with my family.	Mine is so elastic, it never seems full now, and I used to be quite contented with my family.	true	967.67	973.185	17
1547_130184_000039_000004	I don't understand it."	I don't understand it."	true	973.185	974.56	16
1547_130184_000040_000000	"I do," and Mrs. March smiled her wise smile, as Jo turned back the leaves to read what Amy said of Laurie.	"I do," and mrs March smiled her wise smile, as Jo turned back the leaves to read what Amy said of Laurie.	true	975.44	985.08	18.937754
1547_130184_000041_000000	"It is so beautiful to be loved as Laurie loves me.	"It is so beautiful to be loved as Laurie loves me.	true	985.08	988.27	13
1547_130184_000041_000001	He isn't sentimental, doesn't say much about it, but I see and feel it in all he says and does, and it makes me so happy and so humble that I don't seem to be the same girl I was.	He isn't sentimental, doesn't say much about it, but I see and feel it in all he says and does, and it makes me so happy and so humble that I don't seem to be the same girl I was.	true	988.52	999.61	17
1547_130184_000041_000002	I never knew how good and generous and tender he was till now, for he lets me read his heart, and I find it full of noble impulses and hopes and purposes, and am so proud to know it's mine.	I never knew how good and generous and tender he was till now, for he lets me read his heart, and I find it full of noble impulses and hopes and purposes, and am so proud to know it's mine.	false	1000.31	1012.99	18
1547_130184_000041_000003	He says he feels as if he 'could make a prosperous voyage now with me aboard as mate, and lots of love for ballast'.	He says he feels as if he 'could make a prosperous voyage now with me aboard as mate, and lots of love for ballast'.	false	1013.69	1021.93	20.54727
1547_130184_000041_000004	I pray he may, and try to be all he believes me, for I love my gallant captain with all my heart and soul and might, and never will desert him, while God lets us be together.	I pray he may, and try to be all he believes me, for I love my gallant captain with all my heart and soul and might, and never will desert him, while God lets us be together.	false	1022.42	1034.32	17
1547_130184_000041_000005	Oh, Mother, I never knew how much like heaven this world could be, when two people love and live for one another!"	Oh, Mother, I never knew how much like heaven this world could be, when two people love and live for one another!"	true	1034.63	1041.46	15
1547_130184_000042_000000	"And that's our cool, reserved, and worldly Amy!	"And that's our cool, reserved, and worldly Amy!	true	1042.7	1045.54	16
1547_130184_000042_000001	Truly, love does work miracles.	Truly, love does work miracles.	true	1045.76	1048.18	18
1547_130184_000042_000002	How very, very happy they must be!" and Jo laid the rustling sheets together with a careful hand, as one might shut the covers of a lovely romance, which holds the reader fast till the end comes, and he finds himself alone in the workaday world again.	How very, very happy they must be!" and Jo laid the rustling sheets together with a careful hand, as one might shut the covers of a lovely romance, which holds the reader fast till the end comes, and he finds himself alone in the workaday world again.	true	1048.49	1065.4	18
1547_130184_000043_000000	By-and-by Jo roamed away upstairs, for it was rainy, and she could not walk.	By and by Jo roamed away upstairs, for it was rainy, and she could not walk.	false	1066.79	1072.06	20
1547_130184_000043_000001	A restless spirit possessed her, and the old feeling came again, not bitter as it once was, but a sorrowfully patient wonder why one sister should have all she asked, the other nothing.	A restless spirit possessed her, and the old feeling came again, not bitter as it once was, but a sorrowfully patient wonder why one sister should have all she asked, the other nothing.	true	1073.03	1084.99	18
1547_130184_000043_000002	It was not true, she knew that and tried to put it away, but the natural craving for affection was strong, and Amy's happiness woke the hungry longing for someone to 'love with heart and soul, and cling to while God let them be together'.	It was not true, she knew that and tried to put it away, but the natural craving for affection was strong, and Amy's happiness woke the hungry longing for someone to 'love with heart and soul, and cling to while God let them be together'.	false	1085.75	1101.4	17
1547_130184_000043_000003	Up in the garret, where Jo's unquiet wanderings ended stood four little wooden chests in a row, each marked with its owners name, and each filled with relics of the childhood and girlhood ended now for all.	Up in the garret, where Jo's unquiet wanderings ended stood four little wooden chests in a row, each marked with its owners name, and each filled with relics of the childhood and girlhood ended now for all.	false	1102.25	1117.24	20.272217
1547_130184_000043_000004	Jo glanced into them, and when she came to her own, leaned her chin on the edge, and stared absently at the chaotic collection, till a bundle of old exercise books caught her eye.	Jo glanced into them, and when she came to her own, leaned her chin on the edge, and stared absently at the chaotic collection, till a bundle of old exercise books caught her eye.	true	1118.09	1129.66	18
1547_130184_000043_000005	She drew them out, turned them over, and relived that pleasant winter at kind Mrs. Kirke's.	She drew them out, turned them over, and relived that pleasant winter at kind mrs Kirke's.	true	1130.84	1135.84	16
1547_130184_000043_000006	She had smiled at first, then she looked thoughtful, next sad, and when she came to a little message written in the Professor's hand, her lips began to tremble, the books slid out of her lap, and she sat looking at the friendly words, as they took a new meaning, and touched a tender spot in her heart.	She had smiled at first, then she looked thoughtful, next sad, and when she came to a little message written in the Professor's hand, her lips began to tremble, the books slid out of her lap, and she sat looking at the friendly words, as they took a new meaning, and touched a tender spot in her heart.	false	1136.6	1156	20.489475
1547_130184_000044_000000	"Wait for me, my friend.	"Wait for me, my friend.	true	1157.63	1159.39	22
1547_130184_000044_000001	I may be a little late, but I shall surely come."	I may be a little late, but I shall surely come."	true	1159.52	1162.81	16
1547_130184_000045_000000	"Oh, if he only would!	"Oh, if he only would!	false	1163.93	1165.96	18.403643
1547_130184_000045_000001	So kind, so good, so patient with me always, my dear old Fritz.	So kind, so good, so patient with me always, my dear old Fritz.	true	1165.97	1171.3	18
