5400_3587_000000_000000	POLLY'S BIG BUNDLE	POLLY'S BIG BUNDLE	true	24.54	26.05	22.230537
5400_3587_000027_000000	"Oh, no. Pet, I can't," cried Polly, "I've got to hurry like everything!"	"Oh, no Pet, I can't," cried Polly, "I've got to hurry like everything!"	true	270.89	275.29	32.259293
5400_3587_000028_000000	"I can hurry too," cried Phronsie, drawing her small figure to its utmost height, "oh, so fast, Polly!"	"I can hurry too," cried Phronsie, drawing her small figure to its utmost height, "oh, so fast, Polly!"	true	275.45	280.96	25
5400_3587_000029_000000	"And it's ever so far," cried Polly, in despair, as she saw the small under lip of the child begin to quiver.	"And it's ever so far," cried Polly, in despair, as she saw the small under lip of the child begin to quiver.	true	281.03	286.95	20
5400_3587_000029_000001	"Oh, dear me, mamsie, what shall I do!"	"Oh, dear me, mamsie, what shall I do!"	true	286.95	289.26	15
5400_3587_000030_000000	"Run right along," said Mrs. Pepper, briskly.	"Run right along," said mrs Pepper, briskly.	true	289.26	291.67	24.129122
5400_3587_000030_000001	"Now, Phronsie, you and I ought to take care of Cherry, poor thing."	"Now, Phronsie, you and I ought to take care of Cherry, poor thing."	false	291.68	295.48	25.299189
5400_3587_000031_000000	At this Phronsie turned and wiped away two big tears, while she gazed up at the cage in extreme commiseration.	At this Phronsie turned and wiped away two big tears, while she gazed up at the cage in extreme commiseration.	true	295.91	301.87	22
5400_3587_000032_000000	"I guess I'll give him a piece of bread," said Mrs. Pepper to herself. At this word "bread," Polly, who was half way down the hall, came running back.	"I guess I'll give him a piece of bread," said mrs Pepper to herself. At this word "bread," Polly, who was half way down the hall, came running back.	true	301.91	309.97	24.978956
5400_3587_000033_000000	"Oh, mamsie, don't," she said.	"Oh, mamsie, don't," she said.	true	310.01	311.88	28.227459
5400_3587_000033_000001	"It made him sick before, don't you know it did--so fat and stuffy."	"It made him sick before, don't you know it did-so fat and stuffy."	true	311.88	316.09	31.147707
5400_3587_000034_000000	"Well, hurry along then," said Mrs. Pepper, and Polly was off.	"Well, hurry along then," said mrs Pepper, and Polly was off.	true	316.22	319.96	25.530998
5400_3587_000035_000000	Over the ground she sped, only intent on reaching the bird store, her speed heightened by the dark and rolling bank of cloud that seemed to shut right down suddenly over her and envelop her warningly.	Over the ground she sped, only intent on reaching the bird store, her speed heightened by the dark and rolling bank of cloud that seemed to shut right down suddenly over her and envelop her warningly.	true	320.27	330.84	19
5400_3587_000036_000000	"It's good I've got the money to ride up with," she thought to herself, hurrying along through the busy streets, filled now with anxious crowds homeward rushing to avoid the threatening shower.	"It's good I've got the money to ride up with," she thought to herself, hurrying along through the busy streets, filled now with anxious crowds homeward rushing to avoid the threatening shower.	true	330.84	340.365	19
5400_3587_000036_000001	"Well, here I am," she said with a sigh of relief, as she at last reached Mr. Fletcher's big bird store.	"Well, here I am," she said with a sigh of relief, as she at last reached mr Fletcher's big bird store.	true	340.365	345.67	21.820705
5400_3587_000037_000000	Here she steadily resisted all temptations to stop and look at the new arrivals of birds, and to feed the carrier-pigeons who seemed to be expecting her, and who turned their soft eyes up at her reproachfully when she failed to pay her respects to them.	Here she steadily resisted all temptations to stop and look at the new arrivals of birds, and to feed the carrier pigeons who seemed to be expecting her, and who turned their soft eyes up at her reproachfully when she failed to pay her respects to them.	true	346.28	359.05	20
5400_3587_000037_000001	Even the cunning blandishments of a very attractive monkey that always had entertained the children on their numerous visits, failed to interest her now. Mamsie would be worrying, she knew; and besides, the sight of so many birds eating their suppers out of generously full seed-cups, only filled her heart with remorse as she thought of poor Cherry and his empty one.	Even the cunning blandishments of a very attractive monkey that always had entertained the children on their numerous visits, failed to interest her now. Mamsie would be worrying, she knew; and besides, the sight of so many birds eating their suppers out of generously full seed cups, only filled her heart with remorse as she thought of poor Cherry and his empty one.	true	359.63	378.79	21
5400_3587_000038_000000	So she put down her ten cents silently on the counter, and took up the little package of seed, and went out.	So she put down her ten cents silently on the counter, and took up the little package of seed, and went out.	true	379.58	384.46	20
5400_3587_000039_000000	But what a change!	But what a change!	true	384.62	385.83	27.485386
5400_3587_000039_000001	The cloud that had seemed but a cloud when she went in, was now fast descending in big ominous sprinkles that told of a heavy shower to follow.	The cloud that had seemed but a cloud when she went in, was now fast descending in big ominous sprinkles that told of a heavy shower to follow.	true	385.83	393.67	23
5400_3587_000039_000002	Quick and fast they came, making everybody fly to the nearest shelter.	Quick and fast they came, making everybody fly to the nearest shelter.	false	393.68	397.27	23.895367
5400_3587_000040_000000	"I don't care," said Polly to herself, holding fast her little package. "I'll run and get in the car--then I'll be all right."	"I don't care," said Polly to herself, holding fast her little package. "I'll run and get in the car-then I'll be all right."	true	397.52	404.47	23.7304
5400_3587_000041_000000	So she went on with nimble footsteps, dodging the crowd, and soon came to the corner.	So she went on with nimble footsteps, dodging the crowd, and soon came to the corner.	true	404.81	409.57	23.130499
5400_3587_000041_000001	A car was just in sight--that was fine!	A car was just in sight-that was fine!	true	409.91	412.75	26.947226
5400_3587_000041_000002	Polly put her hand in her pocket for her purse, to have it all ready--but as quickly drew it out again and stared wildly at the car, which she allowed to pass by.	Polly put her hand in her pocket for her purse, to have it all ready-but as quickly drew it out again and stared wildly at the car, which she allowed to pass by.	false	413.03	421.3	24
5400_3587_000041_000003	Her pocket was empty!	Her pocket was empty!	true	421.52	423.43	31.089058
5400_3587_000042_000000	"Oh, dear," she said to herself, as a sudden gust of wind blew around the corner, and warned her to move on, "now what shall I do!	"Oh, dear," she said to herself, as a sudden gust of wind blew around the corner, and warned her to move on, "now what shall I do!	false	423.71	430.9	23
5400_3587_000042_000001	Well, I must hurry.	Well, I must hurry.	true	431.21	432.52	24.568447
5400_3587_000042_000002	Nothing for it but to run now!"	Nothing for it but to run now!"	true	432.8	434.95	25.82414
5400_3587_000043_000000	And secretly glad at the chance for a good hearty run along the hard pavements, a thing she had been longing to do ever since she came to the city, Polly gathered her bundle of seed up under her arm, and set out for a jolly race.	And secretly glad at the chance for a good hearty run along the hard pavements, a thing she had been longing to do ever since she came to the city, Polly gathered her bundle of seed up under her arm, and set out for a jolly race.	false	435.23	446.98	20
5400_3587_000043_000001	She was enjoying it hugely, when--a sudden turn of the corner brought her up against a gentleman, who, having his umbrella down to protect his face, hadn't seen her till it was too late.	She was enjoying it hugely, when-a sudden turn of the corner brought her up against a gentleman, who, having his umbrella down to protect his face, hadn't seen her till it was too late.	true	447.26	456.735	16
5400_3587_000044_000000	Polly never could tell how it was done; but the first thing she knew she was being helped up from the wet, slippery pavement by a kind hand; and a gentleman's voice said in the deepest concern:	Polly never could tell how it was done; but the first thing she knew she was being helped up from the wet, slippery pavement by a kind hand; and a gentleman's voice said in the deepest concern:	true	456.735	466.06	19
5400_3587_000045_000000	"I beg your pardon; it was extremely careless in me."	"I beg your pardon; it was extremely careless in me."	true	466.1	469.39	28.098995
5400_3587_000046_000000	"It's no matter," said Polly, hopping up with a little laugh, and straightening her hat.	"It's no matter," said Polly, hopping up with a little laugh, and straightening her hat.	true	469.64	474.01	24.762245
5400_3587_000046_000001	"Only--" and she began to look for her parcel that had been sent spinning.	"Only-" and she began to look for her parcel that had been sent spinning.	true	474.2	478.38	21.657454
5400_3587_000047_000000	"What is it?" said the gentleman, bending down and beginning to explore, too, in the darkness.	"What is it?" said the gentleman, bending down and beginning to explore, too, in the darkness.	true	478.38	482.26	16
5400_3587_000048_000000	"My bundle," began Polly.	"My bundle," began Polly.	true	482.48	484.06	19.518959
5400_3587_000048_000001	"Oh, dear!"	"Oh, dear!"	true	484.1	485.14	22.261152
5400_3587_000049_000000	No need to ask for it now!	No need to ask for it now!	true	485.27	486.9	27
5400_3587_000049_000001	There lay the paper wet and torn, down at their feet.	There lay the paper wet and torn, down at their feet.	true	486.9	489.615	23
5400_3587_000049_000002	The seed lay all over the pavement, scattered far and wide even out to the puddles in the street.	The seed lay all over the pavement, scattered far and wide even out to the puddles in the street.	true	489.615	494.32	21.072138
5400_3587_000049_000003	And not a cent of money to get any more with!	And not a cent of money to get any more with!	true	494.36	496.9	24.900597
5400_3587_000049_000004	The rain that was falling around them as they stood there sent with the sound of every drop such a flood of misery into Polly's heart!	The rain that was falling around them as they stood there sent with the sound of every drop such a flood of misery into Polly's heart!	true	497.15	504.22	25
5400_3587_000050_000000	"What was it, child?" asked the gentleman, peering sharply to find out what the little shiny things were.	"What was it, child?" asked the gentleman, peering sharply to find out what the little shiny things were.	true	504.59	509.74	21
5400_3587_000051_000000	"Bird-seed," gasped Polly.	"Bird seed," gasped Polly.	true	510.17	512.35	29.766949
5400_3587_000052_000000	"Is that all?" said the gentleman with a happy laugh.	"Is that all?" said the gentleman with a happy laugh.	true	512.75	514.965	22.965353
5400_3587_000052_000001	"I'm very glad."	"I'm very glad."	true	514.965	516.19	20.016748
5400_3587_000053_000000	"All!" Polly's heart stood still as she thought of Cherry, stark and stiff in the bottom of his cage, if he didn't get it soon.	"All!" Polly's heart stood still as she thought of Cherry, stark and stiff in the bottom of his cage, if he didn't get it soon.	true	516.38	523.36	24.265566
5400_3587_000053_000001	"Now," said the kind tones, briskly, "come, little girl, we'll make this all right speedily.	"Now," said the kind tones, briskly, "come, little girl, we'll make this all right speedily.	true	523.49	529.24	32.805943
5400_3587_000053_000002	Let's see--here's a bird store.	Let's see-here's a bird store.	true	529.55	531.91	30.65495
5400_3587_000053_000003	Now, then."	Now, then."	true	532.01	532.99	18.531794
5400_3587_000054_000000	"But, sir--" began Polly, holding back.	"But, sir-" began Polly, holding back.	true	533.18	535.42	26.047699
5400_3587_000055_000000	Even Cherry had better die than to do anything her mother wouldn't like. But the gentleman already had her in the shop, and was delighting the heart of the shop-keeper by ordering him to do up a big package of all kinds of seed.	Even Cherry had better die than to do anything her mother wouldn't like. But the gentleman already had her in the shop, and was delighting the heart of the shop keeper by ordering him to do up a big package of all kinds of seed.	false	535.61	547.27	20.367975
5400_3587_000055_000001	And then he added a cunning arrangement for birds to swing in, and two or three other things that didn't have anything to do with birds at all.	And then he added a cunning arrangement for birds to swing in, and two or three other things that didn't have anything to do with birds at all.	true	547.58	554.02	24
5400_3587_000055_000002	And then they came out on the wet, slippery street again.	And then they came out on the wet, slippery street again.	true	554.27	556.83	21
5400_3587_000056_000000	"Now, then, little girl," said the gentleman, tucking the bundle under his arm, and opening the umbrella; then he took hold of Polly's hand, who by this time was glad of a protector.	"Now, then, little girl," said the gentleman, tucking the bundle under his arm, and opening the umbrella; then he took hold of Polly's hand, who by this time was glad of a protector.	true	556.83	565.33	28
5400_3587_000056_000001	"Where do you live?	"Where do you live?	true	565.4	566.59	20.882145
5400_3587_000056_000002	For I'm going to take you safely home this time where umbrellas can't run into you."	For I'm going to take you safely home this time where umbrellas can't run into you."	true	566.72	570.64	21
5400_3587_000057_000000	"Oh!" said Polly, with a little skip.	"Oh!" said Polly, with a little skip.	true	570.74	572.73	21.785702
5400_3587_000057_000001	"Thank you sir!	"Thank you sir!	true	572.73	573.61	35.470222
5400_3587_000057_000002	It's up to Mr. King's; and--"	It's up to mr King's; and-"	true	573.92	576.04	31.001556
5400_3587_000058_000000	"What!" said the gentleman, stopping short in the midst of an immense puddle, and staring at her, "Mr.	"What!" said the gentleman, stopping short in the midst of an immense puddle, and staring at her, "mr	true	576.32	580.77	25
5400_3587_000058_000001	Jasper King's?"	Jasper King's?"	true	580.77	581.98	24.382494
5400_3587_000059_000000	"I don't know sir," said Polly, "what his other name is.	"I don't know sir," said Polly, "what his other name is.	true	582.38	585.13	17.916485
5400_3587_000059_000001	Yes it must be Jasper; that's what Jappy's is, anyway," she added with a little laugh, wishing very much that she could see Jappy at that identical moment.	Yes it must be Jasper; that's what Jappy's is, anyway," she added with a little laugh, wishing very much that she could see Jappy at that identical moment.	false	585.35	594.94	27.45963
5400_3587_000060_000000	"Jappy!" said the stranger, still standing as if petrified.	"Jappy!" said the stranger, still standing as if petrified.	true	595.13	598.11	26
5400_3587_000060_000001	"And are there little Whitney children in the same house!"	"And are there little Whitney children in the same house!"	false	598.11	600.64	24
5400_3587_000061_000000	"Oh, yes," said Polly, raising her clear, brown eyes up at him.	"Oh, yes," said Polly, raising her clear, brown eyes up at him.	true	600.65	603.85	24.832247
5400_3587_000061_000001	The gas lighter was just beginning his rounds, and the light from a neighboring lamp flashed full on Polly's face as she spoke, showing just how clear and brown the eyes were.	The gas lighter was just beginning his rounds, and the light from a neighboring lamp flashed full on Polly's face as she spoke, showing just how clear and brown the eyes were.	false	604.1	612.67	21.861036
5400_3587_000061_000002	"There's Percy, and Van, and little Dick--oh, he's so cunning!" she cried, impulsively.	"There's Percy, and Van, and little Dick-oh, he's so cunning!" she cried, impulsively.	true	612.8	617.4	24.794868
5400_3587_000062_000000	The gentleman's face looked very queer just then; but he merely said:	The gentleman's face looked very queer just then; but he merely said:	true	617.4	620.925	23.479391
5400_3587_000063_000000	"Why, you must be Polly?"	"Why, you must be Polly?"	true	620.925	623.23	33.307037
5400_3587_000064_000000	"Yes, sir, I am," said Polly, pleased to think he knew her.	"Yes, sir, I am," said Polly, pleased to think he knew her.	true	623.33	626.23	20.29684
5400_3587_000064_000001	And then she told him how she'd forgotten Cherry's seed, and all about it.	And then she told him how she'd forgotten Cherry's seed, and all about it.	true	626.48	629.89	20
5400_3587_000064_000002	"And oh, sir," she said, and her voice began to tremble, "Mamsie'll be so frightened if I don't get there soon!"	"And oh, sir," she said, and her voice began to tremble, "Mamsie'll be so frightened if I don't get there soon!"	true	630.14	636.79	22.58473
5400_3587_000065_000000	"I'm going up there myself, so that it all happens very nicely," said the gentleman, commencing to start off briskly, and grasping her hand tighter.	"I'm going up there myself, so that it all happens very nicely," said the gentleman, commencing to start off briskly, and grasping her hand tighter.	true	636.95	644.7	24.823675
5400_3587_000065_000001	"Now, then, Polly."	"Now, then, Polly."	true	644.7	645.88	32.41063
5400_3587_000066_000000	So off they went at a very fast pace; she, skipping through the puddles that his long, even strides carried him safely over, chattered away by his side under the umbrella, and answered his many questions, and altogether got so very well acquainted that by the time they turned in at the old stone gateway, she felt as if she had known him for years.	So off they went at a very fast pace; she, skipping through the puddles that his long, even strides carried him safely over, chattered away by his side under the umbrella, and answered his many questions, and altogether got so very well acquainted that by the time they turned in at the old stone gateway, she felt as if she had known him for years.	true	646.4	664.03	18
5400_3587_000067_000000	And there, the first thing they either of them saw, down in a little corner back of the tall evergreens, was a small heap that rose as they splashed up the carriage-drive, and resolved itself into a very red dress and a very white apron, as it rushed impulsively up and flung itself into Polly's wet arms:	And there, the first thing they either of them saw, down in a little corner back of the tall evergreens, was a small heap that rose as they splashed up the carriage drive, and resolved itself into a very red dress and a very white apron, as it rushed impulsively up and flung itself into Polly's wet arms:	true	664.73	681.97	18
5400_3587_000068_000000	"And I was so tired waiting, Polly!"	"And I was so tired waiting, Polly!"	true	682.31	684.67	14
5400_3587_000069_000000	"Oh dear me, Phronsie!" cried Polly, huddling her up from the dark, wet ground.	"Oh dear me, Phronsie!" cried Polly, huddling her up from the dark, wet ground.	true	685.13	689.49	28.202534
5400_3587_000069_000001	"You'll catch your death!	"You'll catch your death!	true	689.49	690.69	30.644163
5400_3587_000069_000002	What will mamsie say!"	What will mamsie say!"	true	690.69	692.05	17.693735
5400_3587_000070_000000	The stranger, amazed at this new stage of the proceedings, was vainly trying to hold the umbrella over both, till the procession could move on again.	The stranger, amazed at this new stage of the proceedings, was vainly trying to hold the umbrella over both, till the procession could move on again.	true	692.33	700.27	22
5400_3587_000071_000000	"Oh!" cried Phronsie, shaking her yellow head decidedly, "they're all looking for you, Polly." She pointed one finger solemnly up to the big carved door as she spoke.	"Oh!" cried Phronsie, shaking her yellow head decidedly, "they're all looking for you, Polly." She pointed one finger solemnly up to the big carved door as she spoke.	false	700.49	709.365	26
5400_3587_000071_000001	At that Polly gathered her up close and began to walk with rapid footsteps up the path.	At that Polly gathered her up close and began to walk with rapid footsteps up the path.	true	709.365	713.86	21
5400_3587_000072_000000	"Do let me carry you, little girl," said Polly's kind friend persuasively, bending down to the little face on Polly's neck.	"Do let me carry you, little girl," said Polly's kind friend persuasively, bending down to the little face on Polly's neck.	true	714.23	720.58	23.720955
5400_3587_000073_000000	"Oh, no, no, no!" said Phronsie, at each syllable grasping Polly around the throat in perfect terror, and waving him off with a very crumpled, mangy bit of paper, that had already done duty to wipe off the copious tears during her anxious watch.	"Oh, no, no, no!" said Phronsie, at each syllable grasping Polly around the throat in perfect terror, and waving him off with a very crumpled, mangy bit of paper, that had already done duty to wipe off the copious tears during her anxious watch.	false	720.65	733.18	19
5400_3587_000073_000001	"Don't let him, Polly, don't!"	"Don't let him, Polly, don't!"	true	733.34	735.4	30.776953
5400_3587_000074_000000	"There sha'n't anything hurt you," said Polly, kissing her reassuringly, and stepping briskly off with her burden, just as the door burst open, and Joel flew out on the veranda steps, followed by the rest of the troop in the greatest state of excitement.	"There sha'n't anything hurt you," said Polly, kissing her reassuringly, and stepping briskly off with her burden, just as the door burst open, and joel flew out on the veranda steps, followed by the rest of the troop in the greatest state of excitement.	true	735.89	748.54	22
5400_3587_000075_000000	"Oh, whickety!	"Oh, whickety!	true	748.85	749.76	37.805664
5400_3587_000075_000001	she's come!" he shouted, springing up to her over the puddles, and crowding under the umbrella.	she's come!" he shouted, springing up to her over the puddles, and crowding under the umbrella.	true	749.76	754.66	22
5400_3587_000075_000002	"Where'd you get Phronsie?" he asked, standing quite still at sight of the little feet tucked up to get out of the rain.	"Where'd you get Phronsie?" he asked, standing quite still at sight of the little feet tucked up to get out of the rain.	true	754.67	760.75	31
5400_3587_000075_000003	And without waiting for an answer he turned and shot back into the house proclaiming in stentorian tones, "Ma, Polly's come--an' she's got Phronsie--an' an awful big man--and they're out by the gate!"	And without waiting for an answer he turned and shot back into the house proclaiming in stentorian tones, "Ma, Polly's come-an' she's got Phronsie-an' an awful big man-and they're out by the gate!"	false	760.88	774.31	27.05239
5400_3587_000076_000000	"Phronsie!" said Mrs. Pepper, springing to her feet, "why, I thought she was up-stairs with Jane."	"Phronsie!" said mrs Pepper, springing to her feet, "why, I thought she was up stairs with Jane."	true	774.35	779.08	26.710104
5400_3587_000077_000000	"Now, somebody," exclaimed old Mr. King, who sat by the library table vainly trying to read a newspaper, which he now threw down in extreme irritation as he rose quickly and went to the door to welcome the wanderers, "somebody ought to watch that poor child, whose business it is to know where she is!	"Now, somebody," exclaimed old mr King, who sat by the library table vainly trying to read a newspaper, which he now threw down in extreme irritation as he rose quickly and went to the door to welcome the wanderers, "somebody ought to watch that poor child, whose business it is to know where she is!	false	779.39	794.98	20
