7705_101579_000001_000000	CHAPTER XII.	CHAPTER twelve.
7705_101579_000012_000004	He was guilty of wishing that Park had stayed in camp.	He was guilty of wishing that Park had stayed in camp.
7705_101579_000013_000000	"Oh, I'm glad you rode over," she welcomed--but she was careful, after that first swift glance, to look at Park.	"Oh, I'm glad you rode over," she welcomed-but she was careful, after that first swift glance, to look at Park.
7705_101579_000014_000000	Park smiled vaguely.	Park smiled vaguely.
7705_101579_000014_000001	He was afraid it would not be polite to agree with her as emphatically as he would like to have done.	He was afraid it would not be polite to agree with her as emphatically as he would like to have done.
7705_101579_000014_000002	But Thurston had no smile ready, polite or otherwise.	But Thurston had no smile ready, polite or otherwise.
7705_101579_000014_000003	Instead he drew down his brows in a way not complimentary to Jack.	Instead he drew down his brows in a way not complimentary to Jack.
7705_101579_000015_000000	"Where is your mother?" he asked, almost peremptorily.	"Where is your mother?" he asked, almost peremptorily.
7705_101579_000016_000001	"Aunt Mary has typhoid fever--there seems to be so much of that this spring and they sent for mamma.	"Aunt Mary has typhoid fever-there seems to be so much of that this spring and they sent for mamma.
7705_101579_000017_000000	Thurston did know, but he passed over the subject.	Thurston did know, but he passed over the subject.
7705_101579_000018_000000	"Certainly not; aren't you two here?" Mona could be very pert when she tried.	"Certainly not; aren't you two here?" Mona could be very pert when she tried.
7705_101579_000018_000001	"Jack and I are holding down the ranch just now; the boys are all on roundup, of course.	"Jack and I are holding down the ranch just now; the boys are all on roundup, of course.
7705_101579_000018_000002	Jack went to town today to see some one.	Jack went to town today to see some one.
7705_101579_000019_000000	"Um-m-yes, of course."	"Um m yes, of course."
7705_101579_000019_000001	It was Park, still trying to be polite and not commit himself on the subject of Jack.	It was Park, still trying to be polite and not commit himself on the subject of Jack.
7705_101579_000019_000002	The "some one" whom Jack went oftenest to see was the bartender in the Palace saloon, but it was not necessary to tell her that.	The "some one" whom Jack went oftenest to see was the bartender in the Palace saloon, but it was not necessary to tell her that.
7705_101579_000020_000000	"The river's coming up pretty fast, Mona," he ventured.	"The river's coming up pretty fast, Mona," he ventured.
7705_101579_000020_000001	"Don't yuh think yuh ought to pull out and go visiting?"	"Don't yuh think yuh ought to pull out and go visiting?"
7705_101579_000021_000000	"No, I don't." Mona's tone was very decided.	"No, I don't." Mona's tone was very decided.
7705_101579_000022_000000	"You can never tell what it might do," Park argued.	"You can never tell what it might do," Park argued.
7705_101579_000022_000002	This hot weather we've been having lately, and then the rain, will bring it a-whooping.	This hot weather we've been having lately, and then the rain, will bring it a whooping.
7705_101579_000023_000000	"No, I can't." Mona's chin went up perversely.	"No, I can't." Mona's chin went up perversely.
7705_101579_000023_000001	"I'm no coward, I hope, even if there was any danger which there isn't."	"I'm no coward, I hope, even if there was any danger which there isn't."
7705_101579_000024_000000	Thurston's chin went up also, and he sat a bit straighter.	Thurston's chin went up also, and he sat a bit straighter.
7705_101579_000024_000001	Whether she meant it or not, he took her words as a covert stab at himself.	Whether she meant it or not, he took her words as a covert stab at himself.
7705_101579_000024_000002	Probably she did not mean it; at any rate the blood flew consciously to her cheeks after she had spoken, and she caught her under lip sharply between her teeth.	Probably she did not mean it; at any rate the blood flew consciously to her cheeks after she had spoken, and she caught her under lip sharply between her teeth.
7705_101579_000024_000003	And that did not help matters or make her temper more yielding.	And that did not help matters or make her temper more yielding.
7705_101579_000025_000000	"Anyway," she added hurriedly, "Jack will be here; he's likely to come any minute now."	"Anyway," she added hurriedly, "Jack will be here; he's likely to come any minute now."
7705_101579_000027_000001	He did not like even Park to be too familiar with Mona, though he knew there was a girl in Shellanne whose name Park sometimes spoke in his sleep.	He did not like even Park to be too familiar with Mona, though he knew there was a girl in Shellanne whose name Park sometimes spoke in his sleep.
7705_101579_000028_000000	She lifted the big glass lamp down from its place on the clock shelf and lighted it with fingers not quite steady.	She lifted the big glass lamp down from its place on the clock shelf and lighted it with fingers not quite steady.
7705_101579_000028_000001	"You men," she remarked, "think women ought to be wrapped in pink cotton and put in a glass cabinet.	"You men," she remarked, "think women ought to be wrapped in pink cotton and put in a glass cabinet.
7705_101579_000029_000000	"Would yuh?" Park grinned skeptically.	"Would yuh?" Park grinned skeptically.
7705_101579_000029_000003	Then where'd yuh be at?"	Then where'd yuh be at?"
7705_101579_000030_000000	"It won't get up here, though," Mona asserted coolly.	"It won't get up here, though," Mona asserted coolly.
7705_101579_000031_000000	"No, and the Lazy Eight never had to work the Yellowstone range on spring roundup before either," Park told her meaningly.	"No, and the Lazy Eight never had to work the Yellowstone range on spring roundup before either," Park told her meaningly.
7705_101579_000032_000000	Whereupon Mona got upon her pedestal and smiled her unpleasant smile, against which even Park had no argument ready.	Whereupon Mona got upon her pedestal and smiled her unpleasant smile, against which even Park had no argument ready.
7705_101579_000033_000000	They lingered till long after all good cowpunchers are supposed to be in their beds--unless they are standing night-guard--but Jack failed to appear.	They lingered till long after all good cowpunchers are supposed to be in their beds-unless they are standing night guard-but Jack failed to appear.
7705_101579_000034_000000	When the clock struck a wheezy nine Mona glanced at it significantly and smothered a yawn more than half affected.	When the clock struck a wheezy nine Mona glanced at it significantly and smothered a yawn more than half affected.
7705_101579_000034_000001	It was a hint which no man with an atom of self-respect could overlook.	It was a hint which no man with an atom of self respect could overlook.
7705_101579_000035_000000	"I guess we'll have to be going," Park said with some ceremony.	"I guess we'll have to be going," Park said with some ceremony.
7705_101579_000036_000000	"I don't see why not; I'm not the least bit afraid," Mona said.	"I don't see why not; I'm not the least bit afraid," Mona said.
7705_101579_000036_000001	Her tone was impersonal and had in it a note of dismissal.	Her tone was impersonal and had in it a note of dismissal.
7705_101579_000037_000000	So, there being nothing else that they could do, they said good-night and took themselves off.	So, there being nothing else that they could do, they said good night and took themselves off.
7705_101579_000038_000000	"This is sure fierce," Park grumbled when they struck the lower ground. "Darn a man like Jack Stevens!	"This is sure fierce," Park grumbled when they struck the lower ground. "Darn a man like Jack Stevens!
7705_101579_000038_000003	But no--it'd be awful if Jack had to cook his own grub for a week.	But no-it'd be awful if Jack had to cook his own grub for a week.
7705_101579_000038_000004	Say, the water has come up a lot, don't yuh think, Bud? If it raises much more Mona'll sure have a chance to 'cope with the situation.	Say, the water has come up a lot, don't yuh think, Bud? If it raises much more Mona'll sure have a chance to 'cope with the situation.
7705_101579_000038_000005	It'd just about serve her right, too."	It'd just about serve her right, too."
7705_101579_000039_000000	Thurston did not think so, but he was in too dispirited a mood to argue the point.	Thurston did not think so, but he was in too dispirited a mood to argue the point.
7705_101579_000040_000001	He cursed the conventions which forbade his staying and watching over the girl back there in the house which already stood upon an island, cut off from the safe, high land by a strip of backwater that was widening and deepening every minute, and, when it rose high enough to flow into the river below, would have a current that would make a nasty crossing.	He cursed the conventions which forbade his staying and watching over the girl back there in the house which already stood upon an island, cut off from the safe, high land by a strip of backwater that was widening and deepening every minute, and, when it rose high enough to flow into the river below, would have a current that would make a nasty crossing.
7705_101579_000041_000000	On the first rise he stopped and looked back at the light which shone out from among the dripping cottonwoods.	On the first rise he stopped and looked back at the light which shone out from among the dripping cottonwoods.
7705_101579_000041_000001	Even then he was tempted to go back and brave her anger that he might feel assured of her safety.	Even then he was tempted to go back and brave her anger that he might feel assured of her safety.
7705_101579_000042_000000	"Oh, come on," Park cried impatiently.	"Oh, come on," Park cried impatiently.
7705_101579_000042_000002	I don't suppose the water will get clear up to the house; it'll likely do things to the sheds and corrals, though, and serve Jack right.	I don't suppose the water will get clear up to the house; it'll likely do things to the sheds and corrals, though, and serve Jack right.
7705_101579_000042_000003	Come on, Bud.	Come on, Bud.
7705_101579_000042_000005	She's got lots uh nerve; I guess she'll make out all right."	She's got lots uh nerve; I guess she'll make out all right."
7705_101579_000043_000000	There was common sense in the argument, and Thurston recognized it and rode on to camp.	There was common sense in the argument, and Thurston recognized it and rode on to camp.
7705_101579_000043_000001	But instead of unsaddling, as he would naturally have done, he tied Sunfish to the bed-wagon and threw his slicker over his back to protect him from the rain.	But instead of unsaddling, as he would naturally have done, he tied Sunfish to the bed wagon and threw his slicker over his back to protect him from the rain.
