7247_101864_000000_000000	"And I'm going to get married, too," said Margaret to her mother half an hour later.	"And I'm going to get married, too," said Margaret to her mother half an hour later.	false	0	5.04	23.349564
7247_101864_000008_000001	A gentle breeze stirred the curtains at the open windows, and the setting sun peeped through the vines outside and glistened on the old family plate. Three generations of Spencers looked down from the walls on the two men and the woman sitting at the great mahogany table.	A gentle breeze stirred the curtains at the open windows, and the setting sun peeped through the vines outside and glistened on the old family plate. Three generations of Spencers looked down from the walls on the two men and the woman sitting at the great mahogany table.	true	113.57	129.76	22.756008
7247_101864_000008_000002	The two men and the woman, however, were not looking at the sunlight, the vines, or the swaying curtains; they were looking at each other, and their eyes were troubled and questioning.	The two men and the woman, however, were not looking at the sunlight, the vines, or the swaying curtains; they were looking at each other, and their eyes were troubled and questioning.	true	130.31	141.28	22.967382
7247_101864_000009_000000	"You say she is coming next week?" asked the younger man, glancing at the letter in the other's hand.	"You say she is coming next week?" asked the younger man, glancing at the letter in the other's hand.	true	141.92	147.94	26.918907
7247_101864_000010_000000	"Yes.	"Yes.	true	148.04	148.875	25.958725
7247_101864_000010_000001	Tuesday afternoon."	Tuesday afternoon."	true	148.875	150.525	25.896515
7247_101864_000011_000000	"But, Frank, this is so--sudden," remonstrated the young fellow, laughing a little as he uttered the trite phrase.	"But, Frank, this is so-sudden," remonstrated the young fellow, laughing a little as he uttered the trite phrase.	true	150.525	157.66	23.909325
7247_101864_000011_000001	"How does it happen that I've heard so little of this young lady who is to be so unceremoniously dropped into our midst next Tuesday?"	"How does it happen that I've heard so little of this young lady who is to be so unceremoniously dropped into our midst next Tuesday?"	true	158.12	165.58	19
7247_101864_000012_000000	Frank Spencer made an impatient gesture that showed how great was his perturbation.	Frank Spencer made an impatient gesture that showed how great was his perturbation.	true	166.07	171.01	23
7247_101864_000013_000000	"Come, come, Ned, don't be foolish," he protested.	"Come, come, Ned, don't be foolish," he protested.	true	171.2	175.09	21.904514
7247_101864_000013_000001	"You know very well that your brother's stepdaughter has been my ward for a dozen years."	"You know very well that your brother's stepdaughter has been my ward for a dozen years."	true	175.43	179.98	23
7247_101864_000014_000000	"Yes, but that is all I know," rejoined the young man, quietly.	"Yes, but that is all I know," rejoined the young man, quietly.	true	180.32	184.53	23.157337
7247_101864_000014_000001	"I have never seen her, and scarcely ever heard of her, and yet you expect me to take as a matter of course this strange young woman who is none of our kith nor kin, and yet who is to be one of us from henceforth forevermore!"	"I have never seen her, and scarcely ever heard of her, and yet you expect me to take as a matter of course this strange young woman who is none of our kith nor kin, and yet who is to be one of us from henceforth forevermore!"	false	184.53	196.93	22.772882
7247_101864_000015_000000	"The boy is right," interposed the low voice of the woman across the table.	"The boy is right," interposed the low voice of the woman across the table.	true	197.45	201.85	21.961487
7247_101864_000015_000001	"Ned doesn't know anything about her.	"Ned doesn't know anything about her.	true	202.1	204.37	23.617949
7247_101864_000015_000002	He was a mere child himself when it all happened, and he's been away from home most of the time since.	He was a mere child himself when it all happened, and he's been away from home most of the time since.	true	204.65	210.22	22.60836
7247_101864_000015_000003	For that matter, we don't know much about her ourselves."	For that matter, we don't know much about her ourselves."	true	210.56	213.64	20.598362
7247_101864_000016_000000	"We certainly don't," sighed Frank Spencer; then he raised his head and squared his shoulders.	"We certainly don't," sighed Frank Spencer; then he raised his head and squared his shoulders.	true	214.1	219.97	25.567093
7247_101864_000016_000001	"See here, good people, this will never do in the world," he asserted with sudden authority.	"See here, good people, this will never do in the world," he asserted with sudden authority.	true	220.55	225.73	21.932632
7247_101864_000016_000002	"I have offered the hospitality of this house to a homeless, orphan girl, and she has accepted it.	"I have offered the hospitality of this house to a homeless, orphan girl, and she has accepted it.	true	226.28	231.97	23.875319
7247_101864_000016_000003	There is nothing for us to do now but to try to make her happy.	There is nothing for us to do now but to try to make her happy.	true	232.34	235.42	26.924337
7247_101864_000016_000004	After all, we needn't worry--it may turn out that she will make us happy."	After all, we needn't worry-it may turn out that she will make us happy."	true	235.46	239.68	25.23618
7247_101864_000017_000000	"But what is she?	"But what is she?	true	240.23	241.23	18.59923
7247_101864_000017_000001	How does she look?" catechized Ned.	How does she look?" catechized Ned.	true	241.23	243.7	29.210712
7247_101864_000018_000000	His brother shook his head.	His brother shook his head.	true	243.83	245.41	30.27417
7247_101864_000019_000000	"I don't know," he replied simply.	"I don't know," he replied simply.	true	245.78	248.68	23.011631
7247_101864_000020_000000	"You don't know!	"You don't know!	true	249.14	250.33	27.816038
7247_101864_000020_000001	But, surely you have seen her!"	But, surely you have seen her!"	true	250.37	252.13	25.171024
7247_101864_000021_000000	"Yes, oh, yes, I have seen her, once or twice, but Margaret Kendall is not a girl whom to see is to know; besides, the circumstances were such that--well, I might as well tell the story from the beginning, particularly as you know so little of it yourself."	"Yes, oh, yes, I have seen her, once or twice, but Margaret Kendall is not a girl whom to see is to know; besides, the circumstances were such that-well, I might as well tell the story from the beginning, particularly as you know so little of it yourself."	false	252.26	268.45	23.969255
7247_101864_000022_000000	Frank paused, and looked at the letter in his hand.	Frank paused, and looked at the letter in his hand.	true	269.06	272.05	26.524174
7247_101864_000022_000001	After a minute he laid it gently down.	After a minute he laid it gently down.	true	272.42	274.84	23.618746
7247_101864_000022_000002	When he spoke his voice was not quite steady.	When he spoke his voice was not quite steady.	true	275.15	277.99	28.50025
7247_101864_000023_000000	"Our brother Harry was a physician, as you know, Ned.	"Our brother Harry was a physician, as you know, Ned.	true	278.51	282.07	19.295858
7247_101864_000023_000001	You were twelve years old when he married a widow by the name of Kendall who lived in Houghtonsville where he had been practising.	You were twelve years old when he married a widow by the name of Kendall who lived in Houghtonsville where he had been practising.	true	282.44	288.67	20
7247_101864_000023_000002	As it chanced, none of us went to the wedding.	As it chanced, none of us went to the wedding.	true	289.1	292.09	23.364784
7247_101864_000023_000003	You were taken suddenly ill, and neither Della nor myself would leave you, and father was in Bermuda that winter for his health.	You were taken suddenly ill, and neither Della nor myself would leave you, and father was in Bermuda that winter for his health.	true	292.31	299.35	21.887642
7247_101864_000023_000004	Mrs. Kendall had a daughter, Margaret, about ten years old, who was at school somewhere in the Berkshires.	mrs Kendall had a daughter, Margaret, about ten years old, who was at school somewhere in the Berkshires.	true	299.75	306.07	24.974218
7247_101864_000023_000005	It was to that school that I went when the terrible news came that Harry and his new wife had lost their lives in that awful railroad accident.	It was to that school that I went when the terrible news came that Harry and his new wife had lost their lives in that awful railroad accident.	true	306.26	314.02	21
7247_101864_000023_000006	That was the first time that I saw Margaret.	That was the first time that I saw Margaret.	true	314.09	316.57	25.582005
7247_101864_000024_000000	"The poor child was, of course, heartbroken and inconsolable; but her grief took a peculiar turn.	"The poor child was, of course, heartbroken and inconsolable; but her grief took a peculiar turn.	true	316.91	324.1	28.429153
7247_101864_000024_000001	The mere sight of me drove her almost into hysterics.	The mere sight of me drove her almost into hysterics.	true	324.68	328.02	22.45016
7247_101864_000024_000002	She would have nothing whatever to do with me, or with any of her stepfather's people.	She would have nothing whatever to do with me, or with any of her stepfather's people.	true	328.02	332.53	24.492956
7247_101864_000024_000003	She reasoned that if her mother had not married, there would have been no wedding journey; and if there had been no wedding journey there would have been no accident, and that her mother would then have been alive, and well.	She reasoned that if her mother had not married, there would have been no wedding journey; and if there had been no wedding journey there would have been no accident, and that her mother would then have been alive, and well.	true	332.93	343.78	22.017914
7247_101864_000025_000000	"Arguments, pleadings, and entreaties were in vain.	"Arguments, pleadings, and entreaties were in vain.	true	344.06	347.41	21.626154
7247_101864_000025_000001	She would not listen to me, or even see me.	She would not listen to me, or even see me.	true	347.48	349.99	20.460442
7247_101864_000025_000002	She held her hands before her face and screamed if I so much as came into the room.	She held her hands before her face and screamed if I so much as came into the room.	true	350.21	355.33	22
7247_101864_000025_000003	She was nothing but a child, of course, and not even a normal one at that, for she had had a very strange life.	She was nothing but a child, of course, and not even a normal one at that, for she had had a very strange life.	true	355.58	362.62	23.763018
7247_101864_000025_000004	At five she was lost in New York City, and for four years she lived on the streets and in the sweat shops, enduring almost unbelievable poverty and hardships."	At five she was lost in New York City, and for four years she lived on the streets and in the sweat shops, enduring almost unbelievable poverty and hardships."	true	362.9	373.36	22.496859
7247_101864_000026_000000	"By Jove!" exclaimed Ned under his breath.	"By Jove!" exclaimed Ned under his breath.	true	373.7	376.78	23.44418
7247_101864_000027_000000	"It was only seven or eight months before the wedding that she was found," went on Frank, "and of course the influence of the wild life she had led was still with her more or less, and made her not easily subject to control.	"It was only seven or eight months before the wedding that she was found," went on Frank, "and of course the influence of the wild life she had led was still with her more or less, and made her not easily subject to control.	true	377.33	390.25	22.106451
7247_101864_000027_000001	There was nothing for me to do but to leave the poor little thing where she was, particularly as there seemed to be no other place for her.	There was nothing for me to do but to leave the poor little thing where she was, particularly as there seemed to be no other place for her.	true	390.71	397.81	22.876038
7247_101864_000027_000002	She would not come with me, and she had no people of her own to whom she could turn for love and sympathy.	She would not come with me, and she had no people of her own to whom she could turn for love and sympathy.	true	398.03	403.45	24
7247_101864_000028_000000	"As you know, poor Harry was conscious for some hours after the accident, long enough to make his will and dictate the letter to me, leaving Margaret to my care--boy though I was.	"As you know, poor Harry was conscious for some hours after the accident, long enough to make his will and dictate the letter to me, leaving Margaret to my care-boy though I was.	true	404.03	415.84	23.94602
7247_101864_000028_000001	I was only twenty, you see; but, really, there was no one else to whom he could leave her.	I was only twenty, you see; but, really, there was no one else to whom he could leave her.	true	416.12	420.94	23.943552
7247_101864_000028_000002	That was something over thirteen years ago.	That was something over thirteen years ago.	true	421.22	423.7	25.483116
7247_101864_000028_000003	Margaret must be about twenty-three now."	Margaret must be about twenty three now."	true	423.89	426.61	26.062346
7247_101864_000029_000000	"And you've not seen her since?" There was keen reproach in Ned's voice.	"And you've not seen her since?" There was keen reproach in Ned's voice.	true	426.86	431.62	23.144054
7247_101864_000030_000000	Frank smiled.	Frank smiled.	true	431.93	433.33	26.54644
7247_101864_000031_000000	"Yes, I've seen her twice," he replied.	"Yes, I've seen her twice," he replied.	true	433.55	436.71	24.538408
7247_101864_000031_000001	"And of course I've written to her many times, and have always kept in touch with those she was with. She stayed at the Berkshire school five years; then--with some fear and trembling, I own--I went to see her.	"And of course I've written to her many times, and have always kept in touch with those she was with. She stayed at the Berkshire school five years; then-with some fear and trembling, I own-I went to see her.	true	436.71	449.2	24.27531
7247_101864_000031_000002	I found a grave-eyed little miss who answered my questions with studied politeness, and who agreed without comment to the proposition that I place her in a school where she might remain until she was ready for college--should she elect to go to college."	I found a grave eyed little miss who answered my questions with studied politeness, and who agreed without comment to the proposition that I place her in a school where she might remain until she was ready for college-should she elect to go to college."	true	449.66	462.94	24.474775
7247_101864_000032_000000	"But her vacations--did she never come then?" questioned Ned.	"But her vacations-did she never come then?" questioned Ned.	true	463.55	467.77	23.296295
7247_101864_000033_000000	"No.	"no	true	468.23	469.12	26.16944
7247_101864_000033_000001	At first I did not ask her, of course.	At first I did not ask her, of course.	true	469.25	471.585	29.154396
7247_101864_000033_000002	It was out of the question, as she was feeling.	It was out of the question, as she was feeling.	true	471.585	473.89	23.072323
7247_101864_000033_000003	Some one of her teachers always looked out for her. They all pitied her, and naturally did everything they could for her, as did her mates at school.	Some one of her teachers always looked out for her. They all pitied her, and naturally did everything they could for her, as did her mates at school.	true	474.05	482.26	25.4649
7247_101864_000033_000004	Later, when I did dare to ask her to come here, she always refused.	Later, when I did dare to ask her to come here, she always refused.	true	482.84	487.3	19.394207
7247_101864_000033_000005	She wrote me stiff little notes in which she informed me that she was to spend the holidays with some Blanche or Dorothy or Mabel of her acquaintance.	She wrote me stiff little notes in which she informed me that she was to spend the holidays with some Blanche or Dorothy or Mabel of her acquaintance.	true	487.43	495.94	20
7247_101864_000034_000000	"She was nineteen when I saw her again.	"She was nineteen when I saw her again.	true	496.34	498.7	23.88506
7247_101864_000034_000001	I found now a charming, graceful girl, with peculiarly haunting blue eyes, and heavy coils of bronze-gold hair that kinked and curled about her little pink ears in a most distracting fashion.	I found now a charming, graceful girl, with peculiarly haunting blue eyes, and heavy coils of bronze gold hair that kinked and curled about her little pink ears in a most distracting fashion.	true	499.13	511.06	23.745087
7247_101864_000034_000002	Even now, though, she would not come to my home. She was going abroad with friends.	Even now, though, she would not come to my home. She was going abroad with friends.	true	511.67	516.67	21.803934
7247_101864_000034_000003	The party included an irreproachable chaperon, so of course I had nothing to say; while as for money--she had all of her mother's not inconsiderable fortune besides everything that had been her stepfather's; so of course there was no question on that score.	The party included an irreproachable chaperon, so of course I had nothing to say; while as for money-she had all of her mother's not inconsiderable fortune besides everything that had been her stepfather's; so of course there was no question on that score.	true	516.8	531.55	21.95567
7247_101864_000035_000000	"In the fall she entered college, and there she has been ever since, spending her vacations as usual with friends, generally traveling.	"In the fall she entered college, and there she has been ever since, spending her vacations as usual with friends, generally traveling.	false	532.31	540.43	24.009586
7247_101864_000035_000001	When she came of age she specially requested me to make no change in her affairs, but to regard herself as my ward for the present, just as she had been.	When she came of age she specially requested me to make no change in her affairs, but to regard herself as my ward for the present, just as she had been.	true	540.77	549.25	25.316025
7247_101864_000035_000002	So I still call myself her guardian.	So I still call myself her guardian.	true	549.47	551.77	23.039925
7247_101864_000035_000003	This June was her graduation.	This June was her graduation.	true	552.08	554.14	21.298124
7247_101864_000035_000004	I had forgotten the fact until I received the little engraved invitation a week or two ago.	I had forgotten the fact until I received the little engraved invitation a week or two ago.	true	554.51	559.54	23
7247_101864_000035_000005	I thought of running down for it, but I couldn't get away very well, and--well, I didn't go, that's all. But I did write and ask her to make this house her home, and here is her reply.	I thought of running down for it, but I couldn't get away very well, and-well, I didn't go, that's all. But I did write and ask her to make this house her home, and here is her reply.	true	559.64	570.85	23.407795
7247_101864_000035_000006	She thanks me, and will come next Tuesday.	She thanks me, and will come next Tuesday.	true	571.07	574.21	30.927631
7247_101864_000035_000007	There! now you have it.	There! now you have it.	true	574.97	576.75	24.429323
7247_101864_000035_000008	You know all that I do." And Frank Spencer leaned back in his chair with a long sigh.	You know all that I do." And Frank Spencer leaned back in his chair with a long sigh.	true	576.75	581.65	23.255291
7247_101864_000036_000000	"But I don't know yet what she's like," objected Ned.	"But I don't know yet what she's like," objected Ned.	false	582.05	585.43	25.848042
7247_101864_000037_000000	"Neither do I."	"Neither do i"	true	585.65	587.14	20.153353
7247_101864_000038_000000	"Oh, but you've seen her."	"Oh, but you've seen her."	true	587.42	589.27	24.650974
7247_101864_000039_000000	"Yes; and how?	"Yes; and how?	true	589.52	591.13	22.699636
7247_101864_000039_000001	Do you suppose that those two or three meetings were very illuminating?	Do you suppose that those two or three meetings were very illuminating?	true	591.17	594.55	23.286121
7247_101864_000039_000002	No.	no	true	594.74	595.63	20.213276
7247_101864_000039_000003	I've been told this, however," he added.	I've been told this, however," he added.	true	595.67	598.27	22.204088
7247_101864_000039_000004	"It seems that immediately after her return to her mother's home she had the most absurd quixotic notions about sharing all she had with every ragamuffin in New York.	"It seems that immediately after her return to her mother's home she had the most absurd quixotic notions about sharing all she had with every ragamuffin in New York.	true	598.61	608.23	19
7247_101864_000039_000005	She even carried her distress over their condition to such an extent that her mother really feared for her reason.	She even carried her distress over their condition to such an extent that her mother really feared for her reason.	true	608.24	614.2	20
7247_101864_000039_000006	All her teachers, therefore, were instructed to keep from her all further knowledge of poverty and trouble; and particularly to instil into her mind the fact that there was really in the world a great deal of pleasure and happiness."	All her teachers, therefore, were instructed to keep from her all further knowledge of poverty and trouble; and particularly to instil into her mind the fact that there was really in the world a great deal of pleasure and happiness."	true	614.66	627.28	26.12481
7247_101864_000040_000000	Over across the table Mrs. Merideth shivered a little.	Over across the table mrs Merideth shivered a little.	true	627.65	630.88	23.469454
7247_101864_000041_000000	"Dear me!" she sighed.	"Dear me!" she sighed.	true	631.58	633.85	21.436409
7247_101864_000041_000001	"I do hope the child is well over those notions. I shouldn't want her to mix up here with the mill people.	"I do hope the child is well over those notions. I shouldn't want her to mix up here with the mill people.	true	634.04	639.94	23.393507
7247_101864_000041_000002	I never did quite like those settlement women, anyway, and only think what might happen with one in one's own family!"	I never did quite like those settlement women, anyway, and only think what might happen with one in one's own family!"	true	640.07	646.78	23.00578
7247_101864_000042_000000	"I don't think I should worry, sister sweet," laughed Frank.	"I don't think I should worry, sister sweet," laughed Frank.	true	646.94	650.89	21.72333
7247_101864_000042_000001	"I haven't seen much of the young lady, but I think I have seen enough for that.	"I haven't seen much of the young lady, but I think I have seen enough for that.	true	650.93	654.97	22.678526
7247_101864_000042_000002	I fancy the teachers succeeded in their mission.	I fancy the teachers succeeded in their mission.	true	655.25	657.76	19.994942
7247_101864_000042_000003	As near as I can judge, Miss Margaret Kendall does not resemble your dreaded 'settlement worker' in the least.	As near as I can judge, Miss Margaret Kendall does not resemble your dreaded 'settlement worker' in the least.	true	657.98	664.33	23.376669
7247_101864_000042_000004	However, we'll wait and see."	However, we'll wait and see."	false	664.43	671.49	26.492403
