1265_135636_000000_000000	CHAPTER XLVII.	CHAPTER forty seven.	false	4.5	26.97	22.950172
1265_135636_000018_000000	As Lowten DID mean yes, he said no more on the subject, but inquired of Job, in an audible whisper, whether the portrait of Perker, which hung opposite the fireplace, wasn't a wonderful likeness, to which Job of course replied that it was.	As Lowten DID mean yes, he said no more on the subject, but inquired of Job, in an audible whisper, whether the portrait of Perker, which hung opposite the fireplace, wasn't a wonderful likeness, to which Job of course replied that it was.	true	337.59	352.54	22.75968
1265_135636_000018_000001	The wine being by this time poured out, Lowten drank to Mrs. Perker and the children, and Job to Perker.	The wine being by this time poured out, Lowten drank to mrs Perker and the children, and Job to Perker.	true	353.45	360.73	22.94788
1265_135636_000018_000002	The gentleman in the plush shorts and cottons considering it no part of his duty to show the people from the office out, consistently declined to answer the bell, and they showed themselves out.	The gentleman in the plush shorts and cottons considering it no part of his duty to show the people from the office out, consistently declined to answer the bell, and they showed themselves out.	true	361.46	371.44	23.89718
1265_135636_000018_000003	The attorney betook himself to his drawing-room, the clerk to the Magpie and Stump, and Job to Covent Garden Market to spend the night in a vegetable basket.	The attorney betook himself to his drawing room, the clerk to the Magpie and Stump, and Job to Covent Garden Market to spend the night in a vegetable basket.	true	371.63	380.35	21.054176
1265_135636_000019_000000	Punctually at the appointed hour next morning, the good-humoured little attorney tapped at Mr. Pickwick's door, which was opened with great alacrity by Sam Weller.	Punctually at the appointed hour next morning, the good humoured little attorney tapped at mr Pickwick's door, which was opened with great alacrity by Sam Weller.	true	381.56	390.46	22.82787
1265_135636_000020_000000	'Mr. Perker, sir,' said Sam, announcing the visitor to Mr. Pickwick, who was sitting at the window in a thoughtful attitude.	'mr Perker, sir,' said Sam, announcing the visitor to mr Pickwick, who was sitting at the window in a thoughtful attitude.	false	391.13	398.08	23.244022
1265_135636_000020_000001	'Wery glad you've looked in accidentally, Sir.	'Wery glad you've looked in accidentally, Sir.	true	398.27	400.905	16
1265_135636_000020_000002	I rather think the gov'nor wants to have a word and a half with you, Sir.'	I rather think the gov'nor wants to have a word and a half with you, Sir.'	true	400.905	405.73	24.135614
1265_135636_000021_000000	Perker bestowed a look of intelligence on Sam, intimating that he understood he was not to say he had been sent for; and beckoning him to approach, whispered briefly in his ear.	Perker bestowed a look of intelligence on Sam, intimating that he understood he was not to say he had been sent for; and beckoning him to approach, whispered briefly in his ear.	false	406.58	416.62	20.703348
1265_135636_000022_000000	'You don't mean that 'ere, Sir?' said Sam, starting back in excessive surprise.	'You don't mean that 'ere, Sir?' said Sam, starting back in excessive surprise.	false	416.96	423.22	22.726246
1265_135636_000023_000000	Perker nodded and smiled.	Perker nodded and smiled.	true	423.35	425.68	22.049164
1265_135636_000024_000000	Mr. Samuel Weller looked at the little lawyer, then at Mr. Pickwick, then at the ceiling, then at Perker again; grinned, laughed outright, and finally, catching up his hat from the carpet, without further explanation, disappeared.	mr Samuel Weller looked at the little lawyer, then at mr Pickwick, then at the ceiling, then at Perker again; grinned, laughed outright, and finally, catching up his hat from the carpet, without further explanation, disappeared.	true	426.41	440.41	24.478619
1265_135636_000025_000000	'What does this mean?' inquired Mr. Pickwick, looking at Perker with astonishment.	'What does this mean?' inquired mr Pickwick, looking at Perker with astonishment.	true	440.9	444.88	25.939056
1265_135636_000025_000001	'What has put Sam into this extraordinary state?'	'What has put Sam into this extraordinary state?'	true	445.01	447.94	24.75452
1265_135636_000026_000000	'Oh, nothing, nothing,' replied Perker. 'Come, my dear Sir, draw up your chair to the table.	'Oh, nothing, nothing,' replied Perker. 'Come, my dear Sir, draw up your chair to the table.	true	449.18	453.69	22.79198
1265_135636_000026_000001	I have a good deal to say to you.'	I have a good deal to say to you.'	true	453.69	455.62	20.64636
1265_135636_000027_000000	'What papers are those?' inquired Mr. Pickwick, as the little man deposited on the table a small bundle of documents tied with red tape.	'What papers are those?' inquired mr Pickwick, as the little man deposited on the table a small bundle of documents tied with red tape.	true	456.65	464.05	22.748482
1265_135636_000028_000000	'The papers in Bardell and Pickwick,' replied Perker, undoing the knot with his teeth.	'The papers in Bardell and Pickwick,' replied Perker, undoing the knot with his teeth.	true	464.96	469.93	25.91211
1265_135636_000029_000000	Mr. Pickwick grated the legs of his chair against the ground; and throwing himself into it, folded his hands and looked sternly--if Mr. Pickwick ever could look sternly--at his legal friend.	mr Pickwick grated the legs of his chair against the ground; and throwing himself into it, folded his hands and looked sternly-if mr Pickwick ever could look sternly-at his legal friend.	false	470.81	481.93	22.007853
1265_135636_000030_000000	'You don't like to hear the name of the cause?' said the little man, still busying himself with the knot.	'You don't like to hear the name of the cause?' said the little man, still busying himself with the knot.	false	482.33	488.07	20.991034
1265_135636_000031_000000	'No, I do not indeed,' replied Mr. Pickwick.	'No, I do not indeed,' replied mr Pickwick.	true	488.07	490.9	22.104122
1265_135636_000032_000000	'Sorry for that,' resumed Perker, 'because it will form the subject of our conversation.'	'Sorry for that,' resumed Perker, 'because it will form the subject of our conversation.'	true	491.33	496	23.121386
1265_135636_000033_000000	'I would rather that the subject should be never mentioned between us, Perker,' interposed Mr. Pickwick hastily.	'I would rather that the subject should be never mentioned between us, Perker,' interposed mr Pickwick hastily.	true	496.37	502.24	20.904737
1265_135636_000034_000000	'Pooh, pooh, my dear Sir,' said the little man, untying the bundle, and glancing eagerly at Mr. Pickwick out of the corners of his eyes.	'Pooh, pooh, my dear Sir,' said the little man, untying the bundle, and glancing eagerly at mr Pickwick out of the corners of his eyes.	true	502.46	508.95	20.051992
1265_135636_000034_000001	'It must be mentioned.	'It must be mentioned.	true	508.95	510.15	22.943403
1265_135636_000034_000002	I have come here on purpose.	I have come here on purpose.	true	510.15	511.78	29
1265_135636_000034_000003	Now, are you ready to hear what I have to say, my dear Sir?	Now, are you ready to hear what I have to say, my dear Sir?	true	511.97	515.32	22.55497
1265_135636_000034_000004	No hurry; if you are not, I can wait.	No hurry; if you are not, I can wait.	true	515.48	517.605	22.897429
1265_135636_000034_000005	I have this morning's paper here.	I have this morning's paper here.	false	517.605	519.285	21
1265_135636_000034_000006	Your time shall be mine.	Your time shall be mine.	true	519.285	520.635	19
1265_135636_000034_000007	There!' Hereupon, the little man threw one leg over the other, and made a show of beginning to read with great composure and application.	There!' Hereupon, the little man threw one leg over the other, and made a show of beginning to read with great composure and application.	true	520.635	527.98	21.02129
1265_135636_000035_000000	'Well, well,' said Mr. Pickwick, with a sigh, but softening into a smile at the same time.	'Well, well,' said mr Pickwick, with a sigh, but softening into a smile at the same time.	true	528.41	533.22	21
1265_135636_000035_000001	'Say what you have to say; it's the old story, I suppose?'	'Say what you have to say; it's the old story, I suppose?'	true	533.22	537.13	22.80965
1265_135636_000036_000000	'With a difference, my dear Sir; with a difference,' rejoined Perker, deliberately folding up the paper and putting it into his pocket again. 'Mrs.	'With a difference, my dear Sir; with a difference,' rejoined Perker, deliberately folding up the paper and putting it into his pocket again. 'mrs	true	537.74	544.83	22.036266
1265_135636_000036_000001	Bardell, the plaintiff in the action, is within these walls, Sir.'	Bardell, the plaintiff in the action, is within these walls, Sir.'	true	544.83	548.47	20
1265_135636_000037_000000	'I know it,' was Mr. Pickwick's reply.	'I know it,' was mr Pickwick's reply.	true	549.14	551.44	27.423855
1265_135636_000038_000000	'Very good,' retorted Perker.	'Very good,' retorted Perker.	true	551.84	553.575	29.647425
1265_135636_000038_000001	'And you know how she comes here, I suppose; I mean on what grounds, and at whose suit?'	'And you know how she comes here, I suppose; I mean on what grounds, and at whose suit?'	true	553.575	558.43	21.815928
1265_135636_000039_000000	'Yes; at least I have heard Sam's account of the matter,' said Mr. Pickwick, with affected carelessness.	'Yes; at least I have heard Sam's account of the matter,' said mr Pickwick, with affected carelessness.	true	558.77	564.37	26.194477
1265_135636_000040_000000	'Sam's account of the matter,' replied Perker, 'is, I will venture to say, a perfectly correct one.	'Sam's account of the matter,' replied Perker, 'is, I will venture to say, a perfectly correct one.	true	565.34	570.79	25.053635
1265_135636_000040_000001	Well now, my dear Sir, the first question I have to ask, is, whether this woman is to remain here?'	Well now, my dear Sir, the first question I have to ask, is, whether this woman is to remain here?'	true	570.8	576.13	22
1265_135636_000041_000000	'To remain here!' echoed Mr. Pickwick.	'To remain here!' echoed mr Pickwick.	true	576.65	579.28	22.68199
1265_135636_000042_000000	'To remain here, my dear Sir,' rejoined Perker, leaning back in his chair and looking steadily at his client.	'To remain here, my dear Sir,' rejoined Perker, leaning back in his chair and looking steadily at his client.	true	579.59	584.98	19
1265_135636_000043_000000	'How can you ask me?' said that gentleman.	'How can you ask me?' said that gentleman.	true	585.38	587.55	19.451645
1265_135636_000043_000001	'It rests with Dodson and Fogg; you know that very well.'	'It rests with Dodson and Fogg; you know that very well.'	true	587.55	590.77	23
1265_135636_000044_000000	'I know nothing of the kind,' retorted Perker firmly.	'I know nothing of the kind,' retorted Perker firmly.	true	591.59	594.52	29.439922
1265_135636_000044_000001	'It does NOT rest with Dodson and Fogg; you know the men, my dear Sir, as well as I do.	'It does NOT rest with Dodson and Fogg; you know the men, my dear Sir, as well as I do.	true	594.59	599.62	21
1265_135636_000044_000002	It rests solely, wholly, and entirely with you.'	It rests solely, wholly, and entirely with you.'	true	599.78	603.31	24.186993
1265_135636_000045_000000	'With me!' ejaculated Mr. Pickwick, rising nervously from his chair, and reseating himself directly afterwards.	'With me!' ejaculated mr Pickwick, rising nervously from his chair, and reseating himself directly afterwards.	true	603.56	609.73	20
1265_135636_000046_000000	The little man gave a double-knock on the lid of his snuff-box, opened it, took a great pinch, shut it up again, and repeated the words, 'With you.'	The little man gave a double knock on the lid of his snuff box, opened it, took a great pinch, shut it up again, and repeated the words, 'With you.'	true	610.73	618.64	23.52689
1265_135636_000047_000000	'I say, my dear Sir,' resumed the little man, who seemed to gather confidence from the snuff--'I say, that her speedy liberation or perpetual imprisonment rests with you, and with you alone.	'I say, my dear Sir,' resumed the little man, who seemed to gather confidence from the snuff-'I say, that her speedy liberation or perpetual imprisonment rests with you, and with you alone.	true	619.28	629.925	21.880941
1265_135636_000047_000001	Hear me out, my dear Sir, if you please, and do not be so very energetic, for it will only put you into a perspiration and do no good whatever.	Hear me out, my dear Sir, if you please, and do not be so very energetic, for it will only put you into a perspiration and do no good whatever.	false	629.925	637.87	23.601631
1265_135636_000047_000002	I say,' continued Perker, checking off each position on a different finger, as he laid it down--'I say that nobody but you can rescue her from this den of wretchedness; and that you can only do that, by paying the costs of this suit--both of plaintive and defendant--into the hands of these Freeman Court sharks.	I say,' continued Perker, checking off each position on a different finger, as he laid it down-'I say that nobody but you can rescue her from this den of wretchedness; and that you can only do that, by paying the costs of this suit-both of plaintive and defendant-into the hands of these Freeman Court sharks.	false	638.21	655.09	23.886833
1265_135636_000047_000003	Now pray be quiet, my dear sir.'	Now pray be quiet, my dear sir.'	false	655.25	658.38	22.214155
1265_135636_000048_000000	Mr. Pickwick, whose face had been undergoing most surprising changes during this speech, and was evidently on the verge of a strong burst of indignation, calmed his wrath as well as he could.	mr Pickwick, whose face had been undergoing most surprising changes during this speech, and was evidently on the verge of a strong burst of indignation, calmed his wrath as well as he could.	true	658.38	669.46	22.609745
1265_135636_000048_000001	Perker, strengthening his argumentative powers with another pinch of snuff, proceeded--	Perker, strengthening his argumentative powers with another pinch of snuff, proceeded-	true	669.89	674.5	20.424826
1265_135636_000049_000000	'I have seen the woman, this morning.	'I have seen the woman, this morning.	true	674.78	676.515	22
1265_135636_000049_000001	By paying the costs, you can obtain a full release and discharge from the damages; and further--this I know is a far greater object of consideration with you, my dear sir--a voluntary statement, under her hand, in the form of a letter to me, that this business was, from the very first, fomented, and encouraged, and brought about, by these men, Dodson and Fogg; that she deeply regrets ever having been the instrument of annoyance or injury to you; and that she entreats me to intercede with you, and implore your pardon.'	By paying the costs, you can obtain a full release and discharge from the damages; and further-this I know is a far greater object of consideration with you, my dear sir-a voluntary statement, under her hand, in the form of a letter to me, that this business was, from the very first, fomented, and encouraged, and brought about, by these men, Dodson and Fogg; that she deeply regrets ever having been the instrument of annoyance or injury to you; and that she entreats me to intercede with you, and implore your pardon.'	true	676.515	707.56	22.091593
1265_135636_000050_000000	'If I pay her costs for her,' said Mr. Pickwick indignantly.	'If I pay her costs for her,' said mr Pickwick indignantly.	true	707.78	711.43	26.075335
1265_135636_000050_000001	'A valuable document, indeed!'	'A valuable document, indeed!'	true	711.5	714.1	21.216242
1265_135636_000051_000000	'No "if" in the case, my dear Sir,' said Perker triumphantly.	'No "if" in the case, my dear Sir,' said Perker triumphantly.	true	714.44	718.36	24.67533
1265_135636_000051_000001	'There is the very letter I speak of.	'There is the very letter I speak of.	true	718.43	720.39	21
1265_135636_000051_000002	Brought to my office by another woman at nine o'clock this morning, before I had set foot in this place, or held any communication with Mrs. Bardell, upon my honour.' Selecting the letter from the bundle, the little lawyer laid it at Mr. Pickwick's elbow, and took snuff for two consecutive minutes, without winking.	Brought to my office by another woman at nine o'clock this morning, before I had set foot in this place, or held any communication with mrs Bardell, upon my honour.' Selecting the letter from the bundle, the little lawyer laid it at mr Pickwick's elbow, and took snuff for two consecutive minutes, without winking.	false	720.39	737.77	24.07371
1265_135636_000052_000000	'Is this all you have to say to me?' inquired Mr. Pickwick mildly.	'Is this all you have to say to me?' inquired mr Pickwick mildly.	true	738.38	742.39	22.765427
1265_135636_000053_000000	'Not quite,' replied Perker.	'Not quite,' replied Perker.	true	742.76	745.51	31.583029
1265_135636_000053_000001	'I cannot undertake to say, at this moment, whether the wording of the cognovit, the nature of the ostensible consideration, and the proof we can get together about the whole conduct of the suit, will be sufficient to justify an indictment for conspiracy. I fear not, my dear Sir; they are too clever for that, I doubt.	'I cannot undertake to say, at this moment, whether the wording of the cognovit, the nature of the ostensible consideration, and the proof we can get together about the whole conduct of the suit, will be sufficient to justify an indictment for conspiracy. I fear not, my dear Sir; they are too clever for that, I doubt.	false	745.61	763.42	22.693926
1265_135636_000053_000002	I do mean to say, however, that the whole facts, taken together, will be sufficient to justify you, in the minds of all reasonable men.	I do mean to say, however, that the whole facts, taken together, will be sufficient to justify you, in the minds of all reasonable men.	true	763.46	770.89	21.496778
1265_135636_000053_000003	And now, my dear Sir, I put it to you.	And now, my dear Sir, I put it to you.	true	771.32	773.71	21.50363
1265_135636_000053_000004	This one hundred and fifty pounds, or whatever it may be--take it in round numbers--is nothing to you.	This one hundred and fifty pounds, or whatever it may be-take it in round numbers-is nothing to you.	true	774.05	780.76	22.68777
1265_135636_000053_000005	A jury had decided against you; well, their verdict is wrong, but still they decided as they thought right, and it IS against you.	A jury had decided against you; well, their verdict is wrong, but still they decided as they thought right, and it IS against you.	true	781.16	788.65	21.778202
1265_135636_000053_000006	You have now an opportunity, on easy terms, of placing yourself in a much higher position than you ever could, by remaining here; which would only be imputed, by people who didn't know you, to sheer dogged, wrongheaded, brutal obstinacy; nothing else, my dear Sir, believe me.	You have now an opportunity, on easy terms, of placing yourself in a much higher position than you ever could, by remaining here; which would only be imputed, by people who didn't know you, to sheer dogged, wrongheaded, brutal obstinacy; nothing else, my dear Sir, believe me.	false	788.9	806.02	23.330801
1265_135636_000053_000007	Can you hesitate to avail yourself of it, when it restores you to your friends, your old pursuits, your health and amusements; when it liberates your faithful and attached servant, whom you otherwise doom to imprisonment for the whole of your life; and above all, when it enables you to take the very magnanimous revenge--which I know, my dear sir, is one after your own heart--of releasing this woman from a scene of misery and debauchery, to which no man should ever be consigned, if I had my will, but the infliction of which on any woman, is even more frightful and barbarous.	Can you hesitate to avail yourself of it, when it restores you to your friends, your old pursuits, your health and amusements; when it liberates your faithful and attached servant, whom you otherwise doom to imprisonment for the whole of your life; and above all, when it enables you to take the very magnanimous revenge-which I know, my dear sir, is one after your own heart-of releasing this woman from a scene of misery and debauchery, to which no man should ever be consigned, if I had my will, but the infliction of which on any woman, is even more frightful and barbarous.	false	806.24	842.35	21.897581
1265_135636_000053_000008	Now I ask you, my dear sir, not only as your legal adviser, but as your very true friend, will you let slip the occasion of attaining all these objects, and doing all this good, for the paltry consideration of a few pounds finding their way into the pockets of a couple of rascals, to whom it makes no manner of difference, except that the more they gain, the more they'll seek, and so the sooner be led into some piece of knavery that must end in a crash?	Now I ask you, my dear sir, not only as your legal adviser, but as your very true friend, will you let slip the occasion of attaining all these objects, and doing all this good, for the paltry consideration of a few pounds finding their way into the pockets of a couple of rascals, to whom it makes no manner of difference, except that the more they gain, the more they'll seek, and so the sooner be led into some piece of knavery that must end in a crash?	false	842.42	868.42	21.06791
1265_135636_000053_000009	I have put these considerations to you, my dear Sir, very feebly and imperfectly, but I ask you to think of them.	I have put these considerations to you, my dear Sir, very feebly and imperfectly, but I ask you to think of them.	false	868.55	875.29	23.627893
1265_135636_000053_000010	Turn them over in your mind as long as you please.	Turn them over in your mind as long as you please.	true	875.33	878.11	19.074247
1265_135636_000053_000011	I wait here most patiently for your answer.'	I wait here most patiently for your answer.'	false	878.27	881.05	23.649426
1265_135636_000054_000000	Before Mr. Pickwick could reply, before Mr. Perker had taken one twentieth part of the snuff with which so unusually long an address imperatively required to be followed up, there was a low murmuring of voices outside, and then a hesitating knock at the door.	Before mr Pickwick could reply, before mr Perker had taken one twentieth part of the snuff with which so unusually long an address imperatively required to be followed up, there was a low murmuring of voices outside, and then a hesitating knock at the door.	false	881.54	897.67	22.89193
1265_135636_000055_000000	'Dear, dear,' exclaimed Mr. Pickwick, who had been evidently roused by his friend's appeal; 'what an annoyance that door is!	'Dear, dear,' exclaimed mr Pickwick, who had been evidently roused by his friend's appeal; 'what an annoyance that door is!	true	897.95	903.45	15
1265_135636_000055_000001	Who is that?'	Who is that?'	true	903.45	904.36	35.43643
1265_135636_000056_000000	'Me, Sir,' replied Sam Weller, putting in his head.	'Me, Sir,' replied Sam Weller, putting in his head.	true	904.91	907.84	20.948265
1265_135636_000057_000000	'I can't speak to you just now, Sam,' said Mr. Pickwick. 'I am engaged at this moment, Sam.'	'I can't speak to you just now, Sam,' said mr Pickwick. 'I am engaged at this moment, Sam.'	true	907.94	913.15	22.289316
1265_135636_000058_000000	'Beg your pardon, Sir,' rejoined Mr. Weller. 'But here's a lady here, Sir, as says she's somethin' wery partickler to disclose.'	'Beg your pardon, Sir,' rejoined mr Weller. 'But here's a lady here, Sir, as says she's somethin' wery partickler to disclose.'	false	913.31	920.295	21.024975
1265_135636_000059_000000	'I can't see any lady,' replied Mr. Pickwick, whose mind was filled with visions of Mrs. Bardell.	'I can't see any lady,' replied mr Pickwick, whose mind was filled with visions of mrs Bardell.	true	920.295	925.57	21.199131
