1265_135636_000000_000001	IS CHIEFLY DEVOTED TO MATTERS OF BUSINESS, AND THE TEMPORAL ADVANTAGE OF DODSON AND FOGG--Mr.	IS CHIEFLY DEVOTED TO MATTERS OF BUSINESS, AND THE TEMPORAL ADVANTAGE OF DODSON AND FOGG-mr
1265_135636_000012_000000	'By Jove!' said Perker, taking both hands out of his pockets, and striking the knuckles of his right against the palm of his left, emphatically, 'those are the cleverest scamps I ever had anything to do with!'	'By Jove!' said Perker, taking both hands out of his pockets, and striking the knuckles of his right against the palm of his left, emphatically, 'those are the cleverest scamps I ever had anything to do with!'
1265_135636_000015_000001	When they had in some measure recovered from their trance of admiration, Job Trotter discharged himself of the rest of his commission.	When they had in some measure recovered from their trance of admiration, Job Trotter discharged himself of the rest of his commission.
1265_135636_000015_000002	Perker nodded his head thoughtfully, and pulled out his watch.	Perker nodded his head thoughtfully, and pulled out his watch.
1265_135636_000016_000001	'Sam is quite right.	'Sam is quite right.
1265_135636_000016_000002	Tell him so.	Tell him so.
1265_135636_000016_000003	Will you take a glass of wine, Lowten?' 'No, thank you, Sir.'	Will you take a glass of wine, Lowten?' 'No, thank you, Sir.'
1265_135636_000018_000000	As Lowten DID mean yes, he said no more on the subject, but inquired of Job, in an audible whisper, whether the portrait of Perker, which hung opposite the fireplace, wasn't a wonderful likeness, to which Job of course replied that it was.	As Lowten DID mean yes, he said no more on the subject, but inquired of Job, in an audible whisper, whether the portrait of Perker, which hung opposite the fireplace, wasn't a wonderful likeness, to which Job of course replied that it was.
1265_135636_000018_000001	The wine being by this time poured out, Lowten drank to Mrs. Perker and the children, and Job to Perker.	The wine being by this time poured out, Lowten drank to mrs Perker and the children, and Job to Perker.
1265_135636_000018_000002	The gentleman in the plush shorts and cottons considering it no part of his duty to show the people from the office out, consistently declined to answer the bell, and they showed themselves out.	The gentleman in the plush shorts and cottons considering it no part of his duty to show the people from the office out, consistently declined to answer the bell, and they showed themselves out.
1265_135636_000018_000003	The attorney betook himself to his drawing-room, the clerk to the Magpie and Stump, and Job to Covent Garden Market to spend the night in a vegetable basket.	The attorney betook himself to his drawing room, the clerk to the Magpie and Stump, and Job to Covent Garden Market to spend the night in a vegetable basket.
1265_135636_000019_000000	Punctually at the appointed hour next morning, the good-humoured little attorney tapped at Mr. Pickwick's door, which was opened with great alacrity by Sam Weller.	Punctually at the appointed hour next morning, the good humoured little attorney tapped at mr Pickwick's door, which was opened with great alacrity by Sam Weller.
1265_135636_000020_000002	I rather think the gov'nor wants to have a word and a half with you, Sir.'	I rather think the gov'nor wants to have a word and a half with you, Sir.'
1265_135636_000023_000000	Perker nodded and smiled.	Perker nodded and smiled.
1265_135636_000024_000000	Mr. Samuel Weller looked at the little lawyer, then at Mr. Pickwick, then at the ceiling, then at Perker again; grinned, laughed outright, and finally, catching up his hat from the carpet, without further explanation, disappeared.	mr Samuel Weller looked at the little lawyer, then at mr Pickwick, then at the ceiling, then at Perker again; grinned, laughed outright, and finally, catching up his hat from the carpet, without further explanation, disappeared.
1265_135636_000025_000000	'What does this mean?' inquired Mr. Pickwick, looking at Perker with astonishment.	'What does this mean?' inquired mr Pickwick, looking at Perker with astonishment.
1265_135636_000025_000001	'What has put Sam into this extraordinary state?'	'What has put Sam into this extraordinary state?'
1265_135636_000026_000000	'Oh, nothing, nothing,' replied Perker. 'Come, my dear Sir, draw up your chair to the table.	'Oh, nothing, nothing,' replied Perker. 'Come, my dear Sir, draw up your chair to the table.
1265_135636_000026_000001	I have a good deal to say to you.'	I have a good deal to say to you.'
1265_135636_000027_000000	'What papers are those?' inquired Mr. Pickwick, as the little man deposited on the table a small bundle of documents tied with red tape.	'What papers are those?' inquired mr Pickwick, as the little man deposited on the table a small bundle of documents tied with red tape.
1265_135636_000028_000000	'The papers in Bardell and Pickwick,' replied Perker, undoing the knot with his teeth.	'The papers in Bardell and Pickwick,' replied Perker, undoing the knot with his teeth.
1265_135636_000031_000000	'No, I do not indeed,' replied Mr. Pickwick.	'No, I do not indeed,' replied mr Pickwick.
1265_135636_000032_000000	'Sorry for that,' resumed Perker, 'because it will form the subject of our conversation.'	'Sorry for that,' resumed Perker, 'because it will form the subject of our conversation.'
1265_135636_000033_000000	'I would rather that the subject should be never mentioned between us, Perker,' interposed Mr. Pickwick hastily.	'I would rather that the subject should be never mentioned between us, Perker,' interposed mr Pickwick hastily.
1265_135636_000034_000000	'Pooh, pooh, my dear Sir,' said the little man, untying the bundle, and glancing eagerly at Mr. Pickwick out of the corners of his eyes.	'Pooh, pooh, my dear Sir,' said the little man, untying the bundle, and glancing eagerly at mr Pickwick out of the corners of his eyes.
1265_135636_000034_000001	'It must be mentioned.	'It must be mentioned.
1265_135636_000034_000002	I have come here on purpose.	I have come here on purpose.
1265_135636_000034_000003	Now, are you ready to hear what I have to say, my dear Sir?	Now, are you ready to hear what I have to say, my dear Sir?
1265_135636_000034_000004	No hurry; if you are not, I can wait.	No hurry; if you are not, I can wait.
1265_135636_000034_000007	There!' Hereupon, the little man threw one leg over the other, and made a show of beginning to read with great composure and application.	There!' Hereupon, the little man threw one leg over the other, and made a show of beginning to read with great composure and application.
1265_135636_000035_000000	'Well, well,' said Mr. Pickwick, with a sigh, but softening into a smile at the same time.	'Well, well,' said mr Pickwick, with a sigh, but softening into a smile at the same time.
1265_135636_000035_000001	'Say what you have to say; it's the old story, I suppose?'	'Say what you have to say; it's the old story, I suppose?'
1265_135636_000036_000000	'With a difference, my dear Sir; with a difference,' rejoined Perker, deliberately folding up the paper and putting it into his pocket again. 'Mrs.	'With a difference, my dear Sir; with a difference,' rejoined Perker, deliberately folding up the paper and putting it into his pocket again. 'mrs
1265_135636_000036_000001	Bardell, the plaintiff in the action, is within these walls, Sir.'	Bardell, the plaintiff in the action, is within these walls, Sir.'
1265_135636_000037_000000	'I know it,' was Mr. Pickwick's reply.	'I know it,' was mr Pickwick's reply.
1265_135636_000038_000000	'Very good,' retorted Perker.	'Very good,' retorted Perker.
1265_135636_000038_000001	'And you know how she comes here, I suppose; I mean on what grounds, and at whose suit?'	'And you know how she comes here, I suppose; I mean on what grounds, and at whose suit?'
1265_135636_000039_000000	'Yes; at least I have heard Sam's account of the matter,' said Mr. Pickwick, with affected carelessness.	'Yes; at least I have heard Sam's account of the matter,' said mr Pickwick, with affected carelessness.
1265_135636_000040_000000	'Sam's account of the matter,' replied Perker, 'is, I will venture to say, a perfectly correct one.	'Sam's account of the matter,' replied Perker, 'is, I will venture to say, a perfectly correct one.
1265_135636_000040_000001	Well now, my dear Sir, the first question I have to ask, is, whether this woman is to remain here?'	Well now, my dear Sir, the first question I have to ask, is, whether this woman is to remain here?'
1265_135636_000041_000000	'To remain here!' echoed Mr. Pickwick.	'To remain here!' echoed mr Pickwick.
1265_135636_000043_000001	'It rests with Dodson and Fogg; you know that very well.'	'It rests with Dodson and Fogg; you know that very well.'
1265_135636_000044_000000	'I know nothing of the kind,' retorted Perker firmly.	'I know nothing of the kind,' retorted Perker firmly.
1265_135636_000044_000001	'It does NOT rest with Dodson and Fogg; you know the men, my dear Sir, as well as I do.	'It does NOT rest with Dodson and Fogg; you know the men, my dear Sir, as well as I do.
1265_135636_000044_000002	It rests solely, wholly, and entirely with you.'	It rests solely, wholly, and entirely with you.'
1265_135636_000045_000000	'With me!' ejaculated Mr. Pickwick, rising nervously from his chair, and reseating himself directly afterwards.	'With me!' ejaculated mr Pickwick, rising nervously from his chair, and reseating himself directly afterwards.
1265_135636_000046_000000	The little man gave a double-knock on the lid of his snuff-box, opened it, took a great pinch, shut it up again, and repeated the words, 'With you.'	The little man gave a double knock on the lid of his snuff box, opened it, took a great pinch, shut it up again, and repeated the words, 'With you.'
1265_135636_000047_000000	'I say, my dear Sir,' resumed the little man, who seemed to gather confidence from the snuff--'I say, that her speedy liberation or perpetual imprisonment rests with you, and with you alone.	'I say, my dear Sir,' resumed the little man, who seemed to gather confidence from the snuff-'I say, that her speedy liberation or perpetual imprisonment rests with you, and with you alone.
1265_135636_000048_000000	Mr. Pickwick, whose face had been undergoing most surprising changes during this speech, and was evidently on the verge of a strong burst of indignation, calmed his wrath as well as he could.	mr Pickwick, whose face had been undergoing most surprising changes during this speech, and was evidently on the verge of a strong burst of indignation, calmed his wrath as well as he could.
1265_135636_000048_000001	Perker, strengthening his argumentative powers with another pinch of snuff, proceeded--	Perker, strengthening his argumentative powers with another pinch of snuff, proceeded-
1265_135636_000049_000000	'I have seen the woman, this morning.	'I have seen the woman, this morning.
1265_135636_000050_000000	'If I pay her costs for her,' said Mr. Pickwick indignantly.	'If I pay her costs for her,' said mr Pickwick indignantly.
1265_135636_000050_000001	'A valuable document, indeed!'	'A valuable document, indeed!'
1265_135636_000051_000000	'No "if" in the case, my dear Sir,' said Perker triumphantly.	'No "if" in the case, my dear Sir,' said Perker triumphantly.
1265_135636_000051_000001	'There is the very letter I speak of.	'There is the very letter I speak of.
1265_135636_000052_000000	'Is this all you have to say to me?' inquired Mr. Pickwick mildly.	'Is this all you have to say to me?' inquired mr Pickwick mildly.
1265_135636_000053_000000	'Not quite,' replied Perker.	'Not quite,' replied Perker.
1265_135636_000053_000002	I do mean to say, however, that the whole facts, taken together, will be sufficient to justify you, in the minds of all reasonable men.	I do mean to say, however, that the whole facts, taken together, will be sufficient to justify you, in the minds of all reasonable men.
1265_135636_000053_000003	And now, my dear Sir, I put it to you.	And now, my dear Sir, I put it to you.
1265_135636_000053_000004	This one hundred and fifty pounds, or whatever it may be--take it in round numbers--is nothing to you.	This one hundred and fifty pounds, or whatever it may be-take it in round numbers-is nothing to you.
1265_135636_000053_000005	A jury had decided against you; well, their verdict is wrong, but still they decided as they thought right, and it IS against you.	A jury had decided against you; well, their verdict is wrong, but still they decided as they thought right, and it IS against you.
1265_135636_000055_000001	Who is that?'	Who is that?'
1265_135636_000056_000000	'Me, Sir,' replied Sam Weller, putting in his head.	'Me, Sir,' replied Sam Weller, putting in his head.
1265_135636_000057_000000	'I can't speak to you just now, Sam,' said Mr. Pickwick. 'I am engaged at this moment, Sam.'	'I can't speak to you just now, Sam,' said mr Pickwick. 'I am engaged at this moment, Sam.'
1265_135636_000059_000000	'I can't see any lady,' replied Mr. Pickwick, whose mind was filled with visions of Mrs. Bardell.	'I can't see any lady,' replied mr Pickwick, whose mind was filled with visions of mrs Bardell.
1265_135636_000061_000000	'Who is it?' inquired Mr. Pickwick.	'Who is it?' inquired mr Pickwick.
1265_135636_000063_000000	'I suppose I must,' said Mr. Pickwick, looking at Perker.	'I suppose I must,' said mr Pickwick, looking at Perker.
1265_135636_000065_000000	As Sam Weller spoke, he threw the door open, and there rushed tumultuously into the room, Mr. Nathaniel Winkle, leading after him by the hand, the identical young lady who at Dingley Dell had worn the boots with the fur round the tops, and who, now a very pleasing compound of blushes and confusion, and lilac silk, and a smart bonnet, and a rich lace veil, looked prettier than ever.	As Sam Weller spoke, he threw the door open, and there rushed tumultuously into the room, mr Nathaniel Winkle, leading after him by the hand, the identical young lady who at Dingley Dell had worn the boots with the fur round the tops, and who, now a very pleasing compound of blushes and confusion, and lilac silk, and a smart bonnet, and a rich lace veil, looked prettier than ever.
1265_135636_000066_000000	'Miss Arabella Allen!' exclaimed Mr. Pickwick, rising from his chair.	'Miss Arabella Allen!' exclaimed mr Pickwick, rising from his chair.
1265_135636_000067_000001	'Mrs.	'mrs
1265_135636_000067_000002	Winkle.	Winkle.
1265_135636_000069_000001	'Can you forgive my imprudence?'	'Can you forgive my imprudence?'
1265_135636_000070_000002	'Why, my dear girl,' said Mr. Pickwick, 'how has all this come about?	'Why, my dear girl,' said mr Pickwick, 'how has all this come about?
1265_135636_000070_000003	Come!	Come!
1265_135636_000070_000004	Sit down, and let me hear it all.	Sit down, and let me hear it all.
1265_135636_000070_000005	How well she looks, doesn't she, Perker?' added Mr. Pickwick, surveying Arabella's face with a look of as much pride and exultation, as if she had been his daughter.	How well she looks, doesn't she, Perker?' added mr Pickwick, surveying Arabella's face with a look of as much pride and exultation, as if she had been his daughter.
1265_135636_000071_000000	'Delightful, my dear Sir,' replied the little man.	'Delightful, my dear Sir,' replied the little man.
1265_135636_000072_000001	'I shall not forget your exertions in the garden at Clifton.'	'I shall not forget your exertions in the garden at Clifton.'
1265_135636_000074_000000	'Mary, my dear, sit down,' said Mr. Pickwick, cutting short these compliments.	'Mary, my dear, sit down,' said mr Pickwick, cutting short these compliments.
1265_135636_000075_000000	Arabella looked bashfully at her lord and master, who replied, 'Only three days.'	Arabella looked bashfully at her lord and master, who replied, 'Only three days.'
1265_135636_000076_000000	'Only three days, eh?' said Mr. Pickwick. 'Why, what have you been doing these three months?'	'Only three days, eh?' said mr Pickwick. 'Why, what have you been doing these three months?'
1265_135636_000077_000000	'Ah, to be sure!' interposed Perker; 'come, account for this idleness. You see Mr. Pickwick's only astonishment is, that it wasn't all over, months ago.'	'Ah, to be sure!' interposed Perker; 'come, account for this idleness. You see mr Pickwick's only astonishment is, that it wasn't all over, months ago.'
1265_135636_000078_000001	And when I had persuaded her, it was a long time more before we could find an opportunity.	And when I had persuaded her, it was a long time more before we could find an opportunity.
1265_135636_000078_000003	And is your brother acquainted with all this, my dear?'	And is your brother acquainted with all this, my dear?'
1265_135636_000079_000000	'Oh, no, no,' replied Arabella, changing colour.	'Oh, no, no,' replied Arabella, changing colour.
1265_135636_000079_000001	'Dear Mr. Pickwick, he must only know it from you--from your lips alone.	'Dear mr Pickwick, he must only know it from you-from your lips alone.
1265_135636_000079_000002	He is so violent, so prejudiced, and has been so--so anxious in behalf of his friend, Mr. Sawyer,' added Arabella, looking down, 'that I fear the consequences dreadfully.'	He is so violent, so prejudiced, and has been so-so anxious in behalf of his friend, mr Sawyer,' added Arabella, looking down, 'that I fear the consequences dreadfully.'
1265_135636_000080_000000	'Ah, to be sure,' said Perker gravely.	'Ah, to be sure,' said Perker gravely.
1265_135636_000080_000001	'You must take this matter in hand for them, my dear sir.	'You must take this matter in hand for them, my dear sir.
1265_135636_000080_000003	You must prevent mischief, my dear Sir.	You must prevent mischief, my dear Sir.
1265_135636_000080_000004	Hot blood, hot blood.' And the little man took a warning pinch, and shook his head doubtfully.	Hot blood, hot blood.' And the little man took a warning pinch, and shook his head doubtfully.
1265_135636_000081_000000	'You forget, my love,' said Mr. Pickwick gently, 'you forget that I am a prisoner.'	'You forget, my love,' said mr Pickwick gently, 'you forget that I am a prisoner.'
1265_135636_000082_000000	'No, indeed I do not, my dear Sir,' replied Arabella. 'I never have forgotten it.	'No, indeed I do not, my dear Sir,' replied Arabella. 'I never have forgotten it.
1265_135636_000082_000001	I have never ceased to think how great your sufferings must have been in this shocking place.	I have never ceased to think how great your sufferings must have been in this shocking place.
1265_135636_000082_000003	If my brother hears of this, first, from you, I feel certain we shall be reconciled.	If my brother hears of this, first, from you, I feel certain we shall be reconciled.
1265_135636_000082_000004	He is my only relation in the world, Mr. Pickwick, and unless you plead for me, I fear I have lost even him.	He is my only relation in the world, mr Pickwick, and unless you plead for me, I fear I have lost even him.
1265_135636_000082_000005	I have done wrong, very, very wrong, I know.'Here poor Arabella hid her face in her handkerchief, and wept bitterly.	I have done wrong, very, very wrong, I know.'Here poor Arabella hid her face in her handkerchief, and wept bitterly.
1265_135636_000083_000000	Mr. Pickwick's nature was a good deal worked upon, by these same tears; but when Mrs. Winkle, drying her eyes, took to coaxing and entreating in the sweetest tones of a very sweet voice, he became particularly restless, and evidently undecided how to act, as was evinced by sundry nervous rubbings of his spectacle-glasses, nose, tights, head, and gaiters.	mr Pickwick's nature was a good deal worked upon, by these same tears; but when mrs Winkle, drying her eyes, took to coaxing and entreating in the sweetest tones of a very sweet voice, he became particularly restless, and evidently undecided how to act, as was evinced by sundry nervous rubbings of his spectacle glasses, nose, tights, head, and gaiters.
1265_135636_000085_000000	Mr. Tupman and Mr. Snodgrass arrived, most opportunely, in this stage of the pleadings, and as it was necessary to explain to them all that had occurred, together with the various reasons pro and con, the whole of the arguments were gone over again, after which everybody urged every argument in his own way, and at his own length.	mr Tupman and mr Snodgrass arrived, most opportunely, in this stage of the pleadings, and as it was necessary to explain to them all that had occurred, together with the various reasons pro and con, the whole of the arguments were gone over again, after which everybody urged every argument in his own way, and at his own length.
1265_135636_000087_000000	At three o'clock that afternoon, Mr. Pickwick took a last look at his little room, and made his way, as well as he could, through the throng of debtors who pressed eagerly forward to shake him by the hand, until he reached the lodge steps.	At three o'clock that afternoon, mr Pickwick took a last look at his little room, and made his way, as well as he could, through the throng of debtors who pressed eagerly forward to shake him by the hand, until he reached the lodge steps.
1265_135636_000087_000001	He turned here, to look about him, and his eye lightened as he did so.	He turned here, to look about him, and his eye lightened as he did so.
1265_135636_000087_000002	In all the crowd of wan, emaciated faces, he saw not one which was not happier for his sympathy and charity.	In all the crowd of wan, emaciated faces, he saw not one which was not happier for his sympathy and charity.
1265_135636_000089_000000	'Very good, my dear Sir,' replied Perker, looking hard at Jingle. 'You will see me again, young man, to-morrow.	'Very good, my dear Sir,' replied Perker, looking hard at Jingle. 'You will see me again, young man, to morrow.
1265_135636_000089_000001	I hope you may live to remember and feel deeply, what I shall have to communicate, Sir.'	I hope you may live to remember and feel deeply, what I shall have to communicate, Sir.'
1265_135636_000090_000000	Jingle bowed respectfully, trembled very much as he took Mr. Pickwick's proffered hand, and withdrew.	Jingle bowed respectfully, trembled very much as he took mr Pickwick's proffered hand, and withdrew.
1265_135636_000091_000000	'Job you know, I think?' said Mr. Pickwick, presenting that gentleman.	'Job you know, I think?' said mr Pickwick, presenting that gentleman.
1265_135636_000092_000000	'I know the rascal,' replied Perker good-humouredly.	'I know the rascal,' replied Perker good humouredly.
1265_135636_000092_000001	'See after your friend, and be in the way to-morrow at one.	'See after your friend, and be in the way to morrow at one.
1265_135636_000092_000002	Do you hear?	Do you hear?
1265_135636_000092_000003	Now, is there anything more?'	Now, is there anything more?'
1265_135636_000093_000001	'You have delivered the little parcel I gave you for your old landlord, Sam?'	'You have delivered the little parcel I gave you for your old landlord, Sam?'
1265_135636_000094_000000	'I have, Sir,' replied Sam.	'I have, Sir,' replied Sam.
1265_135636_000095_000000	As Mr. Pickwick uttered this adieu, the crowd raised a loud shout.	As mr Pickwick uttered this adieu, the crowd raised a loud shout.
1265_135636_000095_000001	Many among them were pressing forward to shake him by the hand again, when he drew his arm through Perker's, and hurried from the prison, far more sad and melancholy, for the moment, than when he had first entered it.	Many among them were pressing forward to shake him by the hand again, when he drew his arm through Perker's, and hurried from the prison, far more sad and melancholy, for the moment, than when he had first entered it.
1265_135636_000097_000000	'Sir,' called out Mr. Weller to his master.	'Sir,' called out mr Weller to his master.
