6828_68770_000002_000000	CHAPTER XI	CHAPTER eleven
6828_68770_000037_000000	"I am the wife of a poor farmer," began the woman, speaking softly and with some hesitation, but gaining strength as she proceeded.	"I am the wife of a poor farmer," began the woman, speaking softly and with some hesitation, but gaining strength as she proceeded.
6828_68770_000037_000002	We lived in Baltimore.	We lived in Baltimore.
6828_68770_000037_000003	Then I fell in love with a young man who, after obtaining my promise to marry him, found some one he loved better and carelessly discarded me.	Then I fell in love with a young man who, after obtaining my promise to marry him, found some one he loved better and carelessly discarded me.
6828_68770_000037_000007	My mother had passed on long before, and there was nothing to keep me at home.	My mother had passed on long before, and there was nothing to keep me at home.
6828_68770_000037_000008	I came west and secured a position to teach school in this county, and for a time I was quite contented and succeeded in living down my disappointment.	I came west and secured a position to teach school in this county, and for a time I was quite contented and succeeded in living down my disappointment.
6828_68770_000037_000009	I heard but once from my father.	I heard but once from my father.
6828_68770_000037_000010	He had married again and disinherited me. He forbade me to ever communicate with him again.	He had married again and disinherited me. He forbade me to ever communicate with him again.
6828_68770_000038_000001	He was desperately in love with me, and at this period, when I seemed completely cut off from my old life and the future contained no promise, I thought it best to wear out the remainder of my existence in the seclusion of a farm-house.	He was desperately in love with me, and at this period, when I seemed completely cut off from my old life and the future contained no promise, I thought it best to wear out the remainder of my existence in the seclusion of a farm house.
6828_68770_000038_000002	I put all the past behind me, and told Will Rogers I would marry him and be a faithful wife; but that my heart was dead.	I put all the past behind me, and told Will Rogers I would marry him and be a faithful wife; but that my heart was dead.
6828_68770_000038_000003	He accepted me on that condition, and it was not until after we were married some time that my husband realized how impossible it would ever be to arouse my affection.	He accepted me on that condition, and it was not until after we were married some time that my husband realized how impossible it would ever be to arouse my affection.
6828_68770_000038_000004	Then he lost courage, and became careless and reckless.	Then he lost courage, and became careless and reckless.
6828_68770_000038_000005	When our child came--our Lucy--Will was devoted to her, and the baby wakened in me all the old passionate capacity to love.	When our child came-our Lucy-Will was devoted to her, and the baby wakened in me all the old passionate capacity to love.
6828_68770_000038_000006	Lucy drew Will and me a little closer together, but he never recovered his youthful ambition.	Lucy drew Will and me a little closer together, but he never recovered his youthful ambition.
6828_68770_000038_000007	He was a disappointed man, and went from bad to worse.	He was a disappointed man, and went from bad to worse.
6828_68770_000038_000009	But he lost all hope of being loved as he loved me, and the disappointment broke him down.	But he lost all hope of being loved as he loved me, and the disappointment broke him down.
6828_68770_000038_000010	He became an old man early in life, and his lack of energy kept us very poor.	He became an old man early in life, and his lack of energy kept us very poor.
6828_68770_000038_000011	I used to take in sewing before the accident to my eyes, and that helped a good deal to pay expenses.	I used to take in sewing before the accident to my eyes, and that helped a good deal to pay expenses.
6828_68770_000038_000012	But now I am helpless, and my husband devotes all his time to me, although I beg him to work the farm and try to earn some money.	But now I am helpless, and my husband devotes all his time to me, although I beg him to work the farm and try to earn some money.
6828_68770_000039_000001	I have had to bear so much in my life that I could even bear my child's death.	I have had to bear so much in my life that I could even bear my child's death.
6828_68770_000040_000000	Kenneth and Beth remained silent for a time after Mrs. Rogers had finished her tragic story, for their hearts were full of sympathy for the poor woman.	Kenneth and Beth remained silent for a time after mrs Rogers had finished her tragic story, for their hearts were full of sympathy for the poor woman.
6828_68770_000040_000001	It was hard to realize that a refined, beautiful and educated girl had made so sad a mistake of her life and suffered so many afflictions as a consequence.	It was hard to realize that a refined, beautiful and educated girl had made so sad a mistake of her life and suffered so many afflictions as a consequence.
6828_68770_000040_000003	The fault was not his.	The fault was not his.
6828_68770_000042_000000	"Was Lucy like you, or did she resemble her father?" asked Beth.	"Was Lucy like you, or did she resemble her father?" asked Beth.
6828_68770_000044_000000	"I've been looking at the picture," said Kenneth.	"I've been looking at the picture," said Kenneth.
6828_68770_000045_000000	"And you mustn't think of her as dead, Mrs. Rogers," said Beth, pleadingly.	"And you mustn't think of her as dead, mrs Rogers," said Beth, pleadingly.
6828_68770_000045_000001	"I'm sure she is alive, and that we shall find her.	"I'm sure she is alive, and that we shall find her.
6828_68770_000045_000002	We're going right to work, and everything possible shall be done to trace your daughter.	We're going right to work, and everything possible shall be done to trace your daughter.
6828_68770_000045_000003	Don't worry, please.	Don't worry, please.
6828_68770_000045_000004	Be as cheerful as you can, and leave the search to us."	Be as cheerful as you can, and leave the search to us."
6828_68770_000047_000001	"He can't sleep or rest till he finds her, for my husband loves her as well as I do.	"He can't sleep or rest till he finds her, for my husband loves her as well as I do.
6828_68770_000047_000003	I know what she suffers, for I suffered, myself; and life isn't worth living when despair and disappointment fills it."	I know what she suffers, for I suffered, myself; and life isn't worth living when despair and disappointment fills it."
6828_68770_000048_000000	"I cannot see why Lucy shouldn't yet be happy," protested Beth.	"I cannot see why Lucy shouldn't yet be happy," protested Beth.
6828_68770_000048_000001	"Tom Gates is now free, and can begin life anew."	"Tom Gates is now free, and can begin life anew."
6828_68770_000049_000001	"Who will employ a bookkeeper, or even a clerk who has been guilty of forgery?"	"Who will employ a bookkeeper, or even a clerk who has been guilty of forgery?"
6828_68770_000050_000000	"I think I shall give him employment," replied Kenneth.	"I think I shall give him employment," replied Kenneth.
6828_68770_000052_000000	"Yes.	"Yes.
6828_68770_000052_000001	I'm not afraid of a boy who became a criminal to save the girl he loved."	I'm not afraid of a boy who became a criminal to save the girl he loved."
6828_68770_000054_000000	"The world forgets these things sooner than you suppose," he answered. "I need a secretary, and in that position Tom Gates will quickly be able to live down this unfortunate affair.	"The world forgets these things sooner than you suppose," he answered. "I need a secretary, and in that position Tom Gates will quickly be able to live down this unfortunate affair.
6828_68770_000054_000001	And if he turns out as well as I expect, he will soon be able to marry Lucy and give her a comfortable home.	And if he turns out as well as I expect, he will soon be able to marry Lucy and give her a comfortable home.
6828_68770_000054_000002	So now nothing remains but to find your girl, and we'll try to do that, I assure you."	So now nothing remains but to find your girl, and we'll try to do that, I assure you."
6828_68770_000055_000000	Mrs. Rogers was crying softly by this time, but it was from joy and relief.	mrs Rogers was crying softly by this time, but it was from joy and relief.
6828_68770_000055_000001	When they left her she promised to be as cheerful as possible and to look on the bright side of life.	When they left her she promised to be as cheerful as possible and to look on the bright side of life.
6828_68770_000056_000000	"I can't thank you," she said, "so I won't try.	"I can't thank you," she said, "so I won't try.
6828_68770_000056_000001	You must know how grateful we are to you."	You must know how grateful we are to you."
6828_68770_000057_000000	As Beth and Kenneth drove back to Elmhurst they were both rather silent, for they had been strongly affected by the scene at the farm-house.	As Beth and Kenneth drove back to Elmhurst they were both rather silent, for they had been strongly affected by the scene at the farm house.
6828_68770_000058_000001	"And I'm sure he'll be true and grateful."	"And I'm sure he'll be true and grateful."
6828_68770_000059_000000	"I really need him, Beth," said the boy.	"I really need him, Beth," said the boy.
6828_68770_000059_000001	"There is getting to be too much correspondence for Mr. Watson to attend to, and I ought to relieve him of many other details.	"There is getting to be too much correspondence for mr Watson to attend to, and I ought to relieve him of many other details.
6828_68770_000059_000002	It's a good arrangement, and I'm glad I thought of it."	It's a good arrangement, and I'm glad I thought of it."
6828_68770_000060_000000	They had almost reached Elmhurst when they met the Honorable Erastus Hopkins driving along the road.	They had almost reached Elmhurst when they met the Honorable Erastus Hopkins driving along the road.
6828_68770_000060_000001	On the seat beside him was a young girl, and as the vehicles passed each other Beth gave a start and clung to the boy's arm.	On the seat beside him was a young girl, and as the vehicles passed each other Beth gave a start and clung to the boy's arm.
6828_68770_000061_000001	Did you see that?"	Did you see that?"
6828_68770_000062_000000	"Yes; it's my respected adversary."	"Yes; it's my respected adversary."
6828_68770_000063_000000	"But the girl!	"But the girl!
6828_68770_000063_000001	It's Lucy--I'm sure it's Lucy!	It's Lucy-I'm sure it's Lucy!
6828_68770_000063_000003	Stop--stop--and let's go back!"	Stop-stop-and let's go back!"
6828_68770_000064_000001	"It can't be."	"It can't be."
6828_68770_000065_000001	I'm sure it is!"	I'm sure it is!"
6828_68770_000066_000001	"She was laughing gaily and talking with the Honorable Erastus.	"She was laughing gaily and talking with the Honorable Erastus.
6828_68770_000068_000000	"And she wasn't unhappy a bit.	"And she wasn't unhappy a bit.
6828_68770_000068_000002	And there's another thing."	And there's another thing."
6828_68770_000070_000000	"Any companion of Mr. Hopkins can be easily traced."	"Any companion of mr Hopkins can be easily traced."
6828_68770_000071_000000	"That's true," answered the girl, thoughtfully.	"That's true," answered the girl, thoughtfully.
