2004_147173_000000_000000	CHAPTER XXXI.	CHAPTER thirty one.	false	1.56	16.63	20.192299
2004_147173_000014_000000	"How should I know?" answered her husband gruffly.	"How should I know?" answered her husband gruffly.	false	216.63	222.01	14.599602
2004_147173_000015_000000	"Well-a-well!" (in a soothing tone, such as you use to irritated children), and as if half to herself, "I only thought you might, you know, as you brought her home.	"Well a well!" (in a soothing tone, such as you use to irritated children), and as if half to herself, "I only thought you might, you know, as you brought her home.	true	222.95	234.09	21.032217
2004_147173_000015_000001	Poor thing! we must not ask aught about her, but that she needs help.	Poor thing! we must not ask aught about her, but that she needs help.	true	234.09	238.935	20.44985
2004_147173_000015_000002	I wish I'd my salts at home, but I lent 'em to Mrs. Burton, last Sunday in church, for she could not keep awake through the sermon.	I wish I'd my salts at home, but I lent 'em to mrs Burton, last Sunday in church, for she could not keep awake through the sermon.	false	238.935	245.74	16
2004_147173_000015_000003	Dear-a-me, how white she is!"	Dear a me, how white she is!"	false	246.17	247.98	14
2004_147173_000016_000000	"Here! you hold her up a bit," said her husband.	"Here! you hold her up a bit," said her husband.	false	247.98	252.34	26.519627
2004_147173_000017_000000	She did as he desired, still crooning to herself, not caring for his short, sharp interruptions as she went on; and, indeed, to her old, loving heart, his crossest words fell like pearls and diamonds, for he had been the husband of her youth; and even he, rough and crabbed as he was, was secretly soothed by the sound of her voice, although not for worlds, if he could have helped it, would he have shown any of the love that was hidden beneath his rough outside.	She did as he desired, still crooning to herself, not caring for his short, sharp interruptions as she went on; and, indeed, to her old, loving heart, his crossest words fell like pearls and diamonds, for he had been the husband of her youth; and even he, rough and crabbed as he was, was secretly soothed by the sound of her voice, although not for worlds, if he could have helped it, would he have shown any of the love that was hidden beneath his rough outside.	false	252.68	280.18	21.047106
2004_147173_000018_000000	"What's the old fellow after?" said she, bending over Mary, so as to accommodate the drooping head.	"What's the old fellow after?" said she, bending over Mary, so as to accommodate the drooping head.	true	280.43	286.63	18
2004_147173_000018_000001	"Taking my pen, as I've had better nor five year.	"Taking my pen, as I've had better nor five year.	false	287.03	290.53	19
2004_147173_000018_000002	Bless us, and save us!	Bless us, and save us!	true	290.81	291.99	15.374861
2004_147173_000018_000003	he's burning it!	he's burning it!	true	291.99	292.92	22.414654
2004_147173_000018_000004	Ay, I see now, he's his wits about him; burnt feathers is always good for a faint. But they don't bring her round, poor wench!	Ay, I see now, he's his wits about him; burnt feathers is always good for a faint. But they don't bring her round, poor wench!	false	292.92	300.525	21.998701
2004_147173_000018_000005	Now what's he after next?	Now what's he after next?	false	300.525	302.14	23.952187
2004_147173_000018_000006	Well! he is a bright one, my old man!	Well! he is a bright one, my old man!	true	303.65	306.19	20
2004_147173_000018_000007	That I never thought of that, to be sure!" exclaimed she, as he produced a square bottle of smuggled spirits, labelled "Golden Wasser," from a corner cupboard in their little room.	That I never thought of that, to be sure!" exclaimed she, as he produced a square bottle of smuggled spirits, labelled "Golden Wasser," from a corner cupboard in their little room.	true	306.47	316.75	20
2004_147173_000019_000000	"That'll do!" said she, as the dose he poured into Mary's open mouth made her start and cough.	"That'll do!" said she, as the dose he poured into Mary's open mouth made her start and cough.	true	317.27	323.02	18.19678
2004_147173_000019_000001	"Bless the man!	"Bless the man!	true	323.15	324.03	29.506147
2004_147173_000019_000002	It's just like him to be so tender and thoughtful!"	It's just like him to be so tender and thoughtful!"	true	324.03	326.77	21
2004_147173_000020_000000	"Not a bit!" snarled he, as he was relieved by Mary's returning colour, and opened eyes, and wondering, sensible gaze; "not a bit! I never was such a fool afore."	"Not a bit!" snarled he, as he was relieved by Mary's returning colour, and opened eyes, and wondering, sensible gaze; "not a bit! I never was such a fool afore."	true	327.38	337.9	21.435165
2004_147173_000021_000000	His wife helped Mary to rise, and placed her in a chair.	His wife helped Mary to rise, and placed her in a chair.	true	338.48	341.83	20
2004_147173_000022_000000	"All's right now, young woman?" asked the boatman, anxiously.	"All's right now, young woman?" asked the boatman, anxiously.	true	342.56	346.36	24.675144
2004_147173_000023_000000	"Yes, sir, and thank you.	"Yes, sir, and thank you.	false	347.06	348.91	22.917423
2004_147173_000023_000001	I'm sure, sir, I don't know rightly how to thank you," faltered Mary, softly forth.	I'm sure, sir, I don't know rightly how to thank you," faltered Mary, softly forth.	true	349.01	354.13	21
2004_147173_000024_000000	"Be hanged to you and your thanks." And he shook himself, took his pipe, and went out without deigning another word; leaving his wife sorely puzzled as to the character and history of the stranger within her doors.	"Be hanged to you and your thanks." And he shook himself, took his pipe, and went out without deigning another word; leaving his wife sorely puzzled as to the character and history of the stranger within her doors.	true	354.47	366.49	24
2004_147173_000025_000000	Mary watched the boatman leave the house, and then, turning her sorrowful eyes to the face of her hostess, she attempted feebly to rise, with the intention of going away,--where she knew not.	Mary watched the boatman leave the house, and then, turning her sorrowful eyes to the face of her hostess, she attempted feebly to rise, with the intention of going away,--where she knew not.	true	368.27	379.57	21
2004_147173_000026_000000	"Nay! nay! who e'er thou be'st, thou'rt not fit to go out into the street.	"Nay! nay! who e'er thou be'st, thou'rt not fit to go out into the street.	false	380.45	385.54	18.954304
2004_147173_000026_000001	Perhaps" (sinking her voice a little) "thou'rt a bad one; I almost misdoubt thee, thou'rt so pretty.	Perhaps" (sinking her voice a little) "thou'rt a bad one; I almost misdoubt thee, thou'rt so pretty.	true	385.94	393.19	25
2004_147173_000026_000002	Well-a-well!	Well a well!	false	393.23	394.125	15.469054
2004_147173_000026_000003	it's the bad ones as have the broken hearts, sure enough; good folk never get utterly cast down, they've always getten hope in the Lord: it's the sinful as bear the bitter, bitter grief in their crushed hearts, poor souls; it's them we ought, most of all, to pity and to help.	it's the bad ones as have the broken hearts, sure enough; good folk never get utterly cast down, they've always getten hope in the Lord: it's the sinful as bear the bitter, bitter grief in their crushed hearts, poor souls; it's them we ought, most of all, to pity and to help.	false	394.125	409.78	21.364008
2004_147173_000026_000004	She shanna leave the house to-night, choose who she is,--worst woman in Liverpool, she shanna.	She shanna leave the house to night, choose who she is,--worst woman in Liverpool, she shanna.	true	410.03	415.69	18
2004_147173_000026_000005	I wished I knew where th' old man picked her up, that I do."	I wished I knew where t h' old man picked her up, that I do."	false	415.85	419.05	18
2004_147173_000027_000000	Mary had listened feebly to this soliloquy, and now tried to satisfy her hostess in weak, broken sentences.	Mary had listened feebly to this soliloquy, and now tried to satisfy her hostess in weak, broken sentences.	true	420.47	427.03	19
2004_147173_000028_000000	"I'm not a bad one, missis, indeed.	"I'm not a bad one, missis, indeed.	true	427.88	430.24	16
2004_147173_000028_000001	Your master took me out to sea after a ship as had sailed.	Your master took me out to sea after a ship as had sailed.	false	430.25	433.84	22
2004_147173_000028_000002	There was a man in it as might save a life at the trial to-morrow.	There was a man in it as might save a life at the trial to morrow.	true	434.09	437.95	21.475645
2004_147173_000028_000003	The captain would not let him come, but he says he'll come back in the pilot-boat." She fell to sobbing at the thought of her waning hopes, and the old woman tried to comfort her, beginning with her accustomed,	The captain would not let him come, but he says he'll come back in the pilot boat." She fell to sobbing at the thought of her waning hopes, and the old woman tried to comfort her, beginning with her accustomed,	true	438.26	449.83	23.457758
2004_147173_000029_000000	"Well-a-well! and he'll come back, I'm sure.	"Well a well! and he'll come back, I'm sure.	true	450.05	452.91	19.415852
2004_147173_000029_000001	I know he will; so keep up your heart.	I know he will; so keep up your heart.	true	452.91	455.535	22.236153
2004_147173_000029_000002	Don't fret about it.	Don't fret about it.	true	455.535	456.6	14
2004_147173_000029_000003	He's sure to be back."	He's sure to be back."	true	456.6	457.99	23.436752
2004_147173_000030_000000	"Oh! I'm afraid!	"Oh! I'm afraid!	true	458.75	459.96	18.120972
2004_147173_000030_000001	I'm sore afraid he won't," cried Mary, consoled, nevertheless, by the woman's assertions, all groundless as she knew them to be.	I'm sore afraid he won't," cried Mary, consoled, nevertheless, by the woman's assertions, all groundless as she knew them to be.	true	459.96	467.44	12
2004_147173_000031_000000	Still talking half to herself and half to Mary, the old woman prepared tea, and urged her visitor to eat and refresh herself.	Still talking half to herself and half to Mary, the old woman prepared tea, and urged her visitor to eat and refresh herself.	false	469.04	476.77	21
2004_147173_000031_000001	But Mary shook her head at the proffered food, and only drank a cup of tea with thirsty eagerness.	But Mary shook her head at the proffered food, and only drank a cup of tea with thirsty eagerness.	true	477.23	482.92	19
2004_147173_000031_000002	For the spirits had thrown her into a burning heat, and rendered each impression received through her senses of the most painful distinctness and intensity, while her head ached in a terrible manner.	For the spirits had thrown her into a burning heat, and rendered each impression received through her senses of the most painful distinctness and intensity, while her head ached in a terrible manner.	true	483.2	494.56	21
2004_147173_000032_000000	She disliked speaking, her power over her words seemed so utterly gone.	She disliked speaking, her power over her words seemed so utterly gone.	true	495.11	499.51	20
2004_147173_000032_000001	She used quite different expressions to those she intended.	She used quite different expressions to those she intended.	true	499.85	503.17	21
2004_147173_000032_000002	So she kept silent, while Mrs. Sturgis (for that was the name of her hostess) talked away, and put her tea-things by, and moved about incessantly, in a manner that increased the dizziness in Mary's head. She felt as if she ought to take leave for the night and go.	So she kept silent, while mrs Sturgis (for that was the name of her hostess) talked away, and put her tea things by, and moved about incessantly, in a manner that increased the dizziness in Mary's head. She felt as if she ought to take leave for the night and go.	true	503.21	519.1	22.490149
2004_147173_000032_000003	But where?	But where?	true	519.38	520.27	18.730677
2004_147173_000033_000000	Presently the old man came back, crosser and gruffer than when he went away.	Presently the old man came back, crosser and gruffer than when he went away.	true	522.17	526.48	21.585358
2004_147173_000033_000001	He kicked aside the dry shoes his wife had prepared for him, and snarled at all she said.	He kicked aside the dry shoes his wife had prepared for him, and snarled at all she said.	true	526.67	531.88	16.929035
2004_147173_000033_000002	Mary attributed this to his finding her still there, and gathered up her strength for an effort to leave the house.	Mary attributed this to his finding her still there, and gathered up her strength for an effort to leave the house.	true	532.79	538.99	20
2004_147173_000033_000003	But she was mistaken.	But she was mistaken.	true	539.75	541.12	23.390305
2004_147173_000033_000004	By-and-bye, he said (looking right into the fire, as if addressing it), "Wind's right against them!"	By and bye, he said (looking right into the fire, as if addressing it), "Wind's right against them!"	true	541.19	548.22	22.201138
2004_147173_000034_000000	"Ay, ay, and is it so?" said his wife, who, knowing him well, knew that his surliness proceeded from some repressed sympathy. "Well-a-well, wind changes often at night.	"Ay, ay, and is it so?" said his wife, who, knowing him well, knew that his surliness proceeded from some repressed sympathy. "Well a well, wind changes often at night.	false	548.22	560.01	18.025059
2004_147173_000034_000001	Time enough before morning.	Time enough before morning.	true	560.01	561.55	19.610922
2004_147173_000034_000002	I'd bet a penny it has changed sin' thou looked."	I'd bet a penny it has changed sin' thou looked."	true	561.89	564.46	23.661514
2004_147173_000035_000000	She looked out of their little window at a weather-cock, near, glittering in the moonlight; and as she was a sailor's wife, she instantly recognised the unfavourable point at which the indicator seemed stationary, and giving a heavy sigh, turned into the room, and began to beat about in her own mind for some other mode of comfort.	She looked out of their little window at a weather cock, near, glittering in the moonlight; and as she was a sailor's wife, she instantly recognised the unfavourable point at which the indicator seemed stationary, and giving a heavy sigh, turned into the room, and began to beat about in her own mind for some other mode of comfort.	false	566.21	584.98	20.576164
2004_147173_000036_000000	"There's no one else who can prove what you want at the trial to-morrow, is there?" asked she.	"There's no one else who can prove what you want at the trial to morrow, is there?" asked she.	false	585.71	591.01	22.453695
2004_147173_000037_000000	"No one!" answered Mary.	"No one!" answered Mary.	true	591.26	593.05	21.912174
2004_147173_000038_000000	"And you've no clue to the one as is really guilty, if t'other is not?"	"And you've no clue to the one as is really guilty, if t'other is not?"	false	593.15	597.22	21.614193
2004_147173_000039_000000	Mary did not answer, but trembled all over.	Mary did not answer, but trembled all over.	true	598.01	600.76	19.648788
2004_147173_000040_000000	Sturgis saw it.	Sturgis saw it.	true	600.98	602.38	22.586006
2004_147173_000041_000000	"Don't bother her with thy questions," said he to his wife.	"Don't bother her with thy questions," said he to his wife.	true	603.47	606.585	20.34961
2004_147173_000041_000001	"She mun go to bed, for she's all in a shiver with the sea air.	"She mun go to bed, for she's all in a shiver with the sea air.	false	606.585	609.85	16
2004_147173_000041_000002	I'll see after the wind, hang it, and the weather-cock, too.	I'll see after the wind, hang it, and the weather cock, too.	true	610.37	613.2	23.758163
2004_147173_000041_000003	Tide will help 'em when it turns."	Tide will help 'em when it turns."	true	613.2	614.95	23.900486
2004_147173_000042_000000	Mary went up-stairs murmuring thanks and blessings on those who took the stranger in.	Mary went up stairs murmuring thanks and blessings on those who took the stranger in.	true	616.07	620.62	14
2004_147173_000042_000001	Mrs. Sturgis led her into a little room redolent of the sea and foreign lands.	mrs Sturgis led her into a little room redolent of the sea and foreign lands.	true	620.99	625.69	16
2004_147173_000042_000002	There was a small bed for one son, bound for China; and a hammock slung above for another, who was now tossing in the Baltic.	There was a small bed for one son, bound for China; and a hammock slung above for another, who was now tossing in the Baltic.	true	626.09	633.88	19.830433
2004_147173_000042_000003	The sheets looked made out of sail-cloth, but were fresh and clean in spite of their brownness.	The sheets looked made out of sail cloth, but were fresh and clean in spite of their brownness.	true	634.13	639.79	24
2004_147173_000043_000000	Against the wall were wafered two rough drawings of vessels with their names written underneath, on which the mother's eyes caught, and gazed until they filled with tears.	Against the wall were wafered two rough drawings of vessels with their names written underneath, on which the mother's eyes caught, and gazed until they filled with tears.	true	640.79	650.56	18
2004_147173_000043_000001	But she brushed the drops away with the back of her hand, and in a cheerful tone went on to assure Mary the bed was well aired.	But she brushed the drops away with the back of her hand, and in a cheerful tone went on to assure Mary the bed was well aired.	false	650.9	658.51	24
2004_147173_000044_000000	"I cannot sleep, thank you.	"I cannot sleep, thank you.	true	658.52	660.43	22
2004_147173_000044_000001	I will sit here, if you please," said Mary, sinking down on the window-seat.	I will sit here, if you please," said Mary, sinking down on the window seat.	true	660.44	665.38	18.545282
2004_147173_000045_000000	"Come, now," said Mrs. Sturgis, "my master told me to see you to bed, and I mun.	"Come, now," said mrs Sturgis, "my master told me to see you to bed, and I mun.	false	665.81	670.51	17
2004_147173_000045_000001	What's the use of watching?	What's the use of watching?	true	670.64	672.09	15.668082
2004_147173_000045_000002	A watched pot never boils, and I see you are after watching that weather-cock.	A watched pot never boils, and I see you are after watching that weather cock.	false	672.09	676.72	26.294212
2004_147173_000045_000003	Why now, I try never to look at it, else I could do nought else.	Why now, I try never to look at it, else I could do nought else.	false	677.33	682.02	21.439089
2004_147173_000045_000004	My heart many a time goes sick when the wind rises, but I turn away and work away, and try never to think on the wind, but on what I ha' getten to do."	My heart many a time goes sick when the wind rises, but I turn away and work away, and try never to think on the wind, but on what I ha' getten to do."	false	682.02	691.06	21.685757
2004_147173_000046_000000	"Let me stay up a little," pleaded Mary, as her hostess seemed so resolute about seeing her to bed.	"Let me stay up a little," pleaded Mary, as her hostess seemed so resolute about seeing her to bed.	true	692.63	698.68	18.032919
2004_147173_000046_000001	Her looks won her suit.	Her looks won her suit.	true	699.29	700.99	23.22224
2004_147173_000047_000000	"Well, I suppose I mun.	"Well, I suppose I mun.	true	701.72	703.36	22.577084
2004_147173_000047_000001	I shall catch it down stairs, I know.	I shall catch it down stairs, I know.	true	703.37	705.4	23.129063
2004_147173_000047_000002	He'll be in a fidget till you're getten to bed, I know; so you mun be quiet if you are so bent upon staying up."	He'll be in a fidget till you're getten to bed, I know; so you mun be quiet if you are so bent upon staying up."	true	705.53	711.16	18
2004_147173_000048_000000	And quietly, noiselessly, Mary watched the unchanging weather-cock through the night.	And quietly, noiselessly, Mary watched the unchanging weather cock through the night.	true	712.1	717.67	21.501097
2004_147173_000048_000001	She sat on the little window-seat, her hand holding back the curtain which shaded the room from the bright moonlight without; her head resting its weariness against the corner of the window-frame; her eyes burning and stiff with the intensity of her gaze.	She sat on the little window seat, her hand holding back the curtain which shaded the room from the bright moonlight without; her head resting its weariness against the corner of the window frame; her eyes burning and stiff with the intensity of her gaze.	true	718.22	732.64	20.394339
2004_147173_000049_000000	The ruddy morning stole up the horizon, casting a crimson glow into the watcher's room.	The ruddy morning stole up the horizon, casting a crimson glow into the watcher's room.	true	733.91	739.54	17.926563
2004_147173_000050_000000	It was the morning of the day of trial!	It was the morning of the day of trial!	false	740.3	750.63	19.089228
