115_121896_000000_000000	SONG VII.	SONG seven.	false	8.4	9.18	27.422258
115_121896_000005_000000	SONG VIII.	SONG eight.	true	209.36	210.6	25.863104
115_121896_000006_000000	HUMAN FOLLY.	HUMAN FOLLY.	true	210.6	212.02	21.192307
115_121896_000007_000000	Alas! how wide astray Doth Ignorance these wretched mortals lead From Truth's own way! For not on leafy stems Do ye within the green wood look for gold, Nor strip the vine for gems;	Alas! how wide astray Doth Ignorance these wretched mortals lead From Truth's own way! For not on leafy stems Do ye within the green wood look for gold, Nor strip the vine for gems;	false	212.96	227.56	20.040527
115_121896_000008_000000	Your nets ye do not spread Upon the hill-tops, that the groaning board With fish be furnished; If ye are fain to chase The bounding goat, ye sweep not in vain search The ocean's ruffled face.	Your nets ye do not spread Upon the hill tops, that the groaning board With fish be furnished; If ye are fain to chase The bounding goat, ye sweep not in vain search The ocean's ruffled face.	true	228.14	243.07	19.958359
115_121896_000009_000000	The sea's far depths they know, Each hidden nook, wherein the waves o'erwash The pearl as white as snow; Where lurks the Tyrian shell, Where fish and prickly urchins do abound, All this they know full well.	The sea's far depths they know, Each hidden nook, wherein the waves o'erwash The pearl as white as snow; Where lurks the Tyrian shell, Where fish and prickly urchins do abound, All this they know full well.	false	243.38	259.41	19.612112
115_121896_000010_000000	But not to know or care Where hidden lies the good all hearts desire-- This blindness they can bear; With gaze on earth low-bent, They seek for that which reacheth far beyond The starry firmament.	But not to know or care Where hidden lies the good all hearts desire- This blindness they can bear; With gaze on earth low bent, They seek for that which reacheth far beyond The starry firmament.	false	259.41	276.16	19.933086
115_121896_000011_000000	What curse shall I call down On hearts so dull?	What curse shall I call down On hearts so dull?	true	276.83	280.24	21.053751
115_121896_000011_000001	May they the race still run For wealth and high renown! And when with much ado The false good they have grasped--ah, then too late!-- May they discern the true!	May they the race still run For wealth and high renown! And when with much ado The false good they have grasped-ah, then too late!-- May they discern the true!	false	280.25	291.96	20.027601
115_121896_000012_000000	IX.	IX.	false	291.96	292.11	-20
115_121896_000013_000000	'This much may well suffice to set forth the form of false happiness; if this is now clear to thine eyes, the next step is to show what true happiness is.'	'This much may well suffice to set forth the form of false happiness; if this is now clear to thine eyes, the next step is to show what true happiness is.'	false	292.11	301.14	20.559057
