4945_29092_000000_000000	She lapsed into thought.	She lapsed into thought.	false	0	1.02	14.5227785
4945_29092_000008_000008	To visit such a family, was to find one's self confronted by a congress made up of representatives of the imperial myths and the majestic dead of all the ages.	To visit such a family, was to find one's self confronted by a congress made up of representatives of the imperial myths and the majestic dead of all the ages.	true	172.91	181.78	22
4945_29092_000008_000009	There was something thrilling about it, to a stranger, not to say awe inspiring.]--stand off the cat's tail, child, can't you see what you're doing?--Come, come, come, Roderick Dhu, it isn't nice for little boys to hang onto young gentlemen's coat tails--but never mind him, Washington, he's full of spirits and don't mean any harm.	There was something thrilling about it, to a stranger, not to say awe inspiring.]--stand off the cat's tail, child, can't you see what you're doing?--Come, come, come, Roderick Dhu, it isn't nice for little boys to hang onto young gentlemen's coat tails-but never mind him, Washington, he's full of spirits and don't mean any harm.	true	183.26	203.13	21.52336
4945_29092_000008_000010	Children will be children, you know.	Children will be children, you know.	true	203.13	204.88	20.788883
4945_29092_000008_000011	Take the chair next to Mrs. Sellers, Washington--tut, tut, Marie Antoinette, let your brother have the fork if he wants it, you are bigger than he is."	Take the chair next to mrs Sellers, Washington-tut, tut, Marie Antoinette, let your brother have the fork if he wants it, you are bigger than he is."	false	205.37	213.94	21.279858
4945_29092_000009_000000	Washington contemplated the banquet, and wondered if he were in his right mind.	Washington contemplated the banquet, and wondered if he were in his right mind.	true	216.92	221.32	21.244171
4945_29092_000009_000001	Was this the plain family dinner?	Was this the plain family dinner?	true	222.56	225.28	22.420092
4945_29092_000009_000002	And was it all present? It was soon apparent that this was indeed the dinner: it was all on the table: it consisted of abundance of clear, fresh water, and a basin of raw turnips--nothing more.	And was it all present? It was soon apparent that this was indeed the dinner: it was all on the table: it consisted of abundance of clear, fresh water, and a basin of raw turnips-nothing more.	true	225.53	241.78	23.494167
4945_29092_000010_000000	Washington stole a glance at Mrs. Sellers's face, and would have given the world, the next moment, if he could have spared her that.	Washington stole a glance at mrs Sellers's face, and would have given the world, the next moment, if he could have spared her that.	false	245.24	251.35	21.334896
4945_29092_000010_000001	The poor woman's face was crimson, and the tears stood in her eyes.	The poor woman's face was crimson, and the tears stood in her eyes.	true	252.29	255.76	21.311064
4945_29092_000010_000002	Washington did not know what to do.	Washington did not know what to do.	true	256.52	258.52	20.7207
4945_29092_000010_000003	He wished he had never come there and spied out this cruel poverty and brought pain to that poor little lady's heart and shame to her cheek; but he was there, and there was no escape.	He wished he had never come there and spied out this cruel poverty and brought pain to that poor little lady's heart and shame to her cheek; but he was there, and there was no escape.	false	258.59	270.75	23.318745
4945_29092_000010_000004	Col. Sellers hitched back his coat sleeves airily from his wrists as who should say "Now for solid enjoyment!" seized a fork, flourished it and began to harpoon turnips and deposit them in the plates before him "Let me help you, Washington--Lafayette, pass this plate to Washington--ah, well, well, my boy, things are looking pretty bright, now, I tell you. Speculation--my! the whole atmosphere's full of money.	col Sellers hitched back his coat sleeves airily from his wrists as who should say "Now for solid enjoyment!" seized a fork, flourished it and began to harpoon turnips and deposit them in the plates before him "Let me help you, Washington-Lafayette, pass this plate to Washington-ah, well, well, my boy, things are looking pretty bright, now, I tell you. Speculation-my! the whole atmosphere's full of money.	false	270.75	296.65	22.01433
4945_29092_000010_000005	I would'nt take three fortunes for one little operation I've got on hand now--have anything from the casters?	I would'nt take three fortunes for one little operation I've got on hand now-have anything from the casters?	false	297.17	303.015	23.270472
4945_29092_000010_000006	No?	No?	true	303.015	303.52	31.715994
4945_29092_000010_000007	Well, you're right, you're right. Some people like mustard with turnips, but--now there was Baron Poniatowski--Lord, but that man did know how to live!--true Russian you know, Russian to the back bone; I say to my wife, give me a Russian every time, for a table comrade.	Well, you're right, you're right. Some people like mustard with turnips, but-now there was Baron Poniatowski-Lord, but that man did know how to live!--true Russian you know, Russian to the back bone; I say to my wife, give me a Russian every time, for a table comrade.	true	303.65	320.35	21.9503
4945_29092_000010_000008	The Baron used to say, 'Take mustard, Sellers, try the mustard,--a man can't know what turnips are in perfection without, mustard,' but I always said, 'No, Baron, I'm a plain man and I want my food plain--none of your embellishments for Beriah Sellers--no made dishes for me!	The Baron used to say, 'Take mustard, Sellers, try the mustard,--a man can't know what turnips are in perfection without, mustard,' but I always said, 'No, Baron, I'm a plain man and I want my food plain-none of your embellishments for Beriah Sellers-no made dishes for me!	true	321.65	338.8	22.24543
4945_29092_000010_000009	And it's the best way--high living kills more than it cures in this world, you can rest assured of that.--Yes indeed, Washington, I've got one little operation on hand that--take some more water--help yourself, won't you?--help yourself, there's plenty of it.--You'll find it pretty good, I guess.	And it's the best way-high living kills more than it cures in this world, you can rest assured of that.--Yes indeed, Washington, I've got one little operation on hand that-take some more water-help yourself, won't you?--help yourself, there's plenty of it.--You'll find it pretty good, I guess.	false	339.5	355.78	22.02244
4945_29092_000010_000010	How does that fruit strike you?"	How does that fruit strike you?"	true	356.03	357.73	26.892134
4945_29092_000011_000000	Washington said he did not know that he had ever tasted better.	Washington said he did not know that he had ever tasted better.	true	360.62	364.33	21.383383
4945_29092_000011_000001	He did not add that he detested turnips even when they were cooked--loathed them in their natural state.	He did not add that he detested turnips even when they were cooked-loathed them in their natural state.	true	365.9	372.25	24.4237
4945_29092_000011_000002	No, he kept this to himself, and praised the turnips to the peril of his soul.	No, he kept this to himself, and praised the turnips to the peril of his soul.	true	373.34	378.88	24.491066
4945_29092_000012_000000	"I thought you'd like them.	"I thought you'd like them.	true	381.53	383.08	24.647692
4945_29092_000012_000001	Examine them--examine them--they'll bear it.	Examine them-examine them-they'll bear it.	true	383.3	385.87	23.956568
4945_29092_000012_000002	See how perfectly firm and juicy they are--they can't start any like them in this part of the country, I can tell you.	See how perfectly firm and juicy they are-they can't start any like them in this part of the country, I can tell you.	true	386.18	392.32	21.682343
4945_29092_000012_000003	These are from New Jersey--I imported them myself.	These are from New Jersey-I imported them myself.	true	392.39	395.16	17
4945_29092_000012_000004	They cost like sin, too; but lord bless me, I go in for having the best of a thing, even if it does cost a little more--it's the best economy, in the long run.	They cost like sin, too; but lord bless me, I go in for having the best of a thing, even if it does cost a little more-it's the best economy, in the long run.	false	395.16	404.62	21.663412
4945_29092_000012_000005	These are the Early Malcolm--it's a turnip that can't be produced except in just one orchard, and the supply never is up to the demand.	These are the Early Malcolm-it's a turnip that can't be produced except in just one orchard, and the supply never is up to the demand.	true	405.29	413.47	23.421883
4945_29092_000012_000006	Take some more water, Washington--you can't drink too much water with fruit--all the doctors say that.	Take some more water, Washington-you can't drink too much water with fruit-all the doctors say that.	true	414.23	418.84	22.677692
4945_29092_000012_000007	The plague can't come where this article is, my boy!"	The plague can't come where this article is, my boy!"	true	419.3	422.41	24.151224
4945_29092_000013_000000	"Plague?	"Plague?	true	424.13	424.99	27.686668
4945_29092_000013_000001	What plague?"	What plague?"	true	425.42	427.63	21.385593
4945_29092_000014_000000	"What plague, indeed?	"What plague, indeed?	true	427.97	429.495	23.512665
4945_29092_000014_000001	Why the Asiatic plague that nearly depopulated London a couple of centuries ago."	Why the Asiatic plague that nearly depopulated London a couple of centuries ago."	true	429.495	437.28	19.735151
4945_29092_000015_000000	"But how does that concern us?	"But how does that concern us?	true	437.28	438.9	16
4945_29092_000015_000001	There is no plague here, I reckon."	There is no plague here, I reckon."	false	438.9	440.67	15
4945_29092_000016_000000	"Sh!	"Sh!	false	440.67	443.1	30.180414
4945_29092_000016_000001	I've let it out!	I've let it out!	true	443.1	444.6	19
4945_29092_000016_000002	Well, never mind--just keep it to yourself. Perhaps I oughtn't said anything, but its bound to come out sooner or later, so what is the odds?	Well, never mind-just keep it to yourself. Perhaps I oughtn't said anything, but its bound to come out sooner or later, so what is the odds?	false	444.6	455.47	22.563349
4945_29092_000016_000003	Old McDowells wouldn't like me to--to--bother it all, I'll jest tell the whole thing and let it go.	Old McDowells wouldn't like me to-to-bother it all, I'll jest tell the whole thing and let it go.	false	456.29	463.06	22.51286
4945_29092_000016_000004	You see, I've been down to St. Louis, and I happened to run across old Dr. McDowells--thinks the world of me, does the doctor.	You see, I've been down to saint Louis, and I happened to run across old dr McDowells-thinks the world of me, does the doctor.	false	464.36	473.68	22.611835
4945_29092_000016_000005	He's a man that keeps himself to himself, and well he may, for he knows that he's got a reputation that covers the whole earth--he won't condescend to open himself out to many people, but lord bless you, he and I are just like brothers; he won't let me go to a hotel when I'm in the city--says I'm the only man that's company to him, and I don't know but there's some truth in it, too, because although I never like to glorify myself and make a great to-do over what I am or what I can do or what I know, I don't mind saying here among friends that I am better read up in most sciences, maybe, than the general run of professional men in these days. Well, the other day he let me into a little secret, strictly on the quiet, about this matter of the plague.	He's a man that keeps himself to himself, and well he may, for he knows that he's got a reputation that covers the whole earth-he won't condescend to open himself out to many people, but lord bless you, he and I are just like brothers; he won't let me go to a hotel when I'm in the city-says I'm the only man that's company to him, and I don't know but there's some truth in it, too, because although I never like to glorify myself and make a great to do over what I am or what I can do or what I know, I don't mind saying here among friends that I am better read up in most sciences, maybe, than the general run of professional men in these days. Well, the other day he let me into a little secret, strictly on the quiet, about this matter of the plague.	false	474.86	521.02	21.231901
4945_29092_000017_000000	"You see it's booming right along in our direction--follows the Gulf Stream, you know, just as all those epidemics do, and within three months it will be just waltzing through this land like a whirlwind!	"You see it's booming right along in our direction-follows the Gulf Stream, you know, just as all those epidemics do, and within three months it will be just waltzing through this land like a whirlwind!	false	523.61	535.51	21.977032
4945_29092_000017_000001	And whoever it touches can make his will and contract for the funeral. Well you can't cure it, you know, but you can prevent it.	And whoever it touches can make his will and contract for the funeral. Well you can't cure it, you know, but you can prevent it.	true	535.94	543.46	23.99375
4945_29092_000017_000002	How?	How?	true	544.28	545.2	28.34523
4945_29092_000017_000003	Turnips! that's it!	Turnips! that's it!	true	545.96	547.63	25.459547
4945_29092_000017_000004	Turnips and water!	Turnips and water!	true	547.67	549.19	24.086699
4945_29092_000017_000005	Nothing like it in the world, old McDowells says, just fill yourself up two or three times a day, and you can snap your fingers at the plague.	Nothing like it in the world, old McDowells says, just fill yourself up two or three times a day, and you can snap your fingers at the plague.	true	549.47	557.17	22.674028
4945_29092_000017_000006	Sh!--keep mum, but just you confine yourself to that diet and you're all right.	Sh!--keep mum, but just you confine yourself to that diet and you're all right.	true	557.39	563.8	21.60578
4945_29092_000017_000007	I wouldn't have old McDowells know that I told about it for anything--he never would speak to me again.	I wouldn't have old McDowells know that I told about it for anything-he never would speak to me again.	true	564.8	570.28	20
4945_29092_000017_000008	Take some more water, Washington--the more water you drink, the better.	Take some more water, Washington-the more water you drink, the better.	true	571.64	574.95	21.523445
4945_29092_000017_000009	Here, let me give you some more of the turnips.	Here, let me give you some more of the turnips.	false	574.95	578.5	23.206894
4945_29092_000017_000010	No, no, no, now, I insist.	No, no, no, now, I insist.	false	578.51	580.75	20.942501
4945_29092_000017_000011	There, now.	There, now.	true	580.91	581.73	20.444536
4945_29092_000017_000012	Absorb those.	Absorb those.	true	581.73	583.11	20.556107
4945_29092_000017_000013	They're, mighty sustaining--brim full of nutriment--all the medical books say so.	They're, mighty sustaining-brim full of nutriment-all the medical books say so.	true	583.11	587.68	23.750992
4945_29092_000017_000014	Just eat from four to seven good-sized turnips at a meal, and drink from a pint and a half to a quart of water, and then just sit around a couple of hours and let them ferment.	Just eat from four to seven good sized turnips at a meal, and drink from a pint and a half to a quart of water, and then just sit around a couple of hours and let them ferment.	false	588.29	599.02	21.567822
4945_29092_000017_000015	You'll feel like a fighting cock next day."	You'll feel like a fighting cock next day."	true	599.84	602.89	25.923439
4945_29092_000018_000000	Fifteen or twenty minutes later the Colonel's tongue was still chattering away--he had piled up several future fortunes out of several incipient "operations" which he had blundered into within the past week, and was now soaring along through some brilliant expectations born of late promising experiments upon the lacking ingredient of the eye-water. And at such a time Washington ought to have been a rapt and enthusiastic listener, but he was not, for two matters disturbed his mind and distracted his attention.	Fifteen or twenty minutes later the Colonel's tongue was still chattering away-he had piled up several future fortunes out of several incipient "operations" which he had blundered into within the past week, and was now soaring along through some brilliant expectations born of late promising experiments upon the lacking ingredient of the eye water. And at such a time Washington ought to have been a rapt and enthusiastic listener, but he was not, for two matters disturbed his mind and distracted his attention.	true	605.54	639.28	22.446814
4945_29092_000018_000001	One was, that he discovered, to his confusion and shame, that in allowing himself to be helped a second time to the turnips, he had robbed those hungry children.	One was, that he discovered, to his confusion and shame, that in allowing himself to be helped a second time to the turnips, he had robbed those hungry children.	true	640.13	650.68	21.906296
4945_29092_000018_000002	He had not needed the dreadful "fruit," and had not wanted it; and when he saw the pathetic sorrow in their faces when they asked for more and there was no more to give them, he hated himself for his stupidity and pitied the famishing young things with all his heart.	He had not needed the dreadful "fruit," and had not wanted it; and when he saw the pathetic sorrow in their faces when they asked for more and there was no more to give them, he hated himself for his stupidity and pitied the famishing young things with all his heart.	true	652.61	667.84	20.324535
4945_29092_000018_000003	The other matter that disturbed him was the dire inflation that had begun in his stomach.	The other matter that disturbed him was the dire inflation that had begun in his stomach.	true	669.59	676.81	24.312794
4945_29092_000018_000004	It grew and grew, it became more and more insupportable.	It grew and grew, it became more and more insupportable.	true	678.17	682.78	24.09442
4945_29092_000018_000005	Evidently the turnips were "fermenting." He forced himself to sit still as long as he could, but his anguish conquered him at last.	Evidently the turnips were "fermenting." He forced himself to sit still as long as he could, but his anguish conquered him at last.	true	683.75	693.91	22.43804
4945_29092_000019_000000	He rose in the midst of the Colonel's talk and excused himself on the plea of a previous engagement.	He rose in the midst of the Colonel's talk and excused himself on the plea of a previous engagement.	true	695.66	701.38	23.399405
4945_29092_000019_000001	The Colonel followed him to the door, promising over and over again that he would use his influence to get some of the Early Malcolms for him, and insisting that he should not be such a stranger but come and take pot-luck with him every chance he got.	The Colonel followed him to the door, promising over and over again that he would use his influence to get some of the Early Malcolms for him, and insisting that he should not be such a stranger but come and take pot luck with him every chance he got.	false	702.26	714.33	17
4945_29092_000019_000002	Washington was glad enough to get away and feel free again.	Washington was glad enough to get away and feel free again.	false	714.33	721.84	18.196333
4945_29092_000019_000003	He immediately bent his steps toward home.	He immediately bent his steps toward home.	true	722.36	724.9	25.709898
4945_29092_000020_000000	In bed he passed an hour that threatened to turn his hair gray, and then a blessed calm settled down upon him that filled his heart with gratitude.	In bed he passed an hour that threatened to turn his hair gray, and then a blessed calm settled down upon him that filled his heart with gratitude.	true	727.25	736.24	21.873247
4945_29092_000020_000001	Weak and languid, he made shift to turn himself about and seek rest and sleep; and as his soul hovered upon the brink of unconciousness, he heaved a long, deep sigh, and said to himself that in his heart he had cursed the Colonel's preventive of rheumatism, before, and now let the plague come if it must--he was done with preventives; if ever any man beguiled him with turnips and water again, let him die the death.	Weak and languid, he made shift to turn himself about and seek rest and sleep; and as his soul hovered upon the brink of unconciousness, he heaved a long, deep sigh, and said to himself that in his heart he had cursed the Colonel's preventive of rheumatism, before, and now let the plague come if it must-he was done with preventives; if ever any man beguiled him with turnips and water again, let him die the death.	true	736.85	766.03	22.395523
4945_29092_000021_000000	If he dreamed at all that night, no gossiping spirit disturbed his visions to whisper in his ear of certain matters just then in bud in the East, more than a thousand miles away that after the lapse of a few years would develop influences which would profoundly affect the fate and fortunes of the Hawkins family.	If he dreamed at all that night, no gossiping spirit disturbed his visions to whisper in his ear of certain matters just then in bud in the East, more than a thousand miles away that after the lapse of a few years would develop influences which would profoundly affect the fate and fortunes of the Hawkins family.	false	769.52	798.87	22.789495
