1731_142320_000000_000000	CHAPTER XLVI	CHAPTER forty six	true	1.23	2.46	18
1731_142320_000004_000007	From this waking dream she was roused.	From this waking dream she was roused.	true	177.47	180.255	19.026844
1731_142320_000004_000008	It was the place to leave the train and take the fly to Helstone.	It was the place to leave the train and take the fly to Helstone.	true	180.255	183.94	16
1731_142320_000004_000009	And now sharper feelings came shooting through her heart, whether pain or pleasure she could hardly tell.	And now sharper feelings came shooting through her heart, whether pain or pleasure she could hardly tell.	true	184.49	190.72	24.464525
1731_142320_000004_000010	Every mile was redolent of associations, which she would not have missed for the world, but each of which made her cry upon 'the days that are no more,' with ineffable longing.	Every mile was redolent of associations, which she would not have missed for the world, but each of which made her cry upon 'the days that are no more,' with ineffable longing.	true	190.88	203.05	17.787416
1731_142320_000004_000011	The last time she had passed along this road was when she had left it with her father and mother--the day, the season, had been gloomy, and she herself hopeless, but they were there with her.	The last time she had passed along this road was when she had left it with her father and mother-the day, the season, had been gloomy, and she herself hopeless, but they were there with her.	true	203.27	216.64	22.814468
1731_142320_000004_000012	Now she was alone, an orphan, and they, strangely, had gone away from her, and vanished from the face of the earth.	Now she was alone, an orphan, and they, strangely, had gone away from her, and vanished from the face of the earth.	true	216.89	225.49	19.042433
1731_142320_000004_000013	It hurt her to see the Helstone road so flooded in the sun-light, and every turn and every familiar tree so precisely the same in its summer glory as it had been in former years.	It hurt her to see the Helstone road so flooded in the sun light, and every turn and every familiar tree so precisely the same in its summer glory as it had been in former years.	true	225.59	238.93	19
1731_142320_000004_000014	Nature felt no change, and was ever young.	Nature felt no change, and was ever young.	true	239.09	242.53	21
1731_142320_000005_000000	Mr. Bell knew something of what would be passing through her mind, and wisely and kindly held his tongue.	mr Bell knew something of what would be passing through her mind, and wisely and kindly held his tongue.	true	242.84	249.7	20
1731_142320_000005_000001	They drove up to the Lennard Arms; half farm-house, half-inn, standing a little apart from the road, as much as to say, that the host did not so depend on the custom of travellers, as to have to court it by any obtrusiveness; they, rather, must seek him out.	They drove up to the Lennard Arms; half farm house, half inn, standing a little apart from the road, as much as to say, that the host did not so depend on the custom of travellers, as to have to court it by any obtrusiveness; they, rather, must seek him out.	false	249.95	268.51	22
1731_142320_000005_000002	The house fronted the village green; and right before it stood an immemorial lime-tree benched all round, in some hidden recesses of whose leafy wealth hung the grim escutcheon of the Lennards. The door of the inn stood wide open, but there was no hospitable hurry to receive the travellers.	The house fronted the village green; and right before it stood an immemorial lime tree benched all round, in some hidden recesses of whose leafy wealth hung the grim escutcheon of the Lennards. The door of the inn stood wide open, but there was no hospitable hurry to receive the travellers.	false	268.91	289	21.020725
1731_142320_000005_000003	When the landlady did appear--and they might have abstracted many an article first--she gave them a kind welcome, almost as if they had been invited guests, and apologised for her coming having been so delayed, by saying, that it was hay-time, and the provisions for the men had to be sent a-field, and she had been too busy packing up the baskets to hear the noise of wheels over the road, which, since they had left the highway, ran over soft short turf.	When the landlady did appear-and they might have abstracted many an article first-she gave them a kind welcome, almost as if they had been invited guests, and apologised for her coming having been so delayed, by saying, that it was hay time, and the provisions for the men had to be sent a field, and she had been too busy packing up the baskets to hear the noise of wheels over the road, which, since they had left the highway, ran over soft short turf.	false	289.22	318.43	20.823397
1731_142320_000006_000000	'Why, bless me!' exclaimed she, as at the end of her apology, a glint of sunlight showed her Margaret's face, hitherto unobserved in that shady parlour.	'Why, bless me!' exclaimed she, as at the end of her apology, a glint of sunlight showed her Margaret's face, hitherto unobserved in that shady parlour.	true	318.59	328.99	21.925632
1731_142320_000006_000001	'It's Miss Hale, Jenny,' said she, running to the door, and calling to her daughter.	'It's Miss Hale, Jenny,' said she, running to the door, and calling to her daughter.	true	329.21	333.76	16
1731_142320_000006_000002	'Come here, come directly, it's Miss Hale!' And then she went up to Margaret, and shook her hands with motherly fondness.	'Come here, come directly, it's Miss Hale!' And then she went up to Margaret, and shook her hands with motherly fondness.	true	333.89	341.11	22.99983
1731_142320_000007_000000	'And how are you all?	'And how are you all?	true	341.42	342.735	22.927927
1731_142320_000007_000001	How's the Vicar and Miss Dixon?	How's the Vicar and Miss Dixon?	true	342.735	344.47	22
1731_142320_000007_000002	The Vicar above all!	The Vicar above all!	true	344.51	345.69	16
1731_142320_000007_000003	God bless him!	God bless him!	true	345.69	346.86	22.408686
1731_142320_000007_000004	We've never ceased to be sorry that he left.'	We've never ceased to be sorry that he left.'	true	346.86	349.48	18.46368
1731_142320_000008_000000	Margaret tried to speak and tell her of her father's death; of her mother's it was evident that Mrs. Purkis was aware, from her omission of her name.	Margaret tried to speak and tell her of her father's death; of her mother's it was evident that mrs Purkis was aware, from her omission of her name.	true	350.45	360.55	21.874077
1731_142320_000008_000001	But she choked in the effort, and could only touch her deep mourning, and say the one word, 'Papa.'	But she choked in the effort, and could only touch her deep mourning, and say the one word, 'Papa.'	false	360.92	369.06	24.864046
1731_142320_000009_000000	'Surely, sir, it's never so!' said Mrs. Purkis, turning to Mr. Bell for confirmation of the sad suspicion that now entered her mind.	'Surely, sir, it's never so!' said mrs Purkis, turning to mr Bell for confirmation of the sad suspicion that now entered her mind.	true	369.06	377.62	18.864017
1731_142320_000009_000001	'There was a gentleman here in the spring--it might have been as long ago as last winter--who told us a deal of Mr. Hale and Miss Margaret; and he said Mrs. Hale was gone, poor lady.	'There was a gentleman here in the spring-it might have been as long ago as last winter-who told us a deal of mr Hale and Miss Margaret; and he said mrs Hale was gone, poor lady.	false	377.96	389.59	20.859245
1731_142320_000009_000002	But never a word of the Vicar's being ailing!'	But never a word of the Vicar's being ailing!'	true	389.66	392.86	20
1731_142320_000010_000000	'It is so, however,' said Mr. Bell. 'He died quite suddenly, when on a visit to me at Oxford.	'It is so, however,' said mr Bell. 'He died quite suddenly, when on a visit to me at Oxford.	true	393.62	399.58	19.40438
1731_142320_000010_000001	He was a good man, Mrs. Purkis, and there's many of us that might be thankful to have as calm an end as his.	He was a good man, mrs Purkis, and there's many of us that might be thankful to have as calm an end as his.	true	399.71	405.91	17.991917
1731_142320_000010_000002	Come Margaret, my dear!	Come Margaret, my dear!	true	406.28	407.71	21.480843
1731_142320_000010_000003	Her father was my oldest friend, and she's my god-daughter, so I thought we would just come down together and see the old place; and I know of old you can give us comfortable rooms and a capital dinner.	Her father was my oldest friend, and she's my god daughter, so I thought we would just come down together and see the old place; and I know of old you can give us comfortable rooms and a capital dinner.	true	407.72	420.19	21.04723
1731_142320_000010_000004	You don't remember me I see, but my name is Bell, and once or twice when the parsonage has been full, I've slept here, and tasted your good ale.'	You don't remember me I see, but my name is Bell, and once or twice when the parsonage has been full, I've slept here, and tasted your good ale.'	true	420.35	428.95	22.76624
1731_142320_000011_000000	'To be sure; I ask your pardon; but you see I was taken up with Miss Hale.	'To be sure; I ask your pardon; but you see I was taken up with Miss Hale.	true	429.29	433.87	22.225824
1731_142320_000011_000001	Let me show you to a room, Miss Margaret, where you can take off your bonnet, and wash your face.	Let me show you to a room, Miss Margaret, where you can take off your bonnet, and wash your face.	true	434	439.09	20.619991
1731_142320_000011_000002	It's only this very morning I plunged some fresh-gathered roses head downward in the water-jug, for, thought I, perhaps some one will be coming, and there's nothing so sweet as spring-water scented by a musk rose or two.	It's only this very morning I plunged some fresh gathered roses head downward in the water jug, for, thought I, perhaps some one will be coming, and there's nothing so sweet as spring water scented by a musk rose or two.	false	439.16	452.86	21
1731_142320_000011_000003	To think of the Vicar being dead!	To think of the Vicar being dead!	true	453.11	455.2	23.476725
1731_142320_000011_000004	Well, to be sure, we must all die; only that gentleman said, he was quite picking up after his trouble about Mrs. Hale's death.'	Well, to be sure, we must all die; only that gentleman said, he was quite picking up after his trouble about mrs Hale's death.'	true	455.33	463.06	23.639849
1731_142320_000012_000000	'Come down to me, Mrs. Purkis, after you have attended to Miss Hale.	'Come down to me, mrs Purkis, after you have attended to Miss Hale.	true	463.7	467.26	21.398514
1731_142320_000012_000001	I want to have a consultation with you about dinner.'	I want to have a consultation with you about dinner.'	true	467.27	469.96	26.834858
1731_142320_000013_000000	The little casement window in Margaret's bed-chamber was almost filled up with rose and vine branches; but pushing them aside, and stretching a little out, she could see the tops of the parsonage chimneys above the trees; and distinguish many a well-known line through the leaves.	The little casement window in Margaret's bed chamber was almost filled up with rose and vine branches; but pushing them aside, and stretching a little out, she could see the tops of the parsonage chimneys above the trees; and distinguish many a well-known line through the leaves.	true	470.69	487.5	20
1731_142320_000014_000000	'Aye!' said Mrs. Purkis, smoothing down the bed, and despatching Jenny for an armful of lavender-scented towels, 'times is changed, miss; our new Vicar has seven children, and is building a nursery ready for more, just out where the arbour and tool-house used to be in old times.	'Aye!' said mrs Purkis, smoothing down the bed, and despatching Jenny for an armful of lavender scented towels, 'times is changed, miss; our new Vicar has seven children, and is building a nursery ready for more, just out where the arbour and tool house used to be in old times.	false	487.5	505.96	21.545853
1731_142320_000014_000001	And he has had new grates put in, and a plate-glass window in the drawing-room. He and his wife are stirring people, and have done a deal of good; at least they say it's doing good; if it were not, I should call it turning things upside down for very little purpose.	And he has had new grates put in, and a plate glass window in the drawing room. He and his wife are stirring people, and have done a deal of good; at least they say it's doing good; if it were not, I should call it turning things upside down for very little purpose.	false	506.15	521.49	22.179058
1731_142320_000014_000002	The new Vicar is a teetotaller, miss, and a magistrate, and his wife has a deal of receipts for economical cooking, and is for making bread without yeast; and they both talk so much, and both at a time, that they knock one down as it were, and it's not till they're gone, and one's a little at peace, that one can think that there were things one might have said on one's own side of the question.	The new Vicar is a teetotaller, miss, and a magistrate, and his wife has a deal of receipts for economical cooking, and is for making bread without yeast; and they both talk so much, and both at a time, that they knock one down as it were, and it's not till they're gone, and one's a little at peace, that one can think that there were things one might have said on one's own side of the question.	false	521.49	545.53	23.150784
1731_142320_000014_000003	He'll be after the men's cans in the hay-field, and peeping in; and then there'll be an ado because it's not ginger beer, but I can't help it.	He'll be after the men's cans in the hay field, and peeping in; and then there'll be an ado because it's not ginger beer, but I can't help it.	true	545.93	554.29	16.325048
1731_142320_000014_000004	My mother and my grandmother before me sent good malt liquor to haymakers; and took salts and senna when anything ailed them; and I must e'en go on in their ways, though Mrs. Hepworth does want to give me comfits instead of medicine, which, as she says, is a deal pleasanter, only I've no faith in it.	My mother and my grandmother before me sent good malt liquor to haymakers; and took salts and senna when anything ailed them; and I must e'en go on in their ways, though mrs Hepworth does want to give me comfits instead of medicine, which, as she says, is a deal pleasanter, only I've no faith in it.	false	554.96	572.23	21.66029
1731_142320_000014_000005	But I must go, miss, though I'm wanting to hear many a thing; I'll come back to you before long.	But I must go, miss, though I'm wanting to hear many a thing; I'll come back to you before long.	true	572.33	577.39	26.537785
1731_142320_000015_000000	Mr. Bell had strawberries and cream, a loaf of brown bread, and a jug of milk, (together with a Stilton cheese and a bottle of port for his own private refreshment,) ready for Margaret on her coming down stairs; and after this rustic luncheon they set out to walk, hardly knowing in what direction to turn, so many old familiar inducements were there in each.	mr Bell had strawberries and cream, a loaf of brown bread, and a jug of milk, (together with a Stilton cheese and a bottle of port for his own private refreshment,) ready for Margaret on her coming down stairs; and after this rustic luncheon they set out to walk, hardly knowing in what direction to turn, so many old familiar inducements were there in each.	true	577.88	600.61	22.943253
1731_142320_000016_000000	'Shall we go past the vicarage?' asked Mr. Bell.	'Shall we go past the vicarage?' asked mr Bell.	true	601.46	604.36	23
1731_142320_000017_000000	'No, not yet.	'No, not yet.	true	604.85	606.61	23.275295
1731_142320_000017_000001	We will go this way, and make a round so as to come back by it,' replied Margaret.	We will go this way, and make a round so as to come back by it,' replied Margaret.	true	606.62	611.47	21.55678
1731_142320_000018_000000	Here and there old trees had been felled the autumn before; or a squatter's roughly-built and decaying cottage had disappeared.	Here and there old trees had been felled the autumn before; or a squatter's roughly built and decaying cottage had disappeared.	true	611.96	619.99	21.568031
1731_142320_000018_000001	Margaret missed them each and all, and grieved over them like old friends.	Margaret missed them each and all, and grieved over them like old friends.	true	620.15	625.03	19
1731_142320_000018_000002	They came past the spot where she and Mr. Lennox had sketched.	They came past the spot where she and mr Lennox had sketched.	true	625.46	629.35	23
1731_142320_000018_000003	The white, lightning-scarred trunk of the venerable beech, among whose roots they had sate down was there no more; the old man, the inhabitant of the ruinous cottage, was dead; the cottage had been pulled down, and a new one, tidy and respectable, had been built in its stead.	The white, lightning scarred trunk of the venerable beech, among whose roots they had sate down was there no more; the old man, the inhabitant of the ruinous cottage, was dead; the cottage had been pulled down, and a new one, tidy and respectable, had been built in its stead.	true	629.75	648.49	20.412554
1731_142320_000018_000004	There was a small garden on the place where the beech-tree had been.	There was a small garden on the place where the beech tree had been.	true	648.71	652.36	21
1731_142320_000019_000000	'I did not think I had been so old,' said Margaret after a pause of silence; and she turned away sighing.	'I did not think I had been so old,' said Margaret after a pause of silence; and she turned away sighing.	true	652.97	659.83	23.467693
1731_142320_000020_000000	'Yes!' said Mr. Bell. 'It is the first changes among familiar things that make such a mystery of time to the young, afterwards we lose the sense of the mysterious.	'Yes!' said mr Bell. 'It is the first changes among familiar things that make such a mystery of time to the young, afterwards we lose the sense of the mysterious.	true	660.74	670.21	20.663435
1731_142320_000020_000001	I take changes in all I see as a matter of course.	I take changes in all I see as a matter of course.	true	670.37	673.75	15
1731_142320_000020_000002	The instability of all human things is familiar to me, to you it is new and oppressive.'	The instability of all human things is familiar to me, to you it is new and oppressive.'	true	673.97	679.21	23.72412
1731_142320_000021_000000	'Let us go on to see little Susan,' said Margaret, drawing her companion up a grassy road-way, leading under the shadow of a forest glade.	'Let us go on to see little Susan,' said Margaret, drawing her companion up a grassy road way, leading under the shadow of a forest glade.	false	680.15	688.12	20.109322
1731_142320_000022_000000	'With all my heart, though I have not an idea who little Susan may be. But I have a kindness for all Susans, for simple Susan's sake.'	'With all my heart, though I have not an idea who little Susan may be. But I have a kindness for all Susans, for simple Susan's sake.'	true	688.4	696.55	21
1731_142320_000023_000000	'My little Susan was disappointed when I left without wishing her goodbye; and it has been on my conscience ever since, that I gave her pain which a little more exertion on my part might have prevented.	'My little Susan was disappointed when I left without wishing her goodbye; and it has been on my conscience ever since, that I gave her pain which a little more exertion on my part might have prevented.	true	696.83	708.55	21.209633
1731_142320_000023_000001	But it is a long way.	But it is a long way.	true	708.8	710.265	16
1731_142320_000023_000002	Are you sure you will not be tired?'	Are you sure you will not be tired?'	true	710.265	712.27	20
1731_142320_000024_000000	'Quite sure.	'Quite sure.	true	712.76	713.85	27.23407
1731_142320_000024_000001	That is, if you don't walk so fast.	That is, if you don't walk so fast.	true	713.85	716.385	20.38819
1731_142320_000024_000002	You see, here there are no views that can give one an excuse for stopping to take breath.	You see, here there are no views that can give one an excuse for stopping to take breath.	true	716.385	722.41	20.996967
1731_142320_000024_000003	You would think it romantic to be walking with a person "fat and scant o' breath" if I were Hamlet, Prince of Denmark.	You would think it romantic to be walking with a person "fat and scant o' breath" if I were Hamlet, Prince of Denmark.	true	722.48	729.9	24.939222
1731_142320_000024_000004	Have compassion on my infirmities for his sake.'	Have compassion on my infirmities for his sake.'	true	729.9	732.79	23.056398
1731_142320_000025_000000	'I will walk slower for your own sake.	'I will walk slower for your own sake.	true	733.34	735.915	17
1731_142320_000025_000001	I like you twenty times better than Hamlet.'	I like you twenty times better than Hamlet.'	true	735.915	738.43	20
1731_142320_000026_000000	'On the principle that a living ass is better than a dead lion?'	'On the principle that a living ass is better than a dead lion?'	true	739.28	742.9	14
1731_142320_000027_000000	'Perhaps so.	'Perhaps so.	true	743.69	744.88	24.59764
1731_142320_000027_000001	I don't analyse my feelings.'	I don't analyse my feelings.'	true	744.92	746.89	16.65111
1731_142320_000028_000000	'I am content to take your liking me, without examining too curiously into the materials it is made of.	'I am content to take your liking me, without examining too curiously into the materials it is made of.	true	747.26	752.92	20
1731_142320_000028_000001	Only we need not walk at a snail's' pace.'	Only we need not walk at a snail's' pace.'	true	753.14	755.83	20
1731_142320_000029_000000	'Very well.	'Very well.	true	756.53	757.575	23.27919
1731_142320_000029_000001	Walk at your own pace, and I will follow.	Walk at your own pace, and I will follow.	true	757.575	760.06	20.623945
1731_142320_000029_000002	Or stop still and meditate, like the Hamlet you compare yourself to, if I go too fast.'	Or stop still and meditate, like the Hamlet you compare yourself to, if I go too fast.'	true	760.19	765.64	24
1731_142320_000030_000000	'Thank you.	'Thank you.	true	766.34	767.32	28.34006
1731_142320_000030_000001	But as my mother has not murdered my father, and afterwards married my uncle, I shouldn't know what to think about, unless it were balancing the chances of our having a well-cooked dinner or not.	But as my mother has not murdered my father, and afterwards married my uncle, I shouldn't know what to think about, unless it were balancing the chances of our having a well cooked dinner or not.	true	767.36	777.28	20.787374
1731_142320_000030_000002	What do you think?'	What do you think?'	true	777.38	778.66	22.517384
1731_142320_000031_000000	'I am in good hopes.	'I am in good hopes.	true	779.6	780.975	27.44994
1731_142320_000031_000001	She used to be considered a famous cook as far as Helstone opinion went.'	She used to be considered a famous cook as far as Helstone opinion went.'	true	780.975	784.75	23.673882
1731_142320_000032_000000	'But have you considered the distraction of mind produced by all this haymaking?'	'But have you considered the distraction of mind produced by all this haymaking?'	true	785.21	789.52	19
1731_142320_000033_000000	Margaret felt all Mr. Bell's kindness in trying to make cheerful talk about nothing, to endeavour to prevent her from thinking too curiously about the past.	Margaret felt all mr Bell's kindness in trying to make cheerful talk about nothing, to endeavour to prevent her from thinking too curiously about the past.	false	790.43	799.75	21.121193
1731_142320_000033_000001	But she would rather have gone over these dear-loved walks in silence, if indeed she were not ungrateful enough to wish that she might have been alone.	But she would rather have gone over these dear loved walks in silence, if indeed she were not ungrateful enough to wish that she might have been alone.	true	799.97	809.14	20
1731_142320_000034_000000	They reached the cottage where Susan's widowed mother lived.	They reached the cottage where Susan's widowed mother lived.	true	809.84	813	21.126966
1731_142320_000034_000001	Susan was not there.	Susan was not there.	true	813	814.48	21.597174
1731_142320_000034_000002	She was gone to the parochial school.	She was gone to the parochial school.	true	814.49	816.61	22.053265
1731_142320_000034_000003	Margaret was disappointed, and the poor woman saw it, and began to make a kind of apology.	Margaret was disappointed, and the poor woman saw it, and began to make a kind of apology.	false	816.65	822.07	20.939144
1731_142320_000035_000000	'Oh! it is quite right,' said Margaret. 'I am very glad to hear it.	'Oh! it is quite right,' said Margaret. 'I am very glad to hear it.	true	822.56	826.365	23.366274
1731_142320_000035_000001	I might have thought of it.	I might have thought of it.	true	826.365	827.73	17.319029
1731_142320_000035_000002	Only she used to stop at home with you.'	Only she used to stop at home with you.'	true	827.73	829.96	22.489895
1731_142320_000036_000000	'Yes, she did; and I miss her sadly.	'Yes, she did; and I miss her sadly.	true	830.36	832.995	23.319462
1731_142320_000036_000001	I used to teach her what little I knew at nights.	I used to teach her what little I knew at nights.	false	832.995	835.57	19
1731_142320_000036_000002	It were not much to be sure.	It were not much to be sure.	true	835.79	837.58	27.44951
1731_142320_000036_000003	But she were getting such a handy girl, that I miss her sore.	But she were getting such a handy girl, that I miss her sore.	true	837.74	840.94	18
1731_142320_000036_000004	But she's a deal above me in learning now.' And the mother sighed.	But she's a deal above me in learning now.' And the mother sighed.	false	841.1	845.41	18.684723
1731_142320_000037_000000	'I'm all wrong,' growled Mr. Bell. 'Don't mind what I say.	'I'm all wrong,' growled mr Bell. 'Don't mind what I say.	true	845.87	849.58	18.214743
1731_142320_000037_000001	I'm a hundred years behind the world.	I'm a hundred years behind the world.	true	849.68	851.71	18.983465
1731_142320_000037_000002	But I should say, that the child was getting a better and simpler, and more natural education stopping at home, and helping her mother, and learning to read a chapter in the New Testament every night by her side, than from all the schooling under the sun.'	But I should say, that the child was getting a better and simpler, and more natural education stopping at home, and helping her mother, and learning to read a chapter in the New Testament every night by her side, than from all the schooling under the sun'	true	851.72	865.96	21.901682
1731_142320_000038_000000	Margaret did not want to encourage him to go on by replying to him, and so prolonging the discussion before the mother.	Margaret did not want to encourage him to go on by replying to him, and so prolonging the discussion before the mother.	true	866.78	873.73	20
1731_142320_000038_000001	So she turned to her and asked,	So she turned to her and asked,	true	873.86	876.07	24.060167
1731_142320_000039_000000	'How is old Betty Barnes?'	'How is old Betty Barnes?'	true	876.14	877.99	26
1731_142320_000040_000000	'I don't know,' said the woman rather shortly.	'I don't know,' said the woman rather shortly.	false	878.81	881.14	15.974184
1731_142320_000040_000001	'We'se not friends.'	'We'se not friends.'	true	881.24	882.67	25.306917
1731_142320_000041_000000	'Why not?' asked Margaret, who had formerly been the peacemaker of the village.	'Why not?' asked Margaret, who had formerly been the peacemaker of the village.	true	883.04	887.14	22
1731_142320_000042_000000	'She stole my cat.'	'She stole my cat.'	true	887.6	889.12	29.980358
1731_142320_000043_000000	'Did she know it was yours?'	'Did she know it was yours?'	true	889.73	891.28	16.824678
1731_142320_000044_000000	'I don't know.	'I don't know.	true	891.56	892.42	21.885204
1731_142320_000044_000001	I reckon not.'	I reckon not.'	false	892.58	894.57	27.893225
1731_142320_000045_000000	'Well! could not you get it back again when you told her it was yours?'	'Well! could not you get it back again when you told her it was yours?'	false	894.57	898.24	20
1731_142320_000046_000000	'No! for she'd burnt it.'	'No! for she'd burnt it.'	true	898.52	900.85	25.03995
1731_142320_000047_000000	'Burnt it!' exclaimed both Margaret and Mr. Bell.	'Burnt it!' exclaimed both Margaret and mr Bell.	true	901.46	904.6	28.628506
1731_142320_000048_000000	'Roasted it!' explained the woman.	'Roasted it!' explained the woman.	true	904.73	906.85	25.319778
1731_142320_000049_000000	It was no explanation.	It was no explanation.	true	907.52	909.22	16.975132
1731_142320_000049_000001	By dint of questioning, Margaret extracted from her the horrible fact that Betty Barnes, having been induced by a gypsy fortune-teller to lend the latter her husband's Sunday clothes, on promise of having them faithfully returned on the Saturday night before Goodman Barnes should have missed them, became alarmed by their non-appearance, and her consequent dread of her husband's anger, and as, according to one of the savage country superstitions, the cries of a cat, in the agonies of being boiled or roasted alive, compelled (as it were) the powers of darkness to fulfil the wishes of the executioner, resort had been had to the charm.	By dint of questioning, Margaret extracted from her the horrible fact that Betty Barnes, having been induced by a gypsy fortune teller to lend the latter her husband's Sunday clothes, on promise of having them faithfully returned on the Saturday night before Goodman Barnes should have missed them, became alarmed by their non appearance, and her consequent dread of her husband's anger, and as, according to one of the savage country superstitions, the cries of a cat, in the agonies of being boiled or roasted alive, compelled (as it were) the powers of darkness to fulfil the wishes of the executioner, resort had been had to the charm.	false	909.35	949.45	22.638239
1731_142320_000049_000002	The poor woman evidently believed in its efficacy; her only feeling was indignation that her cat had been chosen out from all others for a sacrifice.	The poor woman evidently believed in its efficacy; her only feeling was indignation that her cat had been chosen out from all others for a sacrifice.	true	949.52	958.57	22.798897
1731_142320_000049_000003	Margaret listened in horror; and endeavoured in vain to enlighten the woman's mind; but she was obliged to give it up in despair.	Margaret listened in horror; and endeavoured in vain to enlighten the woman's mind; but she was obliged to give it up in despair.	true	958.7	966.28	20.734947
1731_142320_000049_000004	Step by step she got the woman to admit certain facts, of which the logical connexion and sequence was perfectly clear to Margaret; but at the end, the bewildered woman simply repeated her first assertion, namely, that 'it were very cruel for sure, and she should not like to do it; but that there were nothing like it for giving a person what they wished for; she had heard it all her life; but it were very cruel for all that.' Margaret gave it up in despair, and walked away sick at heart.	Step by step she got the woman to admit certain facts, of which the logical connexion and sequence was perfectly clear to Margaret; but at the end, the bewildered woman simply repeated her first assertion, namely, that 'it were very cruel for sure, and she should not like to do it; but that there were nothing like it for giving a person what they wished for; she had heard it all her life; but it were very cruel for all that.' Margaret gave it up in despair, and walked away sick at heart.	false	966.29	995.23	22.257273
1731_142320_000050_000000	'You are a good girl not to triumph over me,' said Mr. Bell.	'You are a good girl not to triumph over me,' said mr Bell.	true	996.08	999.19	22
1731_142320_000051_000000	'How?	'How?	true	999.65	1000.3	20.315054
1731_142320_000051_000001	What do you mean?'	What do you mean?'	true	1000.3	1001.5	17.915693
1731_142320_000052_000000	'I own, I am wrong about schooling.	'I own, I am wrong about schooling.	true	1001.75	1004.41	24.178719
1731_142320_000052_000001	Anything rather than have that child brought up in such practical paganism.'	Anything rather than have that child brought up in such practical paganism.'	true	1004.51	1008.37	20.517813
1731_142320_000053_000000	'Oh!	'Oh!	true	1008.8	1009.35	22.112574
1731_142320_000053_000001	I remember.	I remember.	true	1009.35	1010.26	21.981049
1731_142320_000053_000002	Poor little Susan!	Poor little Susan!	true	1010.26	1011.55	20.854
1731_142320_000053_000003	I must go and see her; would you mind calling at the school?'	I must go and see her; would you mind calling at the school?'	true	1011.71	1015.21	24.858076
1731_142320_000054_000000	'Not a bit.	'Not a bit.	true	1015.46	1016.5	24
