4145_34497_000005_000000	Chapter 22	Chapter twenty two
4145_34497_000012_000001	I absolutely had to see you," she said; and the serious and set line of her lips, which he saw under the veil, transformed his mood at once.	I absolutely had to see you," she said; and the serious and set line of her lips, which he saw under the veil, transformed his mood at once.
4145_34497_000013_000000	"I angry!	"I angry!
4145_34497_000013_000001	But how have you come, where from?"	But how have you come, where from?"
4145_34497_000014_000000	"Never mind," she said, laying her hand on his, "come along, I must talk to you."	"Never mind," she said, laying her hand on his, "come along, I must talk to you."
4145_34497_000015_000000	He saw that something had happened, and that the interview would not be a joyous one.	He saw that something had happened, and that the interview would not be a joyous one.
4145_34497_000015_000001	In her presence he had no will of his own: without knowing the grounds of her distress, he already felt the same distress unconsciously passing over him.	In her presence he had no will of his own: without knowing the grounds of her distress, he already felt the same distress unconsciously passing over him.
4145_34497_000016_000000	"What is it?	"What is it?
4145_34497_000016_000001	what?" he asked her, squeezing her hand with his elbow, and trying to read her thoughts in her face.	what?" he asked her, squeezing her hand with his elbow, and trying to read her thoughts in her face.
4145_34497_000017_000000	She walked on a few steps in silence, gathering up her courage; then suddenly she stopped.	She walked on a few steps in silence, gathering up her courage; then suddenly she stopped.
4145_34497_000019_000000	He heard her, unconsciously bending his whole figure down to her as though hoping in this way to soften the hardness of her position for her.	He heard her, unconsciously bending his whole figure down to her as though hoping in this way to soften the hardness of her position for her.
4145_34497_000019_000001	But directly she had said this he suddenly drew himself up, and a proud and hard expression came over his face.	But directly she had said this he suddenly drew himself up, and a proud and hard expression came over his face.
4145_34497_000020_000000	"Yes, yes, that's better, a thousand times better!	"Yes, yes, that's better, a thousand times better!
4145_34497_000020_000001	I know how painful it was," he said.	I know how painful it was," he said.
4145_34497_000020_000002	But she was not listening to his words, she was reading his thoughts from the expression of his face.	But she was not listening to his words, she was reading his thoughts from the expression of his face.
4145_34497_000020_000003	She could not guess that that expression arose from the first idea that presented itself to Vronsky--that a duel was now inevitable.	She could not guess that that expression arose from the first idea that presented itself to Vronsky-that a duel was now inevitable.
4145_34497_000020_000004	The idea of a duel had never crossed her mind, and so she put a different interpretation on this passing expression of hardness.	The idea of a duel had never crossed her mind, and so she put a different interpretation on this passing expression of hardness.
4145_34497_000021_000000	When she got her husband's letter, she knew then at the bottom of her heart that everything would go on in the old way, that she would not have the strength of will to forego her position, to abandon her son, and to join her lover.	When she got her husband's letter, she knew then at the bottom of her heart that everything would go on in the old way, that she would not have the strength of will to forego her position, to abandon her son, and to join her lover.
4145_34497_000021_000002	But this interview was still of the utmost gravity for her.	But this interview was still of the utmost gravity for her.
4145_34497_000021_000003	She hoped that this interview would transform her position, and save her.	She hoped that this interview would transform her position, and save her.
4145_34497_000021_000005	But this news had not produced what she had expected in him; he simply seemed as though he were resenting some affront.	But this news had not produced what she had expected in him; he simply seemed as though he were resenting some affront.
4145_34497_000022_000000	"It was not in the least painful to me.	"It was not in the least painful to me.
4145_34497_000022_000001	It happened of itself," she said irritably; "and see..." she pulled her husband's letter out of her glove.	It happened of itself," she said irritably; "and see..." she pulled her husband's letter out of her glove.
4145_34497_000023_000000	"I understand, I understand," he interrupted her, taking the letter, but not reading it, and trying to soothe her.	"I understand, I understand," he interrupted her, taking the letter, but not reading it, and trying to soothe her.
4145_34497_000023_000001	"The one thing I longed for, the one thing I prayed for, was to cut short this position, so as to devote my life to your happiness."	"The one thing I longed for, the one thing I prayed for, was to cut short this position, so as to devote my life to your happiness."
4145_34497_000024_000000	"Why do you tell me that?" she said.	"Why do you tell me that?" she said.
4145_34497_000024_000002	If I doubted..."	If I doubted..."
4145_34497_000025_000000	"Who's that coming?" said Vronsky suddenly, pointing to two ladies walking towards them.	"Who's that coming?" said Vronsky suddenly, pointing to two ladies walking towards them.
4145_34497_000025_000001	"Perhaps they know us!" and he hurriedly turned off, drawing her after him into a side path.	"Perhaps they know us!" and he hurriedly turned off, drawing her after him into a side path.
4145_34497_000026_000000	"Oh, I don't care!" she said.	"Oh, I don't care!" she said.
4145_34497_000026_000001	Her lips were quivering.	Her lips were quivering.
4145_34497_000026_000002	And he fancied that her eyes looked with strange fury at him from under the veil.	And he fancied that her eyes looked with strange fury at him from under the veil.
4145_34497_000026_000003	"I tell you that's not the point--I can't doubt that; but see what he writes to me.	"I tell you that's not the point-I can't doubt that; but see what he writes to me.
4145_34497_000026_000004	Read it." She stood still again.	Read it." She stood still again.
4145_34497_000027_000000	Again, just as at the first moment of hearing of her rupture with her husband, Vronsky, on reading the letter, was unconsciously carried away by the natural sensation aroused in him by his own relation to the betrayed husband.	Again, just as at the first moment of hearing of her rupture with her husband, Vronsky, on reading the letter, was unconsciously carried away by the natural sensation aroused in him by his own relation to the betrayed husband.
4145_34497_000027_000002	And at that instant there flashed across his mind the thought of what Serpuhovskoy had just said to him, and what he had himself been thinking in the morning--that it was better not to bind himself--and he knew that this thought he could not tell her.	And at that instant there flashed across his mind the thought of what Serpuhovskoy had just said to him, and what he had himself been thinking in the morning-that it was better not to bind himself-and he knew that this thought he could not tell her.
4145_34497_000028_000000	Having read the letter, he raised his eyes to her, and there was no determination in them.	Having read the letter, he raised his eyes to her, and there was no determination in them.
4145_34497_000028_000001	She saw at once that he had been thinking about it before by himself.	She saw at once that he had been thinking about it before by himself.
4145_34497_000028_000002	She knew that whatever he might say to her, he would not say all he thought.	She knew that whatever he might say to her, he would not say all he thought.
4145_34497_000028_000003	And she knew that her last hope had failed her.	And she knew that her last hope had failed her.
4145_34497_000029_000000	"You see the sort of man he is," she said, with a shaking voice; "he..."	"You see the sort of man he is," she said, with a shaking voice; "he..."
4145_34497_000030_000001	"For God's sake, let me finish!" he added, his eyes imploring her to give him time to explain his words.	"For God's sake, let me finish!" he added, his eyes imploring her to give him time to explain his words.
4145_34497_000030_000002	"I rejoice, because things cannot, cannot possibly remain as he supposes."	"I rejoice, because things cannot, cannot possibly remain as he supposes."
4145_34497_000031_000000	"Why can't they?" Anna said, restraining her tears, and obviously attaching no sort of consequence to what he said.	"Why can't they?" Anna said, restraining her tears, and obviously attaching no sort of consequence to what he said.
4145_34497_000031_000001	She felt that her fate was sealed.	She felt that her fate was sealed.
4145_34497_000032_000000	Vronsky meant that after the duel--inevitable, he thought--things could not go on as before, but he said something different.	Vronsky meant that after the duel-inevitable, he thought-things could not go on as before, but he said something different.
4145_34497_000033_000000	"It can't go on.	"It can't go on.
4145_34497_000033_000001	I hope that now you will leave him.	I hope that now you will leave him.
4145_34497_000033_000002	I hope"--he was confused, and reddened--"that you will let me arrange and plan our life. Tomorrow..." he was beginning.	I hope"--he was confused, and reddened-"that you will let me arrange and plan our life. Tomorrow..." he was beginning.
4145_34497_000034_000000	She did not let him go on.	She did not let him go on.
4145_34497_000035_000000	"But my child!" she shrieked.	"But my child!" she shrieked.
4145_34497_000035_000001	"You see what he writes!	"You see what he writes!
4145_34497_000035_000002	I should have to leave him, and I can't and won't do that."	I should have to leave him, and I can't and won't do that."
4145_34497_000036_000000	"But, for God's sake, which is better?--leave your child, or keep up this degrading position?"	"But, for God's sake, which is better?--leave your child, or keep up this degrading position?"
4145_34497_000037_000000	"To whom is it degrading?"	"To whom is it degrading?"
4145_34497_000038_000000	"To all, and most of all to you."	"To all, and most of all to you."
4145_34497_000039_000000	"You say degrading ... don't say that.	"You say degrading ... don't say that.
4145_34497_000039_000001	Those words have no meaning for me," she said in a shaking voice.	Those words have no meaning for me," she said in a shaking voice.
4145_34497_000039_000002	She did not want him now to say what was untrue.	She did not want him now to say what was untrue.
4145_34497_000039_000003	She had nothing left her but his love, and she wanted to love him.	She had nothing left her but his love, and she wanted to love him.
4145_34497_000039_000004	"Don't you understand that from the day I loved you everything has changed for me?	"Don't you understand that from the day I loved you everything has changed for me?
4145_34497_000039_000005	For me there is one thing, and one thing only--your love.	For me there is one thing, and one thing only-your love.
4145_34497_000039_000006	If that's mine, I feel so exalted, so strong, that nothing can be humiliating to me.	If that's mine, I feel so exalted, so strong, that nothing can be humiliating to me.
4145_34497_000039_000007	I am proud of my position, because ... proud of being ... proud...." She could not say what she was proud of.	I am proud of my position, because ... proud of being ... proud...." She could not say what she was proud of.
4145_34497_000039_000008	Tears of shame and despair choked her utterance.	Tears of shame and despair choked her utterance.
4145_34497_000040_000000	He felt, too, something swelling in his throat and twitching in his nose, and for the first time in his life he felt on the point of weeping.	He felt, too, something swelling in his throat and twitching in his nose, and for the first time in his life he felt on the point of weeping.
4145_34497_000040_000001	He could not have said exactly what it was touched him so.	He could not have said exactly what it was touched him so.
4145_34497_000040_000002	He felt sorry for her, and he felt he could not help her, and with that he knew that he was to blame for her wretchedness, and that he had done something wrong.	He felt sorry for her, and he felt he could not help her, and with that he knew that he was to blame for her wretchedness, and that he had done something wrong.
4145_34497_000041_000000	"Is not a divorce possible?" he said feebly.	"Is not a divorce possible?" he said feebly.
4145_34497_000041_000001	She shook her head, not answering.	She shook her head, not answering.
4145_34497_000041_000002	"Couldn't you take your son, and still leave him?"	"Couldn't you take your son, and still leave him?"
4145_34497_000042_000000	"Yes; but it all depends on him.	"Yes; but it all depends on him.
4145_34497_000042_000001	Now I must go to him," she said shortly.	Now I must go to him," she said shortly.
4145_34497_000042_000002	Her presentiment that all would again go on in the old way had not deceived her.	Her presentiment that all would again go on in the old way had not deceived her.
4145_34497_000043_000000	"On Tuesday I shall be in Petersburg, and everything can be settled."	"On Tuesday I shall be in Petersburg, and everything can be settled."
4145_34497_000044_000000	"Yes," she said.	"Yes," she said.
4145_34497_000044_000001	"But don't let us talk any more of it."	"But don't let us talk any more of it."
