7720_105167_000001_000000	Chapter XII	Chapter twelve
7720_105167_000020_000004	Then the plane rose from the ground and in a moment soared gracefully in a wide circle until it topped the trees.	Then the plane rose from the ground and in a moment soared gracefully in a wide circle until it topped the trees.
7720_105167_000020_000005	The black sergeant was in a veritable collapse of terror.	The black sergeant was in a veritable collapse of terror.
7720_105167_000020_000006	He saw the earth dropping rapidly from beneath him.	He saw the earth dropping rapidly from beneath him.
7720_105167_000020_000007	He saw the trees and river and at a distance the little clearing with the thatched huts of Numabo's village.	He saw the trees and river and at a distance the little clearing with the thatched huts of Numabo's village.
7720_105167_000020_000008	He tried hard not to think of the results of a sudden fall to the rapidly receding ground below.	He tried hard not to think of the results of a sudden fall to the rapidly receding ground below.
7720_105167_000020_000009	He attempted to concentrate his mind upon the twenty-four wives which this great bird most assuredly would permit him to command.	He attempted to concentrate his mind upon the twenty four wives which this great bird most assuredly would permit him to command.
7720_105167_000022_000000	"I said I'd give this beggar the lesson of his life," he murmured as he heard, even above the whir of the propeller, the shriek of the terrified Negro.	"I said I'd give this beggar the lesson of his life," he murmured as he heard, even above the whir of the propeller, the shriek of the terrified Negro.
7720_105167_000022_000001	A moment later Smith-Oldwick had righted the machine and was dropping rapidly toward the earth.	A moment later Smith Oldwick had righted the machine and was dropping rapidly toward the earth.
7720_105167_000022_000002	He circled slowly a few times above the meadow until he had assured himself that Bertha Kircher was there and apparently unharmed, then he dropped gently to the ground so that the machine came to a stop a short distance from where the girl and the warriors awaited them.	He circled slowly a few times above the meadow until he had assured himself that Bertha Kircher was there and apparently unharmed, then he dropped gently to the ground so that the machine came to a stop a short distance from where the girl and the warriors awaited them.
7720_105167_000024_000000	So jealous was the black of his new-found toy that he would not return to the village of Numabo, but insisted on making camp close beside the plane, lest in some inconceivable fashion it should be stolen from him.	So jealous was the black of his new found toy that he would not return to the village of Numabo, but insisted on making camp close beside the plane, lest in some inconceivable fashion it should be stolen from him.
7720_105167_000024_000001	For two days they camped there, and constantly during daylight hours Usanga compelled the Englishman to instruct him in the art of flying.	For two days they camped there, and constantly during daylight hours Usanga compelled the Englishman to instruct him in the art of flying.
7720_105167_000025_000000	Smith-Oldwick, in recalling the long months of arduous training he had undergone himself before he had been considered sufficiently adept to be considered a finished flier, smiled at the conceit of the ignorant African who was already demanding that he be permitted to make a flight alone.	Smith Oldwick, in recalling the long months of arduous training he had undergone himself before he had been considered sufficiently adept to be considered a finished flier, smiled at the conceit of the ignorant African who was already demanding that he be permitted to make a flight alone.
7720_105167_000026_000000	"If it was not for losing the machine," the Englishman explained to the girl, "I'd let the bounder take it up and break his fool neck as he would do inside of two minutes."	"If it was not for losing the machine," the Englishman explained to the girl, "I'd let the bounder take it up and break his fool neck as he would do inside of two minutes."
7720_105167_000028_000000	It was with these thoughts in mind that Usanga lay down to sleep in the evening of the second day.	It was with these thoughts in mind that Usanga lay down to sleep in the evening of the second day.
7720_105167_000028_000001	Constantly, however, the thought of Naratu and her temper arose to take the keen edge from his pleasant imaginings.	Constantly, however, the thought of Naratu and her temper arose to take the keen edge from his pleasant imaginings.
7720_105167_000028_000003	The thought having taken form persisted, but always it was more than outweighed by the fact that the black sergeant was actually afraid of his woman, so much afraid of her in fact that he would not have dared to attempt to put her out of the way unless he could do so secretly while she slept.	The thought having taken form persisted, but always it was more than outweighed by the fact that the black sergeant was actually afraid of his woman, so much afraid of her in fact that he would not have dared to attempt to put her out of the way unless he could do so secretly while she slept.
7720_105167_000028_000004	However, as one plan after another was conjured by the strength of his desires, he at last hit upon one which came to him almost with the force of a blow and brought him sitting upright among his sleeping companions.	However, as one plan after another was conjured by the strength of his desires, he at last hit upon one which came to him almost with the force of a blow and brought him sitting upright among his sleeping companions.
7720_105167_000029_000000	When morning dawned Usanga could scarce wait for an opportunity to put his scheme into execution, and the moment that he had eaten, he called several of his warriors aside and talked with them for some moments.	When morning dawned Usanga could scarce wait for an opportunity to put his scheme into execution, and the moment that he had eaten, he called several of his warriors aside and talked with them for some moments.
7720_105167_000030_000001	Several times, too, he saw the eyes of the Negroes turned upon him and once they flashed simultaneously toward the white girl.	Several times, too, he saw the eyes of the Negroes turned upon him and once they flashed simultaneously toward the white girl.
7720_105167_000031_000001	Even the spear that he had had when captured had been taken away from him, so that now he was unarmed and absolutely at the mercy of the black sergeant and his followers.	Even the spear that he had had when captured had been taken away from him, so that now he was unarmed and absolutely at the mercy of the black sergeant and his followers.
7720_105167_000033_000000	Without a word of explanation the warriors seized the young officer and threw him to the ground upon his face.	Without a word of explanation the warriors seized the young officer and threw him to the ground upon his face.
7720_105167_000033_000002	When they had finally secured him to their satisfaction, they rolled him over on his side and then it was he saw Bertha Kircher had been similarly trussed.	When they had finally secured him to their satisfaction, they rolled him over on his side and then it was he saw Bertha Kircher had been similarly trussed.
7720_105167_000034_000000	Smith-Oldwick lay in such a position that he could see nearly the entire expanse of meadow and the aeroplane a short distance away. Usanga was talking to the girl who was shaking her head in vehement negatives.	Smith Oldwick lay in such a position that he could see nearly the entire expanse of meadow and the aeroplane a short distance away. Usanga was talking to the girl who was shaking her head in vehement negatives.
7720_105167_000035_000000	"What is he saying?" called the Englishman.	"What is he saying?" called the Englishman.
7720_105167_000037_000000	"God!" cried the man.	"God!" cried the man.
7720_105167_000037_000002	Anything that you want.	Anything that you want.
7720_105167_000037_000003	I have money, more money than that poor fool could imagine there was in the whole world.	I have money, more money than that poor fool could imagine there was in the whole world.
7720_105167_000037_000004	With it he can buy anything that money will purchase, fine clothes and food and women, all the women he wants.	With it he can buy anything that money will purchase, fine clothes and food and women, all the women he wants.
7720_105167_000038_000000	The girl shook her head.	The girl shook her head.
7720_105167_000038_000001	"It is useless," she said.	"It is useless," she said.
7720_105167_000038_000002	"He would not understand and if he did understand, he would not trust you.	"He would not understand and if he did understand, he would not trust you.
7720_105167_000038_000003	The blacks are so unprincipled themselves that they can imagine no such thing as principle or honor in others, and especially do these blacks distrust an Englishman whom the Germans have taught them to believe are the most treacherous and degraded of people.	The blacks are so unprincipled themselves that they can imagine no such thing as principle or honor in others, and especially do these blacks distrust an Englishman whom the Germans have taught them to believe are the most treacherous and degraded of people.
7720_105167_000038_000004	No, it is better thus.	No, it is better thus.
7720_105167_000038_000005	I am sorry that you cannot go with us, for if he goes high enough my death will be much easier than that which probably awaits you."	I am sorry that you cannot go with us, for if he goes high enough my death will be much easier than that which probably awaits you."
7720_105167_000039_000000	Usanga had been continually interrupting their brief conversation in an attempt to compel the girl to translate it to him, for he feared that they were concocting some plan to thwart him, and to quiet and appease him, she told him that the Englishman was merely bidding her farewell and wishing her good luck.	Usanga had been continually interrupting their brief conversation in an attempt to compel the girl to translate it to him, for he feared that they were concocting some plan to thwart him, and to quiet and appease him, she told him that the Englishman was merely bidding her farewell and wishing her good luck.
7720_105167_000039_000001	Suddenly she turned to the black.	Suddenly she turned to the black.
7720_105167_000039_000003	"If I go willingly with you?"	"If I go willingly with you?"
7720_105167_000040_000000	"What is it you want?" he inquired.	"What is it you want?" he inquired.
7720_105167_000041_000000	"Tell your men to free the white man after we are gone.	"Tell your men to free the white man after we are gone.
7720_105167_000041_000001	He can never catch us.	He can never catch us.
7720_105167_000041_000002	That is all I ask of you.	That is all I ask of you.
7720_105167_000041_000003	If you will grant him his freedom and his life, I will go willingly with you.	If you will grant him his freedom and his life, I will go willingly with you.
7720_105167_000042_000000	"You will go with me anyway," growled Usanga.	"You will go with me anyway," growled Usanga.
7720_105167_000042_000001	"It is nothing to me whether you go willingly or not.	"It is nothing to me whether you go willingly or not.
7720_105167_000042_000002	I am going to be a great king and you will do whatever I tell you to do."	I am going to be a great king and you will do whatever I tell you to do."
7720_105167_000043_000000	He had in mind that he would start properly with this woman.	He had in mind that he would start properly with this woman.
7720_105167_000043_000001	There should be no repetition of his harrowing experience with Naratu. This wife and the twenty-four others should be carefully selected and well trained.	There should be no repetition of his harrowing experience with Naratu. This wife and the twenty four others should be carefully selected and well trained.
7720_105167_000044_000000	Bertha Kircher saw that it was useless to appeal to the brute and so she held her peace though she was filled with sorrow in contemplating the fate that awaited the young officer, scarce more than a boy, who had impulsively revealed his love for her.	Bertha Kircher saw that it was useless to appeal to the brute and so she held her peace though she was filled with sorrow in contemplating the fate that awaited the young officer, scarce more than a boy, who had impulsively revealed his love for her.
7720_105167_000046_000000	The girl turned her eyes toward the Englishman.	The girl turned her eyes toward the Englishman.
7720_105167_000046_000001	She was very pale but her lips smiled bravely.	She was very pale but her lips smiled bravely.
7720_105167_000047_000000	"Good-bye!" she cried.	"Good bye!" she cried.
7720_105167_000048_000000	"Good-bye, and God bless you!" he called back--his voice the least bit husky--and then: "The thing I wanted to say--may I say it now, we are so very near the end?"	"Good bye, and God bless you!" he called back-his voice the least bit husky-and then: "The thing I wanted to say-may I say it now, we are so very near the end?"
7720_105167_000049_000000	Her lips moved but whether they voiced consent or refusal he did not know, for the words were drowned in the whir of the propeller.	Her lips moved but whether they voiced consent or refusal he did not know, for the words were drowned in the whir of the propeller.
7720_105167_000050_000000	The black had learned his lesson sufficiently well so that the motor was started without bungling and the machine was soon under way across the meadowland.	The black had learned his lesson sufficiently well so that the motor was started without bungling and the machine was soon under way across the meadowland.
7720_105167_000050_000002	He saw the plane tilt and the machine rise from the ground.	He saw the plane tilt and the machine rise from the ground.
7720_105167_000050_000003	It was a good take-off--as good as Lieutenant Harold Percy Smith-Oldwick could make himself but he realized that it was only so by chance.	It was a good take-off--as good as Lieutenant Harold Percy Smith Oldwick could make himself but he realized that it was only so by chance.
7720_105167_000050_000004	At any instant the machine might plunge to earth and even if, by some miracle of chance, the black could succeed in rising above the tree tops and make a successful flight, there was not one chance in one hundred thousand that he could ever land again without killing his fair captive and himself.	At any instant the machine might plunge to earth and even if, by some miracle of chance, the black could succeed in rising above the tree tops and make a successful flight, there was not one chance in one hundred thousand that he could ever land again without killing his fair captive and himself.
