6160_44912_000000_000000	From that day her life changed entirely.	From that day her life changed entirely.	false	27.69	30.25	25.284124
6160_44912_000002_000000	She never made any mischief herself or interfered with any one.	She never made any mischief herself or interfered with any one.	true	112.52	116.17	16
6160_44912_000002_000001	She talked very little, did as she was told, and thought a great deal. Nobody knew, and in fact nobody cared, whether she was unhappy or happy, unless, perhaps, it was Emily, who lived in the attic and slept on the iron bedstead at night.	She talked very little, did as she was told, and thought a great deal. Nobody knew, and in fact nobody cared, whether she was unhappy or happy, unless, perhaps, it was Emily, who lived in the attic and slept on the iron bedstead at night.	false	116.21	132.57	25.70811
6160_44912_000002_000002	Sara thought Emily understood her feelings, though she was only wax and had a habit of staring herself.	Sara thought Emily understood her feelings, though she was only wax and had a habit of staring herself.	true	132.57	138.76	23.709616
6160_44912_000002_000003	Sara used to talk to her at night.	Sara used to talk to her at night.	true	138.86	141.67	27.298218
6160_44912_000003_000000	"You are the only friend I have in the world," she would say to her. "Why don't you say something?	"You are the only friend I have in the world," she would say to her. "Why don't you say something?	true	142.19	147.72	21.323296
6160_44912_000003_000001	Why don't you speak?	Why don't you speak?	true	147.72	149.32	31.465101
6160_44912_000003_000002	Sometimes I am sure you could, if you would try.	Sometimes I am sure you could, if you would try.	false	149.39	154.15	24.386139
6160_44912_000003_000003	It ought to make you try, to know you are the only thing I have.	It ought to make you try, to know you are the only thing I have.	true	154.4	158.65	24.40699
6160_44912_000003_000004	If I were you, I should try.	If I were you, I should try.	true	158.96	161.02	21.238857
6160_44912_000003_000005	Why don't you try?"	Why don't you try?"	true	161.21	162.55	24.886776
6160_44912_000004_000000	It really was a very strange feeling she had about Emily.	It really was a very strange feeling she had about Emily.	true	163.04	166.48	18
6160_44912_000004_000001	It arose from her being so desolate.	It arose from her being so desolate.	true	166.64	169.24	27.490133
6160_44912_000004_000002	She did not like to own to herself that her only friend, her only companion, could feel and hear nothing.	She did not like to own to herself that her only friend, her only companion, could feel and hear nothing.	true	169.34	176.32	23.993124
6160_44912_000004_000003	She wanted to believe, or to pretend to believe, that Emily understood and sympathized with her, that she heard her even though she did not speak in answer. She used to put her in a chair sometimes and sit opposite to her on the old red footstool, and stare at her and think and pretend about her until her own eyes would grow large with something which was almost like fear, particularly at night, when the garret was so still, when the only sound that was to be heard was the occasional squeak and scurry of rats in the wainscot.	She wanted to believe, or to pretend to believe, that Emily understood and sympathized with her, that she heard her even though she did not speak in answer. She used to put her in a chair sometimes and sit opposite to her on the old red footstool, and stare at her and think and pretend about her until her own eyes would grow large with something which was almost like fear, particularly at night, when the garret was so still, when the only sound that was to be heard was the occasional squeak and scurry of rats in the wainscot.	false	176.39	210.49	24.897436
6160_44912_000004_000004	There were rat-holes in the garret, and Sara detested rats, and was always glad Emily was with her when she heard their hateful squeak and rush and scratching.	There were rat holes in the garret, and Sara detested rats, and was always glad Emily was with her when she heard their hateful squeak and rush and scratching.	true	210.86	221.44	22.929943
6160_44912_000004_000005	One of her "pretends" was that Emily was a kind of good witch and could protect her.	One of her "pretends" was that Emily was a kind of good witch and could protect her.	true	221.45	226.54	25.731812
6160_44912_000004_000006	Poor little Sara! everything was "pretend" with her.	Poor little Sara! everything was "pretend" with her.	true	226.73	230.41	20.213392
6160_44912_000004_000007	She had a strong imagination; there was almost more imagination than there was Sara, and her whole forlorn, uncared-for child-life was made up of imaginings.	She had a strong imagination; there was almost more imagination than there was Sara, and her whole forlorn, uncared for child life was made up of imaginings.	true	230.42	241.74	21.071047
6160_44912_000004_000008	She imagined and pretended things until she almost believed them, and she would scarcely have been surprised at any remarkable thing that could have happened.	She imagined and pretended things until she almost believed them, and she would scarcely have been surprised at any remarkable thing that could have happened.	true	241.74	250.57	25.807219
6160_44912_000004_000009	So she insisted to herself that Emily understood all about her troubles and was really her friend.	So she insisted to herself that Emily understood all about her troubles and was really her friend.	false	250.76	256.99	23.972641
6160_44912_000005_000000	"As to answering," she used to say, "I don't answer very often.	"As to answering," she used to say, "I don't answer very often.	true	257.9	262.2	25.381985
6160_44912_000005_000001	I never answer when I can help it.	I never answer when I can help it.	true	262.2	264.52	24.94695
6160_44912_000005_000002	When people are insulting you, there is nothing so good for them as not to say a word--just to look at them and think.	When people are insulting you, there is nothing so good for them as not to say a word-just to look at them and think.	true	264.74	272.32	25.678984
6160_44912_000005_000003	Miss Minchin turns pale with rage when I do it.	Miss Minchin turns pale with rage when I do it.	true	272.45	275.47	23
6160_44912_000005_000004	Miss Amelia looks frightened, so do the girls.	Miss Amelia looks frightened, so do the girls.	true	275.57	279.13	22.599794
6160_44912_000005_000005	They know you are stronger than they are, because you are strong enough to hold in your rage and they are not, and they say stupid things they wish they hadn't said afterward.	They know you are stronger than they are, because you are strong enough to hold in your rage and they are not, and they say stupid things they wish they hadn't said afterward.	true	279.38	289.57	27.301193
6160_44912_000005_000006	There's nothing so strong as rage, except what makes you hold it in--that's stronger.	There's nothing so strong as rage, except what makes you hold it in-that's stronger.	true	289.61	295.57	23.756723
6160_44912_000005_000007	It's a good thing not to answer your enemies.	It's a good thing not to answer your enemies.	true	295.7	298.095	22
6160_44912_000005_000008	I scarcely ever do.	I scarcely ever do.	true	298.095	299.83	25.203896
6160_44912_000005_000009	Perhaps Emily is more like me than I am like myself.	Perhaps Emily is more like me than I am like myself.	true	300.17	304.3	27.340763
6160_44912_000005_000010	Perhaps she would rather not answer her friends, even.	Perhaps she would rather not answer her friends, even.	true	304.55	307.84	25.14993
6160_44912_000005_000011	She keeps it all in her heart."	She keeps it all in her heart."	true	308.15	310.21	21.908346
6160_44912_000006_000000	But though she tried to satisfy herself with these arguments, Sara did not find it easy.	But though she tried to satisfy herself with these arguments, Sara did not find it easy.	true	311.09	316.51	26.69107
6160_44912_000006_000001	When, after a long, hard day, in which she had been sent here and there, sometimes on long errands, through wind and cold and rain; and, when she came in wet and hungry, had been sent out again because nobody chose to remember that she was only a child, and that her thin little legs might be tired, and her small body, clad in its forlorn, too small finery, all too short and too tight, might be chilled; when she had been given only harsh words and cold, slighting looks for thanks, when the cook had been vulgar and insolent; when Miss Minchin had been in her worst moods, and when she had seen the girls sneering at her among themselves and making fun of her poor, outgrown clothes--then Sara did not find Emily quite all that her sore, proud, desolate little heart needed as the doll sat in her little old chair and stared.	When, after a long, hard day, in which she had been sent here and there, sometimes on long errands, through wind and cold and rain; and, when she came in wet and hungry, had been sent out again because nobody chose to remember that she was only a child, and that her thin little legs might be tired, and her small body, clad in its forlorn, too small finery, all too short and too tight, might be chilled; when she had been given only harsh words and cold, slighting looks for thanks, when the cook had been vulgar and insolent; when Miss Minchin had been in her worst moods, and when she had seen the girls sneering at her among themselves and making fun of her poor, outgrown clothes-then Sara did not find Emily quite all that her sore, proud, desolate little heart needed as the doll sat in her little old chair and stared.	false	316.85	371.59	25.360098
6160_44912_000007_000000	One of these nights, when she came up to the garret cold, hungry, tired, and with a tempest raging in her small breast, Emily's stare seemed so vacant, her sawdust legs and arms so limp and inexpressive, that Sara lost all control over herself.	One of these nights, when she came up to the garret cold, hungry, tired, and with a tempest raging in her small breast, Emily's stare seemed so vacant, her sawdust legs and arms so limp and inexpressive, that Sara lost all control over herself.	false	372.02	389.11	23.934404
6160_44912_000008_000000	"I shall die presently!" she said at first.	"I shall die presently!" she said at first.	true	389.48	393.07	24.643404
6160_44912_000009_000000	Emily stared.	Emily stared.	true	393.17	394.51	23.07984
6160_44912_000010_000000	"I can't bear this!" said the poor child, trembling.	"I can't bear this!" said the poor child, trembling.	true	394.88	399.19	27.773268
6160_44912_000010_000001	"I know I shall die.	"I know I shall die.	true	399.44	401.32	20.751883
6160_44912_000010_000002	I'm cold, I'm wet, I'm starving to death.	I'm cold, I'm wet, I'm starving to death.	true	401.45	405.84	28.935549
6160_44912_000010_000003	I've walked a thousand miles to-day, and they have done nothing but scold me from morning until night.	I've walked a thousand miles to day, and they have done nothing but scold me from morning until night.	true	405.84	413.32	22.788256
6160_44912_000010_000004	And because I could not find that last thing they sent me for, they would not give me any supper.	And because I could not find that last thing they sent me for, they would not give me any supper.	false	413.66	419.47	23.724794
6160_44912_000010_000005	Some men laughed at me because my old shoes made me slip down in the mud.	Some men laughed at me because my old shoes made me slip down in the mud.	true	419.81	424.48	22
6160_44912_000010_000006	I'm covered with mud now.	I'm covered with mud now.	false	425.18	427.48	26.731602
6160_44912_000010_000007	And they laughed!	And they laughed!	true	427.88	429.195	24.450201
6160_44912_000010_000008	Do you hear!"	Do you hear!"	true	429.195	430.27	25.653147
6160_44912_000011_000000	She looked at the staring glass eyes and complacent wax face, and suddenly a sort of heartbroken rage seized her.	She looked at the staring glass eyes and complacent wax face, and suddenly a sort of heartbroken rage seized her.	true	431.54	439.45	22.85883
6160_44912_000011_000001	She lifted her little savage hand and knocked Emily off the chair, bursting into a passion of sobbing.	She lifted her little savage hand and knocked Emily off the chair, bursting into a passion of sobbing.	false	439.64	446.7	23.2732
6160_44912_000012_000000	"You are nothing but a doll!" she cried.	"You are nothing but a doll!" she cried.	false	446.7	449.83	30.004753
6160_44912_000013_000000	"Nothing but a doll-doll-doll!	"Nothing but a doll doll doll!	true	449.93	452.77	27.895498
6160_44912_000013_000001	You care for nothing.	You care for nothing.	true	452.84	454.32	24.859844
6160_44912_000013_000002	You are stuffed with sawdust.	You are stuffed with sawdust.	false	454.32	456.82	23.537794
6160_44912_000013_000003	You never had a heart.	You never had a heart.	true	456.86	458.58	20.762438
6160_44912_000013_000004	Nothing could ever make you feel. You are a doll!"	Nothing could ever make you feel. You are a doll!"	true	458.58	462.37	25.766201
6160_44912_000014_000000	Emily lay upon the floor, with her legs ignominiously doubled up over her head, and a new flat place on the end of her nose; but she was still calm, even dignified.	Emily lay upon the floor, with her legs ignominiously doubled up over her head, and a new flat place on the end of her nose; but she was still calm, even dignified.	true	462.95	475.81	23.73145
6160_44912_000015_000000	Sara hid her face on her arms and sobbed.	Sara hid her face on her arms and sobbed.	true	476.09	479.44	23.951906
6160_44912_000015_000001	Some rats in the wall began to fight and bite each other, and squeak and scramble.	Some rats in the wall began to fight and bite each other, and squeak and scramble.	true	479.57	484.63	23
6160_44912_000015_000002	But, as I have already intimated, Sara was not in the habit of crying.	But, as I have already intimated, Sara was not in the habit of crying.	true	485.09	490.15	21.101871
6160_44912_000015_000003	After a while she stopped, and when she stopped she looked at Emily, who seemed to be gazing at her around the side of one ankle, and actually with a kind of glassy-eyed sympathy.	After a while she stopped, and when she stopped she looked at Emily, who seemed to be gazing at her around the side of one ankle, and actually with a kind of glassy eyed sympathy.	true	490.76	501.79	24.090101
6160_44912_000015_000004	Sara bent and picked her up.	Sara bent and picked her up.	true	502.07	503.895	31.624191
6160_44912_000015_000005	Remorse overtook her.	Remorse overtook her.	true	503.895	505.45	25.334719
6160_44912_000016_000000	"You can't help being a doll," she said, with a resigned sigh, "any more than those girls downstairs can help not having any sense.	"You can't help being a doll," she said, with a resigned sigh, "any more than those girls downstairs can help not having any sense.	true	506.12	514.63	25.252829
6160_44912_000016_000001	We are not all alike.	We are not all alike.	true	515.03	516.82	22.36579
6160_44912_000016_000002	Perhaps you do your sawdust best."	Perhaps you do your sawdust best."	true	516.92	519.61	25.710238
6160_44912_000017_000000	None of Miss Minchin's young ladies were very remarkable for being brilliant; they were select, but some of them were very dull, and some of them were fond of applying themselves to their lessons.	None of Miss Minchin's young ladies were very remarkable for being brilliant; they were select, but some of them were very dull, and some of them were fond of applying themselves to their lessons.	true	520.19	531.88	24.51555
6160_44912_000017_000001	Sara, who snatched her lessons at all sorts of untimely hours from tattered and discarded books, and who had a hungry craving for everything readable, was often severe upon them in her small mind.	Sara, who snatched her lessons at all sorts of untimely hours from tattered and discarded books, and who had a hungry craving for everything readable, was often severe upon them in her small mind.	false	532.19	546.1	23.192516
6160_44912_000017_000002	They had books they never read; she had no books at all.	They had books they never read; she had no books at all.	false	546.56	550.54	25.466705
6160_44912_000017_000003	If she had always had something to read, she would not have been so lonely.	If she had always had something to read, she would not have been so lonely.	true	550.73	555.12	23.285034
6160_44912_000017_000004	She liked romances and history and poetry; she would read anything.	She liked romances and history and poetry; she would read anything.	true	555.12	560.08	26.667545
6160_44912_000017_000005	There was a sentimental housemaid in the establishment who bought the weekly penny papers, and subscribed to a circulating library, from which she got greasy volumes containing stories of marquises and dukes who invariably fell in love with orange-girls and gypsies and servant-maids, and made them the proud brides of coronets; and Sara often did parts of this maid's work so that she might earn the privilege of reading these romantic histories.	There was a sentimental housemaid in the establishment who bought the weekly penny papers, and subscribed to a circulating library, from which she got greasy volumes containing stories of marquises and dukes who invariably fell in love with orange girls and gypsies and servant maids, and made them the proud brides of coronets; and Sara often did parts of this maid's work so that she might earn the privilege of reading these romantic histories.	false	560.36	587.95	24
6160_44912_000017_000006	There was also a fat, dull pupil, whose name was Ermengarde St. John, who was one of her resources.	There was also a fat, dull pupil, whose name was Ermengarde saint John, who was one of her resources.	true	588.71	596.41	23.279692
6160_44912_000017_000007	Ermengarde had an intellectual father, who, in his despairing desire to encourage his daughter, constantly sent her valuable and interesting books, which were a continual source of grief to her.	Ermengarde had an intellectual father, who, in his despairing desire to encourage his daughter, constantly sent her valuable and interesting books, which were a continual source of grief to her.	false	596.45	611.41	26.438684
6160_44912_000017_000008	Sara had once actually found her crying over a big package of them.	Sara had once actually found her crying over a big package of them.	true	611.81	617.2	24.858164
6160_44912_000018_000000	"What is the matter with you?" she asked her, perhaps rather disdainfully.	"What is the matter with you?" she asked her, perhaps rather disdainfully.	true	617.96	623.44	27.33052
6160_44912_000019_000000	And it is just possible she would not have spoken to her, if she had not seen the books.	And it is just possible she would not have spoken to her, if she had not seen the books.	false	624.11	628.84	25
6160_44912_000019_000001	The sight of books always gave Sara a hungry feeling, and she could not help drawing near to them if only to read their titles.	The sight of books always gave Sara a hungry feeling, and she could not help drawing near to them if only to read their titles.	false	629.21	637.12	27.483147
6160_44912_000020_000000	"What is the matter with you?" she asked.	"What is the matter with you?" she asked.	true	637.55	640.57	27.381187
6160_44912_000021_000000	"My papa has sent me some more books," answered Ermengarde woefully, "and he expects me to read them."	"My papa has sent me some more books," answered Ermengarde woefully, "and he expects me to read them."	true	640.76	649.03	26.841482
6160_44912_000022_000000	"Don't you like reading?" said Sara.	"Don't you like reading?" said Sara.	true	649.43	651.82	24.19345
6160_44912_000023_000000	"I hate it!" replied Miss Ermengarde St. John.	"I hate it!" replied Miss Ermengarde saint John.	true	652.28	655.69	22.532963
6160_44912_000023_000001	"And he will ask me questions when he sees me: he will want to know how much I remember; how would you like to have to read all those?"	"And he will ask me questions when he sees me: he will want to know how much I remember; how would you like to have to read all those?"	true	656	663.91	24.162699
6160_44912_000024_000000	"I'd like it better than anything else in the world," said Sara.	"I'd like it better than anything else in the world," said Sara.	true	664.58	668.35	25.222172
6160_44912_000025_000000	Ermengarde wiped her eyes to look at such a prodigy.	Ermengarde wiped her eyes to look at such a prodigy.	true	668.51	672.1	25.396095
6160_44912_000026_000000	"Oh, gracious!" she exclaimed.	"Oh, gracious!" she exclaimed.	true	672.5	675.37	21.99933
6160_44912_000027_000000	Sara returned the look with interest.	Sara returned the look with interest.	true	676.16	678.67	23.691656
6160_44912_000027_000001	A sudden plan formed itself in her sharp mind.	A sudden plan formed itself in her sharp mind.	true	678.71	682.03	23.083267
6160_44912_000028_000000	"Look here!" she said.	"Look here!" she said.	true	682.43	684.01	23.071297
6160_44912_000028_000001	"If you'll lend me those books, I'll read them and tell you everything that's in them afterward, and I'll tell it to you so that you will remember it.	"If you'll lend me those books, I'll read them and tell you everything that's in them afterward, and I'll tell it to you so that you will remember it.	true	684.11	692.14	26.354061
6160_44912_000028_000002	I know I can.	I know I can.	true	692.15	693.52	33
6160_44912_000028_000003	The A B C children always remember what I tell them."	The A B C children always remember what I tell them."	true	693.59	696.85	22.15247
6160_44912_000029_000000	"Oh, goodness!" said Ermengarde.	"Oh, goodness!" said Ermengarde.	true	697.61	699.705	27.88171
6160_44912_000029_000001	"Do you think you could?"	"Do you think you could?"	true	699.705	701.41	30.486881
6160_44912_000030_000000	"I know I could," answered Sara.	"I know I could," answered Sara.	false	701.72	703.755	27
6160_44912_000030_000001	"I like to read, and I always remember. I'll take care of the books, too; they will look just as new as they do now, when I give them back to you."	"I like to read, and I always remember. I'll take care of the books, too; they will look just as new as they do now, when I give them back to you."	true	703.755	712.54	29.54996
6160_44912_000031_000000	Ermengarde put her handkerchief in her pocket.	Ermengarde put her handkerchief in her pocket.	true	713.15	716.73	28.173256
6160_44912_000032_000000	"If you'll do that," she said, "and if you'll make me remember, I'll give you--I'll give you some money."	"If you'll do that," she said, "and if you'll make me remember, I'll give you-I'll give you some money."	true	716.73	723.76	25.674528
6160_44912_000033_000000	"I don't want your money," said Sara.	"I don't want your money," said Sara.	true	724.22	726.255	24.897387
6160_44912_000033_000001	"I want your books--I want them." And her eyes grew big and queer, and her chest heaved once.	"I want your books-I want them." And her eyes grew big and queer, and her chest heaved once.	false	726.255	734.11	29.190382
6160_44912_000034_000000	"Take them, then," said Ermengarde; "I wish I wanted them, but I am not clever, and my father is, and he thinks I ought to be."	"Take them, then," said Ermengarde; "I wish I wanted them, but I am not clever, and my father is, and he thinks I ought to be."	true	734.6	743.59	25.521107
6160_44912_000035_000000	Sara picked up the books and marched off with them.	Sara picked up the books and marched off with them.	true	743.96	746.83	29.645176
6160_44912_000035_000001	But when she was at the door, she stopped and turned around.	But when she was at the door, she stopped and turned around.	true	746.84	749.8	25.951393
6160_44912_000036_000000	"What are you going to tell your father?" she asked.	"What are you going to tell your father?" she asked.	true	750.41	754.11	25.824562
6160_44912_000037_000000	"Oh," said Ermengarde, "he needn't know; he'll think I've read them."	"Oh," said Ermengarde, "he needn't know; he'll think I've read them."	false	754.11	759.34	23.768688
6160_44912_000038_000000	Sara looked down at the books; her heart really began to beat fast.	Sara looked down at the books; her heart really began to beat fast.	true	760.19	765.04	27.286566
6160_44912_000039_000000	"I won't do it," she said rather slowly, "if you are going to tell him lies about it--I don't like lies.	"I won't do it," she said rather slowly, "if you are going to tell him lies about it-I don't like lies.	true	765.68	773.41	23.424553
6160_44912_000039_000001	Why can't you tell him I read them and then told you about them?"	Why can't you tell him I read them and then told you about them?"	true	773.72	777.85	29.42572
6160_44912_000040_000000	"But he wants me to read them," said Ermengarde.	"But he wants me to read them," said Ermengarde.	true	778.49	781.39	24.989952
6160_44912_000041_000000	"He wants you to know what is in them," said Sara; "and if I can tell it to you in an easy way and make you remember, I should think he would like that."	"He wants you to know what is in them," said Sara; "and if I can tell it to you in an easy way and make you remember, I should think he would like that."	false	781.94	792.07	23.946835
6160_44912_000042_000000	"He would like it better if I read them myself," replied Ermengarde.	"He would like it better if I read them myself," replied Ermengarde.	true	792.65	796.45	25.47297
6160_44912_000043_000000	"He will like it, I dare say, if you learn anything in any way," said Sara.	"He will like it, I dare say, if you learn anything in any way," said Sara.	true	796.97	801.7	30
6160_44912_000043_000001	"I should, if I were your father."	"I should, if I were your father."	true	802.01	804.37	25.694742
6160_44912_000044_000000	And though this was not a flattering way of stating the case, Ermengarde was obliged to admit it was true, and, after a little more argument, gave in.	And though this was not a flattering way of stating the case, Ermengarde was obliged to admit it was true, and, after a little more argument, gave in.	true	805.4	813.91	24
6160_44912_000044_000001	And so she used afterward always to hand over her books to Sara, and Sara would carry them to her garret and devour them; and after she had read each volume, she would return it and tell Ermengarde about it in a way of her own.	And so she used afterward always to hand over her books to Sara, and Sara would carry them to her garret and devour them; and after she had read each volume, she would return it and tell Ermengarde about it in a way of her own.	true	814.76	828.85	25.423988
6160_44912_000044_000002	She had a gift for making things interesting. Her imagination helped her to make everything rather like a story, and she managed this matter so well that Miss St. John gained more information from her books than she would have gained if she had read them three times over by her poor stupid little self.	She had a gift for making things interesting. Her imagination helped her to make everything rather like a story, and she managed this matter so well that Miss saint John gained more information from her books than she would have gained if she had read them three times over by her poor stupid little self.	true	829.1	847.15	26
6160_44912_000044_000003	When Sara sat down by her and began to tell some story of travel or history, she made the travellers and historical people seem real; and Ermengarde used to sit and regard her dramatic gesticulations, her thin little flushed cheeks, and her shining, odd eyes with amazement.	When Sara sat down by her and began to tell some story of travel or history, she made the travellers and historical people seem real; and Ermengarde used to sit and regard her dramatic gesticulations, her thin little flushed cheeks, and her shining, odd eyes with amazement.	false	847.4	865.99	24.438013
6160_44912_000045_000000	"It sounds nicer than it seems in the book," she would say.	"It sounds nicer than it seems in the book," she would say.	true	866.39	869.68	22.602951
6160_44912_000045_000001	"I never cared about Mary, Queen of Scots, before, and I always hated the French Revolution, but you make it seem like a story."	"I never cared about Mary, Queen of Scots, before, and I always hated the French Revolution, but you make it seem like a story."	true	870.05	878.14	25.300053
6160_44912_000046_000000	"It is a story," Sara would answer.	"It is a story," Sara would answer.	true	878.96	881.205	21.827614
6160_44912_000046_000001	"They are all stories.	"They are all stories.	true	881.205	882.61	24.272217
6160_44912_000046_000002	Everything is a story--everything in this world.	Everything is a story-everything in this world.	true	882.89	885.99	24.366571
6160_44912_000046_000003	You are a story--I am a story--Miss Minchin is a story.	You are a story-I am a story-Miss Minchin is a story.	false	885.99	890.38	24.395231
6160_44912_000046_000004	You can make a story out of anything."	You can make a story out of anything."	true	890.48	892.75	29.517677
6160_44912_000047_000000	"I can't," said Ermengarde.	"I can't," said Ermengarde.	true	893.15	895.18	28.474077
6160_44912_000048_000000	Sara stared at her a minute reflectively.	Sara stared at her a minute reflectively.	true	895.52	898.45	23.324183
6160_44912_000049_000000	"No," she said at last.	"No," she said at last.	true	898.67	900.49	18.498447
6160_44912_000049_000001	"I suppose you couldn't.	"I suppose you couldn't.	true	900.59	902.1	25.778385
6160_44912_000049_000002	You are a little like Emily."	You are a little like Emily."	false	902.1	904.24	29.602226
6160_44912_000050_000000	"Who is Emily?"	"Who is Emily?"	true	904.76	906.25	23.574982
6160_44912_000051_000000	Sara recollected herself.	Sara recollected herself.	true	906.65	908.835	22.963757
6160_44912_000051_000001	She knew she was sometimes rather impolite in the candor of her remarks, and she did not want to be impolite to a girl who was not unkind--only stupid.	She knew she was sometimes rather impolite in the candor of her remarks, and she did not want to be impolite to a girl who was not unkind-only stupid.	true	908.835	918.67	24.48022
6160_44912_000051_000002	Notwithstanding all her sharp little ways she had the sense to wish to be just to everybody.	Notwithstanding all her sharp little ways she had the sense to wish to be just to everybody.	false	918.92	927.04	24.674128
6160_44912_000051_000003	In the hours she spent alone, she used to argue out a great many curious questions with herself.	In the hours she spent alone, she used to argue out a great many curious questions with herself.	true	927.29	933.07	24.216629
6160_44912_000051_000004	One thing she had decided upon was, that a person who was clever ought to be clever enough not to be unjust or deliberately unkind to any one.	One thing she had decided upon was, that a person who was clever ought to be clever enough not to be unjust or deliberately unkind to any one.	true	933.32	942.67	25.524324
6160_44912_000051_000005	Miss Minchin was unjust and cruel, Miss Amelia was unkind and spiteful, the cook was malicious and hasty-tempered--they all were stupid, and made her despise them, and she desired to be as unlike them as possible.	Miss Minchin was unjust and cruel, Miss Amelia was unkind and spiteful, the cook was malicious and hasty tempered-they all were stupid, and made her despise them, and she desired to be as unlike them as possible.	false	943.01	958.33	22.57535
6160_44912_000051_000006	So she would be as polite as she could to people who in the least deserved politeness.	So she would be as polite as she could to people who in the least deserved politeness.	true	958.64	963.79	25
6160_44912_000052_000000	"Emily is--a person--I know," she replied.	"Emily is-a person-I know," she replied.	true	964.43	969.25	25.853622
6160_44912_000053_000000	"Do you like her?" asked Ermengarde.	"Do you like her?" asked Ermengarde.	true	969.71	972.31	32.33837
6160_44912_000054_000000	"Yes, I do," said Sara.	"Yes, I do," said Sara.	true	972.86	974.98	20.81927
6160_44912_000055_000000	Ermengarde examined her queer little face and figure again.	Ermengarde examined her queer little face and figure again.	true	975.44	978.84	23
6160_44912_000055_000001	She did look odd.	She did look odd.	true	978.84	980.56	29.832785
6160_44912_000055_000002	She had on, that day, a faded blue plush skirt, which barely covered her knees, a brown Cloth sacque, and a pair of olive-green stockings which Miss Minchin had made her piece out with black ones, so that they would be long enough to be kept on.	She had on, that day, a faded blue plush skirt, which barely covered her knees, a brown Cloth sacque, and a pair of olive green stockings which Miss Minchin had made her piece out with black ones, so that they would be long enough to be kept on.	false	980.63	999.34	26.819262
6160_44912_000055_000003	And yet Ermengarde was beginning slowly to admire her.	And yet Ermengarde was beginning slowly to admire her.	true	999.65	1003.36	25.665014
6160_44912_000055_000004	Such a forlorn, thin, neglected little thing as that, who could read and read and remember and tell you things so that they did not tire you all out!	Such a forlorn, thin, neglected little thing as that, who could read and read and remember and tell you things so that they did not tire you all out!	false	1003.58	1014.58	25.22703
6160_44912_000055_000005	A child who could speak French, and who had learned German, no one knew how!	A child who could speak French, and who had learned German, no one knew how!	false	1015.04	1021.33	22.102901
6160_44912_000055_000006	One could not help staring at her and feeling interested, particularly one to whom the simplest lesson was a trouble and a woe.	One could not help staring at her and feeling interested, particularly one to whom the simplest lesson was a trouble and a woe.	true	1021.43	1030.98	26.757374
6160_44912_000056_000000	"Do you like me?" said Ermengarde, finally, at the end of her scrutiny.	"Do you like me?" said Ermengarde, finally, at the end of her scrutiny.	true	1030.98	1035.58	24.88188
6160_44912_000057_000000	Sara hesitated one second, then she answered:	Sara hesitated one second, then she answered:	true	1036.22	1039.57	19.937708
6160_44912_000058_000000	"I like you because you are not ill-natured--I like you for letting me read your books--I like you because you don't make spiteful fun of me for what I can't help.	"I like you because you are not ill natured-I like you for letting me read your books-I like you because you don't make spiteful fun of me for what I can't help.	true	1039.73	1049.73	27.641087
