6160_44912_000000_000001	Sometimes she used to feel as if it must be another life altogether, the life of some other child.	Sometimes she used to feel as if it must be another life altogether, the life of some other child.
6160_44912_000006_000000	But though she tried to satisfy herself with these arguments, Sara did not find it easy.	But though she tried to satisfy herself with these arguments, Sara did not find it easy.
6160_44912_000008_000000	"I shall die presently!" she said at first.	"I shall die presently!" she said at first.
6160_44912_000009_000000	Emily stared.	Emily stared.
6160_44912_000010_000000	"I can't bear this!" said the poor child, trembling.	"I can't bear this!" said the poor child, trembling.
6160_44912_000010_000001	"I know I shall die.	"I know I shall die.
6160_44912_000010_000002	I'm cold, I'm wet, I'm starving to death.	I'm cold, I'm wet, I'm starving to death.
6160_44912_000010_000003	I've walked a thousand miles to-day, and they have done nothing but scold me from morning until night.	I've walked a thousand miles to day, and they have done nothing but scold me from morning until night.
6160_44912_000010_000005	Some men laughed at me because my old shoes made me slip down in the mud.	Some men laughed at me because my old shoes made me slip down in the mud.
6160_44912_000010_000007	And they laughed!	And they laughed!
6160_44912_000010_000008	Do you hear!"	Do you hear!"
6160_44912_000011_000000	She looked at the staring glass eyes and complacent wax face, and suddenly a sort of heartbroken rage seized her.	She looked at the staring glass eyes and complacent wax face, and suddenly a sort of heartbroken rage seized her.
6160_44912_000013_000000	"Nothing but a doll-doll-doll!	"Nothing but a doll doll doll!
6160_44912_000013_000001	You care for nothing.	You care for nothing.
6160_44912_000013_000003	You never had a heart.	You never had a heart.
6160_44912_000013_000004	Nothing could ever make you feel. You are a doll!"	Nothing could ever make you feel. You are a doll!"
6160_44912_000014_000000	Emily lay upon the floor, with her legs ignominiously doubled up over her head, and a new flat place on the end of her nose; but she was still calm, even dignified.	Emily lay upon the floor, with her legs ignominiously doubled up over her head, and a new flat place on the end of her nose; but she was still calm, even dignified.
6160_44912_000015_000000	Sara hid her face on her arms and sobbed.	Sara hid her face on her arms and sobbed.
6160_44912_000015_000001	Some rats in the wall began to fight and bite each other, and squeak and scramble.	Some rats in the wall began to fight and bite each other, and squeak and scramble.
6160_44912_000015_000002	But, as I have already intimated, Sara was not in the habit of crying.	But, as I have already intimated, Sara was not in the habit of crying.
6160_44912_000015_000003	After a while she stopped, and when she stopped she looked at Emily, who seemed to be gazing at her around the side of one ankle, and actually with a kind of glassy-eyed sympathy.	After a while she stopped, and when she stopped she looked at Emily, who seemed to be gazing at her around the side of one ankle, and actually with a kind of glassy eyed sympathy.
6160_44912_000015_000004	Sara bent and picked her up.	Sara bent and picked her up.
6160_44912_000015_000005	Remorse overtook her.	Remorse overtook her.
6160_44912_000016_000000	"You can't help being a doll," she said, with a resigned sigh, "any more than those girls downstairs can help not having any sense.	"You can't help being a doll," she said, with a resigned sigh, "any more than those girls downstairs can help not having any sense.
6160_44912_000016_000001	We are not all alike.	We are not all alike.
6160_44912_000016_000002	Perhaps you do your sawdust best."	Perhaps you do your sawdust best."
6160_44912_000017_000000	None of Miss Minchin's young ladies were very remarkable for being brilliant; they were select, but some of them were very dull, and some of them were fond of applying themselves to their lessons.	None of Miss Minchin's young ladies were very remarkable for being brilliant; they were select, but some of them were very dull, and some of them were fond of applying themselves to their lessons.
6160_44912_000017_000003	If she had always had something to read, she would not have been so lonely.	If she had always had something to read, she would not have been so lonely.
6160_44912_000017_000004	She liked romances and history and poetry; she would read anything.	She liked romances and history and poetry; she would read anything.
6160_44912_000017_000006	There was also a fat, dull pupil, whose name was Ermengarde St. John, who was one of her resources.	There was also a fat, dull pupil, whose name was Ermengarde saint John, who was one of her resources.
6160_44912_000017_000008	Sara had once actually found her crying over a big package of them.	Sara had once actually found her crying over a big package of them.
6160_44912_000018_000000	"What is the matter with you?" she asked her, perhaps rather disdainfully.	"What is the matter with you?" she asked her, perhaps rather disdainfully.
6160_44912_000020_000000	"What is the matter with you?" she asked.	"What is the matter with you?" she asked.
6160_44912_000021_000000	"My papa has sent me some more books," answered Ermengarde woefully, "and he expects me to read them."	"My papa has sent me some more books," answered Ermengarde woefully, "and he expects me to read them."
6160_44912_000022_000000	"Don't you like reading?" said Sara.	"Don't you like reading?" said Sara.
6160_44912_000023_000000	"I hate it!" replied Miss Ermengarde St. John.	"I hate it!" replied Miss Ermengarde saint John.
6160_44912_000023_000001	"And he will ask me questions when he sees me: he will want to know how much I remember; how would you like to have to read all those?"	"And he will ask me questions when he sees me: he will want to know how much I remember; how would you like to have to read all those?"
6160_44912_000024_000000	"I'd like it better than anything else in the world," said Sara.	"I'd like it better than anything else in the world," said Sara.
6160_44912_000025_000000	Ermengarde wiped her eyes to look at such a prodigy.	Ermengarde wiped her eyes to look at such a prodigy.
6160_44912_000026_000000	"Oh, gracious!" she exclaimed.	"Oh, gracious!" she exclaimed.
6160_44912_000027_000000	Sara returned the look with interest.	Sara returned the look with interest.
6160_44912_000027_000001	A sudden plan formed itself in her sharp mind.	A sudden plan formed itself in her sharp mind.
6160_44912_000028_000000	"Look here!" she said.	"Look here!" she said.
6160_44912_000028_000001	"If you'll lend me those books, I'll read them and tell you everything that's in them afterward, and I'll tell it to you so that you will remember it.	"If you'll lend me those books, I'll read them and tell you everything that's in them afterward, and I'll tell it to you so that you will remember it.
6160_44912_000028_000002	I know I can.	I know I can.
6160_44912_000028_000003	The A B C children always remember what I tell them."	The A B C children always remember what I tell them."
6160_44912_000029_000000	"Oh, goodness!" said Ermengarde.	"Oh, goodness!" said Ermengarde.
6160_44912_000029_000001	"Do you think you could?"	"Do you think you could?"
6160_44912_000030_000001	"I like to read, and I always remember. I'll take care of the books, too; they will look just as new as they do now, when I give them back to you."	"I like to read, and I always remember. I'll take care of the books, too; they will look just as new as they do now, when I give them back to you."
6160_44912_000031_000000	Ermengarde put her handkerchief in her pocket.	Ermengarde put her handkerchief in her pocket.
6160_44912_000032_000000	"If you'll do that," she said, "and if you'll make me remember, I'll give you--I'll give you some money."	"If you'll do that," she said, "and if you'll make me remember, I'll give you-I'll give you some money."
6160_44912_000033_000000	"I don't want your money," said Sara.	"I don't want your money," said Sara.
6160_44912_000034_000000	"Take them, then," said Ermengarde; "I wish I wanted them, but I am not clever, and my father is, and he thinks I ought to be."	"Take them, then," said Ermengarde; "I wish I wanted them, but I am not clever, and my father is, and he thinks I ought to be."
6160_44912_000035_000000	Sara picked up the books and marched off with them.	Sara picked up the books and marched off with them.
6160_44912_000035_000001	But when she was at the door, she stopped and turned around.	But when she was at the door, she stopped and turned around.
6160_44912_000036_000000	"What are you going to tell your father?" she asked.	"What are you going to tell your father?" she asked.
6160_44912_000038_000000	Sara looked down at the books; her heart really began to beat fast.	Sara looked down at the books; her heart really began to beat fast.
6160_44912_000039_000000	"I won't do it," she said rather slowly, "if you are going to tell him lies about it--I don't like lies.	"I won't do it," she said rather slowly, "if you are going to tell him lies about it-I don't like lies.
6160_44912_000039_000001	Why can't you tell him I read them and then told you about them?"	Why can't you tell him I read them and then told you about them?"
6160_44912_000040_000000	"But he wants me to read them," said Ermengarde.	"But he wants me to read them," said Ermengarde.
6160_44912_000042_000000	"He would like it better if I read them myself," replied Ermengarde.	"He would like it better if I read them myself," replied Ermengarde.
6160_44912_000043_000000	"He will like it, I dare say, if you learn anything in any way," said Sara.	"He will like it, I dare say, if you learn anything in any way," said Sara.
6160_44912_000043_000001	"I should, if I were your father."	"I should, if I were your father."
6160_44912_000044_000000	And though this was not a flattering way of stating the case, Ermengarde was obliged to admit it was true, and, after a little more argument, gave in.	And though this was not a flattering way of stating the case, Ermengarde was obliged to admit it was true, and, after a little more argument, gave in.
6160_44912_000044_000001	And so she used afterward always to hand over her books to Sara, and Sara would carry them to her garret and devour them; and after she had read each volume, she would return it and tell Ermengarde about it in a way of her own.	And so she used afterward always to hand over her books to Sara, and Sara would carry them to her garret and devour them; and after she had read each volume, she would return it and tell Ermengarde about it in a way of her own.
6160_44912_000044_000002	She had a gift for making things interesting. Her imagination helped her to make everything rather like a story, and she managed this matter so well that Miss St. John gained more information from her books than she would have gained if she had read them three times over by her poor stupid little self.	She had a gift for making things interesting. Her imagination helped her to make everything rather like a story, and she managed this matter so well that Miss saint John gained more information from her books than she would have gained if she had read them three times over by her poor stupid little self.
6160_44912_000045_000000	"It sounds nicer than it seems in the book," she would say.	"It sounds nicer than it seems in the book," she would say.
6160_44912_000045_000001	"I never cared about Mary, Queen of Scots, before, and I always hated the French Revolution, but you make it seem like a story."	"I never cared about Mary, Queen of Scots, before, and I always hated the French Revolution, but you make it seem like a story."
6160_44912_000046_000000	"It is a story," Sara would answer.	"It is a story," Sara would answer.
6160_44912_000046_000001	"They are all stories.	"They are all stories.
6160_44912_000046_000002	Everything is a story--everything in this world.	Everything is a story-everything in this world.
6160_44912_000046_000004	You can make a story out of anything."	You can make a story out of anything."
6160_44912_000047_000000	"I can't," said Ermengarde.	"I can't," said Ermengarde.
6160_44912_000048_000000	Sara stared at her a minute reflectively.	Sara stared at her a minute reflectively.
6160_44912_000049_000001	"I suppose you couldn't.	"I suppose you couldn't.
6160_44912_000050_000000	"Who is Emily?"	"Who is Emily?"
6160_44912_000051_000000	Sara recollected herself.	Sara recollected herself.
6160_44912_000051_000001	She knew she was sometimes rather impolite in the candor of her remarks, and she did not want to be impolite to a girl who was not unkind--only stupid.	She knew she was sometimes rather impolite in the candor of her remarks, and she did not want to be impolite to a girl who was not unkind-only stupid.
6160_44912_000051_000003	In the hours she spent alone, she used to argue out a great many curious questions with herself.	In the hours she spent alone, she used to argue out a great many curious questions with herself.
6160_44912_000051_000004	One thing she had decided upon was, that a person who was clever ought to be clever enough not to be unjust or deliberately unkind to any one.	One thing she had decided upon was, that a person who was clever ought to be clever enough not to be unjust or deliberately unkind to any one.
6160_44912_000051_000006	So she would be as polite as she could to people who in the least deserved politeness.	So she would be as polite as she could to people who in the least deserved politeness.
6160_44912_000052_000000	"Emily is--a person--I know," she replied.	"Emily is-a person-I know," she replied.
6160_44912_000053_000000	"Do you like her?" asked Ermengarde.	"Do you like her?" asked Ermengarde.
6160_44912_000054_000000	"Yes, I do," said Sara.	"Yes, I do," said Sara.
6160_44912_000055_000000	Ermengarde examined her queer little face and figure again.	Ermengarde examined her queer little face and figure again.
6160_44912_000055_000001	She did look odd.	She did look odd.
6160_44912_000055_000003	And yet Ermengarde was beginning slowly to admire her.	And yet Ermengarde was beginning slowly to admire her.
6160_44912_000055_000006	One could not help staring at her and feeling interested, particularly one to whom the simplest lesson was a trouble and a woe.	One could not help staring at her and feeling interested, particularly one to whom the simplest lesson was a trouble and a woe.
6160_44912_000056_000000	"Do you like me?" said Ermengarde, finally, at the end of her scrutiny.	"Do you like me?" said Ermengarde, finally, at the end of her scrutiny.
6160_44912_000058_000000	"I like you because you are not ill-natured--I like you for letting me read your books--I like you because you don't make spiteful fun of me for what I can't help.	"I like you because you are not ill natured-I like you for letting me read your books-I like you because you don't make spiteful fun of me for what I can't help.
6160_44912_000058_000001	It's not your fault that--"	It's not your fault that-"
6160_44912_000059_000000	She pulled herself up quickly.	She pulled herself up quickly.
6160_44912_000059_000001	She had been going to say, "that you are stupid."	She had been going to say, "that you are stupid."
6160_44912_000060_000000	"That what?" asked Ermengarde.	"That what?" asked Ermengarde.
6160_44912_000061_000000	"That you can't learn things quickly.	"That you can't learn things quickly.
6160_44912_000061_000001	If you can't, you can't.	If you can't, you can't.
6160_44912_000061_000002	If I can, why, I can--that's all." She paused a minute, looking at the plump face before her, and then, rather slowly, one of her wise, old-fashioned thoughts came to her.	If I can, why, I can-that's all." She paused a minute, looking at the plump face before her, and then, rather slowly, one of her wise, old-fashioned thoughts came to her.
6160_44912_000062_000000	"Perhaps," she said, "to be able to learn things quickly isn't everything.	"Perhaps," she said, "to be able to learn things quickly isn't everything.
6160_44912_000062_000001	To be kind is worth a good deal to other people.	To be kind is worth a good deal to other people.
6160_44912_000062_000003	Lots of clever people have done harm and been wicked.	Lots of clever people have done harm and been wicked.
6160_44912_000062_000004	Look at Robespierre--"	Look at Robespierre-"
6160_44912_000063_000000	She stopped again and examined her companion's countenance.	She stopped again and examined her companion's countenance.
6160_44912_000064_000000	"Do you remember about him?" she demanded.	"Do you remember about him?" she demanded.
6160_44912_000064_000001	"I believe you've forgotten."	"I believe you've forgotten."
6160_44912_000065_000000	"Well, I don't remember all of it," admitted Ermengarde.	"Well, I don't remember all of it," admitted Ermengarde.
6160_44912_000066_000000	"Well," said Sara, with courage and determination, "I'll tell it to you over again."	"Well," said Sara, with courage and determination, "I'll tell it to you over again."
6160_44912_000067_000000	And she plunged once more into the gory records of the French Revolution, and told such stories of it, and made such vivid pictures of its horrors, that Miss St. John was afraid to go to bed afterward, and hid her head under the blankets when she did go, and shivered until she fell asleep.	And she plunged once more into the gory records of the French Revolution, and told such stories of it, and made such vivid pictures of its horrors, that Miss saint John was afraid to go to bed afterward, and hid her head under the blankets when she did go, and shivered until she fell asleep.
6160_44912_000067_000001	But afterward she preserved lively recollections of the character of Robespierre, and did not even forget Marie Antoinette and the Princess de Lamballe.	But afterward she preserved lively recollections of the character of Robespierre, and did not even forget Marie Antoinette and the Princess de Lamballe.
6160_44912_000069_000000	Yes, it was true; to this imaginative child everything was a story; and the more books she read, the more imaginative she became.	Yes, it was true; to this imaginative child everything was a story; and the more books she read, the more imaginative she became.
6160_44912_000069_000001	One of her chief entertainments was to sit in her garret, or walk about it, and "suppose" things.	One of her chief entertainments was to sit in her garret, or walk about it, and "suppose" things.
6160_44912_000069_000002	On a cold night, when she had not had enough to eat, she would draw the red footstool up before the empty grate, and say in the most intense voice:	On a cold night, when she had not had enough to eat, she would draw the red footstool up before the empty grate, and say in the most intense voice:
6160_44912_000070_000000	"Suppose there was a grate, wide steel grate here, and a great glowing fire--a glowing fire--with beds of red-hot coal and lots of little dancing, flickering flames.	"Suppose there was a grate, wide steel grate here, and a great glowing fire-a glowing fire-with beds of red hot coal and lots of little dancing, flickering flames.
