1859_145700_000000_000000	'But he has nothing on!' said a little child at last.	'But he has nothing on!' said a little child at last.	false	0	1.65	24.632538
1859_145700_000022_000002	Now the ceremony took place, and when the married pair were alone together the Crab made himself known to his young wife, and told her how he was the son of the greatest king in the world, and how he was enchanted, so that he became a crab by day and was a man only at night; and he could also change himself into an eagle as often as he wished.	Now the ceremony took place, and when the married pair were alone together the Crab made himself known to his young wife, and told her how he was the son of the greatest king in the world, and how he was enchanted, so that he became a crab by day and was a man only at night; and he could also change himself into an eagle as often as he wished.	false	248.87	270.97	18
1859_145700_000022_000003	No sooner had he said this than he shook himself, and immediately became a handsome youth, but the next morning he was forced to creep back again into his crab-shell.	No sooner had he said this than he shook himself, and immediately became a handsome youth, but the next morning he was forced to creep back again into his crab shell.	true	271.28	281.95	23
1859_145700_000022_000004	And the same thing happened every day.	And the same thing happened every day.	true	282.11	284.29	18
1859_145700_000022_000005	But the Princess's affection for the Crab, and the polite attention with which she behaved to him, surprised the royal family very much.	But the Princess's affection for the Crab, and the polite attention with which she behaved to him, surprised the royal family very much.	true	284.42	291.82	18
1859_145700_000022_000006	They suspected some secret, but though they spied and spied, they could not discover it.	They suspected some secret, but though they spied and spied, they could not discover it.	true	291.95	297.1	22.897915
1859_145700_000022_000007	Thus a year passed away, and the Princess had a son, whom she called Benjamin.	Thus a year passed away, and the Princess had a son, whom she called Benjamin.	true	297.29	302.31	20
1859_145700_000022_000008	But her mother still thought the whole matter very strange.	But her mother still thought the whole matter very strange.	true	302.31	305.47	19
1859_145700_000022_000009	At last she said to the King that he ought to ask his daughter whether she would not like to have another husband instead of the Crab?	At last she said to the King that he ought to ask his daughter whether she would not like to have another husband instead of the Crab?	true	305.6	312.55	16
1859_145700_000022_000010	But when the daughter was questioned she only answered:	But when the daughter was questioned she only answered:	true	312.62	315.585	17
1859_145700_000023_000000	'I am married to the Crab, and him only will I have.'	'I am married to the Crab, and him only will I have.'	true	315.585	319.57	19
1859_145700_000024_000000	Then the King said to her, 'I will appoint a tournament in your honour, and I will invite all the princes in the world to it, and if any one of them pleases you, you shall marry him.'	Then the King said to her, 'I will appoint a tournament in your honour, and I will invite all the princes in the world to it, and if any one of them pleases you, you shall marry him.'	true	320.12	329.53	17
1859_145700_000025_000000	In the evening the Princess told this to the Crab, who said to her, 'Take this rod, go to the garden gate and knock with it, then a black man will come out and say to you, ''Why have you called me, and what do you require of me?'' Answer him thus: 'Your master the King has sent me hither to tell you to send him his golden armour and his steed and the silver apple.'' And bring them to me.'	In the evening the Princess told this to the Crab, who said to her, 'Take this rod, go to the garden gate and knock with it, then a black man will come out and say to you, ''Why have you called me, and what do you require of me?'' Answer him thus: 'Your master the King has sent me hither to tell you to send him his golden armour and his steed and the silver apple.'' And bring them to me.'	false	329.99	355.51	23.996632
1859_145700_000026_000000	The Princess did so, and brought him what he desired.	The Princess did so, and brought him what he desired.	true	356.75	359.95	22.986649
1859_145700_000027_000000	The following evening the Prince dressed himself for the tournament. Before he went he said to his wife, 'Now mind you do not say when you see me that I am the Crab.	The following evening the Prince dressed himself for the tournament. Before he went he said to his wife, 'Now mind you do not say when you see me that I am the Crab.	true	360.26	368.955	19
1859_145700_000027_000001	For if you do this evil will come of it. Place yourself at the window with your sisters; I will ride by and throw you the silver apple.	For if you do this evil will come of it. Place yourself at the window with your sisters; I will ride by and throw you the silver apple.	true	368.955	376.965	24.846304
1859_145700_000027_000002	Take it in your hand, but if they ask you who I am, say that you do not know.' So saying, he kissed her, repeated his warning once more, and went away.	Take it in your hand, but if they ask you who I am, say that you do not know.' So saying, he kissed her, repeated his warning once more, and went away.	true	376.965	386.29	21
1859_145700_000028_000000	The Princess went with her sisters to the window and looked on at the tournament.	The Princess went with her sisters to the window and looked on at the tournament.	true	386.63	390.6	21
1859_145700_000028_000001	Presently her husband rode by and threw the apple up to her. She caught it in her hand and went with it to her room, and by-and-by her husband came back to her.	Presently her husband rode by and threw the apple up to her. She caught it in her hand and went with it to her room, and by and by her husband came back to her.	true	390.6	400.125	19
1859_145700_000028_000002	But her father was much surprised that she did not seem to care about any of the Princes; he therefore appointed a second tournament.	But her father was much surprised that she did not seem to care about any of the Princes; he therefore appointed a second tournament.	true	400.125	407.475	22
1859_145700_000029_000000	The Crab then gave his wife the same directions as before, only this time the apple which she received from the black man was of gold.	The Crab then gave his wife the same directions as before, only this time the apple which she received from the black man was of gold.	true	407.475	414.885	19
1859_145700_000029_000001	But before the Prince went to the tournament he said to his wife, 'Now I know you will betray me to-day.'	But before the Prince went to the tournament he said to his wife, 'Now I know you will betray me to day.'	true	414.885	420.4	19
1859_145700_000030_000000	But she swore to him that she would not tell who he was.	But she swore to him that she would not tell who he was.	true	420.44	423.34	15
1859_145700_000030_000001	He then repeated his warning and went away.	He then repeated his warning and went away.	true	423.47	426.43	21.02915
1859_145700_000031_000000	In the evening, while the Princess, with her mother and sisters, was standing at the window, the Prince suddenly galloped past on his steed and threw her the golden apple.	In the evening, while the Princess, with her mother and sisters, was standing at the window, the Prince suddenly galloped past on his steed and threw her the golden apple.	true	426.8	435.61	18
1859_145700_000032_000000	Then her mother flew into a passion, gave her a box on the ear, and cried out, 'Does not even that prince please you, you fool?'	Then her mother flew into a passion, gave her a box on the ear, and cried out, 'Does not even that prince please you, you fool?'	true	435.74	442.65	21
1859_145700_000033_000000	The Princess in her fright exclaimed, 'That is the Crab himself!'	The Princess in her fright exclaimed, 'That is the Crab himself!'	true	442.65	446.415	22.076765
1859_145700_000034_000000	Her mother was still more angry because she had not been told sooner, ran into her daughter's room where the crab-shell was still lying, took it up and threw it into the fire.	Her mother was still more angry because she had not been told sooner, ran into her daughter's room where the crab shell was still lying, took it up and threw it into the fire.	true	446.415	455.56	17
1859_145700_000034_000001	Then the poor Princess cried bitterly, but it was of no use; her husband did not come back.	Then the poor Princess cried bitterly, but it was of no use; her husband did not come back.	true	455.81	462.49	21.960552
1859_145700_000035_000000	Now we must leave the Princess and turn to the other persons in the story.	Now we must leave the Princess and turn to the other persons in the story.	false	463.46	467.2	16
1859_145700_000035_000001	One day an old man went to a stream to dip in a crust of bread which he was going to eat, when a dog came out of the water, snatched the bread from his hand, and ran away.	One day an old man went to a stream to dip in a crust of bread which he was going to eat, when a dog came out of the water, snatched the bread from his hand, and ran away.	true	467.45	476.83	18
1859_145700_000035_000002	The old man ran after him, but the dog reached a door, pushed it open, and ran in, the old man following him.	The old man ran after him, but the dog reached a door, pushed it open, and ran in, the old man following him.	true	477.08	483.22	21
1859_145700_000035_000003	He did not overtake the dog, but found himself above a staircase, which he descended.	He did not overtake the dog, but found himself above a staircase, which he descended.	true	483.35	488.34	24
1859_145700_000035_000004	Then he saw before him a stately palace, and, entering, he found in a large hall a table set for twelve persons. He hid himself in the hall behind a great picture, that he might see what would happen.	Then he saw before him a stately palace, and, entering, he found in a large hall a table set for twelve persons. He hid himself in the hall behind a great picture, that he might see what would happen.	false	488.34	500.74	24
1859_145700_000035_000005	At noon he heard a great noise, so that he trembled with fear.	At noon he heard a great noise, so that he trembled with fear.	true	500.9	505.03	19.812237
1859_145700_000035_000006	When he took courage to look out from behind the picture, he saw twelve eagles flying in.	When he took courage to look out from behind the picture, he saw twelve eagles flying in.	true	505.37	510.43	17
1859_145700_000035_000007	At this sight his fear became still greater.	At this sight his fear became still greater.	true	510.65	513.19	22
1859_145700_000035_000008	The eagles flew to the basin of a fountain that was there and bathed themselves, when suddenly they were changed into twelve handsome youths.	The eagles flew to the basin of a fountain that was there and bathed themselves, when suddenly they were changed into twelve handsome youths.	true	513.35	521.65	19
1859_145700_000035_000009	Now they seated themselves at the table, and one of them took up a goblet filled with wine, and said, 'A health to my father!' And another said, 'A health to my mother!' and so the healths went round. Then one of them said:	Now they seated themselves at the table, and one of them took up a goblet filled with wine, and said, 'A health to my father!' And another said, 'A health to my mother!' and so the healths went round. Then one of them said:	false	522.32	534.4	21.021994
1859_145700_000036_000000	'A health to my dearest lady, Long may she live and well! But a curse on the cruel mother That burnt my golden shell!'	'A health to my dearest lady, Long may she live and well! But a curse on the cruel mother That burnt my golden shell!'	true	534.65	543.79	23.39256
1859_145700_000037_000000	And so saying he wept bitterly.	And so saying he wept bitterly.	true	544.04	546.67	21.15307
1859_145700_000037_000001	Then the youths rose from the table, went back to the great stone fountain, turned themselves into eagles again, and flew away.	Then the youths rose from the table, went back to the great stone fountain, turned themselves into eagles again, and flew away.	true	546.95	553.48	19
1859_145700_000038_000000	Then the old man went away too, returned to the light of day, and went home.	Then the old man went away too, returned to the light of day, and went home.	true	553.76	557.65	15
1859_145700_000038_000001	Soon after he heard that the Princess was ill, and that the only thing that did her good was having stories told to her.	Soon after he heard that the Princess was ill, and that the only thing that did her good was having stories told to her.	true	557.72	563.8	18
1859_145700_000038_000002	He therefore went to the royal castle, obtained an audience of the Princess, and told her about the strange things he had seen in the underground palace.	He therefore went to the royal castle, obtained an audience of the Princess, and told her about the strange things he had seen in the underground palace.	true	563.99	571.665	17
1859_145700_000038_000003	No sooner had he finished than the Princess asked him whether he could find the way to that palace.	No sooner had he finished than the Princess asked him whether he could find the way to that palace.	true	571.665	576.94	20
1859_145700_000039_000000	'Yes,' he answered, 'certainly.'	'Yes,' he answered, 'certainly.'	true	577.01	578.86	21.928158
1859_145700_000040_000000	And now she desired him to guide her thither at once.	And now she desired him to guide her thither at once.	true	579.08	582.67	18
1859_145700_000040_000001	The old man did so, and when they came to the palace he hid her behind the great picture and advised her to keep quite still, and he placed himself behind the picture also.	The old man did so, and when they came to the palace he hid her behind the great picture and advised her to keep quite still, and he placed himself behind the picture also.	true	582.98	592.12	23
1859_145700_000040_000002	Presently the eagles came flying in, and changed themselves into young men, and in a moment the Princess recognised her husband amongst them all, and tried to come out of her hiding-place; but the old man held her back.	Presently the eagles came flying in, and changed themselves into young men, and in a moment the Princess recognised her husband amongst them all, and tried to come out of her hiding place; but the old man held her back.	true	592.31	604.3	19
1859_145700_000040_000003	The youths seated themselves at the table; and now the Prince said again, while he took up the cup of wine:	The youths seated themselves at the table; and now the Prince said again, while he took up the cup of wine:	true	604.4	609.85	23
1859_145700_000041_000000	'A health to my dearest lady, Long may she live and well! But a curse on the cruel mother That burnt my golden shell!'	'A health to my dearest lady, Long may she live and well! But a curse on the cruel mother That burnt my golden shell!'	true	610.4	619.48	22.890781
1859_145700_000042_000000	Then the Princess could restrain herself no longer, but ran forward and threw her arms round her husband.	Then the Princess could restrain herself no longer, but ran forward and threw her arms round her husband.	true	619.55	625.21	17
1859_145700_000042_000001	And immediately he knew her again, and said:	And immediately he knew her again, and said:	true	625.22	627.63	16
1859_145700_000043_000000	'Do you remember how I told you that day that you would betray me? Now you see that I spoke the truth.	'Do you remember how I told you that day that you would betray me? Now you see that I spoke the truth.	true	627.63	633.25	18.857018
1859_145700_000043_000001	But all that bad time is past.	But all that bad time is past.	true	633.29	635.145	23
1859_145700_000043_000002	Now listen to me: I must still remain enchanted for three months.	Now listen to me: I must still remain enchanted for three months.	true	635.145	639.22	20
1859_145700_000043_000003	Will you stay here with me till that time is over?'	Will you stay here with me till that time is over?'	false	639.26	642.13	18
1859_145700_000044_000000	So the Princess stayed with him, and said to the old man, 'Go back to the castle and tell my parents that I am staying here.'	So the Princess stayed with him, and said to the old man, 'Go back to the castle and tell my parents that I am staying here.'	true	642.53	649.36	20
1859_145700_000045_000000	Her parents were very much vexed when the old man came back and told them this, but as soon as the three months of the Prince's enchantment were over, he ceased to be an eagle and became once more a man, and they returned home together.	Her parents were very much vexed when the old man came back and told them this, but as soon as the three months of the Prince's enchantment were over, he ceased to be an eagle and became once more a man, and they returned home together.	true	649.85	662.865	18
1859_145700_000045_000001	And then they lived happily, and we who hear the story are happier still.	And then they lived happily, and we who hear the story are happier still.	false	662.865	670.47	21.891031
