5717_61421_000000_000000	Bertram started forward with a quick cry.	Bertram started forward with a quick cry.	false	0	3.63	23.247557
5717_61421_000006_000001	There were, instead, half-smiles, tears, sobs, a tremulous telling of Pete's going and his messages, followed by a tearful listening to Bertram's story of the torture he had endured at the hands of Miss Winthrop, Bessie Bailey, and an empty, dinnerless house.	There were, instead, half smiles, tears, sobs, a tremulous telling of Pete's going and his messages, followed by a tearful listening to Bertram's story of the torture he had endured at the hands of Miss Winthrop, Bessie Bailey, and an empty, dinnerless house.	false	98	116.56	23.178764
5717_61421_000006_000002	And thus, in one corner of the kitchen, some time later, a hungry, desperate William found them, the half-peeled, cold baked potato still at their feet.	And thus, in one corner of the kitchen, some time later, a hungry, desperate William found them, the half peeled, cold baked potato still at their feet.	false	116.78	127.48	24.112953
5717_61421_000007_000000	Torn between his craving for food and his desire not to interfere with any possible peace-making, William was obviously hesitating what to do, when Billy glanced up and saw him.	Torn between his craving for food and his desire not to interfere with any possible peace making, William was obviously hesitating what to do, when Billy glanced up and saw him.	true	127.52	139.21	24.42224
5717_61421_000007_000001	She saw, too, at the same time, the empty, blazing gas-stove burner, and the pile of half-prepared potatoes, to warm which the burner had long since been lighted.	She saw, too, at the same time, the empty, blazing gas stove burner, and the pile of half prepared potatoes, to warm which the burner had long since been lighted.	true	139.37	149.73	23.07077
5717_61421_000007_000002	With a little cry she broke away from her husband's arms.	With a little cry she broke away from her husband's arms.	true	149.73	153.63	23.039043
5717_61421_000008_000000	"Mercy! and here's poor Uncle William, bless his heart, with not a thing to eat yet!"	"Mercy! and here's poor Uncle William, bless his heart, with not a thing to eat yet!"	false	153.63	159.01	27.352911
5717_61421_000009_000000	They all got dinner then, together, with many a sigh and quick-coming tear as everywhere they met some sad reminder of the gentle old hands that would never again minister to their comfort.	They all got dinner then, together, with many a sigh and quick coming tear as everywhere they met some sad reminder of the gentle old hands that would never again minister to their comfort.	true	159.14	172.09	23.06481
5717_61421_000010_000000	It was a silent meal, and little, after all, was eaten, though brave attempts at cheerfulness and naturalness were made by all three. Bertram, especially, talked, and tried to make sure that the shadow on Billy's face was at least not the one his own conduct had brought there.	It was a silent meal, and little, after all, was eaten, though brave attempts at cheerfulness and naturalness were made by all three. Bertram, especially, talked, and tried to make sure that the shadow on Billy's face was at least not the one his own conduct had brought there.	true	172.25	190.54	24.04192
5717_61421_000011_000000	"For you do--you surely do forgive me, don't you?" he begged, as he followed her into the kitchen after the sorry meal was over.	"For you do-you surely do forgive me, don't you?" he begged, as he followed her into the kitchen after the sorry meal was over.	true	190.67	198.85	22.764534
5717_61421_000012_000000	"Why, yes, dear, yes," sighed Billy, trying to smile.	"Why, yes, dear, yes," sighed Billy, trying to smile.	true	199.16	202.95	22.394632
5717_61421_000013_000000	"And you'll forget?"	"And you'll forget?"	true	202.95	204.55	25.233896
5717_61421_000014_000000	There was no answer.	There was no answer.	true	204.56	205.9	24.27942
5717_61421_000015_000000	"Billy!	"Billy!	true	205.97	206.535	35.15294
5717_61421_000015_000001	And you'll forget?" Bertram's voice was insistent, reproachful.	And you'll forget?" Bertram's voice was insistent, reproachful.	true	206.535	210.82	25.538795
5717_61421_000016_000000	Billy changed color and bit her lip.	Billy changed color and bit her lip.	true	210.86	214.08	25.361116
5717_61421_000016_000001	She looked plainly distressed.	She looked plainly distressed.	true	214.08	215.77	24.86973
5717_61421_000017_000000	"Billy!" cried the man, still more reproachfully.	"Billy!" cried the man, still more reproachfully.	true	215.84	219.195	24.947441
5717_61421_000018_000000	"But, Bertram, I can't forget--quite yet," faltered Billy.	"But, Bertram, I can't forget-quite yet," faltered Billy.	true	219.195	223.33	31.985287
5717_61421_000019_000000	Bertram frowned.	Bertram frowned.	true	223.52	225.03	25.106567
5717_61421_000019_000001	For a minute he looked as if he were about to take up the matter seriously and argue it with her; but the next moment he smiled and tossed his head with jaunty playfulness--Bertram, to tell the truth, had now had quite enough of what he privately termed "scenes" and "heroics"; and, manlike, he was very ardently longing for the old easy-going friendliness, with all unpleasantness banished to oblivion.	For a minute he looked as if he were about to take up the matter seriously and argue it with her; but the next moment he smiled and tossed his head with jaunty playfulness-Bertram, to tell the truth, had now had quite enough of what he privately termed "scenes" and "heroics"; and, manlike, he was very ardently longing for the old easy going friendliness, with all unpleasantness banished to oblivion.	false	225.03	252.19	24.064428
5717_61421_000020_000000	"Oh, but you'll have to forget," he claimed, with cheery insistence, "for you've promised to forgive me--and one can't forgive without forgetting.	"Oh, but you'll have to forget," he claimed, with cheery insistence, "for you've promised to forgive me-and one can't forgive without forgetting.	false	252.32	260.58	24.814255
5717_61421_000020_000001	So, there!" he finished, with a smilingly determined "now-everything-is-just-as-it-was-before" air.	So, there!" he finished, with a smilingly determined "now everything is just as it was before" air.	true	260.58	267.73	24.600529
5717_61421_000021_000000	Billy made no response.	Billy made no response.	true	267.86	269.77	24.686712
5717_61421_000021_000001	She turned hurriedly and began to busy herself with the dishes at the sink.	She turned hurriedly and began to busy herself with the dishes at the sink.	true	269.81	274.33	23.720459
5717_61421_000021_000002	In her heart she was wondering: could she ever forget what Bertram had said?	In her heart she was wondering: could she ever forget what Bertram had said?	true	274.34	279.51	28.866777
5717_61421_000021_000003	Would anything ever blot out those awful words: "If you would tend to your husband and your home a little more, and go gallivanting off with Calderwell and Arkwright and Alice Greggory a little less--"?	Would anything ever blot out those awful words: "If you would tend to your husband and your home a little more, and go gallivanting off with Calderwell and Arkwright and Alice Greggory a little less-"?	false	279.51	291.58	24.554365
5717_61421_000021_000004	It seemed now that always, for evermore, they would ring in her ears; always, for evermore, they would burn deeper and deeper into her soul.	It seemed now that always, for evermore, they would ring in her ears; always, for evermore, they would burn deeper and deeper into her soul.	true	291.83	301.95	22.124947
5717_61421_000021_000005	And not once, in all Bertram's apologies, had he referred to them--those words he had uttered.	And not once, in all Bertram's apologies, had he referred to them-those words he had uttered.	true	301.95	308.74	22.057451
5717_61421_000021_000006	He had not said he did not mean them.	He had not said he did not mean them.	true	309.35	312.255	25.641384
5717_61421_000021_000007	He had not said he was sorry he spoke them.	He had not said he was sorry he spoke them.	true	312.255	314.94	23.710264
5717_61421_000021_000008	He had ignored them; and he expected that now she, too, would ignore them.	He had ignored them; and he expected that now she, too, would ignore them.	true	314.94	320.1	28.213364
5717_61421_000021_000009	As if she could!" If you would tend to your husband and your home a little more, and go gallivanting off with Calderwell and Arkwright and Alice Greggory a little less--" Oh, if only she could, indeed,--forget!	As if she could!" If you would tend to your husband and your home a little more, and go gallivanting off with Calderwell and Arkwright and Alice Greggory a little less-" Oh, if only she could, indeed,--forget!	false	320.1	336.49	24.086447
5717_61421_000022_000000	When Billy went up-stairs that night she ran across her "Talk to Young Wives" in her desk.	When Billy went up stairs that night she ran across her "Talk to Young Wives" in her desk.	false	337.16	342.945	24.844238
5717_61421_000022_000001	With a half-stifled cry she thrust it far back out of sight.	With a half stifled cry she thrust it far back out of sight.	false	342.945	347.2	24.861963
5717_61421_000023_000000	"I hate you, I hate you--with all your old talk about 'brushing up against outside interests'!" she whispered fiercely.	"I hate you, I hate you-with all your old talk about 'brushing up against outside interests'!" she whispered fiercely.	false	347.27	355.81	27.085192
5717_61421_000023_000001	"Well, I've 'brushed'--and now see what I've got for it!"	"Well, I've 'brushed'--and now see what I've got for it!"	false	355.82	359.89	22.008598
5717_61421_000024_000000	Later, however, after Bertram was asleep, Billy crept out of bed and got the book.	Later, however, after Bertram was asleep, Billy crept out of bed and got the book.	true	360.74	365.89	26.756477
5717_61421_000024_000001	Under the carefully shaded lamp in the adjoining room she turned the pages softly till she came to the sentence: "Perhaps it would be hard to find a more utterly unreasonable, irritable, irresponsible creature than a hungry man." With a long sigh she began to read; and not until some minutes later did she close the book, turn off the light, and steal back to bed.	Under the carefully shaded lamp in the adjoining room she turned the pages softly till she came to the sentence: "Perhaps it would be hard to find a more utterly unreasonable, irritable, irresponsible creature than a hungry man." With a long sigh she began to read; and not until some minutes later did she close the book, turn off the light, and steal back to bed.	true	366.05	391.72	22.988583
5717_61421_000025_000000	During the next three days, until after the funeral at the shabby little South Boston house, Eliza spent only about half of each day at the Strata.	During the next three days, until after the funeral at the shabby little South Boston house, Eliza spent only about half of each day at the Strata.	true	391.97	401.44	24.362692
5717_61421_000025_000001	This, much to her distress, left many of the household tasks for her young mistress to perform.	This, much to her distress, left many of the household tasks for her young mistress to perform.	true	401.54	407.83	22.570816
5717_61421_000025_000002	Billy, however, attacked each new duty with a feverish eagerness that seemed to make the performance of it very like some glad penance done for past misdeeds.	Billy, however, attacked each new duty with a feverish eagerness that seemed to make the performance of it very like some glad penance done for past misdeeds.	true	407.9	418.69	27.258184
5717_61421_000025_000003	And when--on the day after they had laid the old servant in his last resting place--a despairing message came from Eliza to the effect that now her mother was very ill, and would need her care, Billy promptly told Eliza to stay as long as was necessary; that they could get along all right without her.	And when-on the day after they had laid the old servant in his last resting place-a despairing message came from Eliza to the effect that now her mother was very ill, and would need her care, Billy promptly told Eliza to stay as long as was necessary; that they could get along all right without her.	true	418.79	438.94	23.483368
5717_61421_000026_000000	"But, Billy, what _are_ we going to do?" Bertram demanded, when he heard the news.	"But, Billy, what underscore are underscore we going to do?" Bertram demanded, when he heard the news.	false	439.01	443.73	24.731781
5717_61421_000026_000001	"We must have somebody!"	"We must have somebody!"	true	443.73	445.32	28.943884
5717_61421_000027_000000	"_I'm_ going to do it."	"underscore I'm underscore going to do it."	false	445.32	447.16	24.09164
5717_61421_000028_000000	"Nonsense!	"Nonsense!	true	447.17	448.425	21.101408
5717_61421_000028_000001	As if you could!" scoffed Bertram.	As if you could!" scoffed Bertram.	true	448.425	450.76	27.58783
5717_61421_000029_000000	Billy lifted her chin.	Billy lifted her chin.	false	450.89	452.7	25.80096
5717_61421_000030_000000	"Couldn't I, indeed," she retorted.	"Couldn't I, indeed," she retorted.	true	452.7	455.46	24.947754
5717_61421_000030_000001	"Do you realize, young man, how much I've done the last three days?	"Do you realize, young man, how much I've done the last three days?	true	455.46	459.55	19
5717_61421_000030_000002	How about those muffins you had this morning for breakfast, and that cake last night?	How about those muffins you had this morning for breakfast, and that cake last night?	true	459.59	464.23	26.351109
5717_61421_000030_000003	And didn't you yourself say that you never ate a better pudding than that date puff yesterday noon?"	And didn't you yourself say that you never ate a better pudding than that date puff yesterday noon?"	true	464.57	471.54	23.53369
5717_61421_000031_000000	Bertram laughed and shrugged his shoulders.	Bertram laughed and shrugged his shoulders.	true	471.54	473.62	26.430227
5717_61421_000032_000000	"My dear love, I'm not questioning your _ability_ to do it," he soothed quickly.	"My dear love, I'm not questioning your underscore ability underscore to do it," he soothed quickly.	false	473.63	478.44	28.6324
5717_61421_000032_000001	"Still," he added, with a whimsical smile, "I must remind you that Eliza has been here half the time, and that muffins and date puffs, however delicious, aren't all there is to running a big house like this. Besides, just be sensible, Billy," he went on more seriously, as he noted the rebellious gleam coming into his young wife's eyes; "you'd know you couldn't do it, if you'd just stop to think.	"Still," he added, with a whimsical smile, "I must remind you that Eliza has been here half the time, and that muffins and date puffs, however delicious, aren't all there is to running a big house like this. Besides, just be sensible, Billy," he went on more seriously, as he noted the rebellious gleam coming into his young wife's eyes; "you'd know you couldn't do it, if you'd just stop to think.	false	478.44	504.55	23.074123
5717_61421_000032_000002	There's the Carletons coming to dinner Monday, and my studio Tea to-morrow, to say nothing of the Symphony and the opera, and the concerts you'd lose because you were too dead tired to go to them.	There's the Carletons coming to dinner Monday, and my studio Tea to morrow, to say nothing of the Symphony and the opera, and the concerts you'd lose because you were too dead tired to go to them.	true	504.71	516.85	26.838121
5717_61421_000032_000003	You know how it was with that concert yesterday afternoon which Alice Greggory wanted you to go to with her."	You know how it was with that concert yesterday afternoon which Alice Greggory wanted you to go to with her."	false	516.86	523.14	23.57083
5717_61421_000033_000000	"I didn't--want--to go," choked Billy, under her breath.	"I didn't-want-to go," choked Billy, under her breath.	true	523.14	526.78	29.67468
5717_61421_000034_000000	"And there's your music.	"And there's your music.	true	526.88	529.155	19.741123
5717_61421_000034_000001	You haven't done a thing with that for days, yet only last week you told me the publishers were hurrying you for that last song to complete the group."	You haven't done a thing with that for days, yet only last week you told me the publishers were hurrying you for that last song to complete the group."	true	529.155	538.36	25.440945
5717_61421_000035_000000	"I haven't felt like--writing," stammered Billy, still half under her breath.	"I haven't felt like-writing," stammered Billy, still half under her breath.	false	538.67	544.26	25.491976
5717_61421_000036_000000	"Of course you haven't," triumphed Bertram.	"Of course you haven't," triumphed Bertram.	true	544.26	546.945	26.37225
5717_61421_000036_000001	"You've been too dead tired. And that's just what I say.	"You've been too dead tired. And that's just what I say.	true	546.945	551.17	22.1494
5717_61421_000036_000002	Billy, you _can't_ do it all yourself!"	Billy, you underscore can't underscore do it all yourself!"	false	551.18	553.815	23.095444
5717_61421_000037_000000	"But I want to.	"But I want to.	true	553.815	555.195	29.643373
5717_61421_000037_000001	I want to--to tend to things," faltered Billy, with a half-fearful glance into her husband's face.	I want to-to tend to things," faltered Billy, with a half fearful glance into her husband's face.	true	555.195	562.09	25.689203
5717_61421_000038_000000	Billy was hearing very loudly now that accusing "If you'd tend to your husband and your home a little more--" Bertram, however, was not hearing it, evidently.	Billy was hearing very loudly now that accusing "If you'd tend to your husband and your home a little more-" Bertram, however, was not hearing it, evidently.	false	562.28	572.22	22.915462
5717_61421_000038_000001	Indeed, he seemed never to have heard it--much less to have spoken it.	Indeed, he seemed never to have heard it-much less to have spoken it.	true	572.22	576.7	24.005863
5717_61421_000039_000000	"'Tend to things,'" he laughed lightly.	"'Tend to things,'" he laughed lightly.	true	576.83	579.015	25.248705
5717_61421_000039_000001	"Well, you'll have enough to do to tend to the maid, I fancy.	"Well, you'll have enough to do to tend to the maid, I fancy.	false	579.015	582.73	25.970064
5717_61421_000039_000002	Anyhow, we're going to have one.	Anyhow, we're going to have one.	true	583.01	585.045	27.816717
5717_61421_000039_000003	I'll just step into one of those--what do you call 'em?--intelligence offices on my way down and send one up," he finished, as he gave his wife a good-by kiss.	I'll just step into one of those-what do you call 'em?--intelligence offices on my way down and send one up," he finished, as he gave his wife a good by kiss.	true	585.045	595.9	24.392046
5717_61421_000040_000000	An hour later Billy, struggling with the broom and the drawing-room carpet, was called to the telephone.	An hour later Billy, struggling with the broom and the drawing room carpet, was called to the telephone.	true	596.15	602.34	22.91164
5717_61421_000040_000001	It was her husband's voice that came to her.	It was her husband's voice that came to her.	false	602.34	605.295	25.700396
5717_61421_000041_000000	"Billy, for heaven's sake, take pity on me.	"Billy, for heaven's sake, take pity on me.	true	605.295	607.68	21.345629
5717_61421_000041_000001	Won't you put on your duds and come and engage your maid yourself?"	Won't you put on your duds and come and engage your maid yourself?"	true	607.68	611.73	19.649967
5717_61421_000042_000000	"Why, Bertram, what's the matter?"	"Why, Bertram, what's the matter?"	true	611.73	613.74	28.69692
5717_61421_000043_000000	"Matter?	"Matter?	true	613.74	614.595	26.203445
5717_61421_000043_000001	Holy smoke!	Holy smoke!	true	614.595	616.125	25.503288
5717_61421_000043_000002	Well, I've been to three of those intelligence offices--though why they call them that I can't imagine.	Well, I've been to three of those intelligence offices-though why they call them that I can't imagine.	true	616.125	622.12	24.188068
5717_61421_000043_000003	If ever there was a place utterly devoid of intelligence-but never mind!	If ever there was a place utterly devoid of intelligence but never mind!	true	622.16	626.61	23.429895
5717_61421_000043_000004	I've interviewed four fat ladies, two thin ones, and one medium with a wart. I've cheerfully divulged all our family secrets, promised every other half-hour out, and taken oath that our household numbers three adult members, and no more; but I simply _can't_ remember how many handkerchiefs we have in the wash each week.	I've interviewed four fat ladies, two thin ones, and one medium with a wart. I've cheerfully divulged all our family secrets, promised every other half hour out, and taken oath that our household numbers three adult members, and no more; but I simply underscore can't underscore remember how many handkerchiefs we have in the wash each week.	false	626.61	647.415	24.41187
5717_61421_000043_000005	Billy, will you come?	Billy, will you come?	true	647.415	648.78	23.181086
5717_61421_000043_000006	Maybe you can do something with them.	Maybe you can do something with them.	false	648.78	650.61	20
5717_61421_000043_000007	I'm sure you can!"	I'm sure you can!"	true	650.61	652	26.841797
5717_61421_000044_000000	"Why, of course I'll come," chirped Billy.	"Why, of course I'll come," chirped Billy.	true	652.01	654.615	28.752575
5717_61421_000044_000001	"Where shall I meet you?"	"Where shall I meet you?"	true	654.615	655.9	31.10943
5717_61421_000045_000000	Bertram gave the street and number.	Bertram gave the street and number.	true	656	658.44	23.784294
5717_61421_000046_000000	"Good!	"Good!	true	658.44	658.905	36.52937
5717_61421_000046_000001	I'll be there," promised Billy, as she hung up the receiver.	I'll be there," promised Billy, as she hung up the receiver.	true	658.905	662.56	25.805336
5717_61421_000047_000000	Quite forgetting the broom in the middle of the drawing-room floor, Billy tripped up-stairs to change her dress.	Quite forgetting the broom in the middle of the drawing room floor, Billy tripped up stairs to change her dress.	true	663.08	669.16	23.784832
5717_61421_000047_000001	On her lips was a gay little song.	On her lips was a gay little song.	true	669.38	672.045	23.96681
5717_61421_000047_000002	In her heart was joy.	In her heart was joy.	true	672.045	673.92	23.570194
5717_61421_000048_000000	"I rather guess _now_ I'm tending to my husband and my home!" she was crowing to herself.	"I rather guess underscore now underscore I'm tending to my husband and my home!" she was crowing to herself.	false	673.92	679.84	22.92354
5717_61421_000049_000000	Just as Billy was about to leave the house the telephone bell jangled again.	Just as Billy was about to leave the house the telephone bell jangled again.	true	680.09	684.67	22
5717_61421_000050_000000	It was Alice Greggory.	It was Alice Greggory.	true	684.71	686.445	29.660816
5717_61421_000051_000000	"Billy, dear," she called, "can't you come out?	"Billy, dear," she called, "can't you come out?	true	686.445	688.98	24.139853
5717_61421_000051_000001	Mr. Arkwright and Mr. Calderwell are here, and they've brought some new music.	mr Arkwright and mr Calderwell are here, and they've brought some new music.	false	688.98	693.705	24.382647
5717_61421_000051_000002	We want you. Will you come?"	We want you. Will you come?"	true	693.705	695.62	24.46034
5717_61421_000052_000000	"I can't, dear.	"I can't, dear.	true	695.81	697.29	28.002958
5717_61421_000052_000001	Bertram wants me.	Bertram wants me.	true	697.29	698.58	29.641216
5717_61421_000052_000002	He's sent for me.	He's sent for me.	false	698.58	699.78	27.217506
5717_61421_000052_000003	I've got some _housewifely_ duties to perform to-day," returned Billy, in a voice so curiously triumphant that Alice, at her end of the wires, frowned in puzzled wonder as she turned away from the telephone.	I've got some underscore housewifely underscore duties to perform to day," returned Billy, in a voice so curiously triumphant that Alice, at her end of the wires, frowned in puzzled wonder as she turned away from the telephone.	false	699.78	720.93	23.531996
