7481_101276_000000_000000	In this way Hans suddenly became rich--rich enough to buy a property of his own.	In this way Hans suddenly became rich-rich enough to buy a property of his own.	false	0	3.525	19.867151
7481_101276_000005_000001	A handsome, pleasant-faced boy of twelve, and tall for his age.	A handsome, pleasant faced boy of twelve, and tall for his age.	true	79.25	83.74	19.78458
7481_101276_000005_000002	He used to sit by his mother in the market and would carry home what people bought from her, for which they often gave him a pretty flower, or a slice of cake, or even some small coin.	He used to sit by his mother in the market and would carry home what people bought from her, for which they often gave him a pretty flower, or a slice of cake, or even some small coin.	true	83.99	95.95	20.607079
7481_101276_000006_000000	One day Jem and his mother sat as usual in the Market Place with plenty of nice herbs and vegetables spread out on the board, and in some smaller baskets early pears, apples, and apricots.	One day Jem and his mother sat as usual in the Market Place with plenty of nice herbs and vegetables spread out on the board, and in some smaller baskets early pears, apples, and apricots.	true	96.74	109.48	20
7481_101276_000006_000001	Jem cried his wares at the top of his voice:	Jem cried his wares at the top of his voice:	true	109.61	112.63	20
7481_101276_000007_000000	'This way, gentlemen!	'This way, gentlemen!	true	112.88	114.46	22.999746
7481_101276_000007_000001	See these lovely cabbages and these fresh herbs! Early apples, ladies; early pears and apricots, and all cheap.	See these lovely cabbages and these fresh herbs! Early apples, ladies; early pears and apricots, and all cheap.	true	114.56	122.955	21.772856
7481_101276_000007_000002	Come, buy, buy!'	Come, buy, buy!'	true	122.955	125.7	21.252176
7481_101276_000008_000000	As he cried an old woman came across the Market Place.	As he cried an old woman came across the Market Place.	true	125.7	129.61	21
7481_101276_000008_000001	She looked very torn and ragged, and had a small sharp face, all wrinkled, with red eyes, and a thin hooked nose which nearly met her chin.	She looked very torn and ragged, and had a small sharp face, all wrinkled, with red eyes, and a thin hooked nose which nearly met her chin.	false	129.92	140.71	20.519587
7481_101276_000008_000002	She leant on a tall stick and limped and shuffled and stumbled along as if she were going to fall on her nose at any moment.	She leant on a tall stick and limped and shuffled and stumbled along as if she were going to fall on her nose at any moment.	true	141.2	149.41	19.476992
7481_101276_000009_000000	In this fashion she came along till she got to the stall where Jem and his mother were, and there she stopped.	In this fashion she came along till she got to the stall where Jem and his mother were, and there she stopped.	true	149.78	157.18	20.841053
7481_101276_000010_000000	'Are you Hannah the herb seller?' she asked in a croaky voice as her head shook to and fro.	'Are you Hannah the herb seller?' she asked in a croaky voice as her head shook to and fro.	true	157.46	163.36	20
7481_101276_000011_000000	'Yes, I am,' was the answer.	'Yes, I am,' was the answer.	true	163.79	165.72	23.618961
7481_101276_000011_000001	'Can I serve you?'	'Can I serve you?'	true	165.72	166.96	23.314543
7481_101276_000012_000000	'We'll see; we'll see!	'We'll see; we'll see!	true	167.39	169.18	19.691393
7481_101276_000012_000001	Let me look at those herbs.	Let me look at those herbs.	true	169.37	171.1	22.895853
7481_101276_000012_000002	I wonder if you've got what I want,' said the old woman as she thrust a pair of hideous brown hands into the herb basket, and began turning over all the neatly packed herbs with her skinny fingers, often holding them up to her nose and sniffing at them.	I wonder if you've got what I want,' said the old woman as she thrust a pair of hideous brown hands into the herb basket, and began turning over all the neatly packed herbs with her skinny fingers, often holding them up to her nose and sniffing at them.	true	171.14	186.7	20.699505
7481_101276_000013_000000	The cobbler's wife felt much disgusted at seeing her wares treated like this, but she dared not speak.	The cobbler's wife felt much disgusted at seeing her wares treated like this, but she dared not speak.	true	187.22	193.72	22.184612
7481_101276_000013_000001	When the old hag had turned over the whole basket she muttered, 'Bad stuff, bad stuff; much better fifty years ago--all bad.'	When the old hag had turned over the whole basket she muttered, 'Bad stuff, bad stuff; much better fifty years ago-all bad.'	true	193.91	203.08	23.96703
7481_101276_000014_000000	This made Jem very angry	This made Jem very angry	true	203.45	205.45	21.505123
7481_101276_000015_000000	'You are a very rude old woman,' he cried out.	'You are a very rude old woman,' he cried out.	true	205.91	209.11	23
7481_101276_000015_000001	'First you mess all our nice herbs about with your horrid brown fingers and sniff at them with your long nose till no one else will care to buy them, and then you say it's all bad stuff, though the duke's cook himself buys all his herbs from us.'	'First you mess all our nice herbs about with your horrid brown fingers and sniff at them with your long nose till no one else will care to buy them, and then you say it's all bad stuff, though the duke's cook himself buys all his herbs from us.'	true	209.18	224.23	22.37524
7481_101276_000016_000000	The old woman looked sharply at the saucy boy, laughed unpleasantly, and said:	The old woman looked sharply at the saucy boy, laughed unpleasantly, and said:	true	224.69	229.81	20.631823
7481_101276_000017_000000	'So you don't like my long nose, sonny?	'So you don't like my long nose, sonny?	true	230	232.57	21.416378
7481_101276_000017_000001	Well, you shall have one yourself, right down to your chin.'	Well, you shall have one yourself, right down to your chin.'	true	232.79	236.35	22.9131
7481_101276_000018_000000	As she spoke she shuffled towards the hamper of cabbages, took up one after another, squeezed them hard, and threw them back, muttering again, 'Bad stuff, bad stuff.'	As she spoke she shuffled towards the hamper of cabbages, took up one after another, squeezed them hard, and threw them back, muttering again, 'Bad stuff, bad stuff.'	true	236.99	249.55	23.601255
7481_101276_000019_000000	'Don't waggle your head in that horrid way,' begged Jem anxiously.	'Don't waggle your head in that horrid way,' begged Jem anxiously.	true	250.43	254.67	18
7481_101276_000019_000001	'Your neck is as thin as a cabbage-stalk, and it might easily break and your head fall into the basket, and then who would buy anything?'	'Your neck is as thin as a cabbage stalk, and it might easily break and your head fall into the basket, and then who would buy anything?'	true	254.67	263.11	22.109537
7481_101276_000020_000000	'Don't you like thin necks?' laughed the old woman.	'Don't you like thin necks?' laughed the old woman.	false	263.78	266.59	20.288061
7481_101276_000020_000001	'Then you sha'n't have any, but a head stuck close between your shoulders so that it may be quite sure not to fall off.'	'Then you sha'n't have any, but a head stuck close between your shoulders so that it may be quite sure not to fall off.'	true	267.2	274.78	23.186302
7481_101276_000021_000000	'Don't talk such nonsense to the child,' said the mother at last.	'Don't talk such nonsense to the child,' said the mother at last.	true	275.21	279.34	19
7481_101276_000022_000000	'If you wish to buy, please make haste, as you are keeping other customers away.'	'If you wish to buy, please make haste, as you are keeping other customers away.'	true	279.8	284.98	20.676615
7481_101276_000023_000000	'Very well, I will do as you ask,' said the old woman, with an angry look.	'Very well, I will do as you ask,' said the old woman, with an angry look.	true	285.53	290.29	20
7481_101276_000023_000001	'I will buy these six cabbages, but, as you see, I can only walk with my stick and can carry nothing.	'I will buy these six cabbages, but, as you see, I can only walk with my stick and can carry nothing.	true	290.57	297.64	21.4371
7481_101276_000023_000002	Let your boy carry them home for me and I'll pay him for his trouble.'	Let your boy carry them home for me and I'll pay him for his trouble.'	true	297.92	302.11	20.38108
7481_101276_000024_000000	The little fellow didn't like this, and began to cry, for he was afraid of the old woman, but his mother ordered him to go, for she thought it wrong not to help such a weakly old creature; so, still crying, he gathered the cabbages into a basket and followed the old woman across the Market Place.	The little fellow didn't like this, and began to cry, for he was afraid of the old woman, but his mother ordered him to go, for she thought it wrong not to help such a weakly old creature; so, still crying, he gathered the cabbages into a basket and followed the old woman across the Market Place.	true	302.78	321.73	21.455727
7481_101276_000025_000000	It took her more than half an hour to get to a distant part of the little town, but at last she stopped in front of a small tumble-down house.	It took her more than half an hour to get to a distant part of the little town, but at last she stopped in front of a small tumble down house.	false	322.1	331	21.296862
7481_101276_000025_000001	She drew a rusty old hook from her pocket and stuck it into a little hole in the door, which suddenly flew open.	She drew a rusty old hook from her pocket and stuck it into a little hole in the door, which suddenly flew open.	true	331.13	338.59	21.240671
7481_101276_000025_000002	How surprised Jem was when they went in!	How surprised Jem was when they went in!	true	338.96	341.74	18
7481_101276_000025_000003	The house was splendidly furnished, the walls and ceiling of marble, the furniture of ebony inlaid with gold and precious stones, the floor of such smooth slippery glass that the little fellow tumbled down more than once.	The house was splendidly furnished, the walls and ceiling of marble, the furniture of ebony inlaid with gold and precious stones, the floor of such smooth slippery glass that the little fellow tumbled down more than once.	true	342.23	357.46	22.56691
7481_101276_000026_000000	The old woman took out a silver whistle and blew it till the sound rang through the house.	The old woman took out a silver whistle and blew it till the sound rang through the house.	true	358.04	363.61	20.576271
7481_101276_000026_000001	Immediately a lot of guinea pigs came running down the stairs, but Jem thought it rather odd that they all walked on their hind legs, wore nutshells for shoes, and men's clothes, whilst even their hats were put on in the newest fashion.	Immediately a lot of guinea pigs came running down the stairs, but Jem thought it rather odd that they all walked on their hind legs, wore nutshells for shoes, and men's clothes, whilst even their hats were put on in the newest fashion.	true	363.98	379.18	20.911926
7481_101276_000027_000000	'Where are my slippers, lazy crew?' cried the old woman, and hit about with her stick.	'Where are my slippers, lazy crew?' cried the old woman, and hit about with her stick.	true	380	385.15	24.156961
7481_101276_000027_000001	'How long am I to stand waiting here?'	'How long am I to stand waiting here?'	true	385.19	387.52	19
7481_101276_000028_000000	They rushed upstairs again and returned with a pair of cocoa nuts lined with leather, which she put on her feet.	They rushed upstairs again and returned with a pair of cocoa nuts lined with leather, which she put on her feet.	false	388.04	394.75	19.897507
7481_101276_000028_000001	Now all limping and shuffling was at an end.	Now all limping and shuffling was at an end.	true	394.79	397.78	19.761105
7481_101276_000028_000002	She threw away her stick and walked briskly across the glass floor, drawing little Jem after her.	She threw away her stick and walked briskly across the glass floor, drawing little Jem after her.	true	397.88	404.74	21.72326
7481_101276_000028_000003	At last she paused in a room which looked almost like a kitchen, it was so full of pots and pans, but the tables were of mahogany and the sofas and chairs covered with the richest stuffs.	At last she paused in a room which looked almost like a kitchen, it was so full of pots and pans, but the tables were of mahogany and the sofas and chairs covered with the richest stuffs.	true	404.87	417.1	21.372486
7481_101276_000029_000000	'Sit down,' said the old woman pleasantly, and she pushed Jem into a corner of a sofa and put a table close in front of him.	'Sit down,' said the old woman pleasantly, and she pushed Jem into a corner of a sofa and put a table close in front of him.	true	417.53	425.71	20.696379
7481_101276_000029_000001	'Sit down, you've had a long walk and a heavy load to carry, and I must give you something for your trouble.	'Sit down, you've had a long walk and a heavy load to carry, and I must give you something for your trouble.	true	426.23	433.51	21.727386
7481_101276_000029_000002	Wait a bit, and I'll give you some nice soup, which you'll remember as long as you live.'	Wait a bit, and I'll give you some nice soup, which you'll remember as long as you live.'	true	433.82	439.29	19.26036
7481_101276_000030_000000	So saying, she whistled again.	So saying, she whistled again.	true	439.29	441.43	22.143726
7481_101276_000030_000001	First came in guinea pigs in men's clothing.	First came in guinea pigs in men's clothing.	true	442.01	444.94	20
7481_101276_000030_000002	They had tied on large kitchen aprons, and in their belts were stuck carving knives and sauce ladles and such things.	They had tied on large kitchen aprons, and in their belts were stuck carving knives and sauce ladles and such things.	true	445.28	453.01	23.386032
7481_101276_000030_000003	After them hopped in a number of squirrels.	After them hopped in a number of squirrels.	true	453.23	455.89	19.94192
7481_101276_000030_000004	They too walked on their hind legs, wore full Turkish trousers, and little green velvet caps on their heads.	They too walked on their hind legs, wore full Turkish trousers, and little green velvet caps on their heads.	true	456.14	463.45	21.682083
7481_101276_000030_000005	They seemed to be the scullions, for they clambered up the walls and brought down pots and pans, eggs, flour, butter, and herbs, which they carried to the stove.	They seemed to be the scullions, for they clambered up the walls and brought down pots and pans, eggs, flour, butter, and herbs, which they carried to the stove.	true	463.7	474.46	20.924318
7481_101276_000030_000006	Here the old woman was bustling about, and Jem could see that she was cooking something very special for him.	Here the old woman was bustling about, and Jem could see that she was cooking something very special for him.	true	474.77	481.75	22.159218
7481_101276_000030_000007	At last the broth began to bubble and boil, and she drew off the saucepan and poured its contents into a silver bowl, which she set before Jem.	At last the broth began to bubble and boil, and she drew off the saucepan and poured its contents into a silver bowl, which she set before Jem.	true	482.15	491.98	20.527975
7481_101276_000031_000000	'There, my boy,' said she, 'eat this soup and then you'll have everything which pleased you so much about me.	'There, my boy,' said she, 'eat this soup and then you'll have everything which pleased you so much about me.	true	492.53	499.36	22.212866
7481_101276_000031_000001	And you shall be a clever cook too, but the real herb--no, the REAL herb you'll never find.	And you shall be a clever cook too, but the real herb-no, the REAL herb you'll never find.	true	499.7	507.46	20.205824
7481_101276_000031_000002	Why had your mother not got it in her basket?'	Why had your mother not got it in her basket?'	true	507.77	510.55	23.736639
7481_101276_000032_000000	The child could not think what she was talking about, but he quite understood the soup, which tasted most delicious.	The child could not think what she was talking about, but he quite understood the soup, which tasted most delicious.	true	511.07	518.59	22.164227
7481_101276_000032_000001	His mother had often given him nice things, but nothing had ever seemed so good as this.	His mother had often given him nice things, but nothing had ever seemed so good as this.	true	518.75	524.53	20
7481_101276_000032_000002	The smell of the herbs and spices rose from the bowl, and the soup tasted both sweet and sharp at the same time, and was very strong.	The smell of the herbs and spices rose from the bowl, and the soup tasted both sweet and sharp at the same time, and was very strong.	true	524.81	534.34	21.079752
7481_101276_000032_000003	As he was finishing it the guinea pigs lit some Arabian incense, which gradually filled the room with clouds of blue vapour.	As he was finishing it the guinea pigs lit some Arabian incense, which gradually filled the room with clouds of blue vapour.	true	534.74	542.83	22.125664
7481_101276_000032_000004	They grew thicker and thicker and the scent nearly overpowered the boy.	They grew thicker and thicker and the scent nearly overpowered the boy.	true	543.17	548.41	22.282213
7481_101276_000032_000005	He reminded himself that he must get back to his mother, but whenever he tried to rouse himself to go he sank back again drowsily, and at last he fell sound asleep in the corner of the sofa.	He reminded himself that he must get back to his mother, but whenever he tried to rouse himself to go he sank back again drowsily, and at last he fell sound asleep in the corner of the sofa.	true	548.42	561.85	20.051609
7481_101276_000033_000000	Strange dreams came to him.	Strange dreams came to him.	true	561.92	564.04	20
7481_101276_000033_000001	He thought the old woman took off all his clothes and wrapped him up in a squirrel skin, and that he went about with the other squirrels and guinea pigs, who were all very pleasant and well mannered, and waited on the old woman.	He thought the old woman took off all his clothes and wrapped him up in a squirrel skin, and that he went about with the other squirrels and guinea pigs, who were all very pleasant and well mannered, and waited on the old woman.	true	564.26	577.69	21.35457
7481_101276_000034_000000	First he learned to clean her cocoa-nut shoes with oil and to rub them up.	First he learned to clean her cocoa nut shoes with oil and to rub them up.	true	578.15	583.42	21.683842
7481_101276_000034_000001	Then he learnt to catch the little sun moths and rub them through the finest sieves, and the flour from them he made into soft bread for the toothless old woman.	Then he learnt to catch the little sun moths and rub them through the finest sieves, and the flour from them he made into soft bread for the toothless old woman.	true	583.67	593.83	19.9635
7481_101276_000035_000000	In this way he passed from one kind of service to another, spending a year in each, till in the fourth year he was promoted to the kitchen. Here he worked his way up from under-scullion to head-pastrycook, and reached the greatest perfection.	In this way he passed from one kind of service to another, spending a year in each, till in the fourth year he was promoted to the kitchen. Here he worked his way up from under scullion to head pastrycook, and reached the greatest perfection.	true	594.71	611.05	20.61899
7481_101276_000035_000001	He could make all the most difficult dishes, and two hundred different kinds of patties, soup flavoured with every sort of herb--he had learnt it all, and learnt it well and quickly.	He could make all the most difficult dishes, and two hundred different kinds of patties, soup flavoured with every sort of herb-he had learnt it all, and learnt it well and quickly.	true	611.18	623.02	20.609024
7481_101276_000036_000000	When he had lived seven years with the old woman she ordered him one day, as she was going out, to kill and pluck a chicken, stuff it with herbs, and have it very nicely roasted by the time she got back.	When he had lived seven years with the old woman she ordered him one day, as she was going out, to kill and pluck a chicken, stuff it with herbs, and have it very nicely roasted by the time she got back.	true	623.54	637.36	21.859077
7481_101276_000036_000001	He did this quite according to rule.	He did this quite according to rule.	true	637.73	640	20.37912
7481_101276_000036_000002	He wrung the chicken's neck, plunged it into boiling water, carefully plucked out all the feathers, and rubbed the skin nice and smooth.	He wrung the chicken's neck, plunged it into boiling water, carefully plucked out all the feathers, and rubbed the skin nice and smooth.	true	640.37	649.18	18.570065
7481_101276_000036_000003	Then he went to fetch the herbs to stuff it with.	Then he went to fetch the herbs to stuff it with.	true	649.97	652.81	20.621754
7481_101276_000036_000004	In the store-room he noticed a half-opened cupboard which he did not remember having seen before.	In the store room he noticed a half opened cupboard which he did not remember having seen before.	true	653.24	658.93	19
7481_101276_000036_000005	He peeped in and saw a lot of baskets from which came a strong and pleasant smell.	He peeped in and saw a lot of baskets from which came a strong and pleasant smell.	true	659.45	665.11	21
7481_101276_000036_000006	He opened one and found a very uncommon herb in it.	He opened one and found a very uncommon herb in it.	true	665.69	669.43	22.34311
7481_101276_000036_000007	The stems and leaves were a bluish green, and above them was a little flower of a deep bright red, edged with yellow. He gazed at the flower, smelt it, and found it gave the same strong strange perfume which came from the soup the old woman had made him.	The stems and leaves were a bluish green, and above them was a little flower of a deep bright red, edged with yellow. He gazed at the flower, smelt it, and found it gave the same strong strange perfume which came from the soup the old woman had made him.	false	669.68	688.45	20.6243
7481_101276_000036_000008	But the smell was so sharp that he began to sneeze again and again, and at last--he woke up!	But the smell was so sharp that he began to sneeze again and again, and at last-he woke up!	true	688.82	695.73	21.645006
7481_101276_000037_000000	There he lay on the old woman's sofa and stared about him in surprise. 'Well, what odd dreams one does have to be sure!' he said to himself. 'Why, I could have sworn I had been a squirrel, a companion of guinea pigs and such creatures, and had become a great cook, too.	There he lay on the old woman's sofa and stared about him in surprise. 'Well, what odd dreams one does have to be sure!' he said to himself. 'Why, I could have sworn I had been a squirrel, a companion of guinea pigs and such creatures, and had become a great cook, too.	true	695.73	714.64	21.441391
7481_101276_000037_000001	How mother will laugh when I tell her!	How mother will laugh when I tell her!	true	714.83	717.13	18.817232
7481_101276_000037_000002	But won't she scold me, though, for sleeping away here in a strange house, instead of helping her at market!'	But won't she scold me, though, for sleeping away here in a strange house, instead of helping her at market!'	true	717.38	723.79	20.423876
7481_101276_000038_000000	He jumped up and prepared to go: all his limbs still seemed quite stiff with his long sleep, especially his neck, for he could not move his head easily, and he laughed at his own stupidity at being still so drowsy that he kept knocking his nose against the wall or cupboards.	He jumped up and prepared to go: all his limbs still seemed quite stiff with his long sleep, especially his neck, for he could not move his head easily, and he laughed at his own stupidity at being still so drowsy that he kept knocking his nose against the wall or cupboards.	true	724.19	742.24	20.750343
7481_101276_000038_000001	The squirrels and guinea pigs ran whimpering after him, as though they would like to go too, and he begged them to come when he reached the door, but they all turned and ran quickly back into the house again.	The squirrels and guinea pigs ran whimpering after him, as though they would like to go too, and he begged them to come when he reached the door, but they all turned and ran quickly back into the house again.	true	742.55	755.17	22.525633
7481_101276_000039_000000	The part of the town was out of the way, and Jem did not know the many narrow streets in it and was puzzled by their windings and by the crowd of people, who seemed excited about some show.	The part of the town was out of the way, and Jem did not know the many narrow streets in it and was puzzled by their windings and by the crowd of people, who seemed excited about some show.	true	755.72	767.35	21.555904
7481_101276_000039_000001	From what he heard, he fancied they were going to see a dwarf, for he heard them call out: 'Just look at the ugly dwarf!' 'What a long nose he has, and see how his head is stuck in between his shoulders, and only look at his ugly brown hands!' If he had not been in such a hurry to get back to his mother, he would have gone too, for he loved shows with giants and dwarfs and the like.	From what he heard, he fancied they were going to see a dwarf, for he heard them call out: 'Just look at the ugly dwarf!' 'What a long nose he has, and see how his head is stuck in between his shoulders, and only look at his ugly brown hands!' If he had not been in such a hurry to get back to his mother, he would have gone too, for he loved shows with giants and dwarfs and the like.	true	767.9	792.88	21.079502
7481_101276_000040_000000	He was quite puzzled when he reached the market-place.	He was quite puzzled when he reached the market place.	true	793.34	796.24	20.724653
7481_101276_000040_000001	There sat his mother, with a good deal of fruit still in her baskets, so he felt he could not have slept so very long, but it struck him that she was sad, for she did not call to the passers-by, but sat with her head resting on her hand, and as he came nearer he thought she looked paler than usual.	There sat his mother, with a good deal of fruit still in her baskets, so he felt he could not have slept so very long, but it struck him that she was sad, for she did not call to the passers by, but sat with her head resting on her hand, and as he came nearer he thought she looked paler than usual.	true	796.58	815.92	22.794651
7481_101276_000041_000000	He hesitated what to do, but at last he slipped behind her, laid a hand on her arm, and said: 'Mammy, what's the matter?	He hesitated what to do, but at last he slipped behind her, laid a hand on her arm, and said: 'Mammy, what's the matter?	true	816.59	825.46	21.426926
7481_101276_000041_000001	Are you angry with me?'	Are you angry with me?'	true	825.62	827.14	22.252872
7481_101276_000042_000000	She turned round quickly and jumped up with a cry of horror.	She turned round quickly and jumped up with a cry of horror.	true	827.72	831.25	21.59489
7481_101276_000043_000000	'What do you want, you hideous dwarf?' she cried; 'get away; I can't bear such tricks.'	'What do you want, you hideous dwarf?' she cried; 'get away; I can't bear such tricks.'	true	831.68	837.22	22.739496
7481_101276_000044_000000	'But, mother dear, what's the matter with you?' repeated Jem, quite frightened.	'But, mother dear, what's the matter with you?' repeated Jem, quite frightened.	true	837.56	841.87	19
7481_101276_000044_000001	'You can't be well.	'You can't be well.	true	842.03	843.52	23.548452
7481_101276_000044_000002	Why do you want to drive your son away?'	Why do you want to drive your son away?'	true	843.62	845.98	19.333633
7481_101276_000045_000000	'I have said already, get away,' replied Hannah, quite angrily.	'I have said already, get away,' replied Hannah, quite angrily.	true	846.44	850.6	23.3241
7481_101276_000045_000001	'You won't get anything out of me by your games, you monstrosity.'	'You won't get anything out of me by your games, you monstrosity.'	true	850.76	854.62	19
7481_101276_000046_000000	'Oh dear, oh dear! she must be wandering in her mind,' murmured the lad to himself.	'Oh dear, oh dear! she must be wandering in her mind,' murmured the lad to himself.	true	855.08	860.71	18
7481_101276_000046_000001	'How can I manage to get her home?	'How can I manage to get her home?	true	860.99	863.23	20.060488
7481_101276_000046_000002	Dearest mother, do look at me close.	Dearest mother, do look at me close.	true	863.51	866.02	17.701735
7481_101276_000046_000003	Can't you see I am your own son Jem?'	Can't you see I am your own son Jem?'	true	866.06	868.9	21.944393
7481_101276_000047_000000	'Well, did you ever hear such impudence?' asked Hannah, turning to a neighbour.	'Well, did you ever hear such impudence?' asked Hannah, turning to a neighbour.	true	869.09	874.21	20.404179
7481_101276_000047_000001	'Just see that frightful dwarf--would you believe that he wants me to think he is my son Jem?'	'Just see that frightful dwarf-would you believe that he wants me to think he is my son Jem?'	true	874.43	880.51	24.127754
7481_101276_000048_000000	Then all the market women came round and talked all together and scolded as hard as they could, and said what a shame it was to make game of Mrs. Hannah, who had never got over the loss of her beautiful boy, who had been stolen from her seven years ago, and they threatened to fall upon Jem and scratch him well if he did not go away at once.	Then all the market women came round and talked all together and scolded as hard as they could, and said what a shame it was to make game of mrs Hannah, who had never got over the loss of her beautiful boy, who had been stolen from her seven years ago, and they threatened to fall upon Jem and scratch him well if he did not go away at once.	true	881.06	902.29	22.006575
7481_101276_000049_000000	Poor Jem did not know what to make of it all.	Poor Jem did not know what to make of it all.	true	902.72	905.41	20.10934
7481_101276_000049_000001	He was sure he had gone to market with his mother only that morning, had helped to set out the stall, had gone to the old woman's house, where he had some soup and a little nap, and now, when he came back, they were all talking of seven years.	He was sure he had gone to market with his mother only that morning, had helped to set out the stall, had gone to the old woman's house, where he had some soup and a little nap, and now, when he came back, they were all talking of seven years.	false	905.66	921.31	22.36758
7481_101276_000049_000002	And they called him a horrid dwarf!	And they called him a horrid dwarf!	true	921.44	923.74	22
7481_101276_000049_000003	Why, what had happened to him?	Why, what had happened to him?	true	924.02	925.84	22.291473
7481_101276_000049_000004	When he found that his mother would really have nothing to do with him he turned away with tears in his eyes, and went sadly down the street towards his father's stall.	When he found that his mother would really have nothing to do with him he turned away with tears in his eyes, and went sadly down the street towards his father's stall.	true	926.36	937.24	21.171814
7481_101276_000050_000000	'Now I'll see whether he will know me,' thought he.	'Now I'll see whether he will know me,' thought he.	true	937.73	940.63	18.039251
7481_101276_000050_000001	'I'll stand by the door and talk to him.'	'I'll stand by the door and talk to him.'	true	940.79	943.24	20.267012
7481_101276_000051_000000	When he got to the stall he stood in the doorway and looked in.	When he got to the stall he stood in the doorway and looked in.	true	943.94	947.65	20.093956
7481_101276_000051_000001	The cobbler was so busy at work that he did not see him for some time, but, happening to look up, he caught sight of his visitor, and letting shoes, thread, and everything fall to the ground, he cried with horror: 'Good heavens! what is that?'	The cobbler was so busy at work that he did not see him for some time, but, happening to look up, he caught sight of his visitor, and letting shoes, thread, and everything fall to the ground, he cried with horror: 'Good heavens! what is that?'	true	948.14	964.66	21.739176
7481_101276_000052_000000	'Good evening, master,' said the boy, as he stepped in.	'Good evening, master,' said the boy, as he stepped in.	true	965.39	968.77	19.951998
7481_101276_000052_000001	'How do you do?'	'How do you do?'	true	969.05	970.24	21.295607
7481_101276_000053_000000	'Very ill, little sir, replied the father, to Jem's surprise, for he did not seem to know him.	'Very ill, little sir, replied the father, to Jem's surprise, for he did not seem to know him.	true	970.64	977.23	21.55532
7481_101276_000053_000001	'Business does not go well.	'Business does not go well.	true	977.63	979.66	23.027761
7481_101276_000053_000002	I am all alone, and am getting old, and a workman is costly.'	I am all alone, and am getting old, and a workman is costly.'	true	979.76	984.73	20.10846
7481_101276_000054_000000	'But haven't you a son who could learn your trade by degrees?' asked Jem.	'But haven't you a son who could learn your trade by degrees?' asked Jem.	false	985.31	989.8	21.179422
7481_101276_000055_000000	'I had one: he was called Jem, and would have been a tall sturdy lad of twenty by this time, and able to help me well.	'I had one: he was called Jem, and would have been a tall sturdy lad of twenty by this time, and able to help me well.	true	990.41	998.92	23.94327
7481_101276_000055_000001	Why, when he was only twelve he was quite sharp and quick, and had learnt many little things, and a good-looking boy too, and pleasant, so that customers were taken by him.	Why, when he was only twelve he was quite sharp and quick, and had learnt many little things, and a good looking boy too, and pleasant, so that customers were taken by him.	true	999.32	1010.5	21.8373
7481_101276_000055_000002	Well, well! so goes the world!'	Well, well! so goes the world!'	true	1010.84	1013.71	23.64202
7481_101276_000056_000000	'But where is your son?' asked Jem, with a trembling voice.	'But where is your son?' asked Jem, with a trembling voice.	true	1014.29	1018.54	20.225384
