242_126842_000001_000000	CHAPTER XXVII.	CHAPTER twenty seven.
242_126842_000021_000000	"I don't want to give up the Ordeal," said Felix, "and I won't."	"I don't want to give up the Ordeal," said Felix, "and I won't."
242_126842_000023_000001	"It's Felix.	"It's Felix.
242_126842_000023_000002	If he don't interfere with my prayers there's no need of fighting.	If he don't interfere with my prayers there's no need of fighting.
242_126842_000023_000003	But if he does there's no other way to settle it."	But if he does there's no other way to settle it."
242_126842_000025_000001	"That's fair enough.	"That's fair enough.
242_126842_000025_000002	If I'm licked I won't pray for that particular thing any more."	If I'm licked I won't pray for that particular thing any more."
242_126842_000026_000000	"It's dreadful to fight about anything so religious as praying," sighed poor Cecily.	"It's dreadful to fight about anything so religious as praying," sighed poor Cecily.
242_126842_000027_000000	"Why, they were always fighting about religion in old times," said Felix.	"Why, they were always fighting about religion in old times," said Felix.
242_126842_000027_000001	"The more religious anything was the more fighting there was about it."	"The more religious anything was the more fighting there was about it."
242_126842_000028_000000	"A fellow's got a right to pray as he pleases," said Peter, "and if anybody tries to stop him he's bound to fight.	"A fellow's got a right to pray as he pleases," said peter, "and if anybody tries to stop him he's bound to fight.
242_126842_000028_000001	That's my way of looking at it."	That's my way of looking at it."
242_126842_000029_000000	"What would Miss Marwood say if she knew you were going to fight?" asked Felicity.	"What would Miss Marwood say if she knew you were going to fight?" asked Felicity.
242_126842_000032_000000	Felicity tried another tack.	Felicity tried another tack.
242_126842_000034_000000	After that, no moral force on earth could have prevented Felix from fighting.	After that, no moral force on earth could have prevented Felix from fighting.
242_126842_000034_000001	He would have faced an army with banners.	He would have faced an army with banners.
242_126842_000035_000000	"You might settle it by drawing lots," said Cecily desperately.	"You might settle it by drawing lots," said Cecily desperately.
242_126842_000037_000000	"What would Aunt Jane say if she knew you were going to fight?" Cecily demanded of Peter.	"What would Aunt Jane say if she knew you were going to fight?" Cecily demanded of peter.
242_126842_000038_000000	"Don't you drag my Aunt Jane into this affair," said Peter darkly.	"Don't you drag my Aunt Jane into this affair," said peter darkly.
242_126842_000039_000000	"You said you were going to be a Presbyterian," persisted Cecily.	"You said you were going to be a Presbyterian," persisted Cecily.
242_126842_000039_000001	"Good Presbyterians don't fight."	"Good Presbyterians don't fight."
242_126842_000040_000000	"Oh, don't they!	"Oh, don't they!
242_126842_000040_000001	I heard your Uncle Roger say that Presbyterians were the best for fighting in the world--or the worst, I forget which he said, but it means the same thing."	I heard your Uncle Roger say that Presbyterians were the best for fighting in the world-or the worst, I forget which he said, but it means the same thing."
242_126842_000042_000000	"I thought you said in your sermon, Master Peter, that people shouldn't fight."	"I thought you said in your sermon, Master peter, that people shouldn't fight."
242_126842_000043_000001	"This is different.	"This is different.
242_126842_000043_000002	I know what I'm fighting for but I can't think of the word."	I know what I'm fighting for but I can't think of the word."
242_126842_000044_000000	"I guess you mean principle," I suggested.	"I guess you mean principle," I suggested.
242_126842_000045_000000	"Yes, that's it," agreed Peter.	"Yes, that's it," agreed peter.
242_126842_000045_000001	"It's all right to fight for principle. It's kind of praying with your fists."	"It's all right to fight for principle. It's kind of praying with your fists."
242_126842_000046_000000	"Oh, can't you do something to prevent them from fighting, Sara?" pleaded Cecily, turning to the Story Girl, who was sitting on a bin, swinging her shapely bare feet to and fro.	"Oh, can't you do something to prevent them from fighting, Sara?" pleaded Cecily, turning to the Story Girl, who was sitting on a bin, swinging her shapely bare feet to and fro.
242_126842_000047_000000	"It doesn't do to meddle in an affair of this kind between boys," said the Story Girl sagely.	"It doesn't do to meddle in an affair of this kind between boys," said the Story Girl sagely.
242_126842_000049_000000	It was ultimately arranged that the combat should take place in the fir wood behind Uncle Roger's granary.	It was ultimately arranged that the combat should take place in the fir wood behind Uncle Roger's granary.
242_126842_000049_000001	It was a nice, remote, bosky place where no prowling grown-up would be likely to intrude.	It was a nice, remote, bosky place where no prowling grown up would be likely to intrude.
242_126842_000050_000001	Do you think he will?"	Do you think he will?"
242_126842_000051_000000	"I don't know," I confessed dubiously.	"I don't know," I confessed dubiously.
242_126842_000051_000001	"Felix is too fat.	"Felix is too fat.
242_126842_000051_000002	He'll get out of breath in no time.	He'll get out of breath in no time.
242_126842_000051_000006	And this is Peter's first fight."	And this is Peter's first fight."
242_126842_000052_000000	"Did you ever fight?" asked the Story Girl.	"Did you ever fight?" asked the Story Girl.
242_126842_000053_000000	"Once," I said briefly, dreading the next question, which promptly came.	"Once," I said briefly, dreading the next question, which promptly came.
242_126842_000054_000000	"Who beat?"	"Who beat?"
242_126842_000056_000000	"The other fellow," I said with reluctant honesty.	"The other fellow," I said with reluctant honesty.
242_126842_000057_000000	"Well," said the Story Girl, "I think it doesn't matter whether you get whipped or not so long as you fight a good, square fight."	"Well," said the Story Girl, "I think it doesn't matter whether you get whipped or not so long as you fight a good, square fight."
242_126842_000058_000000	Her potent voice made me feel that I was quite a hero after all, and the sting went out of my recollection of that old fight.	Her potent voice made me feel that I was quite a hero after all, and the sting went out of my recollection of that old fight.
242_126842_000059_000001	Cecily was very pale, and Felix and Peter were taking off their coats.	Cecily was very pale, and Felix and peter were taking off their coats.
242_126842_000060_000001	Cecily, keep quiet. Now, one--two--three!"	Cecily, keep quiet. Now, one-two-three!"
242_126842_000061_000000	Peter and Felix "pitched in," with more zeal than discretion on both sides.	peter and Felix "pitched in," with more zeal than discretion on both sides.
242_126842_000061_000001	As a result, Peter got what later developed into a black eye, and Felix's nose began to bleed.	As a result, peter got what later developed into a black eye, and Felix's nose began to bleed.
242_126842_000061_000002	Cecily gave a shriek and ran out of the wood.	Cecily gave a shriek and ran out of the wood.
242_126842_000063_000000	He was not angry.	He was not angry.
242_126842_000063_000002	But he took the combatants by their shirt collars and dragged them apart.	But he took the combatants by their shirt collars and dragged them apart.
242_126842_000064_000000	"This stops right here, boys," he said.	"This stops right here, boys," he said.
242_126842_000064_000001	"You know I don't allow fighting."	"You know I don't allow fighting."
242_126842_000065_000000	"Oh, but Uncle Alec, it was this way," began Felix eagerly.	"Oh, but Uncle Alec, it was this way," began Felix eagerly.
242_126842_000065_000001	"Peter--"	"peter--"
242_126842_000066_000001	"I don't care what you were fighting about, but you must settle your quarrels in a different fashion.	"I don't care what you were fighting about, but you must settle your quarrels in a different fashion.
242_126842_000066_000002	Remember my commands, Felix.	Remember my commands, Felix.
242_126842_000066_000003	Peter, Roger is looking for you to wash his buggy.	peter, Roger is looking for you to wash his buggy.
242_126842_000066_000004	Be off."	Be off."
242_126842_000067_000001	He turned his back on Cecily.	He turned his back on Cecily.
242_126842_000068_000000	Cecily "caught it" after Uncle Alec had gone.	Cecily "caught it" after Uncle Alec had gone.
242_126842_000069_000001	"They've been such friends, and it was dreadful to see them fighting."	"They've been such friends, and it was dreadful to see them fighting."
242_126842_000070_000000	"Uncle Roger would have let them fight it out," said the Story Girl discontentedly.	"Uncle Roger would have let them fight it out," said the Story Girl discontentedly.
242_126842_000070_000001	"Uncle Roger believes in boys fighting.	"Uncle Roger believes in boys fighting.
242_126842_000070_000003	Peter and Felix wouldn't have been any worse friends after it.	peter and Felix wouldn't have been any worse friends after it.
242_126842_000072_000000	"I don't meddle with hired boys' prayers," she said haughtily.	"I don't meddle with hired boys' prayers," she said haughtily.
242_126842_000073_000001	"Just as much nonsense as praying about the bitter apples in the first place."	"Just as much nonsense as praying about the bitter apples in the first place."
242_126842_000077_000000	"There's something wrong somewhere," said Cecily perplexedly.	"There's something wrong somewhere," said Cecily perplexedly.
242_126842_000077_000001	"We ought to pray for what we want, of that I'm sure--and Peter wanted to be the only one who could pass the Ordeal.	"We ought to pray for what we want, of that I'm sure-and peter wanted to be the only one who could pass the Ordeal.
242_126842_000077_000003	I wish I could understand it."	I wish I could understand it."
242_126842_000078_000000	"Peter's prayer was wrong because it was a selfish prayer, I guess," said the Story Girl thoughtfully.	"Peter's prayer was wrong because it was a selfish prayer, I guess," said the Story Girl thoughtfully.
242_126842_000078_000002	We mustn't pray selfish prayers."	We mustn't pray selfish prayers."
242_126842_000080_000000	"Yes, but," said Dan triumphantly, "if you believe God answers prayers about particular things, it was Peter's prayer He answered.	"Yes, but," said Dan triumphantly, "if you believe God answers prayers about particular things, it was Peter's prayer He answered.
242_126842_000080_000001	What do you make of that?"	What do you make of that?"
242_126842_000081_000002	We only get more mixed up all the time.	We only get more mixed up all the time.
242_126842_000081_000003	Let's leave it alone and I'll tell you a story.	Let's leave it alone and I'll tell you a story.
242_126842_000081_000004	Aunt Olivia had a letter today from a friend in Nova Scotia, who lives in Shubenacadie.	Aunt Olivia had a letter today from a friend in Nova Scotia, who lives in Shubenacadie.
242_126842_000081_000006	And I did.	And I did.
242_126842_000082_000000	Of course we did.	Of course we did.
242_126842_000082_000001	We all sat down at the roots of the firs.	We all sat down at the roots of the firs.
242_126842_000082_000003	He would not look at Cecily, but every one else had forgiven her.	He would not look at Cecily, but every one else had forgiven her.
242_126842_000083_000000	The Story Girl leaned that brown head of hers against the fir trunk behind her, and looked up at the apple-green sky through the dark boughs above us.	The Story Girl leaned that brown head of hers against the fir trunk behind her, and looked up at the apple green sky through the dark boughs above us.
242_126842_000083_000002	Her cheeks were still flushed with the excitement of the evening.	Her cheeks were still flushed with the excitement of the evening.
242_126842_000084_000001	One of the young braves was named Accadee.	One of the young braves was named Accadee.
242_126842_000084_000002	He was the tallest and bravest and handsomest young man in the tribe--"	He was the tallest and bravest and handsomest young man in the tribe-"
242_126842_000085_000001	"Why are there never no stories about ugly people?"	"Why are there never no stories about ugly people?"
242_126842_000086_000000	"Perhaps ugly people never have stories happen to them," suggested Felicity.	"Perhaps ugly people never have stories happen to them," suggested Felicity.
242_126842_000088_000001	I like them best that way.	I like them best that way.
242_126842_000089_000000	"Pretty people are always conceited," said Felix, who was getting tired of holding his tongue.	"Pretty people are always conceited," said Felix, who was getting tired of holding his tongue.
242_126842_000090_000001	"They're always so tall and slender.	"They're always so tall and slender.
242_126842_000091_000000	"It doesn't matter what a man LOOKS like," I said, feeling that Felix and Dan were catching it rather too hotly.	"It doesn't matter what a man LOOKS like," I said, feeling that Felix and Dan were catching it rather too hotly.
242_126842_000091_000001	"He must be a good sort of chap and DO heaps of things.	"He must be a good sort of chap and DO heaps of things.
242_126842_000091_000002	That's all that's necessary."	That's all that's necessary."
242_126842_000093_000001	Never an arrow of his that did not go straight to the mark.	Never an arrow of his that did not go straight to the mark.
242_126842_000093_000004	Her eyes were dark and soft, her foot was as light as a breeze, and her voice sounded like a brook in the woods, or the wind that comes over the hills at night.	Her eyes were dark and soft, her foot was as light as a breeze, and her voice sounded like a brook in the woods, or the wind that comes over the hills at night.
242_126842_000094_000003	She stole cautiously through the woods until she came to the brink of a little valley.	She stole cautiously through the woods until she came to the brink of a little valley.
242_126842_000094_000004	Below her stood the snow white moose.	Below her stood the snow white moose.
242_126842_000094_000005	She drew her arrow to her eye--alas, she knew the art only too well!--and took careful aim.	She drew her arrow to her eye-alas, she knew the art only too well!--and took careful aim.
242_126842_000094_000006	The next moment Accadee fell dead with her arrow in his heart."	The next moment Accadee fell dead with her arrow in his heart."
242_126842_000095_000000	The Story Girl paused--a dramatic pause.	The Story Girl paused-a dramatic pause.
242_126842_000095_000001	It was quite dark in the fir wood.	It was quite dark in the fir wood.
242_126842_000095_000002	We could see her face and eyes but dimly through the gloom.	We could see her face and eyes but dimly through the gloom.
242_126842_000095_000004	The stars twinkled through the softly waving boughs.	The stars twinkled through the softly waving boughs.
242_126842_000097_000000	"What did Shuben do when she found out she had killed Accadee?" asked Felicity.	"What did Shuben do when she found out she had killed Accadee?" asked Felicity.
242_126842_000102_000000	"No," said Dan reluctantly.	"No," said Dan reluctantly.
242_126842_000102_000001	"I suppose there'd be some drawback to everything, even being an Injun."	"I suppose there'd be some drawback to everything, even being an Injun."
242_126842_000103_000000	"Isn't it cold?" said Cecily, shivering again.	"Isn't it cold?" said Cecily, shivering again.
242_126842_000103_000002	Felicity likes the winter, and so does the Story Girl, but I don't.	Felicity likes the winter, and so does the Story Girl, but I don't.
242_126842_000105_000001	"The gods themselves cannot recall their gifts." They may rob us of our future and embitter our present, but our past they may not touch.	"The gods themselves cannot recall their gifts." They may rob us of our future and embitter our present, but our past they may not touch.
242_126842_000105_000002	With all its laughter and delight and glamour it is our eternal possession.	With all its laughter and delight and glamour it is our eternal possession.
