70_121127_000000_000000	Chapter 107.	Chapter one hundred seven.	true	17.145	18.7	24.083824
70_121127_000003_000005	"He's a fine looking fellow," said another; "if he had only a comb and hair-grease, he'd take the shine off the gentlemen in white kids."	"He's a fine looking fellow," said another; "if he had only a comb and hair grease, he'd take the shine off the gentlemen in white kids."	true	191.18	197.44	21
70_121127_000004_000000	"His coat looks almost new, and his boots shine like a nigger's face. It's pleasant to have such well-dressed comrades; but didn't those gendarmes behave shameful?--must 'a been jealous, to tear such clothes!"	"His coat looks almost new, and his boots shine like a nigger's face. It's pleasant to have such well dressed comrades; but didn't those gendarmes behave shameful?--must 'a been jealous, to tear such clothes!"	false	198.26	208.26	23.074198
70_121127_000005_000000	"He looks like a big-bug," said another; "dresses in fine style.	"He looks like a big bug," said another; "dresses in fine style.	false	208.26	212.77	20.846497
70_121127_000005_000001	And, then, to be here so young!	And, then, to be here so young!	true	212.84	214.53	21.530457
70_121127_000005_000002	Oh, what larks!" Meanwhile the object of this hideous admiration approached the wicket, against which one of the keepers was leaning.	Oh, what larks!" Meanwhile the object of this hideous admiration approached the wicket, against which one of the keepers was leaning.	false	214.53	221.53	20.120378
70_121127_000005_000003	"Come, sir," he said, "lend me twenty francs; you will soon be paid; you run no risks with me.	"Come, sir," he said, "lend me twenty francs; you will soon be paid; you run no risks with me.	true	222.2	226.78	17
70_121127_000005_000004	Remember, I have relations who possess more millions than you have deniers.	Remember, I have relations who possess more millions than you have deniers.	true	226.94	230.44	15
70_121127_000005_000005	Come, I beseech you, lend me twenty francs, so that I may buy a dressing-gown; it is intolerable always to be in a coat and boots!	Come, I beseech you, lend me twenty francs, so that I may buy a dressing gown; it is intolerable always to be in a coat and boots!	true	230.66	237.4	19.111639
70_121127_000005_000006	And what a coat, sir, for a prince of the Cavalcanti!"	And what a coat, sir, for a prince of the Cavalcanti!"	false	237.62	240.43	24.776106
70_121127_000005_000007	The keeper turned his back, and shrugged his shoulders; he did not even laugh at what would have caused any one else to do so; he had heard so many utter the same things,--indeed, he heard nothing else.	The keeper turned his back, and shrugged his shoulders; he did not even laugh at what would have caused any one else to do so; he had heard so many utter the same things,--indeed, he heard nothing else.	true	240.92	252.07	21.241825
70_121127_000006_000000	"Come," said Andrea, "you are a man void of compassion; I'll have you turned out." This made the keeper turn around, and he burst into a loud laugh.	"Come," said Andrea, "you are a man void of compassion; I'll have you turned out." This made the keeper turn around, and he burst into a loud laugh.	false	252.38	260.53	22.315102
70_121127_000006_000001	The prisoners then approached and formed a circle.	The prisoners then approached and formed a circle.	true	260.81	263.2	22.2654
70_121127_000006_000002	"I tell you that with that wretched sum," continued Andrea, "I could obtain a coat, and a room in which to receive the illustrious visitor I am daily expecting."	"I tell you that with that wretched sum," continued Andrea, "I could obtain a coat, and a room in which to receive the illustrious visitor I am daily expecting."	false	263.36	270.61	17
70_121127_000007_000000	"Of course--of course," said the prisoners;--"any one can see he's a gentleman!"	"Of course-of course," said the prisoners;--"any one can see he's a gentleman!"	true	271.37	274.87	20
70_121127_000008_000000	"Well, then, lend him the twenty francs," said the keeper, leaning on the other shoulder; "surely you will not refuse a comrade!"	"Well, then, lend him the twenty francs," said the keeper, leaning on the other shoulder; "surely you will not refuse a comrade!"	true	275.36	280.66	21
70_121127_000009_000000	"I am no comrade of these people," said the young man, proudly, "you have no right to insult me thus."	"I am no comrade of these people," said the young man, proudly, "you have no right to insult me thus."	false	281.12	287.07	23.615587
70_121127_000010_000000	The thieves looked at one another with low murmurs, and a storm gathered over the head of the aristocratic prisoner, raised less by his own words than by the manner of the keeper.	The thieves looked at one another with low murmurs, and a storm gathered over the head of the aristocratic prisoner, raised less by his own words than by the manner of the keeper.	false	287.07	295.27	14
70_121127_000010_000001	The latter, sure of quelling the tempest when the waves became too violent, allowed them to rise to a certain pitch that he might be revenged on the importunate Andrea, and besides it would afford him some recreation during the long day.	The latter, sure of quelling the tempest when the waves became too violent, allowed them to rise to a certain pitch that he might be revenged on the importunate Andrea, and besides it would afford him some recreation during the long day.	true	295.55	307.78	17
70_121127_000010_000002	The thieves had already approached Andrea, some screaming, "La savate--La savate!" [*] a cruel operation, which consists in cuffing a comrade who may have fallen into disgrace, not with an old shoe, but with an iron-heeled one.	The thieves had already approached Andrea, some screaming, "La savate-La savate!" [asterisk] a cruel operation, which consists in cuffing a comrade who may have fallen into disgrace, not with an old shoe, but with an iron heeled one.	false	309.47	322.5	21.912811
70_121127_000010_000003	Others proposed the "anguille," another kind of recreation, in which a handkerchief is filled with sand, pebbles, and two-sous pieces, when they have them, which the wretches beat like a flail over the head and shoulders of the unhappy sufferer.	Others proposed the "anguille," another kind of recreation, in which a handkerchief is filled with sand, pebbles, and two sous pieces, when they have them, which the wretches beat like a flail over the head and shoulders of the unhappy sufferer.	false	322.5	337.39	20.007584
70_121127_000010_000004	"Let us horsewhip the fine gentleman!" said others.	"Let us horsewhip the fine gentleman!" said others.	true	337.82	340.23	18
70_121127_000011_000000	* Savate: an old shoe.	asterisk Savate: an old shoe.	false	340.23	341.085	-20
70_121127_000012_000000	But Andrea, turning towards them, winked his eyes, rolled his tongue around his cheeks, and smacked his lips in a manner equivalent to a hundred words among the bandits when forced to be silent.	But Andrea, turning towards them, winked his eyes, rolled his tongue around his cheeks, and smacked his lips in a manner equivalent to a hundred words among the bandits when forced to be silent.	true	341.085	349.75	16
70_121127_000012_000001	It was a Masonic sign Caderousse had taught him.	It was a Masonic sign Caderousse had taught him.	true	349.91	352.66	19
70_121127_000012_000002	He was immediately recognized as one of them; the handkerchief was thrown down, and the iron-heeled shoe replaced on the foot of the wretch to whom it belonged.	He was immediately recognized as one of them; the handkerchief was thrown down, and the iron heeled shoe replaced on the foot of the wretch to whom it belonged.	true	353.06	360.31	17
70_121127_000012_000003	Some voices were heard to say that the gentleman was right; that he intended to be civil, in his way, and that they would set the example of liberty of conscience,--and the mob retired.	Some voices were heard to say that the gentleman was right; that he intended to be civil, in his way, and that they would set the example of liberty of conscience,--and the mob retired.	true	360.83	370.42	20.600523
70_121127_000012_000004	The keeper was so stupefied at this scene that he took Andrea by the hands and began examining his person, attributing the sudden submission of the inmates of the Lions' Den to something more substantial than mere fascination.	The keeper was so stupefied at this scene that he took Andrea by the hands and began examining his person, attributing the sudden submission of the inmates of the Lions' Den to something more substantial than mere fascination.	true	371.63	383.23	17
70_121127_000012_000005	Andrea made no resistance, although he protested against it.	Andrea made no resistance, although he protested against it.	true	384.2	387.31	17.959747
70_121127_000012_000006	Suddenly a voice was heard at the wicket.	Suddenly a voice was heard at the wicket.	true	387.47	389.38	19.705353
70_121127_000012_000007	"Benedetto!" exclaimed an inspector.	"Benedetto!" exclaimed an inspector.	true	389.57	391.96	22.69591
70_121127_000012_000008	The keeper relaxed his hold.	The keeper relaxed his hold.	true	392.39	394	24.046524
70_121127_000012_000009	"I am called," said Andrea.	"I am called," said Andrea.	false	394.1	396.21	17.074825
70_121127_000012_000010	"To the visitors' room!" said the same voice.	"To the visitors' room!" said the same voice.	true	396.21	398.23	17
70_121127_000013_000000	"You see some one pays me a visit.	"You see some one pays me a visit.	true	398.39	400.41	19
70_121127_000013_000001	Ah, my dear sir, you will see whether a Cavalcanti is to be treated like a common person!" And Andrea, gliding through the court like a black shadow, rushed out through the wicket, leaving his comrades, and even the keeper, lost in wonder.	Ah, my dear sir, you will see whether a Cavalcanti is to be treated like a common person!" And Andrea, gliding through the court like a black shadow, rushed out through the wicket, leaving his comrades, and even the keeper, lost in wonder.	false	400.41	411.46	19
70_121127_000013_000002	Certainly a call to the visitors' room had scarcely astonished Andrea less than themselves, for the wily youth, instead of making use of his privilege of waiting to be claimed on his entry into La Force, had maintained a rigid silence.	Certainly a call to the visitors' room had scarcely astonished Andrea less than themselves, for the wily youth, instead of making use of his privilege of waiting to be claimed on his entry into La Force, had maintained a rigid silence.	true	412.34	423.37	18
70_121127_000013_000003	"Everything," he said, "proves me to be under the protection of some powerful person,--this sudden fortune, the facility with which I have overcome all obstacles, an unexpected family and an illustrious name awarded to me, gold showered down upon me, and the most splendid alliances about to be entered into.	"Everything," he said, "proves me to be under the protection of some powerful person,--this sudden fortune, the facility with which I have overcome all obstacles, an unexpected family and an illustrious name awarded to me, gold showered down upon me, and the most splendid alliances about to be entered into.	false	423.56	439.81	19
70_121127_000013_000004	An unhappy lapse of fortune and the absence of my protector have cast me down, certainly, but not forever.	An unhappy lapse of fortune and the absence of my protector have cast me down, certainly, but not forever.	false	440.27	445.39	18
70_121127_000013_000005	The hand which has retreated for a while will be again stretched forth to save me at the very moment when I shall think myself sinking into the abyss.	The hand which has retreated for a while will be again stretched forth to save me at the very moment when I shall think myself sinking into the abyss.	true	445.73	452.89	18
70_121127_000013_000006	Why should I risk an imprudent step?	Why should I risk an imprudent step?	true	453.2	455.19	18.941189
70_121127_000013_000007	It might alienate my protector.	It might alienate my protector.	true	455.19	456.97	19.90104
70_121127_000013_000008	He has two means of extricating me from this dilemma,--the one by a mysterious escape, managed through bribery; the other by buying off my judges with gold.	He has two means of extricating me from this dilemma,--the one by a mysterious escape, managed through bribery; the other by buying off my judges with gold.	true	456.98	465.04	21
70_121127_000013_000009	I will say and do nothing until I am convinced that he has quite abandoned me, and then"--	I will say and do nothing until I am convinced that he has quite abandoned me, and then"--	true	465.68	470.26	19
70_121127_000014_000000	Andrea had formed a plan which was tolerably clever.	Andrea had formed a plan which was tolerably clever.	true	471.62	474.58	18
70_121127_000014_000001	The unfortunate youth was intrepid in the attack, and rude in the defence.	The unfortunate youth was intrepid in the attack, and rude in the defence.	true	474.71	478.8	18.243149
70_121127_000014_000002	He had borne with the public prison, and with privations of all sorts; still, by degrees nature, or rather custom, had prevailed, and he suffered from being naked, dirty, and hungry.	He had borne with the public prison, and with privations of all sorts; still, by degrees nature, or rather custom, had prevailed, and he suffered from being naked, dirty, and hungry.	true	478.8	488.83	20
70_121127_000014_000003	It was at this moment of discomfort that the inspector's voice called him to the visiting-room.	It was at this moment of discomfort that the inspector's voice called him to the visiting room.	true	489.47	493.93	18
70_121127_000014_000004	Andrea felt his heart leap with joy.	Andrea felt his heart leap with joy.	true	494.51	496.63	20.512148
70_121127_000014_000005	It was too soon for a visit from the examining magistrate, and too late for one from the director of the prison, or the doctor; it must, then, be the visitor he hoped for.	It was too soon for a visit from the examining magistrate, and too late for one from the director of the prison, or the doctor; it must, then, be the visitor he hoped for.	true	496.67	506.05	21.635674
70_121127_000014_000006	Behind the grating of the room into which Andrea had been led, he saw, while his eyes dilated with surprise, the dark and intelligent face of M. Bertuccio, who was also gazing with sad astonishment upon the iron bars, the bolted doors, and the shadow which moved behind the other grating.	Behind the grating of the room into which Andrea had been led, he saw, while his eyes dilated with surprise, the dark and intelligent face of m Bertuccio, who was also gazing with sad astonishment upon the iron bars, the bolted doors, and the shadow which moved behind the other grating.	false	506.6	523.03	19.852072
70_121127_000015_000000	"Ah," said Andrea, deeply affected.	"Ah," said Andrea, deeply affected.	true	524.24	527.11	18.97437
70_121127_000016_000000	"Good morning, Benedetto," said Bertuccio, with his deep, hollow voice.	"Good morning, Benedetto," said Bertuccio, with his deep, hollow voice.	false	527.75	531.55	17
70_121127_000017_000000	"You--you?" said the young man, looking fearfully around him.	"You-you?" said the young man, looking fearfully around him.	true	532.19	536.8	21.952185
70_121127_000018_000000	"Do you not recognize me, unhappy child?"	"Do you not recognize me, unhappy child?"	false	537.41	539.89	18
70_121127_000019_000000	"Silence,--be silent!" said Andrea, who knew the delicate sense of hearing possessed by the walls; "for heaven's sake, do not speak so loud!"	"Silence,--be silent!" said Andrea, who knew the delicate sense of hearing possessed by the walls; "for heaven's sake, do not speak so loud!"	true	540.29	548.08	22.410698
70_121127_000020_000000	"You wish to speak with me alone, do you not?" said Bertuccio.	"You wish to speak with me alone, do you not?" said Bertuccio.	false	548.84	552.1	20
70_121127_000021_000000	"Oh, yes."	"Oh, yes."	true	552.65	553.6	21.739506
70_121127_000022_000000	"That is well." And Bertuccio, feeling in his pocket, signed to a keeper whom he saw through the window of the wicket.	"That is well." And Bertuccio, feeling in his pocket, signed to a keeper whom he saw through the window of the wicket.	true	553.85	559.66	16
70_121127_000023_000000	"Read?" he said.	"Read?" he said.	true	560.27	561.73	23.607815
70_121127_000024_000000	"What is that?" asked Andrea.	"What is that?" asked Andrea.	true	561.92	563.49	21.891285
70_121127_000025_000000	"An order to conduct you to a room, and to leave you there to talk to me."	"An order to conduct you to a room, and to leave you there to talk to me."	false	563.49	567.52	22.100882
70_121127_000026_000000	"Oh," cried Andrea, leaping with joy.	"Oh," cried Andrea, leaping with joy.	true	568.76	571.11	21.65361
70_121127_000026_000001	Then he mentally added,--"Still my unknown protector!	Then he mentally added,--"Still my unknown protector!	false	571.11	573.96	21
70_121127_000026_000002	I am not forgotten.	I am not forgotten.	true	573.96	575.17	16
70_121127_000026_000003	They wish for secrecy, since we are to converse in a private room.	They wish for secrecy, since we are to converse in a private room.	false	575.21	579.1	21.049305
70_121127_000026_000004	I understand, Bertuccio has been sent by my protector."	I understand, Bertuccio has been sent by my protector."	false	579.29	582.49	22
70_121127_000027_000000	The keeper spoke for a moment with an official, then opened the iron gates and conducted Andrea to a room on the first floor.	The keeper spoke for a moment with an official, then opened the iron gates and conducted Andrea to a room on the first floor.	false	582.62	588.46	18
70_121127_000027_000001	The room was whitewashed, as is the custom in prisons, but it looked quite brilliant to a prisoner, though a stove, a bed, a chair, and a table formed the whole of its sumptuous furniture.	The room was whitewashed, as is the custom in prisons, but it looked quite brilliant to a prisoner, though a stove, a bed, a chair, and a table formed the whole of its sumptuous furniture.	false	588.8	599.41	22.405495
70_121127_000027_000002	Bertuccio sat down upon the chair, Andrea threw himself upon the bed; the keeper retired.	Bertuccio sat down upon the chair, Andrea threw himself upon the bed; the keeper retired.	false	600.14	605.86	23.217793
70_121127_000028_000000	"Now," said the steward, "what have you to tell me?"	"Now," said the steward, "what have you to tell me?"	true	605.99	608.8	19
70_121127_000029_000000	"And you?" said Andrea.	"And you?" said Andrea.	false	609.08	611.07	26.239815
70_121127_000030_000000	"You speak first."	"You speak first."	true	611.07	612.34	23.816074
70_121127_000031_000000	"Oh, no.	"Oh, no	true	612.53	613.14	22
70_121127_000031_000001	You must have much to tell me, since you have come to seek me."	You must have much to tell me, since you have come to seek me."	false	613.14	615.85	21.974182
70_121127_000032_000000	"Well, be it so.	"Well, be it so.	true	616.73	617.79	25.595718
70_121127_000032_000001	You have continued your course of villany; you have robbed--you have assassinated."	You have continued your course of villany; you have robbed-you have assassinated."	true	617.79	622	20
70_121127_000033_000000	"Well, I should say!	"Well, I should say!	true	622.28	623.47	17.765644
70_121127_000033_000001	If you had me taken to a private room only to tell me this, you might have saved yourself the trouble.	If you had me taken to a private room only to tell me this, you might have saved yourself the trouble.	true	623.54	627.87	19
70_121127_000033_000002	I know all these things.	I know all these things.	true	627.87	629.205	21.082336
70_121127_000033_000003	But there are some with which, on the contrary, I am not acquainted.	But there are some with which, on the contrary, I am not acquainted.	false	629.205	632.4	19
70_121127_000033_000004	Let us talk of those, if you please.	Let us talk of those, if you please.	true	632.4	634.24	21.720888
70_121127_000033_000005	Who sent you?"	Who sent you?"	true	634.25	635.26	20.222847
70_121127_000034_000000	"Come, come, you are going on quickly, M. Benedetto!"	"Come, come, you are going on quickly, m Benedetto!"	false	636.02	639.52	21
70_121127_000035_000000	"Yes, and to the point.	"Yes, and to the point.	false	640.22	641.37	21.306784
70_121127_000035_000001	Let us dispense with useless words.	Let us dispense with useless words.	true	641.37	642.93	15
70_121127_000035_000002	Who sends you?"	Who sends you?"	true	642.93	643.78	21.026834
70_121127_000036_000000	"No one."	"No one."	true	644.06	644.95	17.463223
70_121127_000037_000000	"How did you know I was in prison?"	"How did you know I was in prison?"	true	645.65	647.29	21.089096
70_121127_000038_000000	"I recognized you, some time since, as the insolent dandy who so gracefully mounted his horse in the Champs Elysees."	"I recognized you, some time since, as the insolent dandy who so gracefully mounted his horse in the Champs Elysees."	false	647.72	654.21	17
70_121127_000039_000000	"Oh, the Champs Elysees?	"Oh, the Champs Elysees?	true	654.21	655.47	14
70_121127_000039_000001	Ah, yes; we burn, as they say at the game of pincette.	Ah, yes; we burn, as they say at the game of pincette.	false	655.47	658.18	16
70_121127_000039_000002	The Champs Elysees?	The Champs Elysees?	false	658.4	659.685	20.911371
70_121127_000039_000003	Come, let us talk a little about my father."	Come, let us talk a little about my father."	true	659.685	661.72	19
70_121127_000040_000000	"Who, then, am I?"	"Who, then, am I?"	true	662.18	663.7	20.763296
70_121127_000041_000000	"You, sir?--you are my adopted father.	"You, sir?--you are my adopted father.	true	664.16	666.765	23.0748
70_121127_000041_000001	But it was not you, I presume, who placed at my disposal 100,000 francs, which I spent in four or five months; it was not you who manufactured an Italian gentleman for my father; it was not you who introduced me into the world, and had me invited to a certain dinner at Auteuil, which I fancy I am eating at this moment, in company with the most distinguished people in Paris--amongst the rest with a certain procureur, whose acquaintance I did very wrong not to cultivate, for he would have been very useful to me just now;--it was not you, in fact, who bailed me for one or two millions, when the fatal discovery of my little secret took place.	But it was not you, I presume, who placed at my disposal one hundred thousand francs, which I spent in four or five months; it was not you who manufactured an Italian gentleman for my father; it was not you who introduced me into the world, and had me invited to a certain dinner at Auteuil, which I fancy I am eating at this moment, in company with the most distinguished people in Paris-amongst the rest with a certain procureur, whose acquaintance I did very wrong not to cultivate, for he would have been very useful to me just now;--it was not you, in fact, who bailed me for one or two millions, when the fatal discovery of my little secret took place.	false	666.765	701.26	21.214228
70_121127_000041_000002	Come, speak, my worthy Corsican, speak!"	Come, speak, my worthy Corsican, speak!"	true	701.54	704.14	20.623175
70_121127_000042_000000	"What do you wish me to say?"	"What do you wish me to say?"	true	704.9	706.57	20.730724
70_121127_000043_000000	"I will help you.	"I will help you.	true	706.88	707.7	19
70_121127_000043_000001	You were speaking of the Champs Elysees just now, worthy foster-father."	You were speaking of the Champs Elysees just now, worthy foster father."	false	707.7	711.13	18
70_121127_000044_000000	"Well?"	"Well?"	true	711.32	712.12	26.254078
70_121127_000045_000000	"Well, in the Champs Elysees there resides a very rich gentleman."	"Well, in the Champs Elysees there resides a very rich gentleman."	false	712.94	715.93	18
70_121127_000046_000000	"At whose house you robbed and murdered, did you not?"	"At whose house you robbed and murdered, did you not?"	true	716.12	719.35	16
70_121127_000047_000000	"I believe I did."	"I believe I did."	true	719.75	721.06	16.70529
70_121127_000048_000000	"The Count of Monte Cristo?"	"The Count of Monte Cristo?"	true	721.31	722.86	22.404814
70_121127_000049_000000	"'Tis you who have named him, as M. Racine says.	"'tis you who have named him, as m Racine says.	false	723.2	726.135	18.48907
70_121127_000049_000001	Well, am I to rush into his arms, and strain him to my heart, crying, 'My father, my father!' like Monsieur Pixerecourt." [*]	Well, am I to rush into his arms, and strain him to my heart, crying, 'My father, my father!' like Monsieur Pixerecourt." [asterisk]	false	726.135	733.26	21.812695
70_121127_000050_000000	"Do not let us jest," gravely replied Bertuccio, "and dare not to utter that name again as you have pronounced it."	"Do not let us jest," gravely replied Bertuccio, "and dare not to utter that name again as you have pronounced it."	true	733.26	739.23	22
70_121127_000051_000000	* Guilbert de Pixerecourt, French dramatist (1775-1844).	asterisk Guilbert de Pixerecourt, French dramatist (seventeen seventy five to eighteen forty four).	false	739.23	740.4	-20
70_121127_000052_000000	"Bah," said Andrea, a little overcome, by the solemnity of Bertuccio's manner, "why not?"	"Bah," said Andrea, a little overcome, by the solemnity of Bertuccio's manner, "why not?"	false	740.4	746.14	21.70684
70_121127_000053_000000	"Because the person who bears it is too highly favored by heaven to be the father of such a wretch as you."	"Because the person who bears it is too highly favored by heaven to be the father of such a wretch as you."	false	746.72	751.54	15
70_121127_000054_000000	"Oh, these are fine words."	"Oh, these are fine words."	true	752	753.67	20.844439
70_121127_000055_000000	"And there will be fine doings, if you do not take care."	"And there will be fine doings, if you do not take care."	true	754.31	757.09	19
70_121127_000056_000000	"Menaces--I do not fear them.	"Menaces-I do not fear them.	true	757.37	758.94	14
70_121127_000056_000001	I will say"--	I will say"--	true	758.94	760	19
70_121127_000057_000000	"Do you think you are engaged with a pygmy like yourself?" said Bertuccio, in so calm a tone, and with so steadfast a look, that Andrea was moved to the very soul.	"Do you think you are engaged with a pygmy like yourself?" said Bertuccio, in so calm a tone, and with so steadfast a look, that Andrea was moved to the very soul.	false	760.4	769.57	19
70_121127_000057_000001	"Do you think you have to do with galley-slaves, or novices in the world?	"Do you think you have to do with galley slaves, or novices in the world?	true	769.94	773.56	20
70_121127_000057_000002	Benedetto, you are fallen into terrible hands; they are ready to open for you--make use of them.	Benedetto, you are fallen into terrible hands; they are ready to open for you-make use of them.	true	773.87	778.81	22
70_121127_000057_000003	Do not play with the thunderbolt they have laid aside for a moment, but which they can take up again instantly, if you attempt to intercept their movements."	Do not play with the thunderbolt they have laid aside for a moment, but which they can take up again instantly, if you attempt to intercept their movements."	true	778.94	786.04	24.119072
70_121127_000058_000000	"My father--I will know who my father is," said the obstinate youth; "I will perish if I must, but I will know it.	"My father-I will know who my father is," said the obstinate youth; "I will perish if I must, but I will know it.	true	786.38	791.98	23.464735
70_121127_000058_000001	What does scandal signify to me?	What does scandal signify to me?	true	792.26	794.17	23.879059
70_121127_000058_000002	What possessions, what reputation, what 'pull,' as Beauchamp says,--have I?	What possessions, what reputation, what 'pull,' as Beauchamp says,--have I?	true	794.18	799	19.583374
70_121127_000058_000003	You great people always lose something by scandal, notwithstanding your millions.	You great people always lose something by scandal, notwithstanding your millions.	true	799.64	803.58	20.254576
70_121127_000058_000004	Come, who is my father?"	Come, who is my father?"	true	803.58	805.12	23.101597
70_121127_000059_000000	"I came to tell you."	"I came to tell you."	true	805.61	807.07	19.33107
70_121127_000060_000000	"Ah," cried Benedetto, his eyes sparkling with joy.	"Ah," cried Benedetto, his eyes sparkling with joy.	true	807.47	810.85	24.963821
70_121127_000060_000001	Just then the door opened, and the jailer, addressing himself to Bertuccio, said,--"Excuse me, sir, but the examining magistrate is waiting for the prisoner."	Just then the door opened, and the jailer, addressing himself to Bertuccio, said,--"Excuse me, sir, but the examining magistrate is waiting for the prisoner."	true	811.25	819.51	20.95015
70_121127_000061_000000	"And so closes our interview," said Andrea to the worthy steward; "I wish the troublesome fellow were at the devil!"	"And so closes our interview," said Andrea to the worthy steward; "I wish the troublesome fellow were at the devil!"	false	819.51	824.95	21.267893
70_121127_000062_000000	"I will return to-morrow," said Bertuccio.	"I will return to morrow," said Bertuccio.	true	825.38	828.16	20.581875
70_121127_000063_000000	"Good!	"Good!	true	828.41	829.005	22.167015
70_121127_000063_000001	Gendarmes, I am at your service.	Gendarmes, I am at your service.	true	829.005	830.5	23
70_121127_000063_000002	Ah, sir, do leave a few crowns for me at the gate that I may have some things I am in need of!"	Ah, sir, do leave a few crowns for me at the gate that I may have some things I am in need of!"	true	830.51	834.67	18
70_121127_000064_000000	"It shall be done," replied Bertuccio.	"It shall be done," replied Bertuccio.	true	835.43	837.76	19.0528
